	C10	C7	C8	C9	C4	C5	C6	C1	C2	C3	B11	B12	B7	B8	B9
100000006	0	10	1	0	15	0	0	0	0	0	0	0	19	0	14
100000009	40	53	114	6	2	16	22	11	38	22	8	35	61	11	20
100000026	7	19	19	0	0	23	3	9	11	1	7	1	42	8	13
100000044	2	29	31	12	5	0	1	3	8	10	0	19	11	10	0
100000073	65	85	137	39	23	8	35	78	69	45	22	60	279	56	59
100000079	61	212	124	36	64	45	74	147	122	61	48	129	230	65	82
100000083	18	32	27	12	8	13	26	62	56	28	23	45	63	14	62
100000085	20	50	0	0	60	3	48	57	22	25	66	65	63	34	33
100000094	4	22	40	25	0	11	23	17	5	33	6	5	59	3	26
100000095	4	4	10	0	5	0	0	0	0	5	6	6	14	0	6
100000097	0	10	9	2	0	0	4	15	0	5	0	6	6	11	7
100000101	3	34	23	0	15	12	13	4	27	2	5	9	53	4	5
100000104	0	17	15	1	0	0	29	0	2	4	0	0	19	24	3
100000119	10	23	75	9	16	26	46	57	8	23	6	4	32	4	32
100000122	40	66	84	10	43	7	45	92	38	39	23	19	65	25	66
100000125	103	317	303	44	91	101	161	185	181	120	91	186	367	80	157
100000126	15	8	8	0	12	0	5	33	21	3	0	8	20	5	8
100000131	25	17	46	1	0	9	14	55	21	32	14	16	50	19	35
100000132	3	18	1	0	2	0	0	0	3	0	3	0	5	0	8
100000133	9	15	26	10	16	7	31	5	2	9	8	13	21	2	32
100000135	55	19	40	7	26	7	37	32	26	17	34	16	92	26	62
100000140	1	3	2	0	12	0	2	4	0	0	0	2	0	0	0
100000148	4	19	7	3	3	3	0	6	0	0	1	14	2	0	6
100000151	53	101	109	37	46	13	77	120	98	86	61	52	173	37	74
100000156	0	0	9	12	12	0	7	3	0	8	7	11	0	4	1
100000160	127	283	205	59	141	120	182	237	129	176	71	146	274	77	131
100000165	207	325	357	148	171	68	145	347	134	180	119	250	315	157	239
100000175	138	720	392	63	200	151	128	398	169	143	109	122	537	215	252
100000190	68	91	97	49	41	2	80	144	77	36	50	111	163	44	75
100000199	3	2	0	0	4	1	18	2	0	0	0	0	0	8	0
100000219	0	11	8	16	2	10	28	21	0	10	0	0	12	1	41
100000223	61	110	50	19	31	21	85	56	14	45	39	42	101	23	37
100000230	248	436	399	131	318	140	372	573	406	334	239	516	902	146	620
100000242	70	39	74	19	26	23	27	54	58	15	63	50	189	29	35
100000252	222	725	354	83	116	111	190	477	197	193	157	258	719	102	324
100000256	166	570	519	94	102	130	97	349	144	160	136	144	860	145	274
100000277	23	76	114	7	22	21	82	84	33	20	25	53	92	38	91
100000303	57	106	80	29	112	18	110	87	21	65	91	65	133	36	82
100000322	8	2	4	16	0	0	0	10	18	7	0	26	16	0	7
100000325	6	44	9	3	3	13	16	22	1	14	0	34	46	10	29
100000326	6	21	5	20	12	7	0	27	11	11	3	10	21	16	35
100000333	17	6	28	25	2	0	10	3	1	0	0	6	10	0	7
100000341	77	252	236	61	144	56	154	299	162	130	119	143	352	102	226
100000342	104	284	627	96	155	97	147	383	147	178	124	153	459	95	236
100000352	0	5	12	0	0	3	0	4	0	1	1	4	10	0	5
100000353	62	137	154	38	70	45	68	68	100	84	62	107	198	59	24
100000374	27	58	151	39	12	5	43	62	67	35	25	28	83	31	27
100000381	1	0	16	0	6	7	8	0	9	1	1	0	5	2	2
100000389	0	0	2	0	0	0	7	6	2	0	0	0	26	6	0
100000398	11	39	33	13	10	0	11	43	26	11	9	23	32	6	13
100000399	5	5	17	2	9	19	0	38	11	7	3	12	36	0	19
100000415	25	50	61	0	14	4	46	87	60	21	24	94	62	52	15
100000433	4	24	33	0	6	0	4	16	2	6	8	7	28	11	11
100000463	2	3	3	0	3	0	0	5	3	0	0	0	4	0	3
100000471	145	345	343	62	131	77	93	226	115	120	117	201	355	85	201
100000478	11	39	62	13	0	1	1	6	7	3	18	2	25	4	23
100000479	31	33	35	1	3	12	6	23	8	20	1	20	48	12	17
100000492	77	166	123	67	41	29	81	140	78	46	33	95	129	34	66
100000500	18	16	30	0	13	3	13	44	6	5	17	23	54	11	32
100000501	3	11	19	0	1	0	2	0	0	0	2	0	0	0	0
100000502	9	20	7	0	7	0	1	7	15	18	3	11	16	10	12
100000517	403	815	909	246	277	174	313	651	677	399	244	371	952	238	524
100000526	109	181	159	72	103	61	119	158	134	83	103	88	189	39	143
100000527	1	33	15	1	25	9	4	10	0	8	4	0	10	0	6
100000537	21	118	36	34	35	27	38	61	53	22	40	19	98	1	43
100000539	1	0	17	2	0	4	8	5	0	3	4	16	16	0	7
100000558	0	4	16	0	0	0	0	10	6	0	0	1	11	5	2
100000559	3	1	17	1	0	4	5	8	19	0	15	3	4	1	9
100000570	19	25	22	24	14	25	2	43	46	5	38	19	56	6	35
100000574	0	33	2	1	2	0	3	13	2	14	0	29	14	6	6
100000576	17	25	26	18	27	0	29	74	2	24	15	34	65	33	26
100000577	42	25	28	16	20	5	32	20	25	13	28	16	94	4	29
100000597	166	138	99	87	40	20	84	284	128	50	54	165	205	148	75
100000615	131	304	231	91	93	67	110	151	138	63	34	55	257	23	149
100000629	13	11	21	17	11	15	51	17	19	12	6	23	62	16	19
100000640	0	13	10	0	0	39	0	25	10	0	0	0	5	0	4
100000646	6	2	6	6	12	0	0	4	1	3	3	10	2	0	1
100000647	10	6	14	27	0	8	27	23	1	19	4	2	36	1	9
100000651	20	16	11	2	3	14	8	19	28	10	17	22	38	12	21
