	B4	B5	B6	B1	B2	B3	A10	A11	A12	A7	A8	A9	A4	A5	A6	A1	A2	A3
368418	4.32004953586115	5.95750278437766	5.03117121721554	0.851493513887985	5.56108275007476	4.80518364282442	2.31562559077185	3.9449789494738	6.01465506760776	4.04281363429651	2.95518984205687	5.66544621679566	5.4518582082937	0.579490068091938	4.58248534275301	4.12569020843774	0.743561494271704	4.80771026376224
327272	7.4018436270248	8.11896620707178	8.37030860213513	7.61967783866491	7.82094987682987	7.61253856488202	7.93033543488706	6.26690704436116	7.15215859135769	6.72731180856858	8.16464320768582	7.04936119857872	8.07864088470949	7.42498011903631	8.2829250608941	8.76954639821246	8.33601853153979	7.56852259988282
368645	5.2711399353802	1.70957527093408	4.47477786869116	4.0214185153303	5.56108275007476	6.39014614354557	4.63755368565921	3.9449789494738	7.06196078238611	6.09343970736648	4.54015234277803	5.51734757780653	5.27128596265188	6.07134316442161	6.16744784347417	5.71065270915889	5.95301485990065	5.33822498046102
30670	8.86848616055719	7.93839396142996	9.07731299886026	8.82303706783876	9.08794229623235	8.83493098621847	7.3600197101303	7.64541866761489	6.96574546712681	9.26336470880879	9.12110178099256	8.52221333297834	8.5443044570583	8.6293386175425	7.08498568328219	8.92270318627388	9.02433226440231	8.87619000164501
566412	7.53210001297614	7.686855194434	7.96474385547657	9.11358835925816	7.29043516013109	7.24996848549731	8.38171478122962	8.58883513924852	8.37455101269414	8.26888171377636	8.36797136739535	7.65662236640865	7.84012879800976	8.93263689359002	7.95171915241873	9.875224476107	8.09228964850278	7.56852259988282
30338	6.60298349913265	6.23313722699109	6.16867474096548	6.20904551850607	5.70547265940993	5.72272148263244	6.01606530891294	7.11490395091611	6.63132642805625	6.66172346694101	6.65562956019796	6.6829336435245	6.11928286920683	5.78894343372089	6.90441343764037	7.16131411816846	6.29815034594934	7.19237411399757
559473	7.28352365983603	8.4238207886002	8.37030860213513	7.26088445002569	7.33552304965963	8.26461526146171	8.24636292833473	6.7523338715314	8.08504439549915	7.97692569864005	7.57577625250875	7.36317664767877	7.87219000724206	6.46213311745378	8.2069762076608	7.01321547917932	8.39461318545063	8.53260302562788
497149	0.413158940252629	4.03150336582144	2.70924312232818	4.0214185153303	1.31315523663117	5.33569835952319	2.31562559077185	3.9449789494738	5.56719609063653	3.55738680712627	2.95518984205687	1.89285671289873	4.53432036848568	4.66695290934228	2.99752284203185	1.80376211355037	0.743561494271704	4.44514018437754
678619	5.9050120365823	5.16900688957138	2.70924312232818	3.17342160877535	4.48308023807348	4.80518364282442	5.48555059221416	6.26690704436116	4.4296925668866	6.09343970736648	4.88118926061309	5.59329643103982	4.53432036848568	4.27992978623303	6.69796256017295	6.55864961571384	4.65045208988022	6.16134721837694
368410	7.44658194179008	7.686855194434	8.20109621865785	8.76438285011795	8.389970833682	8.89264648407475	8.58241213146675	8.19290646291738	7.15215859135769	7.11810176160075	7.6885441826707	8.17208035683186	8.23476008662677	7.63477250359313	9.14726996153654	8.46197359630217	7.73224618104387	8.04717619845763
368688	7.57303027703102	3.29453777165523	6.40968284046927	5.80568982427486	6.59855745549342	6.27911483115683	7.93033543488706	8.19290646291738	7.72247431611445	7.25782652526736	6.46615176133425	6.87774982050852	7.38676318007182	6.51022740565482	7.75241034419532	5.89122495480071	6.35827133838691	7.61506518581985
368686	5.83942369495473	7.06712727555216	6.26995807680266	7.74631127719593	6.67070724124926	6.84471200701105	6.70794301355061	3.9449789494738	6.75162066177396	6.52086093110116	6.305687089141	6.71728514831528	6.00825155681809	4.9718074908707	6.16744784347417	6.05168962699396	7.2192949252381	7.12963835864961
30726	7.68928334552687	8.69825995770625	6.00202487155602	5.89588763324644	5.9570114264059	8.5541218786567	6.95948178054657	3.9449789494738	6.75162066177396	8.63633814852109	8.26988636771316	8.77956942656962	1.36439536704336	8.87869808647922	2.99752284203185	8.54522909995152	7.73224618104387	6.3926727644834
368631	6.64197763074851	5.41001498907517	6.86304845840721	6.27775826859008	6.59855745549342	6.39014614354557	5.48555059221416	8.46854090553081	7.06196078238611	5.14234930784743	6.74178620394768	6.03581466674078	6.64979758590561	6.00575482279404	4.58248534275301	6.4476183033251	6.57645150843645	7.52042831168177
393929	8.74854929494655	7.38200061290557	8.5721903703491	8.41373593810906	8.49306432664611	8.32175916856532	8.91553843295898	9.37124370417589	8.29758903087926	8.73530459932211	8.89535659253969	8.92627971443618	8.48333643976687	8.3276829176814	9.37256227337878	8.64925216449475	8.88821973710359	8.08072875816866
327216	6.39043886375255	7.06712727555216	7.15549935221774	7.11828005458289	6.73941999133327	6.27911483115683	7.3600197101303	3.9449789494738	7.31721783762819	5.62777613501767	6.61054167066942	6.49771877105759	5.88795732310038	7.17940291027907	7.24545035547544	7.58512182707503	7.51174581904863	7.12963835864961
