#NAME	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6
#CLASS:DOSE	10000000	10000000	10000000	1000000	1000000	1000000	100000	100000	100000	10000	10000	10000	1000	1000	1000	0	0	0
ENSDARG00000000001	2	0	4	8	0	1	3	2	20	0	0	7	0	9	4	7	9	12
ENSDARG00000000002	74	104	73	118	143	23	104	158	188	46	14	36	131	97	62	167	93	168
ENSDARG00000000018	33	86	40	37	70	11	32	47	73	46	4	12	53	42	37	80	43	115
ENSDARG00000000019	140	208	132	144	314	52	163	352	382	100	31	149	236	179	152	365	148	283
ENSDARG00000000068	62	96	30	52	57	19	22	92	53	24	2	16	54	45	31	63	42	126
ENSDARG00000000069	206	525	294	293	555	107	265	540	637	179	39	208	428	273	277	658	276	764
ENSDARG00000000086	194	437	169	186	437	68	212	437	618	131	35	108	418	257	238	475	209	479
ENSDARG00000000103	364	793	381	452	889	139	473	809	1042	235	69	313	727	544	453	942	480	1032
ENSDARG00000000142	7	18	6	7	22	4	14	7	18	2	0	15	4	9	13	14	0	8
ENSDARG00000000151	69	155	75	72	132	8	130	179	148	16	6	14	125	109	73	175	37	206
ENSDARG00000000161	134	81	30	44	163	15	65	106	81	33	12	38	153	31	24	69	31	95
ENSDARG00000000175	20	23	23	13	18	7	21	32	41	6	4	11	20	10	8	36	11	27
ENSDARG00000000183	171	252	169	170	271	56	182	325	315	82	9	86	209	167	187	300	172	334
ENSDARG00000000189	144	435	170	247	388	92	299	378	389	136	37	126	344	201	179	443	170	467
ENSDARG00000000212	862	1871	1069	1298	2061	343	1111	1861	2301	650	170	754	1533	1081	891	2339	960	2220
ENSDARG00000000229	18	100	59	45	29	18	53	61	66	30	3	31	42	32	49	58	52	126
ENSDARG00000000241	83	159	107	121	195	41	111	210	269	50	15	62	143	120	90	256	95	180
ENSDARG00000000349	0	0	3	4	8	0	2	2	1	0	0	5	4	0	6	0	2	2
ENSDARG00000000369	13	7	11	4	6	6	14	9	19	4	2	2	2	4	4	22	5	2
ENSDARG00000000370	202	342	152	258	434	83	238	450	417	77	40	78	345	317	182	457	183	393
ENSDARG00000000380	50	63	42	58	66	35	29	66	116	38	9	16	120	67	76	65	31	112
ENSDARG00000000394	120	320	166	147	305	50	189	333	402	141	43	115	245	204	201	337	154	378
ENSDARG00000000423	8	24	31	32	30	13	32	28	47	24	9	24	15	19	12	71	1	32
ENSDARG00000000442	9	44	22	12	10	4	19	25	42	10	0	12	59	20	18	21	20	29
ENSDARG00000000460	0	2	1	0	0	0	2	3	2	0	0	0	0	0	0	1	1	0
ENSDARG00000000472	53	63	13	0	157	0	84	99	177	12	0	12	16	12	60	77	63	24
ENSDARG00000000474	0	0	0	0	0	0	0	0	3	0	0	0	3	1	0	0	0	2
ENSDARG00000000476	12	28	29	19	21	1	7	34	26	4	11	15	21	19	13	37	6	44
ENSDARG00000000489	57	141	43	69	107	41	90	153	196	48	21	36	94	72	51	161	25	145
ENSDARG00000000503	642	1151	657	620	1468	142	753	1393	1910	503	149	615	1291	1070	818	1743	826	2183
ENSDARG00000000516	0	0	5	5	0	0	0	0	0	0	0	0	3	2	0	2	0	0
ENSDARG00000000529	27	54	22	11	48	9	10	31	36	16	0	18	38	21	12	31	20	54
ENSDARG00000000540	44	106	90	50	130	22	118	164	212	31	7	43	114	96	68	148	70	169
ENSDARG00000000542	21	8	10	14	52	8	22	6	10	6	1	71	24	9	3	9	18	0
ENSDARG00000000551	67	123	26	55	95	22	26	82	81	31	15	48	134	69	26	154	38	169
ENSDARG00000000563	18545	37637	17418	19300	32670	6585	22728	32224	35696	7990	3253	10900	26084	22372	17811	32487	18678	43926
ENSDARG00000000567	41	88	65	45	235	35	112	218	91	46	7	67	114	67	117	119	83	127
ENSDARG00000000568	40	77	65	44	73	23	52	72	124	10	11	26	75	73	54	101	38	140
ENSDARG00000000588	0	26	18	6	17	0	9	11	22	15	0	2	20	6	0	17	1	19
ENSDARG00000000606	0	45	13	0	5	1	26	13	6	2	0	8	0	17	0	25	0	18
ENSDARG00000000631	213	129	71	69	135	34	87	126	154	30	8	39	157	88	66	140	64	130
