	E4	E5	E6	E1	E2	E3	D10	D11	D12	D7	D8	D9	D4	D5	D6	D1	D2	D3
100000006	4	1	12	0	0	6	0	8	0	7	2	0	0	3	4	0	0	10
100000009	48	7	31	14	0	10	5	9	0	4	16	0	18	48	35	0	26	30
100000026	26	8	20	8	2	4	7	4	0	13	1	4	5	4	6	0	9	5
100000044	24	3	3	12	5	3	2	8	0	10	7	0	8	24	0	0	1	18
100000073	115	49	50	20	7	39	15	50	0	39	52	20	21	62	40	0	68	40
100000079	567	90	459	205	62	157	95	148	8	277	141	24	88	348	175	0	270	125
100000083	72	15	49	62	17	29	8	41	4	42	28	6	10	63	30	0	75	44
100000085	404	45	225	161	89	117	77	134	17	121	189	5	35	292	156	0	214	117
100000094	25	7	31	15	8	24	12	8	0	12	7	0	5	49	2	0	29	14
100000095	15	0	2	3	2	0	8	11	0	16	0	0	0	19	7	0	13	0
100000097	16	1	0	1	0	0	4	10	0	4	5	0	1	5	3	0	6	0
100000101	33	23	34	13	8	4	11	20	0	26	15	9	5	21	19	0	14	9
100000104	24	2	8	42	1	17	8	5	0	35	10	0	2	24	3	0	13	70
100000119	78	11	22	23	5	12	0	27	4	12	15	0	0	35	19	0	11	33
100000122	163	24	49	29	23	37	31	36	2	67	73	16	3	105	15	0	100	105
100000125	307	105	134	165	46	125	38	116	4	153	118	34	13	255	77	1	194	115
100000126	12	0	0	13	2	2	0	6	0	1	2	0	0	11	0	0	6	0
100000131	84	5	23	17	11	16	20	8	1	31	7	0	14	28	20	0	40	32
100000133	124	11	64	46	36	20	24	25	3	47	39	8	12	102	27	0	80	53
100000135	51	2	38	22	6	30	12	16	5	28	16	16	1	68	17	0	75	12
100000148	10	0	0	0	11	1	1	3	0	9	0	0	6	20	1	0	0	0
100000151	154	19	71	57	21	67	25	37	1	24	42	7	26	112	33	0	119	42
100000156	43	5	7	24	4	9	9	2	0	19	23	8	4	49	5	0	32	26
100000160	370	75	272	143	105	107	77	78	23	195	130	25	59	374	164	0	182	167
100000165	345	29	123	60	48	98	51	67	5	110	70	12	19	221	76	0	120	103
100000175	313	27	248	63	22	102	30	25	0	97	68	12	41	369	131	0	181	199
100000190	275	33	116	131	59	96	53	53	5	71	43	9	18	233	68	0	103	71
100000199	8	1	1	9	0	8	1	0	4	1	5	1	4	12	0	0	1	0
100000219	5	3	33	8	2	4	3	2	0	7	5	3	0	12	5	0	1	8
100000223	350	103	249	169	87	94	62	109	5	171	65	12	55	294	110	0	177	152
100000230	2255	272	1371	690	178	477	241	590	36	1125	701	130	280	1004	503	0	818	483
100000242	196	50	129	64	28	30	31	23	5	86	56	5	25	106	40	0	68	50
100000252	484	105	162	147	150	93	165	213	9	131	79	11	46	324	71	0	193	261
100000256	352	57	368	119	48	133	27	49	0	162	88	34	59	342	136	0	225	268
100000277	98	44	75	62	34	46	22	32	0	61	43	3	18	93	43	0	72	32
100000285	18	0	11	3	1	0	0	0	0	5	9	1	6	8	1	0	6	1
100000303	433	27	106	142	25	119	33	62	31	108	117	11	90	243	89	0	128	121
100000319	1	0	13	16	0	1	5	0	0	0	7	1	2	53	4	0	40	22
100000322	32	14	105	48	19	49	9	42	0	51	60	15	25	62	6	2	40	7
100000325	77	4	31	13	8	6	17	14	0	16	22	2	8	21	12	0	17	13
100000326	51	6	40	8	14	9	4	11	0	23	7	9	7	54	11	0	36	8
100000332	3	1	15	0	8	6	0	1	0	6	1	0	4	1	0	0	3	13
100000333	16	0	8	8	4	0	6	4	0	24	18	4	3	1	4	0	5	0
100000341	807	154	483	312	184	174	139	279	19	587	380	66	157	501	315	1	400	281
100000342	268	55	245	98	44	91	41	45	5	83	114	10	47	194	31	0	67	149
100000352	10	1	7	10	6	7	3	3	2	4	11	0	5	4	5	0	11	19
100000353	47	62	51	40	18	47	11	95	4	32	23	3	12	92	25	0	57	37
100000374	38	25	24	8	15	30	8	15	5	33	18	0	0	37	17	0	22	6
100000381	5	11	5	2	0	5	7	25	9	8	2	0	0	12	29	0	16	18
100000389	33	9	7	14	6	5	3	6	2	31	17	0	3	11	7	0	5	14
100000398	33	36	51	26	7	10	32	17	0	90	18	3	0	94	19	0	74	21
100000399	38	10	17	12	11	4	2	30	2	16	24	0	5	9	8	0	12	13
100000415	59	17	62	45	24	22	6	13	0	41	6	6	0	37	16	0	25	38
100000433	29	9	20	9	0	8	3	9	5	38	21	0	2	41	21	0	13	15
100000463	91	6	45	7	9	30	13	10	0	20	17	0	9	49	12	0	12	8
100000471	378	146	245	180	78	137	75	187	0	176	135	24	45	357	147	0	253	186
100000478	65	1	4	18	9	8	16	12	0	24	18	7	12	38	24	0	43	25
100000479	47	2	39	17	19	7	5	26	1	19	24	1	0	62	24	0	39	11
100000492	121	48	121	47	20	22	24	40	2	86	41	2	16	148	37	0	66	63
100000500	77	8	88	57	14	29	6	55	1	41	37	1	12	71	51	0	45	20
100000502	30	1	21	5	3	15	2	4	0	16	14	4	1	29	10	0	18	2
100000517	805	100	436	316	189	263	189	198	22	509	334	45	95	553	217	0	395	399
100000526	509	83	211	231	132	195	84	103	1	245	153	37	44	457	147	0	296	200
100000527	24	1	8	3	5	10	7	0	0	9	0	7	5	19	0	0	15	0
100000537	53	10	55	22	39	34	6	20	0	38	52	2	6	74	28	0	42	35
100000539	28	2	2	5	5	1	0	0	0	10	9	1	4	6	8	0	10	2
100000544	8	0	3	0	0	0	0	0	0	5	4	0	0	5	0	0	8	0
100000558	5	0	7	1	3	11	4	0	0	10	1	0	0	25	9	0	3	1
100000559	39	4	23	9	18	15	7	13	0	43	27	4	11	48	8	0	30	27
100000570	78	2	33	15	13	8	14	11	0	16	4	0	9	38	26	0	10	12
100000574	20	0	8	13	11	3	25	0	0	3	6	0	3	18	0	0	3	6
100000576	79	25	30	30	2	9	9	69	6	39	15	2	10	61	16	0	18	7
100000577	48	25	54	16	14	19	12	37	0	33	25	1	2	32	7	0	24	27
100000597	330	131	189	96	79	113	34	124	16	212	140	33	64	412	132	0	271	83
100000615	201	31	96	55	16	64	39	33	0	81	36	3	32	124	58	0	119	80
100000629	119	7	48	40	13	28	12	34	1	26	42	10	26	53	7	0	70	21
100000640	2	4	0	2	5	0	0	0	0	0	14	0	2	0	0	0	0	0
100000646	13	5	9	1	2	6	2	0	1	2	8	0	1	7	1	0	0	11
100000647	28	2	17	14	4	5	6	2	0	10	23	0	12	17	11	0	3	4
100000651	51	2	17	6	9	18	2	2	2	10	2	1	6	10	12	0	5	14
100000654	63	15	42	14	7	22	17	30	8	45	57	1	10	64	55	0	47	26
100000656	26	4	7	6	2	5	0	23	0	2	15	4	11	55	26	0	30	19
100000660	78	6	32	5	11	8	16	6	1	23	15	4	11	23	27	0	36	35
100000665	171	43	66	46	32	52	13	34	0	55	30	27	17	134	60	0	74	46
100000675	0	3	0	9	3	0	0	3	0	17	0	0	3	2	2	0	1	2
100000683	62	3	1	50	9	35	3	82	3	109	24	8	29	35	23	0	4	32
100000687	98	29	64	36	37	39	26	33	0	47	47	15	22	87	39	0	69	81
100000688	26	0	20	4	16	12	4	3	0	36	36	0	3	44	8	0	6	11
100000702	16	3	11	5	4	2	0	5	1	22	4	0	4	18	0	0	4	0
100000709	117	19	131	66	41	54	24	41	0	81	53	0	17	150	63	0	64	54
100000710	145	7	6	19	14	29	10	49	0	16	15	6	6	25	2	0	20	13
100000711	23	8	10	32	2	8	19	2	0	2	11	0	6	44	30	0	28	27
100000713	15	0	14	11	3	13	2	24	1	20	3	4	1	21	4	0	11	5
100000715	119	11	22	36	23	16	13	23	0	45	17	14	0	51	15	0	25	28
100000720	144	33	83	64	31	54	70	37	3	83	68	16	20	138	41	0	60	43
100000724	0	1	4	14	5	1	0	0	0	3	0	0	3	7	9	0	13	8
100000753	3	0	2	0	0	1	0	0	0	2	2	0	2	0	4	0	0	0
