	F10	F11	F12	F7	F8	F9	F4	F5	F6	F1	F2	F3	E10	E11	E12	E7	E8	E9
368418	1.48100375106474	7.19056903081743	4.38249631240284	6.47173248337554	2.26533712655829	0.858887792428111	3.8670500145564	2.36090276710104	7.26802065634067	0.406197143220842	1.00648610354753	6.07133555785905	5.87089908774829	5.6505183693959	3.06851574991457	6.7569290724105	6.03256302865544	2.57956071668725
368419	7.45828367456466	7.55313911020214	7.51635205913764	7.36481727945903	6.51326464000188	6.92497698288588	3.8670500145564	7.80936326791733	4.94609256145331	7.09269767040406	7.94900060888677	6.86601664988155	8.67825400980589	8.36587750737273	6.76895546805566	7.74213207048242	7.56733977220838	8.39205894202081
64604	7.03559260274238	8.40113601675709	7.04546132512527	8.0566949840967	5.96577684469939	7.70437784337249	7.32648163319369	8.01434500570496	7.26802065634067	7.95309160310848	7.51428074374622	7.32699043332725	5.87089908774829	7.1825319901681	8.90140576407931	7.02486227765713	6.67789814735608	7.53375702707413
327272	5.72893126450832	7.78920646843566	6.76716016263817	8.70877168067639	4.58726522144566	6.35074088875779	7.95451285580674	5.4197964561546	8.00498625050688	6.4285649562493	7.27327264424243	6.83166514509077	5.87089908774829	6.74484575194405	3.06851574991457	1.14221922829529	7.96632933025536	6.18836995936277
58093	8.55781934811557	9.35590676276409	8.00698717731064	8.30823375109266	9.32061956205948	9.06345893667731	8.25936743733516	9.28769292014726	8.11601756289563	9.57361528905258	9.18141178604821	9.74894734654588	11.8016364253112	10.0685988882397	9.25834030879458	9.17012522486517	10.9208379460966	10.3331117712879
368645	6.00456570712175	5.23121101531478	7.92681682862665	3.66437756131793	3.85029962727945	5.1068153058717	3.8670500145564	3.94586526782219	7.06156977887325	4.49365998447118	1.00648610354753	4.15706543188494	5.87089908774829	4.14150472190804	5.87587067197217	4.60165084693259	6.23901390612287	3.4275576232422
30670	8.81192062917936	6.45360343665122	8.63042382584643	7.75184040256827	6.65765454933706	7.45880063461524	6.18897810944376	7.74172455104197	6.82056167936945	8.2579461846369	7.66469758629932	7.73275011901808	9.0408240891906	8.03352204103503	9.33530229060947	7.07295656585818	6.03256302865544	7.65851205808207
30338	4.28835867312234	7.48755076857456	5.85642750073526	3.66437756131793	6.17222772216681	6.21643979704619	3.8670500145564	6.06134248524213	3.36113006073216	6.23908715738558	5.8644670986751	4.70455322718743	8.67825400980589	5.93291810009663	3.06851574991457	5.53453665107405	4.65405140540171	6.56141336997699
559473	7.20892420562794	6.30921352731605	8.26785374646172	8.18793951737495	8.09822714072304	7.75370555573606	6.18897810944376	6.84202945683765	8.97583990484736	7.80707657950303	5.9606824139344	6.72341225443875	5.87089908774829	7.28655505471133	8.02271206030144	8.91700628789646	5.70135712018007	7.02581694657681
678619	5.38789434667326	5.52071763250976	5.30003415221087	3.66437756131793	5.43526212800061	6.47359763654332	3.8670500145564	3.58329518843748	5.68305815561952	4.10663686136193	2.59144860426868	5.74202793260609	5.87089908774829	4.83338242654571	3.06851574991457	4.84265894643638	3.91708581123551	5.46708598742884
368410	8.6806760959011	7.10568013323092	7.75173012206856	8.0566949840967	9.03352145133522	6.789625129991	6.18897810944376	7.54412459115681	8.49041307767712	8.16774837566532	8.20615844838389	7.37548895101844	5.87089908774829	7.80738721801277	7.31644326335815	7.85646474596141	7.12220024114012	7.77333246008393
368688	4.28835867312234	5.23121101531478	5.11946190656905	6.47173248337554	5.0726920486159	6.92497698288588	7.95451285580674	6.13349227099796	3.36113006073216	7.25168719416522	4.70692582168862	5.74202793260609	5.87089908774829	5.39526131415383	3.06851574991457	6.00020022342286	7.56733977220838	6.56141336997699
368686	3.8029318459521	5.96817660948098	2.79753381168169	3.66437756131793	6.65765454933706	4.02881279387042	6.18897810944376	6.20220502108198	6.82056167936945	5.69159936208309	3.32841419843489	5.21151321590731	5.87089908774829	6.46343281679541	3.06851574991457	3.94957415035289	7.68967531513244	3.06498754385749
30726	7.54709294152251	8.29010470436834	1.21257131096053	3.66437756131793	9.1357018461417	0.858887792428111	8.62193751671986	6.26779336270955	3.36113006073216	6.4285649562493	1.00648610354753	7.7695086690282	5.87089908774829	0.441065003766951	3.06851574991457	1.14221922829529	8.50871204223767	7.02581694657681
368631	5.56846659231508	2.06128601387246	5.30003415221087	3.66437756131793	6.51326464000188	5.90328191178656	3.8670500145564	6.39065011049509	3.36113006073216	6.74604714610547	6.93722344111041	6.43390563724376	5.87089908774829	6.41834492726687	5.39044384480193	4.84265894643638	4.83462365104353	4.90148881157461
393929	8.08091659325187	7.19056903081743	6.49797352982278	3.66437756131793	8.37386158333646	8.17177074771247	8.11497752799998	7.21888376222861	7.26802065634067	8.08567724272629	7.51428074374622	8.3453689626421	9.57133880588938	8.36587750737273	7.31644326335815	8.50854144254111	7.34707365198032	7.83506144983564
327216	7.15342909303623	6.58484796992948	7.18985123446045	8.30823375109266	8.14798017592014	6.64024750595277	8.11497752799998	6.7532201898798	6.53105506217447	7.4174243986441	8.16635744032592	7.11483719649564	8.19282718263565	6.74484575194405	3.06851574991457	7.25074368507346	7.31701641812414	6.18836995936277
567899	7.54709294152251	5.52071763250976	8.43173983142269	3.66437756131793	6.51326464000188	6.14429001129036	6.674404936614	6.44836560835138	3.36113006073216	4.49365998447118	2.59144860426868	5.31460670887142	5.87089908774829	5.19595250593042	6.76895546805566	7.58516272414402	4.65405140540171	3.71706424043719
368885	6.43520006145161	7.48755076857456	6.25696543031899	7.75184040256827	2.26533712655829	6.74153084178995	7.95451285580674	4.86340310763022	4.94609256145331	6.23908715738558	5.09394894479787	7.63653480375878	5.87089908774829	6.22242471729161	7.82340325207803	7.20830841875306	7.5415766761433	7.57051557708424
558950	1.48100375106474	3.64624851459362	7.3210957677387	7.75184040256827	2.26533712655829	5.1068153058717	3.8670500145564	3.09786836126724	4.94609256145331	0.406197143220842	2.59144860426868	3.62655071518616	5.87089908774829	5.99565385544459	3.06851574991457	5.22968206954563	6.30174966147083	5.11561361692746
100148193	7.89039468720244	4.38321410875983	6.25696543031899	8.94977978018018	7.12331812168587	6.53131313439961	8.62193751671986	4.47637998452097	7.4485929019825	6.78123657456777	1.00648610354753	0.456625713743845	5.87089908774829	0.441065003766951	7.92649674504214	1.14221922829529	0.747160809793195	6.36615707857806
368635	4.28835867312234	2.06128601387246	4.01992623301814	3.66437756131793	2.26533712655829	0.858887792428111	3.8670500145564	5.4197964561546	3.36113006073216	0.406197143220842	1.00648610354753	4.54408855499418	5.87089908774829	3.90049662240425	4.65347825063572	1.14221922829529	2.33212331051435	5.11561361692746
492339	6.52539787042319	5.96817660948098	7.09521436032237	3.66437756131793	8.04669684008295	8.07805631289027	8.91144413391485	7.51740725278103	5.68305815561952	7.06440862597264	7.31026685172463	6.68544440423973	8.67825400980589	7.95676484205099	6.76895546805566	7.33204378717531	7.75838806521645	7.77333246008393
799482	6.61028676800971	6.45360343665122	5.85642750073526	3.66437756131793	5.43526212800061	5.98817080937308	7.32648163319369	5.90522328332485	3.36113006073216	6.07862248519234	5.25441361699111	2.041588214465	9.0408240891906	6.32370805312879	3.06851574991457	5.89710673045876	5.27072276585021	4.90148881157461
