	H4	H5	H6	H1	H2	H3	G10	G11	G12	G7	G8	G9	G4	G5	G6	G1	G2	G3
100000006	0	0	34	0	0	0	5	0	0	2	8	0	0	4	11	3	5	0
100000009	16	24	27	10	7	26	43	5	0	9	69	69	4	58	33	24	19	16
100000026	5	3	13	3	0	8	12	3	1	2	8	5	8	13	4	7	1	0
100000044	0	0	5	0	7	3	21	0	0	0	13	10	0	0	14	18	6	0
100000073	63	50	105	61	67	64	127	27	6	48	213	91	5	92	131	46	29	8
100000079	7	16	54	27	51	37	156	28	9	160	64	92	44	223	137	109	24	4
100000083	27	15	31	21	27	32	39	8	0	4	33	26	3	27	34	34	10	3
100000085	2	2	11	11	16	66	60	0	0	19	3	29	19	120	23	220	8	0
100000094	0	0	19	33	22	20	84	15	2	5	33	69	8	78	37	15	8	10
100000095	7	5	13	3	0	2	0	1	0	0	21	13	10	7	0	5	11	2
100000097	2	22	9	5	0	1	48	0	2	0	7	5	0	10	12	11	3	0
100000101	7	0	9	3	2	18	4	0	0	8	10	1	0	11	6	0	15	3
100000104	1	0	0	4	0	2	25	0	2	0	8	0	0	3	0	15	2	0
100000119	3	41	16	6	6	2	41	5	0	19	18	16	2	19	60	3	1	4
100000122	17	28	40	35	33	26	53	34	10	17	59	44	14	66	38	65	16	7
100000125	134	143	210	101	163	161	428	95	33	22	217	231	30	186	202	76	138	20
100000126	4	0	4	0	5	7	22	14	2	10	6	13	1	5	6	0	0	0
100000131	15	0	12	18	0	6	60	2	4	0	48	14	0	37	25	41	4	0
100000133	11	4	5	0	0	2	6	0	0	16	8	0	3	27	6	15	8	0
100000135	3	29	55	11	13	1	48	0	4	22	19	31	0	53	31	74	19	17
100000140	0	32	2	0	3	5	3	0	15	0	0	0	0	2	0	13	0	0
100000148	0	0	3	0	3	18	10	16	0	8	0	0	0	5	1	0	0	0
100000151	35	50	103	33	80	56	143	8	14	29	128	40	11	52	129	110	28	17
100000156	1	3	0	5	5	0	13	6	0	2	3	0	1	22	0	7	5	0
100000160	66	35	241	39	131	100	158	25	20	73	279	138	10	306	138	131	68	25
100000165	121	99	268	94	173	231	503	62	46	134	552	203	44	249	251	157	93	29
100000175	52	30	155	137	131	136	418	36	34	49	382	120	32	48	145	39	53	11
100000190	72	38	84	74	64	81	165	13	13	43	137	75	61	127	120	128	64	8
100000219	4	0	3	2	17	0	11	2	0	6	12	21	0	9	20	11	2	4
100000223	16	5	48	16	31	6	126	7	0	59	73	59	19	130	23	123	36	0
100000230	84	61	352	140	134	137	550	47	37	194	184	192	151	768	327	415	225	60
100000242	19	30	49	37	45	53	108	32	13	27	106	44	10	150	43	92	52	18
100000252	128	84	222	240	348	123	897	158	85	224	307	176	36	288	181	141	225	51
100000256	108	33	184	73	99	111	376	22	17	81	227	48	32	112	198	72	51	1
100000277	4	33	78	51	28	40	132	24	11	44	196	57	4	78	56	46	39	10
100000285	0	0	1	5	9	2	11	0	0	0	8	11	0	2	0	9	32	2
100000303	26	68	102	31	142	35	123	7	12	59	44	66	3	141	61	209	40	1
100000319	0	0	3	0	2	3	6	0	0	2	1	5	0	0	3	0	0	0
100000322	0	3	9	4	0	2	7	0	0	16	1	0	2	34	0	0	0	0
100000325	1	16	11	22	0	1	15	12	0	0	14	45	7	18	6	0	16	5
100000326	2	2	15	27	21	0	35	3	0	9	7	1	0	14	22	6	0	1
100000333	4	0	6	6	9	2	16	3	0	0	31	5	4	16	16	5	1	0
100000341	37	90	265	70	97	97	270	61	19	106	261	127	53	302	221	237	107	28
100000342	79	127	398	293	132	130	394	42	68	98	298	170	31	187	187	166	68	34
100000353	49	42	57	48	92	74	90	19	16	42	178	93	4	60	56	79	15	6
100000374	39	4	45	9	10	19	52	5	2	23	79	26	8	38	85	23	44	0
100000381	0	1	16	0	9	4	13	0	0	0	0	0	13	12	8	7	10	0
100000398	2	12	17	10	73	5	9	4	2	12	39	18	17	27	3	17	1	5
100000399	6	0	4	12	6	6	34	0	0	18	12	20	9	34	4	29	6	0
