G6,Counts
ENSDARG00000000001,14
ENSDARG00000000002,67
ENSDARG00000000018,62
ENSDARG00000000019,144
ENSDARG00000000068,12
ENSDARG00000000069,69
ENSDARG00000000086,406
ENSDARG00000000103,582
ENSDARG00000000142,6
ENSDARG00000000151,69
ENSDARG00000000161,54
ENSDARG00000000175,12
ENSDARG00000000183,374
ENSDARG00000000189,429
ENSDARG00000000212,385
ENSDARG00000000229,48
ENSDARG00000000241,70
ENSDARG00000000349,0
ENSDARG00000000369,5
ENSDARG00000000370,481
ENSDARG00000000380,85
ENSDARG00000000394,248
ENSDARG00000000423,27
ENSDARG00000000442,16
ENSDARG00000000460,0
ENSDARG00000000472,68
ENSDARG00000000474,0
ENSDARG00000000476,43
ENSDARG00000000489,50
ENSDARG00000000503,1366
ENSDARG00000000516,1
ENSDARG00000000529,52
ENSDARG00000000540,41
ENSDARG00000000542,2
ENSDARG00000000551,88
ENSDARG00000000563,47308
ENSDARG00000000567,50
ENSDARG00000000568,24
ENSDARG00000000588,22
ENSDARG00000000606,0
ENSDARG00000000631,125
ENSDARG00000000638,0
ENSDARG00000000651,4
ENSDARG00000000656,0
ENSDARG00000000666,69
ENSDARG00000000690,0
ENSDARG00000000729,141
ENSDARG00000000730,16
ENSDARG00000000747,0
ENSDARG00000000760,6
ENSDARG00000000767,17
ENSDARG00000000779,52
ENSDARG00000000796,27
ENSDARG00000000804,0
ENSDARG00000000830,35
ENSDARG00000000837,64
ENSDARG00000000853,100
ENSDARG00000000857,31
ENSDARG00000000861,933
ENSDARG00000000887,6
ENSDARG00000000906,0
ENSDARG00000000935,38
ENSDARG00000000943,149
ENSDARG00000000966,873
ENSDARG00000001014,560
ENSDARG00000001015,153
ENSDARG00000001057,56
ENSDARG00000001127,146
ENSDARG00000001129,323
ENSDARG00000001154,111
ENSDARG00000001162,176
ENSDARG00000001169,2
ENSDARG00000001210,32
ENSDARG00000001220,449
ENSDARG00000001234,55
ENSDARG00000001241,84
ENSDARG00000001244,563
ENSDARG00000001249,14
ENSDARG00000001259,3
ENSDARG00000001303,0
ENSDARG00000001313,14
ENSDARG00000001354,1
ENSDARG00000001414,17
ENSDARG00000001431,1179
ENSDARG00000001437,35
ENSDARG00000001442,42
ENSDARG00000001447,21
ENSDARG00000001452,24
ENSDARG00000001463,87
ENSDARG00000001470,42
ENSDARG00000001498,0
ENSDARG00000001549,72
ENSDARG00000001557,64
ENSDARG00000001558,68
ENSDARG00000001559,614
ENSDARG00000001572,0
ENSDARG00000001578,40
ENSDARG00000001621,26
