#NAME	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12
#CLASS:DOSE	10000	10000	10000	1000	1000	1000	100	100	100	10	10	10	1	1	1	0	0	0
ENSDARG00000000001	24	19	2	0	18	0	0	0	24	0	1	7	3	0	0	0	17	4
ENSDARG00000000002	48	56	140	3	121	6	51	61	42	0	65	1	6	9	33	31	22	39
ENSDARG00000000018	29	30	77	0	53	28	93	45	58	5	75	7	10	6	57	23	40	28
ENSDARG00000000019	162	223	252	12	236	25	218	135	205	9	163	18	20	78	164	93	109	142
ENSDARG00000000068	0	74	30	0	39	0	32	38	41	8	12	12	16	2	22	9	26	23
ENSDARG00000000069	130	577	539	30	395	36	287	144	313	10	182	13	12	66	147	67	78	55
ENSDARG00000000086	244	298	445	27	335	37	462	288	337	53	305	47	34	98	287	170	135	277
ENSDARG00000000103	362	447	827	15	674	113	577	380	483	52	514	93	46	209	536	235	244	433
ENSDARG00000000142	5	22	4	0	6	3	8	0	6	0	4	6	0	1	9	11	4	52
ENSDARG00000000151	30	19	84	4	96	38	115	50	77	2	62	5	8	10	48	80	10	85
ENSDARG00000000161	115	38	106	0	53	6	140	39	59	7	52	19	5	31	32	29	20	41
ENSDARG00000000175	10	7	39	3	22	0	28	14	9	0	19	0	0	7	20	3	21	12
ENSDARG00000000183	192	331	249	14	238	51	232	130	185	28	291	40	33	30	247	139	93	84
ENSDARG00000000189	159	183	411	7	250	16	308	270	325	11	215	63	10	83	191	224	103	239
ENSDARG00000000212	341	604	983	29	909	69	1011	542	967	79	806	54	71	204	730	347	178	268
ENSDARG00000000229	109	15	54	0	57	15	84	15	38	2	33	24	11	28	59	26	9	66
ENSDARG00000000241	146	118	154	7	107	18	100	105	150	5	76	8	9	37	134	68	32	59
ENSDARG00000000349	0	5	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSDARG00000000369	6	4	18	0	10	0	6	1	19	0	3	2	0	4	24	7	5	8
ENSDARG00000000370	211	240	481	10	410	43	343	326	363	15	395	28	66	104	209	158	128	194
ENSDARG00000000380	52	41	91	0	82	9	108	73	60	2	54	17	10	54	30	73	16	46
ENSDARG00000000394	125	168	245	5	223	41	245	145	271	19	166	39	26	60	138	143	129	179
ENSDARG00000000423	14	56	39	0	15	0	57	6	19	8	20	0	3	3	33	3	4	7
ENSDARG00000000442	3	61	3	0	32	0	19	2	13	2	21	5	0	10	4	2	7	1
ENSDARG00000000460	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSDARG00000000472	0	108	54	0	0	0	32	0	79	13	22	0	0	58	0	33	37	0
ENSDARG00000000474	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0
ENSDARG00000000476	6	8	12	0	31	2	40	30	31	0	24	0	0	9	16	8	0	8
ENSDARG00000000489	82	48	95	6	121	9	102	45	118	9	43	7	0	34	79	48	17	19
ENSDARG00000000503	629	729	1546	20	1403	354	1440	976	1271	92	647	148	284	265	752	480	486	685
ENSDARG00000000516	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000000529	34	47	30	2	39	0	64	71	50	9	31	4	12	29	27	25	11	31
ENSDARG00000000540	57	99	81	0	110	21	82	96	95	1	85	16	20	17	105	49	30	56
ENSDARG00000000542	43	7	5	0	13	6	8	1	14	3	25	0	0	9	19	33	5	74
ENSDARG00000000551	33	55	79	0	27	13	28	8	72	8	8	1	8	0	29	15	21	16
ENSDARG00000000563	54341	83253	98691	2084	86676	15387	67169	59710	86060	7145	58024	11950	10065	23994	51805	43748	27694	55296
ENSDARG00000000567	138	54	129	0	184	20	110	80	67	10	174	7	42	30	108	54	34	79
ENSDARG00000000568	53	36	69	0	53	10	88	47	70	0	78	13	14	38	52	65	21	47
ENSDARG00000000588	8	23	14	0	23	0	0	1	4	0	2	1	8	0	9	0	1	34
ENSDARG00000000606	0	0	34	0	0	14	41	0	0	13	6	8	19	14	25	42	2	16
ENSDARG00000000631	58	61	131	0	155	10	222	194	96	8	123	31	11	42	63	54	44	68
ENSDARG00000000638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000000651	0	1	14	0	5	1	0	0	8	0	12	0	0	0	0	3	0	3
ENSDARG00000000656	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ENSDARG00000000666	36	64	91	3	91	6	50	39	37	16	53	2	0	27	74	16	7	29
ENSDARG00000000690	13	11	12	4	29	0	25	9	1	5	17	0	0	4	17	17	10	12
ENSDARG00000000729	92	43	137	0	177	5	58	65	104	38	77	6	1	39	75	99	52	33
ENSDARG00000000730	12	30	66	1	20	0	67	18	31	0	25	3	0	11	12	5	8	4
ENSDARG00000000747	0	0	29	0	0	0	6	0	19	5	0	0	6	0	1	0	3	0
ENSDARG00000000760	26	33	28	0	21	8	59	22	21	2	17	7	5	14	33	18	6	8
ENSDARG00000000767	15	7	13	0	12	0	25	25	25	2	15	0	0	8	1	19	6	5
ENSDARG00000000779	155	194	146	16	236	44	180	121	201	43	147	7	20	34	107	85	54	64
ENSDARG00000000796	43	37	58	5	44	3	50	32	115	3	74	1	0	11	27	11	40	13
ENSDARG00000000804	5	12	20	0	8	0	25	20	16	1	8	2	0	1	3	31	21	13
ENSDARG00000000830	21	0	5	0	13	0	43	28	14	0	27	0	6	0	16	3	0	21
ENSDARG00000000837	124	120	208	4	93	25	87	73	211	26	127	53	7	37	55	63	38	94
ENSDARG00000000853	82	86	145	0	88	18	87	49	113	3	94	16	7	25	84	42	43	32
ENSDARG00000000857	35	13	37	0	14	3	11	10	42	0	55	4	0	1	23	0	9	24
ENSDARG00000000861	320	389	1445	29	503	196	1078	353	1125	121	1090	35	54	190	349	691	325	434
ENSDARG00000000887	6	24	8	3	0	0	24	0	19	0	1	0	0	0	3	1	0	2
ENSDARG00000000906	5	30	17	0	1	4	1	3	0	0	16	0	19	0	3	8	0	3
ENSDARG00000000935	258	18	73	0	29	13	267	100	40	1	17	8	3	10	21	16	138	243
ENSDARG00000000943	89	72	111	0	90	11	103	84	78	3	42	25	0	29	106	22	50	90
ENSDARG00000000966	619	807	1048	29	1059	185	1120	805	965	89	806	167	109	326	768	505	386	605
ENSDARG00000001014	597	817	1043	28	980	139	883	547	850	83	769	66	85	201	775	328	232	468
ENSDARG00000001015	189	129	233	2	153	16	362	114	146	4	137	10	14	52	129	137	43	135
ENSDARG00000001057	46	73	140	6	113	16	76	35	77	9	109	11	6	34	65	57	29	20
ENSDARG00000001127	148	51	145	2	145	13	80	131	128	6	123	42	5	50	124	64	43	110
ENSDARG00000001129	311	298	448	12	358	107	318	221	328	18	317	40	50	143	288	153	147	243
