H2,Counts
ENSDARG00000000001,8
ENSDARG00000000002,22
ENSDARG00000000018,43
ENSDARG00000000019,116
ENSDARG00000000068,14
ENSDARG00000000069,101
ENSDARG00000000086,449
ENSDARG00000000103,343
ENSDARG00000000142,4
ENSDARG00000000151,153
ENSDARG00000000161,42
ENSDARG00000000175,33
ENSDARG00000000183,208
ENSDARG00000000189,91
ENSDARG00000000212,268
ENSDARG00000000229,27
ENSDARG00000000241,33
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,247
ENSDARG00000000380,78
ENSDARG00000000394,240
ENSDARG00000000423,3
ENSDARG00000000442,5
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,28
ENSDARG00000000489,4
ENSDARG00000000503,888
ENSDARG00000000516,0
ENSDARG00000000529,34
ENSDARG00000000540,52
ENSDARG00000000542,0
ENSDARG00000000551,5
ENSDARG00000000563,26074
ENSDARG00000000567,121
ENSDARG00000000568,27
ENSDARG00000000588,1
ENSDARG00000000606,24
ENSDARG00000000631,885
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,17
ENSDARG00000000690,13
ENSDARG00000000729,37
ENSDARG00000000730,6
ENSDARG00000000747,0
ENSDARG00000000760,27
ENSDARG00000000767,1
ENSDARG00000000779,86
ENSDARG00000000796,27
ENSDARG00000000804,2
ENSDARG00000000830,8
ENSDARG00000000837,15
ENSDARG00000000853,90
ENSDARG00000000857,5
ENSDARG00000000861,198
ENSDARG00000000887,0
ENSDARG00000000906,4
ENSDARG00000000935,26
ENSDARG00000000943,55
ENSDARG00000000966,698
ENSDARG00000001014,214
ENSDARG00000001015,88
ENSDARG00000001057,33
ENSDARG00000001127,67
ENSDARG00000001129,155
ENSDARG00000001154,84
ENSDARG00000001162,184
ENSDARG00000001169,8
ENSDARG00000001210,3
ENSDARG00000001220,205
ENSDARG00000001234,70
ENSDARG00000001241,122
ENSDARG00000001244,396
ENSDARG00000001249,9
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,10
ENSDARG00000001354,1
ENSDARG00000001414,0
ENSDARG00000001431,556
ENSDARG00000001437,64
ENSDARG00000001442,5
ENSDARG00000001447,13
ENSDARG00000001452,5
ENSDARG00000001463,125
ENSDARG00000001470,16
ENSDARG00000001498,0
ENSDARG00000001549,438
ENSDARG00000001557,8
ENSDARG00000001558,65
ENSDARG00000001559,210
ENSDARG00000001572,0
ENSDARG00000001578,40
