.id,term,df,sumsq,meansq,statistic,p.value,adj.p.value
1-Decanol,Hatch.Rate,1,0.21523978560439838,0.21523978560439838,1.5669531669605576,0.22864169993187408,0.8079540522201063
1-Decanol,Residuals,16,2.197791639395602,0.13736197746222512,NA,NA,NA
1-Octanol,Hatch.Rate,1,0.6913665567375373,0.6913665567375373,0.04597391322363642,0.8329320395958462,0.932883884347348
1-Octanol,Residuals,16,240.61177594326247,15.038235996453905,NA,NA,NA
17betaestradiol,Hatch.Rate,1,0.0014563662400000033,0.0014563662400000033,1.0276930964877895,0.3257868244726785,0.8292755532031816
17betaestradiol,Residuals,16,0.02267394801,0.001417121750625,NA,NA,NA
24-DMP,Hatch.Rate,1,0.01015879621951234,0.01015879621951234,0.0676443426777434,0.7981152865027766,0.932883884347348
24-DMP,Residuals,16,2.402872628780488,0.1501795392987805,NA,NA,NA
24-DNP,Hatch.Rate,1,243.09147088788734,243.09147088788734,657.1081917866638,3.3531295788345486e-16,9.388762820736736e-15
24-DNP,Residuals,19,7.028885052112354,0.36994131853222917,NA,NA,NA
34-DCA,Hatch.Rate,1,2.2739189999205562,2.2739189999205562,190.0897319969417,2.401549472895943e-11,3.36216926205432e-10
34-DCA,Residuals,19,0.22728455947944454,0.011962345235760239,NA,NA,NA
4-TPP,Hatch.Rate,1,0.1638520037878803,0.1638520037878803,1.1655948991358118,0.29631484195106284,0.8292755532031816
4-TPP,Residuals,16,2.24917942121212,0.1405737138257575,NA,NA,NA
4C3MP,Hatch.Rate,1,0.006913665567375359,0.006913665567375359,0.04597391322363631,0.8329320395958464,0.932883884347348
4C3MP,Residuals,16,2.4061177594326253,0.15038235996453908,NA,NA,NA
4TOP,Hatch.Rate,1,2.935606438791015e-6,2.935606438791015e-6,0.0019467387532872695,0.9653532298922309,0.9653532298922309
4TOP,Residuals,16,0.02412737864356121,0.0015079611652225756,NA,NA,NA
Aniline,Hatch.Rate,1,7.250113390225495,7.250113390225495,0.4956219309992406,0.49155001147237043,0.932883884347348
Aniline,Residuals,16,234.0530291097745,14.628314319360907,NA,NA,NA
BPA,Residuals,17,2.4130314250000007,0.14194302500000003,NA,NA,NA
BPAF,Hatch.Rate,1,0.04318731820415176,0.04318731820415176,0.2915791335324127,0.596646687624176,0.932883884347348
BPAF,Residuals,16,2.369844106795849,0.14811525667474057,NA,NA,NA
Clofibric-acid,Hatch.Rate,1,28.952940332417267,28.952940332417267,2.1815239194031495,0.1590879782443128,0.7463627479879156
Clofibric-acid,Residuals,16,212.35020216758275,13.271887635473922,NA,NA,NA
DES,Hatch.Rate,1,1897.4665626164403,1897.4665626164403,1.3655230058132002,0.25969951678503417,0.8079540522201063
DES,Residuals,16,22232.847687383553,1389.552980461472,NA,NA,NA
