Dose (mg/L),Dose,Replicate,Alive,Hatched,Deformed,Survival Rate,Deformity Rate,Hatch Rate,Affected Rate
1,Dose_1,A,17,17,0,0.85,0,0.85,0.15
1,Dose_1,B,14,14,0,0.7,0,0.7,0.3
1,Dose_1,C,18,18,0,0.9,0,0.9,0.1
0.1,Dose_2,A,18,18,0,0.9,0,0.9,0.1
0.1,Dose_2,B,16,16,0,0.8,0,0.8,0.2
0.1,Dose_2,C,13,13,0,0.65,0,0.65,0.35
0.01,Dose_3,A,20,20,0,1,0,1,0
0.01,Dose_3,B,16,16,0,0.8,0,0.8,0.2
0.01,Dose_3,C,19,19,1,0.95,0.05,0.95,0.1
0.001,Dose_4,A,16,16,0,0.8,0,0.8,0.2
0.001,Dose_4,B,14,14,0,0.7,0,0.7,0.3
0.001,Dose_4,C,16,16,0,0.8,0,0.8,0.2
0.0001,Dose_5,A,19,19,1,0.95,0.05,0.95,0.1
0.0001,Dose_5,B,15,15,0,0.75,0,0.75,0.25
0.0001,Dose_5,C,19,19,0,0.95,0,0.95,0.05
0,Control,A,16,16,1,0.8,0.05,0.8,0.25
0,Control,B,17,17,0,0.85,0,0.85,0.15
0,Control,C,14,14,0,0.7,0,0.7,0.3
