Dose (mg/L),Replicate,Dose,Alive,Hatched,Deformed,Survival Rate,Deformity Rate,Hatch Rate,Affected Rate
1,A,Dose_1,16,16,0,0.8,0,0.8,0.2
1,B,Dose_1,13,13,0,0.65,0,0.65,0.35
1,C,Dose_1,19,19,0,0.95,0,0.95,0.05
0.1,A,Dose_2,18,18,0,0.9,0,0.9,0.1
0.1,B,Dose_2,17,17,0,0.85,0,0.85,0.15
0.1,C,Dose_2,18,18,0,0.9,0,0.9,0.1
0.01,A,Dose_3,18,18,1,0.9,0.05,0.9,0.15
0.01,B,Dose_3,17,17,0,0.85,0,0.85,0.15
0.01,C,Dose_3,18,18,0,0.9,0,0.9,0.1
0.001,A,Dose_4,18,18,0,0.9,0,0.9,0.1
0.001,B,Dose_4,18,18,0,0.9,0,0.9,0.1
0.001,C,Dose_4,18,18,0,0.9,0,0.9,0.1
0.0001,A,Dose_5,19,19,0,0.95,0,0.95,0.05
0.0001,B,Dose_5,18,18,0,0.9,0,0.9,0.1
0.0001,C,Dose_5,16,16,0,0.8,0,0.8,0.2
0,A,Control,15,15,0,0.75,0,0.75,0.25
0,B,Control,16,16,0,0.8,0,0.8,0.2
0,C,Control,17,17,0,0.85,0,0.85,0.15
