Dose (mg/L),Replicate,Dose,Alive,Hatched,Deformed,Survival Rate,Deformity Rate,Hatch Rate,Affected Rate
0.1,A,Dose_1,12,12,0,0.6,0,0.6,0.4
0.1,B,Dose_1,15,15,1,0.75,0.05,1,0.3
0.1,C,Dose_1,13,12,1,0.65,0.05,0.6,0.4
0.01,A,Dose_2,14,14,2,0.7,0.1,0.7,0.4
0.01,B,Dose_2,15,15,0,0.75,0,0.75,0.25
0.01,C,Dose_2,13,13,2,0.65,0.1,0.65,0.45
0.001,A,Dose_3,11,11,2,0.55,0.1,1,0.55
0.001,B,Dose_3,16,16,1,0.8,0.05,0.8,0.25
0.001,C,Dose_3,14,14,2,0.7,0.1,0.7,0.4
0.0001,A,Dose_4,15,15,0,0.75,0,0.75,0.25
0.0001,B,Dose_4,15,15,0,0.75,0,0.75,0.25
0.0001,C,Dose_4,16,16,2,0.8,0.1,0.8,0.3
0.00001,A,Dose_5,14,14,0,0.7,0,0.7,0.3
0.00001,B,Dose_5,16,16,0,0.8,0,0.8,0.2
0.00001,C,Dose_5,12,12,2,0.6,0.1,0.6,0.5
0,A,Control,17,17,1,0.85,0.05,0.85,0.2
0,B,Control,15,15,0,0.75,0,0.75,0.25
0,C,Control,14,14,1,0.7,0.05,0.7,0.35
