Chemical,term,contrast,null.value,estimate,conf.low,conf.high,adj.p.value
1-Decanol,as.factor(Dose..mg.L.),1e-04-0,0,-0.016666666666666677,-0.24773840090716132,0.21440506757382793,1
1-Decanol,as.factor(Dose..mg.L.),0.001-0,0,0,-0.23107173424049463,0.23107173424049463,1
1-Decanol,as.factor(Dose..mg.L.),0.01-0,0,0.03333333333333334,-0.19773840090716127,0.264405067573828,1
1-Decanol,as.factor(Dose..mg.L.),0.1-0,0,0.06666666666666667,-0.16440506757382795,0.2977384009071613,1
1-Decanol,as.factor(Dose..mg.L.),1-0,0,-0.04999999999999993,-0.2810717342404946,0.1810717342404947,1
1-Decanol,as.factor(Dose..mg.L.),0.001-1e-04,0,0.016666666666666677,-0.21440506757382793,0.24773840090716132,1
1-Decanol,as.factor(Dose..mg.L.),0.01-1e-04,0,0.05000000000000002,-0.1810717342404946,0.28107173424049464,1
1-Decanol,as.factor(Dose..mg.L.),0.1-1e-04,0,0.08333333333333334,-0.14773840090716128,0.31440506757382797,1
1-Decanol,as.factor(Dose..mg.L.),1-1e-04,0,-0.03333333333333326,-0.26440506757382787,0.19773840090716138,1
1-Decanol,as.factor(Dose..mg.L.),0.01-0.001,0,0.03333333333333334,-0.19773840090716127,0.264405067573828,1
1-Decanol,as.factor(Dose..mg.L.),0.1-0.001,0,0.06666666666666667,-0.16440506757382795,0.2977384009071613,1
1-Decanol,as.factor(Dose..mg.L.),1-0.001,0,-0.04999999999999993,-0.2810717342404946,0.1810717342404947,1
1-Decanol,as.factor(Dose..mg.L.),0.1-0.01,0,0.033333333333333326,-0.1977384009071613,0.264405067573828,1
1-Decanol,as.factor(Dose..mg.L.),1-0.01,0,-0.08333333333333327,-0.3144050675738279,0.14773840090716134,1
1-Decanol,as.factor(Dose..mg.L.),1-0.1,0,-0.1166666666666666,-0.34773840090716124,0.11440506757382803,1
1-Decanol,as.factor(Replicate),B-A,0,0.024999999999999967,-0.10395639000823095,0.1539563900082309,1
1-Decanol,as.factor(Replicate),C-A,0,-0.033333333333333326,-0.16228972334156425,0.0956230566748976,1
1-Decanol,as.factor(Replicate),C-B,0,-0.05833333333333329,-0.1872897233415642,0.07062305667489763,1
1-Octanol,as.factor(Dose..mg.L.),0.001-0,0,-0.09999999999999995,-0.3588859614653136,0.15888596146531367,1
1-Octanol,as.factor(Dose..mg.L.),0.01-0,0,5.551115123125783e-17,-0.25888596146531356,0.2588859614653137,1
1-Octanol,as.factor(Dose..mg.L.),0.1-0,0,-0.13333333333333325,-0.39221929479864687,0.12555262813198037,1
