Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill					
ENSDARG00000098612	Exp 4		null	null	3.36E-05	5.44E-07	8.13E-04	0.4021	222.6356	-437.2712	-1	61.75274487	TRUE	2.61E-06	3612.43	0.270422		
ENSDARG00000045854	Linear		null	null	0.822633	0.575106	1.40699	0.4962	232.375452	-458.750904	1	1.430402395	TRUE	3.95E-07	1.38E-07			
ENSDARG00000093557	Exp 4		null	null	0.0543387	0.00715133	30000	1.00E-04	229.3047	-450.6094	-1	7.598404772	TRUE	5.90E-07	37.4485	0.728528		
ENSDARG00000045708	Exp 4		null	null	0.175839	4.71E-04	30000	0.2405	206.7104	-405.4208	1	373.3415147	TRUE	1.80E-06	4.75471	1.61707		
ENSDARG00000092161	Linear		null	null	2.21524	1.19172	15.2966	0.01499	230.650042	-455.300084	-1	1.858859464	TRUE	6.21E-07	-5.75E-08			
ENSDARG00000093983	Hill		null	null	0.00274294	1.74E-06	90000	0.05083	230.842132	-453.684265	1	1577.15462	0	4.17E-07	2.62E-07	18	0.00275509	TRUE
ENSDARG00000020749	Exp 4		null	null	0.00305594	7.40E-04	0.0262298	0.9456	221.6005	-435.201	1	4.12715005	TRUE	4.84E-07	140.361	2.37857		
ENSDARG00000088082	Linear		null	null	3.23603	1.46338	90000	0.1009	218.046439	-430.092878	-1	2.211339502	TRUE	1.03E-06	-9.11E-08			
ENSDARG00000069555	Exp 4		null	null	9.01E-04	8.02E-05	0.007825	0.3885	227.0826	-446.1653	1	11.22852641	TRUE	3.46E-07	435.44	2.43979		
ENSDARG00000113564	Exp 2		null	null	1.28846	0.933244	2.21248	0.3411	219.085	-432.1699	1	1.380625003	TRUE	1	9.72E-07	0.193591		
ENSDARG00000095998	Hill		null	null	3.18E-04	3.18E-04	3.18E-04	0.007749	228.674817	-447.349633	-1	1.000006296	0	7.44E-07	-2.73E-07	1.00014	3.00E-04	TRUE
