Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL				
ENSDARG00000104839	Linear		null	null	0.915721	0.629764	1.63694	0.4287	182.579153	-359.158305	-1	1.454070096	TRUE	3.17E-05	-3.43E-06	
ENSDARG00000099821	Poly 2		null	null	0.387788	0.142937	2.97595	0.01854	217.260356	-426.520711	1	2.712999433	TRUE	1.57E-06	9.58E-07	-4.03E-07
ENSDARG00000032242	Poly 2		null	null	0.220358	0.110287	2.59345	0.728	206.908545	-405.81709	-1	1.998041474	TRUE	4.50E-06	-3.09E-06	1.28E-06
ENSDARG00000022550	Exp 2		null	null	1.63047	1.0838	3.81755	0.3703	215.0146	-424.0292	1	1.504401181	TRUE	1	1.72E-06	0.116906
ENSDARG00000004904	Poly 2		null	null	0.657734	0.161784	2.3475	0.1446	183.273068	-358.546135	1	4.065507096	TRUE	2.68E-05	7.05E-06	-3.80E-06
ENSDARG00000016815	Exp 2		null	null	1.93113	1.22106	6.17274	0.1863	221.6938	-437.3877	1	1.581519336	TRUE	1	9.97E-07	0.108033
ENSDARG00000073959	Exp 4		null	null	0.168632	0.0222986	1.15778	0.4306	220.0579	-432.1158	-1	7.562447867	TRUE	1.71E-06	2.52151	0.564511
ENSDARG00000032639	Linear		null	null	0.86409	0.599739	1.50653	0.97	152.32032	-298.640639	-1	1.440776738	TRUE	1.81E-04	-2.73E-05	
ENSDARG00000045516	Linear		null	null	0.889586	0.614655	1.57	0.01153	168.983347	-331.966694	-1	1.447293197	TRUE	6.69E-05	-8.73E-06	
ENSDARG00000087293	Poly 2		null	null	0.0976171	0.0642133	0.19924	1.44E-04	237.828365	-467.656731	-1	1.520200644	TRUE	4.22E-07	-8.35E-07	2.76E-07
ENSDARG00000110787	Linear		null	null	1.99092	1.11622	9.01649	0.273	226.315543	-446.631085	1	1.783626884	TRUE	6.40E-07	8.54E-08	
ENSDARG00000088836	Exp 2		null	null	0.84767	0.503585	1.8917	0.5049	211.2861	-416.5722	-1	1.683270947	TRUE	-1	2.88E-06	0.206389
ENSDARG00000092000	Exp 2		null	null	2.05138	1.28202	7.5025	0.2587	229.7406	-453.4812	1	1.600115443	TRUE	1	5.18E-07	0.113085
ENSDARG00000087645	Exp 2		null	null	1.59306	1.09152	3.41921	0.03467	234.1714	-462.3429	1	1.459487687	TRUE	1	3.64E-07	0.153343
ENSDARG00000115588	Linear		null	null	2.73319	1.34232	90000	0.004185	229.694125	-453.388251	1	2.036168723	TRUE	3.41E-07	4.96E-08	
ENSDARG00000098145	Power		null	null	3.08506	1.81975	30000	7.59E-04	215.802777	-425.605553	1	1.695320786	9.84E-07	5.35E-16	18	TRUE
ENSDARG00000098884	Exp 2		null	null	2.52953	1.48122	36.9085	1.14E-04	224.5569	-443.1137	1	1.707734165	TRUE	1	5.56E-07	0.116844
ENSDARG00000110637	Poly 2		null	null	0.317008	0.132399	2.78141	0.02421	213.495827	-418.991654	-1	2.394338326	TRUE	2.07E-06	-1.43E-06	5.38E-07
ENSDARG00000104887	Exp 2		null	null	1.41923	0.999203	2.69001	0.6396	227.4085	-448.8169	1	1.420362029	TRUE	1	6.00E-07	0.164631
ENSDARG00000105091	Linear		null	null	2.09476	1.15204	11.2769	0.2412	226.463497	-446.926995	-1	1.81830492	TRUE	3.79E-07	-8.03E-08	
ENSDARG00000101514	Exp 4		null	null	0.041791	0.00896102	0.276081	0.0109	226.7428	-445.4856	1	4.663643201	TRUE	8.11E-07	12.422	1.50312
ENSDARG00000089092	Linear		null	null	1.84521	1.06324	6.8448	0.01168	227.901629	-449.803259	1	1.735459539	TRUE	7.03E-07	8.29E-08	
ENSDARG00000104166	Exp 2		null	null	1.16625	0.583751	3.61131	0.07509	208.1169	-410.2337	-1	1.99785525	TRUE	-1	2.40E-06	0.232918
ENSDARG00000102432	Linear		null	null	1.7682	1.03387	5.9913	0.4055	222.59525	-439.1905	1	1.710273052	TRUE	4.15E-07	1.23E-07	
ENSDARG00000104108	Linear		null	null	0.762595	0.538601	1.27029	0.4289	175.988125	-345.976251	-1	1.415881144	TRUE	4.97E-05	-6.39E-06	
ENSDARG00000115070	Exp 4		null	null	0.0451919	1.15E-04	30000	0.01844	232.0051	-456.0102	-1	394.4376075	TRUE	4.90E-07	27.4964	0.666449
