Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill					
ENSDARG00000000068	Exp 4		327272	slc9a3r1a	7.62E-05	1.52E-06	3.68E-04	0.9464	206.237	-404.474	-1	50.05838505	TRUE	4.98E-05	5151.58	0.604012		
ENSDARG00000000380	Hill		368410	pde6a	2.88E-05	2.88E-05	2.88E-05	0.7835	219.772729	-431.545457	1	1.000003472	0	1.96E-05	1.29E-05	1	9.46E-05	TRUE
ENSDARG00000000563	Exp 4		100001684	ttn.1	5.59E-05	4.44E-07	1.63E-04	0.8512	154.6837	-301.3675	1	125.9725413	TRUE	5.46E-04	4671.75	1.89631		
ENSDARG00000001014	Exp 4		561431	myh9b	2.20E-05	9.71E-08	4.26E-05	0.04596	206.5186	-405.0373	-1	226.4650155	TRUE	1.07E-04	6185.82	0.536139		
ENSDARG00000001154	Hill				2.74E-04	2.74E-04	2.74E-04	0.03547	223.520036	-437.040072	1	1.000003645	0	1.66E-05	6.98E-06	6.58756	3.01E-04	TRUE
ENSDARG00000001259	Exp 4		557312	gas2a	2.19E-04	6.75E-07	0.00639197	0.8726	263.8166	-519.6332	-1	323.9368619	TRUE	1.32E-06	2934.91	0.580144		
ENSDARG00000001414	Exp 4		562393	mctp2a	0.230883	0.0241079	30000	6.78E-04	244.7772	-481.5543	-1	9.577068098	TRUE	3.49E-06	4.55841	0.668736		
ENSDARG00000001452	Linear		368917	adam8a	2.92578	1.41392	90000	0.03555	252.227061	-498.454121	-1	2.069268417	TRUE	1.95E-06	-1.70E-07			
ENSDARG00000001686	Exp 4		570547	uckl1a	2.02E-04	5.73E-05	0.00223969	0.7586	252.1984	-496.3967	1	3.527899769	TRUE	3.22E-06	2025.27	1.46106		
ENSDARG00000001760	Exp 4				5.50E-05	6.92E-07	1.74E-04	0.2769	244.9879	-481.9757	-1	79.51522471	TRUE	6.15E-06	5236.33	0.516274		
ENSDARG00000001776	Exp 4		563901	stim2b	1.36E-04	1.27E-06	0.00111384	0.6036	253.443	-498.8859	-1	106.7095985	TRUE	3.25E-06	3530.04	0.624999		
ENSDARG00000001782	Hill		393998	prkacba	1.27E-04	1.27E-04	1.27E-04	0.04324	263.136991	-516.273981	-1	1	0	1.37E-06	-8.48E-07	1.00006	2.58E-04	TRUE
ENSDARG00000001817	Poly 2				0.294312	0.131951	3.03195	5.55E-04	263.372537	-518.745074	-1	2.230464339	TRUE	8.14E-07	-1.01E-06	3.35E-07		
ENSDARG00000001818	Exp 4		566347	c3b.2	1.54E-04	2.83E-06	30000	0.7384	209.0247	-410.0495	-1	54.45144155	TRUE	3.41E-05	4657.96	0.685428		
ENSDARG00000001825	Exp 2		568701	cfap43	2.04829	1.30283	6.70662	0.002024	255.254	-504.5081	1	1.572185166	TRUE	1	1.54E-06	0.118017		
ENSDARG00000001857	Exp 4		556421	aff4	0.0134135	1.66E-05	30000	6.67E-04	217.6867	-427.3733	-1	805.7172376	TRUE	2.38E-05	59.8563	0.74127		
ENSDARG00000001870	Exp 4		64615	atp1a1a.4	1.84E-05	4.25E-08	1.05E-04	0.9847	169.3937	-330.7875	-1	434.1758138	TRUE	4.68E-04	17827	0.621337		
ENSDARG00000001937	Exp 4		100334818	lo018422.1	3.33E-05	2.25E-05	9.37E-05	0.8545	239.6705	-471.3411	-1	1.479299398	TRUE	9.28E-06	7247.29	0.49733		
ENSDARG00000001950	Exp 4		445486	ak1	5.26E-05	2.33E-05	1.31E-04	0.06628	146.3278	-284.6556	1	2.259024767	TRUE	0.00131496	3999.65	1.71628		
ENSDARG00000001953	Hill		554477	pfkfb3	2.88E-04	3.00E-15	0.00588048	0.9916	194.72492	-381.44984	1	9.59E+10	0	5.02E-05	2.88E-05	1	3.94E-04	TRUE
ENSDARG00000001968	Exp 4		571688	dock5	3.91E-05	3.90E-07	1.58E-04	0.504	251.2744	-494.5488	-1	100.0883938	TRUE	4.00E-06	8601.37	0.540515		
ENSDARG00000001971	Exp 4		566140	cthrc1b	1.88E-04	6.43E-05	0.00158987	0.6759	262.0767	-516.1535	-1	2.925731842	TRUE	1.69E-06	1680.37	0.370497		
ENSDARG00000001976	Exp 4		497400	fkbp16	1.79E-04	1.68E-06	0.00179676	0.9937	221.888	-435.7759	1	106.5096508	TRUE	1.25E-05	2893.03	1.53222		
ENSDARG00000001993	Exp 4		100002040	myhb	1.52E-05	6.08E-08	3.25E-05	0.9658	216.3181	-424.6362	-1	250.7370749	TRUE	3.32E-05	9107.82	0.147938		
ENSDARG00000002021	Hill		403051	pygb	1.48E-05	1.48E-05	1.48E-05	0.8447	230.937977	-453.875954	-1	1	0	3.50E-05	-1.16E-05	1	9.13E-05	TRUE
ENSDARG00000002071	Hill		550502	adss2	6.96E-05	6.96E-05	6.96E-05	0.5921	215.976771	-423.953542	-1	1.000020126	0	3.80E-05	-1.33E-05	1	1.79E-04	TRUE
ENSDARG00000002165	Poly 2		30648	psme1	0.236454	0.118241	3.28691	0.002802	238.019322	-468.038643	-1	1.999763196	TRUE	6.43E-06	-5.01E-06	1.59E-06		
ENSDARG00000002192	Exp 4		65228	aspn	3.25E-05	2.29E-05	6.20E-05	0.8585	243.5727	-479.1453	-1	1.422293189	TRUE	9.65E-06	4265.79	0.355617		
