Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill					
ENSDARG00000094428	Poly 2		null	null	0.0883489	0.0593429	0.168629	0.1563	223.228675	-438.457349	1	1.488786359	TRUE	9.12E-07	2.43E-06	-7.49E-07		
ENSDARG00000096045	Exp 4		null	null	1.86E-05	8.68E-07	2.64E-05	0.312	225.268	-442.536	-1	21.4425901	TRUE	5.18E-06	3283.6	0.406405		
ENSDARG00000092583	Poly 2		null	null	0.0835406	0.056672	0.155028	0.09515	233.158972	-458.317944	-1	1.474107143	TRUE	6.55E-07	-1.33E-06	4.31E-07		
ENSDARG00000100578	Poly 2		null	null	0.106029	0.068487	0.22973	0.007822	227.427702	-446.855404	1	1.548162425	TRUE	5.51E-07	1.54E-06	-4.87E-07		
ENSDARG00000098406	Exp 2		null	null	1.97582	1.29663	5.92519	0.1115	222.3458	-438.6917	1	1.523811727	TRUE	1	5.99E-07	0.159287		
ENSDARG00000068830	Hill		null	null	0.00275494	5.52E-06	90000	0.3292	210.209377	-412.418754	1	499.2063262	0	2.22E-06	1.09E-06	18	0.00278208	TRUE
ENSDARG00000117818	Exp 4		null	null	0.117609	0.0299779	0.492378	0.8959	190.6158	-373.2315	1	3.923190083	TRUE	7.78E-06	3.24695	1.74337		
ENSDARG00000105625	Exp 4		null	null	0.0120097	0.00226143	0.248972	0.3325	218.9799	-429.9598	1	5.31066626	TRUE	1.07E-06	47.3418	1.59919		
ENSDARG00000076257	Exp 4		null	null	0.111787	0.00244058	1.04589	0.3218	233.3622	-458.7245	1	45.80345656	TRUE	2.23E-07	5.24791	2.07318		
ENSDARG00000032631	Exp 2		null	null	1.85515	1.19241	5.34668	0.3569	222.4642	-438.9283	1	1.55579876	TRUE	1	9.36E-07	0.113707		
ENSDARG00000104153	Exp 4		null	null	6.64E-04	7.89E-05	0.00406318	0.8992	241.1535	-474.307	1	8.417753511	TRUE	1.32E-07	528.161	2.61364		
ENSDARG00000069563	Poly 2		null	null	0.148795	0.0872675	0.50954	0.02284	213.705603	-419.411206	1	1.705044833	TRUE	1.61E-06	2.79E-06	-9.32E-07		
ENSDARG00000087017	Linear		null	null	1.66721	0.993815	5.0774	0.06844	215.938571	-425.877142	1	1.677585869	TRUE	1.55E-06	2.04E-07			
ENSDARG00000061385	Exp 4		null	null	5.57E-05	5.58E-07	0.0011786	0.266	213.7853	-419.5705	-1	99.74131553	TRUE	4.93E-06	2754.66	0.440438		
ENSDARG00000105638	Hill		null	null	0.00167265	0.00167264	0.00167266	0.0327	224.864143	-439.728286	-1	1.000005979	0	7.46E-07	-4.28E-07	1.51899	0.0018556	TRUE
ENSDARG00000036180	Linear		null	null	2.83315	1.36814	90000	0.006323	214.8885	-423.777	-1	2.070804157	TRUE	1.47E-06	-1.29E-07			
ENSDARG00000105584	Exp 4		null	null	0.0377779	0.0114793	0.149471	0.2934	218.7836	-429.5671	1	3.290958508	TRUE	1.69E-06	10.0682	1.52628		
ENSDARG00000052057	Exp 2		null	null	1.83355	1.22231	4.7553	0.1791	205.673	-405.3461	1	1.50006954	TRUE	1	2.03E-06	0.156289		
ENSDARG00000068290	Linear		null	null	0.920596	0.632561	1.64964	0.4367	206.919188	-407.838376	1	1.455347389	TRUE	2.29E-06	6.73E-07			
ENSDARG00000004051	Poly 2		null	null	0.115139	0.0729	0.267663	0.7932	212.640289	-417.280579	1	1.579410151	TRUE	2.11E-06	3.81E-06	-1.16E-06		
ENSDARG00000074782	Linear		null	null	1.19618	0.780757	2.50435	0.8781	232.575157	-459.150315	1	1.532077202	TRUE	3.96E-07	9.36E-08			
ENSDARG00000075608	Hill		null	null	5.64E-04	5.64E-04	5.64E-04	0.4473	205.104191	-402.208382	1	1.000003548	0	3.91E-06	2.61E-06	1	0.00153743	TRUE
ENSDARG00000078829	Linear		null	null	1.94743	1.10075	8.2722	9.00E-05	225.237303	-444.474605	1	1.769184647	TRUE	8.88E-07	9.38E-08			
ENSDARG00000077782	Poly 2		null	null	0.106237	0.0685907	0.230507	0.01578	216.232968	-424.465936	1	1.548854291	TRUE	1.78E-06	3.24E-06	-1.02E-06		
ENSDARG00000035718	Linear		null	null	2.32483	1.22617	21.6528	0.09925	220.531376	-435.062751	1	1.896009526	TRUE	4.39E-07	1.08E-07			
ENSDARG00000108953	Exp 2		null	null	2.34357	1.36973	16.4236	0.1969	234.8862	-463.7724	1	1.710972235	TRUE	1	4.19E-07	0.0880034		
ENSDARG00000094417	Exp 4		null	null	0.0294374	1.53E-05	0.436047	0.1885	224.8045	-441.6091	-1	1922.065881	TRUE	1.25E-06	21.2127	0.676426		
ENSDARG00000091926	Poly 2		null	null	0.133605	0.0811176	0.372906	0.08384	226.360869	-444.721738	1	1.647053167	TRUE	5.81E-07	1.32E-06	-4.23E-07		
ENSDARG00000079497	Poly 2		null	null	0.239138	0.116514	2.20523	0.01554	185.294761	-362.589523	1	2.05244005	TRUE	1.60E-05	1.17E-05	-3.20E-06		
ENSDARG00000092315	Linear		null	null	1.09955	0.730973	2.17039	0.7879	233.655006	-461.310012	1	1.504227926	TRUE	4.32E-07	9.48E-08			
ENSDARG00000102783	Exp 2		null	null	1.30606	0.92635	2.36167	0.6375	223.9563	-441.9125	1	1.409899066	TRUE	1	8.82E-07	0.155726		
ENSDARG00000052109	Linear		null	null	1.86453	1.07046	7.08565	0.08146	214.615149	-423.230299	1	1.74180259	TRUE	1.33E-06	1.99E-07			
ENSDARG00000089312	Linear		null	null	0.82232	0.574919	1.40625	0.9063	224.790042	-443.580085	1	1.430323228	TRUE	4.78E-07	2.29E-07			
ENSDARG00000104773	Linear		null	null	1.79437	1.04396	6.2639	0.4749	169.434095	-332.868189	1	1.718811066	TRUE	2.93E-05	4.20E-06			
ENSDARG00000113458	Linear		null	null	1.41257	0.88439	3.44155	0.3236	228.150436	-450.300872	1	1.597225206	TRUE	6.97E-07	1.06E-07			
ENSDARG00000104593	Linear		null	null	0.871326	0.60399	1.52436	0.4027	199.329078	-392.658156	1	1.4426166	TRUE	4.12E-06	1.18E-06			
ENSDARG00000100334	Exp 4		null	null	0.0186783	0.00738119	0.123328	0.2508	231.8008	-455.6016	1	2.53052692	TRUE	2.93E-07	17.7051	2.42955		
ENSDARG00000055359	Exp 4		null	null	0.11962	0.0157996	0.511159	0.1266	240.5052	-473.0104	1	7.571077749	TRUE	3.41E-07	3.05026	1.63279		
ENSDARG00000038011	Exp 2		null	null	1.43626	0.738164	5.01646	0.08639	224.6158	-443.2316	-1	1.945719379	TRUE	-1	9.47E-07	0.156199		
ENSDARG00000030157	Linear		null	null	2.80601	1.36123	90000	0.3121	188.185596	-370.371191	1	2.061378312	TRUE	9.84E-06	7.70E-07			
