Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill					
ENSDARG00000000369	Linear		678619	prkag3b	0.850581	0.602371	1.4193	0.5308	240.371313	-474.742627	1	1.412055029	TRUE	6.13E-06	1.13E-06			
ENSDARG00000000563	Exp 4		100001684	ttn.1	0.186467	6.36E-04	30000	0.05142	147.7149	-287.4297	1	293.3088578	TRUE	7.09E-04	3.76294	1.46281		
ENSDARG00000001014	Hill		561431	myh9b	1.56E-04	3.93E-10	3.51E-04	0.1755	197.929916	-385.859833	-1	398631.0931	0	1.08E-04	-3.24E-05	2.42929	2.16E-04	TRUE
ENSDARG00000001127	Exp 4		494492	slc17a6a	0.00980783	0.00225397	0.0460748	0.7656	215.7727	-423.5453	-1	4.351357826	TRUE	2.51E-05	54.7592	0.638344		
ENSDARG00000001354	Exp 2		561024	slc6a22.2	3.92357	1.39889	30000	0.003006	222.3787	-438.7574	-1	2.804773785	TRUE	-1	1.10E-05	0.0691225		
ENSDARG00000001559	Exp 4		565460	csmd2	0.0175829	0.0037848	0.297104	0.3302	219.2026	-430.4052	-1	4.645661594	TRUE	1.54E-05	44.3696	0.625995		
ENSDARG00000001769	Hill		140818	ptpra	0.00142628	0.00142605	0.00142652	0.01418	229.049358	-450.098716	-1	1.000161285	0	2.69E-05	-7.22E-06	1	0.00427629	TRUE
ENSDARG00000001782	Linear		393998	prkacba	2.62958	1.33569	78.9656	0.0356	260.796436	-515.592872	-1	1.968705313	TRUE	1.09E-06	-1.18E-07			
ENSDARG00000001817	Exp 4				0.0144584	0.00404395	0.0686945	0.6289	270.9501	-533.9003	-1	3.575316213	TRUE	1.02E-06	30.6178	0.519512		
ENSDARG00000001818	Exp 2		566347	c3b.2	2.05109	0.869255	15.4081	0.007383	204.0024	-402.0047	-1	2.359595286	TRUE	-1	2.55E-05	0.163242		
ENSDARG00000001857	Exp 4		556421	aff4	0.00757254	6.04E-05	0.0366634	0.0414	219.0003	-430.0005	-1	125.4290404	TRUE	2.52E-05	58.6879	0.6507		
ENSDARG00000001870	Linear		64615	atp1a1a.4	2.18651	1.20116	11.9828	0.1636	158.878016	-311.756033	-1	1.820332012	TRUE	4.03E-04	-4.07E-05			
ENSDARG00000001937	Exp 4		100334818	lo018422.1	0.211374	0.00543831	30000	0.3604	226.8191	-445.6383	-1	38.86758938	TRUE	8.29E-06	3.87622	0.559386		
ENSDARG00000001950	Hill		445486	ak1	0.153506	1.09E-04	1.56891	0.1296	136.304157	-264.608314	1	1409.061703	0	0.00157873	8.98E-04	1	0.288138	TRUE
ENSDARG00000001968	Hill		571688	dock5	2.55E-04	2.55E-04	2.55E-04	0.01665	251.151391	-494.302781	-1	1.000003922	0	4.05E-06	-1.74E-06	1	5.80E-04	TRUE
ENSDARG00000001976	Poly 2		497400	fkbp16	0.127836	0.0802973	0.310476	0.009255	227.203647	-446.407294	1	1.592033605	TRUE	1.49E-05	1.63E-05	-5.36E-06		
ENSDARG00000001993	Exp 4		100002040	myhb	9.12E-06	5.77E-07	5.95E-05	0.4958	211.1238	-414.2476	-1	15.80552311	TRUE	3.35E-05	28388.4	0.360688		
ENSDARG00000002026	Exp 4				0.010263	0.00203651	0.0643816	0.7368	232.0645	-456.1289	-1	5.039503857	TRUE	8.23E-06	63.7608	0.61361		
ENSDARG00000002060	Poly 2		445142	brf2	0.15486	0.0918231	0.477275	0.5578	265.746432	-523.492864	1	1.686503723	TRUE	1.31E-06	1.59E-06	-4.55E-07		
ENSDARG00000002197	Power				2.89668	0.990219	4.00611	0.003198	195.37686	-384.753719	-1	2.925292284	5.07E-05	-5.68E-14	18	TRUE		
ENSDARG00000002219	Linear		570552	si:dkey-103j14.5	3.39937	1.5235	90000	0.07337	233.747254	-461.494508	-1	2.231289793	TRUE	4.55E-06	-4.09E-07			
ENSDARG00000002231	Exp 4		563806	plpp2a	2.25E-04	8.06E-05	0.00103726	0.1537	262.4316	-516.8631	-1	2.790582481	TRUE	1.87E-06	1842.9	0.555063		
ENSDARG00000002241	Exp 4		100537815	kcna2a	0.0214165	8.04E-04	0.129783	0.3252	265.1942	-522.3885	-1	26.62432434	TRUE	1.26E-06	26.1951	0.551154		
ENSDARG00000002299	Exp 2				1.61986	0.798205	6.37628	0.01213	237.631	-469.2619	-1	2.029378418	TRUE	-1	5.08E-06	0.153778		
ENSDARG00000002300	Exp 4		387297	p2rx2	6.74E-05	8.56E-07	3.16E-04	0.5395	258.5583	-509.1166	-1	78.66469369	TRUE	1.89E-06	6773.45	0.494179		
ENSDARG00000002304	Linear		554146	gins2	1.37289	0.88022	3.07582	0.3713	246.996428	-487.992857	1	1.559712345	TRUE	4.15E-06	4.85E-07			
ENSDARG00000002355	Exp 4		100001676	shpk	0.0133381	5.10E-04	0.220843	0.3361	271.8816	-535.7632	-1	26.17546339	TRUE	8.91E-07	42.1443	0.563734		
ENSDARG00000002394	Exp 4		100415794	ugt5d1	7.72E-05	1.16E-06	2.92E-04	0.5366	238.001	-468.0021	-1	66.42868814	TRUE	8.72E-06	4960.85	0.604488		
ENSDARG00000002411	Exp 2		571344	pde4cb	1.84995	0.958258	7.99193	0.005278	252.565	-499.13	-1	1.930534365	TRUE	-1	3.14E-06	0.0913196		
ENSDARG00000002571	Exp 4		447869	tmod2	8.46E-04	6.17E-05	0.00888869	0.09505	244.1925	-480.3851	-1	13.70988443	TRUE	8.77E-06	408.215	0.696062		
ENSDARG00000002576	Hill		393671	cabp5a	8.85E-05	8.85E-05	8.85E-05	0.5881	227.847389	-447.694778	1	1.000019214	0	9.03E-06	4.44E-06	1	1.15E-04	TRUE
ENSDARG00000002589	Linear		447930	mylpfb	0.901936	0.632813	1.54085	0.02606	142.565733	-279.131466	1	1.425280454	TRUE	0.00153791	2.44E-04			
ENSDARG00000002731	Hill		282667	sdc2	8.64E-05	8.64E-05	2.05E-04	0.003185	213.625002	-417.250004	-1	1.00000579	0	6.38E-05	-2.06E-05	1.92263	1.74E-04	TRUE
ENSDARG00000002764	Exp 2		571850	miox	3.05587	0.93391	30000	0.002747	214.4505	-422.9011	-1	3.272124723	TRUE	-1	1.01E-05	0.167761		
ENSDARG00000002768	Hill		58028	pvalb2	0.0143668	7.30E-05	90000	0.4204	93.953356	-179.906712	1	196.7618145	0	0.0131131	0.00611765	1	0.0124218	TRUE
ENSDARG00000002816	Exp 4		553520	rasgrf2b	0.0189958	8.13E-04	30000	0.7439	250.689	-493.3779	-1	23.36567119	TRUE	3.71E-06	36.0489	0.704711		
ENSDARG00000002916	Hill		100148383	sec31b	0.00406104	0.00269027	0.0249916	0.01581	232.406716	-456.813432	-1	1.509528783	0	1.75E-05	-5.00E-06	1	0.00950063	TRUE
ENSDARG00000002968	Hill		562916	a1cf	7.60E-05	7.60E-05	1.76E-04	0.006278	218.019645	-426.03929	-1	1.000003946	0	3.12E-05	-1.78E-05	1.96902	1.60E-04	TRUE
ENSDARG00000003041	Exp 4		100334245	cabz01111496.1	0.0145315	1.03E-04	0.0774256	0.08414	247.6422	-487.2843	-1	141.5677029	TRUE	4.27E-06	30.3525	0.577866		
ENSDARG00000003069	Exp 4		568372	btbd7	0.011258	1.24E-04	0.0726481	0.1823	246.1959	-484.3919	-1	90.64923144	TRUE	5.40E-06	43.3688	0.665974		
ENSDARG00000003077	Exp 4		794084	gpx9	1.03E-04	3.30E-07	5.38E-04	0.9796	226.1214	-444.2428	-1	311.7450589	TRUE	1.21E-05	4428	0.522133		
ENSDARG00000003146	Exp 4				0.0325903	0.00608524	30000	0.3595	245.8143	-483.6285	-1	5.355631002	TRUE	2.77E-06	24.6621	0.535143		
ENSDARG00000003251	Exp 4		64809	zbtb22b	0.00346321	0.00104183	0.013505	0.2185	245.7126	-483.4253	-1	3.324160372	TRUE	6.30E-06	118.575	0.662793		
ENSDARG00000003290	Exp 4		678641	dab1b	0.164346	0.0059662	1.13743	0.1944	250.8804	-493.7608	-1	27.5461768	TRUE	3.99E-06	3.03024	0.65687		
ENSDARG00000003395	Linear		553354	col4a3	3.18661	1.47645	90000	0.003937	238.040984	-470.081968	-1	2.158291849	TRUE	5.72E-06	-3.44E-07			
ENSDARG00000003421	Exp 4		100136839	igf2bp2a	8.52E-05	4.72E-05	3.44E-04	0.01493	239.8539	-471.7077	-1	1.806935281	TRUE	1.54E-05	2333.75	0.643672		
