Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill					
ENSDARG00000000472	Exp 4		30726	cntn2	1.04E-04	4.50E-05	3.39E-04	0.0303	248.1972	-488.3945	-1	2.314783741	TRUE	1.80E-05	3006.14	0.73427		
ENSDARG00000000503	Exp 5		58038	stx1b	1.82E-04	1.06E-06	2.94E-04	0.3367	191.2554	-372.5108	-1	171.2950526	TRUE	2.90E-04	3724.95	0.671118	2.99029	
ENSDARG00000000551	Exp 2		368885	slc1a4	45.273	2.70802	30000	4.93E-04	233.4075	-460.8151	1	16.71811877	TRUE	1	1.49E-05	0.00381681		
ENSDARG00000000563	Linear		100001684	ttn.1	2.04474	1.15758	8.64575	3.27E-04	161.000475	-316.00095	1	1.766391956	TRUE	7.02E-04	6.20E-05			
ENSDARG00000000804	Hill		751594	rassf6	2.02E-04	2.02E-04	2.02E-04	0.732	252.09845	-496.1969	1	1.000014819	0	5.27E-06	2.46E-06	1	2.72E-04	TRUE
ENSDARG00000001127	Exp 4		494492	slc17a6a	5.59E-05	2.77E-05	1.29E-04	0.422	237.8109	-467.6218	-1	2.015693902	TRUE	2.41E-05	4050.41	0.543733		
ENSDARG00000001463	Hill		556781	tdh2	2.01E-04	2.01E-04	0.00286841	0.2089	221.555503	-433.111005	-1	1.000164511	0	3.42E-05	-1.10E-05	2.16606	2.10E-04	TRUE
ENSDARG00000001712	Exp 4		796753	si:ch211-247n2.1	4.29E-04	1.45E-04	0.00141307	0.6918	260.3324	-512.6648	1	2.960447612	TRUE	4.74E-06	828.518	1.47962		
ENSDARG00000001825	Exp 4		568701	cfap43	1.39E-05	1.39E-05	6.31E-05	0.07264	283.1964	-558.3928	1	1.000014359	TRUE	1.09E-06	23813.1	1.66022		
ENSDARG00000001835	Hill		548345	nalcn	5.68E-05	5.67E-05	1.98E-04	0.09315	238.859989	-467.719979	-1	1.000165654	0	2.45E-05	-6.27E-06	1.31066	9.56E-05	TRUE
ENSDARG00000001881	Exp 4		565158	cacnb3a	5.86E-04	7.38E-05	0.00264939	0.5402	276.9692	-545.9384	-1	7.933337487	TRUE	1.84E-06	657.114	0.517975		
ENSDARG00000001937	Exp 4		100334818	lo018422.1	2.02E-05	4.56E-07	4.09E-05	0.4228	254.1953	-500.3907	-1	44.32657696	TRUE	8.91E-06	7837.35	0.281379		
ENSDARG00000001950	Exp 4		445486	ak1	8.22E-05	4.49E-05	2.02E-04	0.6752	155.8263	-303.6526	1	1.829088296	TRUE	0.00126311	2603.59	1.6835		
ENSDARG00000001953	Exp 4		554477	pfkfb3	2.54E-04	7.64E-05	0.00183799	0.7862	204.5086	-401.0172	1	3.321075305	TRUE	4.81E-05	1946.3	1.68354		
ENSDARG00000001971	Hill		566140	cthrc1b	0.00104623	0.00104623	0.00104623	0.1627	279.161819	-548.323639	-1	1	0	1.58E-06	-4.16E-07	1.00003	5.21E-04	TRUE
ENSDARG00000001993	Exp 4		100002040	myhb	3.04E-05	1.94E-05	7.20E-05	0.6413	225.6009	-443.2017	-1	1.566300219	TRUE	3.19E-05	7309.23	0.334676		
ENSDARG00000001994	Exp 4		574003	stxbp1a	5.45E-05	6.86E-07	6.32E-05	0.3353	194.6204	-381.2407	-1	79.43530166	TRUE	2.81E-04	5507.42	0.703818		
ENSDARG00000002026	Exp 4				1.35E-04	4.17E-05	6.22E-04	0.5154	252.8906	-497.7813	-1	3.234409686	TRUE	7.79E-06	3035.09	0.615522		
ENSDARG00000002204	Exp 4		796767	hspb11	2.45E-04	7.09E-05	0.00170972	0.7782	219.66	-431.3199	1	3.447068093	TRUE	3.05E-05	2096.71	1.47299		
ENSDARG00000002219	Linear		570552	si:dkey-103j14.5	3.47314	1.54558	90000	0.1981	250.624961	-495.249922	-1	2.247143467	TRUE	4.66E-06	-3.26E-07			
ENSDARG00000002241	Exp 4		100537815	kcna2a	1.44E-04	4.64E-05	8.78E-04	0.9733	281.4878	-554.9756	-1	3.115076241	TRUE	1.24E-06	2877.21	0.46893		
ENSDARG00000002295	Exp 4				1.56E-05	1.21E-05	5.56E-05	0.4732	257.3871	-506.7741	-1	1.280944659	TRUE	5.45E-06	15696.7	0.327677		
ENSDARG00000002330	Hill		378959	lhx8a	1.69E-04	1.69E-04	1.69E-04	0.05293	273.299067	-536.598134	-1	1.000005911	0	3.05E-06	-7.95E-07	1.0028	2.09E-04	TRUE
ENSDARG00000002509	Hill		768172	zgc:153911	2.93E-04	2.93E-04	2.93E-04	0.2801	272.405943	-534.811885	1	1.000003409	0	6.99E-07	7.98E-07	5.61438	3.04E-04	TRUE
ENSDARG00000002576	Exp 4		393671	cabp5a	9.00E-05	1.59E-06	3.13E-04	0.613	246.4608	-484.9217	1	56.61492579	TRUE	8.58E-06	3816.23	1.56534		
ENSDARG00000002745	Exp 4		406528	tdh	1.48E-04	7.40E-05	3.74E-04	0.02481	175.8929	-343.7859	1	2.000646373	TRUE	5.54E-04	1703.43	1.46907		
ENSDARG00000002768	Exp 4		58028	pvalb2	8.23E-05	4.40E-05	2.04E-04	0.3783	115.4651	-222.9302	1	1.872130215	TRUE	0.0113932	2745.8	1.60402		
ENSDARG00000002909	Exp 4		373089	tjp3	1.26E-04	5.04E-05	4.76E-04	0.3117	233.4752	-458.9504	1	2.510372331	TRUE	2.23E-05	2784.04	1.42279		
