Gene Level Analyses
Gene Annotation File Creation Date: 04/15/21
Deduplicate Gene Sets: false
Data Source: sep_norm_data_DBC
Work Source: sep_norm_data_DBC_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress2 Version: BMDExpress 2.30.0507 BETA
Timestamp (Start Time): 12/13/2021 11:16.03
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 1866
Total Run Time: 22 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
30726	cntn2	1	1	1	1	0	1	1	1	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
58038	stx1b	1	1	1	1	1	0	1	0	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
368885	slc1a4	1	1	1	0	0	1	0	0	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
100001684	ttn.1	1	1	1	1	0	1	1	1	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
751594	rassf6	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	751594	rassf6	ENSDARG00000000804		2.02442E-4	2.02442E-4	2.02442E-4		2.02442E-4		2.02439E-4	2.02439E-4	2.02439E-4		2.02439E-4		2.02443E-4	2.02443E-4	2.02443E-4		2.02443E-4		0.0	2.02442E-4	0.0	2.02442E-4	2.02442E-4	2.02439E-4	2.02443E-4	1	0	1	751594	ENSDARG00000000804	2.02442E-4	2.02442E-4		2.02439E-4	2.02439E-4		2.02443E-4	2.02443E-4		2.02442E-4	2.02439E-4	2.02443E-4	0															0						Hill,1(1)	1.5541224479675293	1.5541224479675293	1.5541224479675293	1.5541224479675293	0.0	1.5541224479675293	2.02442E-4	2.02442E-4	2.02439E-4	2.02439E-4	2.02443E-4	2.02443E-4	UP	1.0	0.0	0.0	
494492	slc17a6a	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	494492	slc17a6a	ENSDARG00000001127		5.58577E-5	5.58577E-5	5.58577E-5		5.58577E-5		2.77114E-5	2.77114E-5	2.77114E-5		2.77114E-5		1.29184E-4	1.29184E-4	1.29184E-4		1.29184E-4		0.0	5.58577E-5	0.0	5.58577E-5	5.58577E-5	2.77114E-5	1.29184E-4	0	1	0															1	494492	ENSDARG00000001127	5.58577E-5	5.58577E-5		2.77114E-5	2.77114E-5		1.29184E-4	1.29184E-4		5.58577E-5	2.77114E-5	1.29184E-4	0						Exp 4,1(1)	2.0997731685638428	2.0997731685638428	2.0997731685638428	2.0997731685638428	0.0	2.0997731685638428	5.58577E-5	5.58577E-5	2.77114E-5	2.77114E-5	1.29184E-4	1.29184E-4	DOWN	0.0	1.0	0.0	
556781	tdh2	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	556781	tdh2	ENSDARG00000001463		2.00627E-4	2.00627E-4	2.00627E-4		2.00627E-4		2.00594E-4	2.00594E-4	2.00594E-4		2.00594E-4		0.00286841	0.00286841	0.00286841		0.00286841		0.0	2.00627E-4	0.0	2.00627E-4	2.00627E-4	2.00594E-4	0.00286841	0	1	0															1	556781	ENSDARG00000001463	2.00627E-4	2.00627E-4		2.00594E-4	2.00594E-4		0.00286841	0.00286841		2.00627E-4	2.00594E-4	0.00286841	0						Hill,1(1)	1.674013376235962	1.674013376235962	1.674013376235962	1.674013376235962	0.0	1.674013376235962	2.00627E-4	2.00627E-4	2.00594E-4	2.00594E-4	0.00286841	0.00286841	DOWN	0.0	1.0	0.0	
796753	si:ch211-247n2.1	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	796753	si:ch211-247n2.1	ENSDARG00000001712		4.29108E-4	4.29108E-4	4.29108E-4		4.29108E-4		1.44947E-4	1.44947E-4	1.44947E-4		1.44947E-4		0.00141307	0.00141307	0.00141307		0.00141307		0.0	4.29108E-4	0.0	4.29108E-4	4.29108E-4	1.44947E-4	0.00141307	1	0	1	796753	ENSDARG00000001712	4.29108E-4	4.29108E-4		1.44947E-4	1.44947E-4		0.00141307	0.00141307		4.29108E-4	1.44947E-4	0.00141307	0															0						Exp 4,1(1)	1.527514934539795	1.527514934539795	1.527514934539795	1.527514934539795	0.0	1.527514934539795	4.29108E-4	4.29108E-4	1.44947E-4	1.44947E-4	0.00141307	0.00141307	UP	1.0	0.0	0.0	
568701	cfap43	1	1	1	1	0	1	1	1	0	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
548345	nalcn	1	1	1	1	0	1	1	1	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
565158	cacnb3a	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	565158	cacnb3a	ENSDARG00000001881		5.85731E-4	5.85731E-4	5.85731E-4		5.85731E-4		7.38316E-5	7.38316E-5	7.38316E-5		7.38316E-5		0.00264939	0.00264939	0.00264939		0.00264939		0.0	5.85731E-4	0.0	5.85731E-4	5.85731E-4	7.38316E-5	0.00264939	0	1	0															1	565158	ENSDARG00000001881	5.85731E-4	5.85731E-4		7.38316E-5	7.38316E-5		0.00264939	0.00264939		5.85731E-4	7.38316E-5	0.00264939	0						Exp 4,1(1)	2.1861495971679688	2.1861495971679688	2.1861495971679688	2.1861495971679688	0.0	2.1861495971679688	5.85731E-4	5.85731E-4	7.38316E-5	7.38316E-5	0.00264939	0.00264939	DOWN	0.0	1.0	0.0	
100334818	lo018422.1	1	1	1	1	1	0	1	0	0	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
445486	ak1	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	445486	ak1	ENSDARG00000001950		8.22113E-5	8.22113E-5	8.22113E-5		8.22113E-5		4.49466E-5	4.49466E-5	4.49466E-5		4.49466E-5		2.01511E-4	2.01511E-4	2.01511E-4		2.0151100000000003E-4		0.0	8.22113E-5	0.0	8.22113E-5	8.22113E-5	4.49466E-5	2.01511E-4	1	0	1	445486	ENSDARG00000001950	8.22113E-5	8.22113E-5		4.49466E-5	4.49466E-5		2.01511E-4	2.01511E-4		8.22113E-5	4.49466E-5	2.01511E-4	0															0						Exp 4,1(1)	1.7437560558319092	1.7437560558319092	1.7437560558319092	1.7437560558319092	0.0	1.7437560558319092	8.22113E-5	8.22113E-5	4.49466E-5	4.49466E-5	2.01511E-4	2.01511E-4	UP	1.0	0.0	0.0	
554477	pfkfb3	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	554477	pfkfb3	ENSDARG00000001953		2.53862E-4	2.53862E-4	2.53862E-4		2.53862E-4		7.64397E-5	7.64397E-5	7.64397E-5		7.64397E-5		0.00183799	0.00183799	0.00183799		0.00183799		0.0	2.53862E-4	0.0	2.53862E-4	2.53862E-4	7.64397E-5	0.00183799	1	0	1	554477	ENSDARG00000001953	2.53862E-4	2.53862E-4		7.64397E-5	7.64397E-5		0.00183799	0.00183799		2.53862E-4	7.64397E-5	0.00183799	0															0						Exp 4,1(1)	1.7740981578826904	1.7740981578826904	1.7740981578826904	1.7740981578826904	0.0	1.7740981578826904	2.53862E-4	2.53862E-4	7.64397E-5	7.64397E-5	0.00183799	0.00183799	UP	1.0	0.0	0.0	
566140	cthrc1b	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	566140	cthrc1b	ENSDARG00000001971		0.00104623	0.00104623	0.00104623		0.00104623		0.00104623	0.00104623	0.00104623		0.00104623		0.00104623	0.00104623	0.00104623		0.00104623		0.0	0.00104623	0.0	0.00104623	0.00104623	0.00104623	0.00104623	0	1	0															1	566140	ENSDARG00000001971	0.00104623	0.00104623		0.00104623	0.00104623		0.00104623	0.00104623		0.00104623	0.00104623	0.00104623	0						Hill,1(1)	1.519095540046692	1.519095540046692	1.519095540046692	1.519095540046692	0.0	1.519095540046692	0.00104623	0.00104623	0.00104623	0.00104623	0.00104623	0.00104623	DOWN	0.0	1.0	0.0	
100002040	myhb	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	100002040	myhb	ENSDARG00000001993		3.04329E-5	3.04329E-5	3.04329E-5		3.0432900000000005E-5		1.94298E-5	1.94298E-5	1.94298E-5		1.94298E-5		7.20341E-5	7.20341E-5	7.20341E-5		7.20341E-5		0.0	3.04329E-5	0.0	3.04329E-5	3.04329E-5	1.94298E-5	7.20341E-5	0	1	0															1	100002040	ENSDARG00000001993	3.04329E-5	3.04329E-5		1.94298E-5	1.94298E-5		7.20341E-5	7.20341E-5		3.04329E-5	1.94298E-5	7.20341E-5	0						Exp 4,1(1)	3.305004119873047	3.305004119873047	3.305004119873047	3.305004119873047	0.0	3.305004119873047	3.04329E-5	3.04329E-5	1.94298E-5	1.94298E-5	7.20341E-5	7.20341E-5	DOWN	0.0	1.0	0.0	
574003	stxbp1a	1	1	1	1	1	0	1	0	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
796767	hspb11	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	796767	hspb11	ENSDARG00000002204		2.44565E-4	2.44565E-4	2.44565E-4		2.44565E-4		7.09487E-5	7.09487E-5	7.09487E-5		7.09487E-5		0.00170972	0.00170972	0.00170972		0.0017097200000000003		0.0	2.44565E-4	0.0	2.44565E-4	2.44565E-4	7.09487E-5	0.00170972	1	0	1	796767	ENSDARG00000002204	2.44565E-4	2.44565E-4		7.09487E-5	7.09487E-5		0.00170972	0.00170972		2.44565E-4	7.09487E-5	0.00170972	0															0						Exp 4,1(1)	1.5316294431686401	1.5316294431686401	1.5316294431686401	1.5316294431686401	0.0	1.5316294431686401	2.44565E-4	2.44565E-4	7.09487E-5	7.09487E-5	0.00170972	0.00170972	UP	1.0	0.0	0.0	
570552	si:dkey-103j14.5	1	1	1	0	1	1	0	0	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
100537815	kcna2a	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	100537815	kcna2a	ENSDARG00000002241		1.44414E-4	1.44414E-4	1.44414E-4		1.44414E-4		4.63597E-5	4.63597E-5	4.63597E-5		4.63597E-5		8.78077E-4	8.78077E-4	8.78077E-4		8.78077E-4		0.0	1.44414E-4	0.0	1.44414E-4	1.44414E-4	4.63597E-5	8.78077E-4	0	1	0															1	100537815	ENSDARG00000002241	1.44414E-4	1.44414E-4		4.63597E-5	4.63597E-5		8.78077E-4	8.78077E-4		1.44414E-4	4.63597E-5	8.78077E-4	0						Exp 4,1(1)	2.2807250022888184	2.2807250022888184	2.2807250022888184	2.2807250022888184	0.0	2.2807250022888184	1.44414E-4	1.44414E-4	4.63597E-5	4.63597E-5	8.78077E-4	8.78077E-4	DOWN	0.0	1.0	0.0	
378959	lhx8a	1	1	1	1	0	1	1	1	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
768172	zgc:153911	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	768172	zgc:153911	ENSDARG00000002509		2.93311E-4	2.93311E-4	2.93311E-4		2.93311E-4		2.9331E-4	2.9331E-4	2.9331E-4		2.9331E-4		2.93312E-4	2.93312E-4	2.93312E-4		2.93312E-4		0.0	2.93311E-4	0.0	2.93311E-4	2.93311E-4	2.9331E-4	2.93312E-4	1	0	1	768172	ENSDARG00000002509	2.93311E-4	2.93311E-4		2.9331E-4	2.9331E-4		2.93312E-4	2.93312E-4		2.93311E-4	2.9331E-4	2.93312E-4	0															0						Hill,1(1)	2.391456365585327	2.391456365585327	2.391456365585327	2.391456365585327	0.0	2.391456365585327	2.93311E-4	2.93311E-4	2.9331E-4	2.9331E-4	2.93312E-4	2.93312E-4	UP	1.0	0.0	0.0	
393671	cabp5a	1	1	1	1	1	0	1	0	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
406528	tdh	1	1	1	1	0	1	1	1	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
58028	pvalb2	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	58028	pvalb2	ENSDARG00000002768		8.22951E-5	8.22951E-5	8.22951E-5		8.22951E-5		4.3958E-5	4.3958E-5	4.3958E-5		4.3957999999999995E-5		2.04299E-4	2.04299E-4	2.04299E-4		2.04299E-4		0.0	8.22951E-5	0.0	8.22951E-5	8.22951E-5	4.3958E-5	2.04299E-4	1	0	1	58028	ENSDARG00000002768	8.22951E-5	8.22951E-5		4.3958E-5	4.3958E-5		2.04299E-4	2.04299E-4		8.22951E-5	4.3958E-5	2.04299E-4	0															0						Exp 4,1(1)	1.7037535905838013	1.7037535905838013	1.7037535905838013	1.7037535905838013	0.0	1.7037535905838013	8.22951E-5	8.22951E-5	4.3958E-5	4.3958E-5	2.04299E-4	2.04299E-4	UP	1.0	0.0	0.0	
373089	tjp3	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	373089	tjp3	ENSDARG00000002909		1.26398E-4	1.26398E-4	1.26398E-4		1.26398E-4		5.03503E-5	5.03503E-5	5.03503E-5		5.03503E-5		4.75673E-4	4.75673E-4	4.75673E-4		4.75673E-4		0.0	1.26398E-4	0.0	1.26398E-4	1.26398E-4	5.03503E-5	4.75673E-4	1	0	1	373089	ENSDARG00000002909	1.26398E-4	1.26398E-4		5.03503E-5	5.03503E-5		4.75673E-4	4.75673E-4		1.26398E-4	5.03503E-5	4.75673E-4	0															0						Exp 4,1(1)	1.5278377532958984	1.5278377532958984	1.5278377532958984	1.5278377532958984	0.0	1.5278377532958984	1.26398E-4	1.26398E-4	5.03503E-5	5.03503E-5	4.75673E-4	4.75673E-4	UP	1.0	0.0	0.0	
562916	a1cf	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	562916	a1cf	ENSDARG00000002968		5.74921E-5	5.74921E-5	5.74921E-5		5.74921E-5		5.74919E-5	5.74919E-5	5.74919E-5		5.74919E-5		5.74924E-5	5.74924E-5	5.74924E-5		5.74924E-5		0.0	5.74921E-5	0.0	5.74921E-5	5.74921E-5	5.74919E-5	5.74924E-5	0	1	0															1	562916	ENSDARG00000002968	5.74921E-5	5.74921E-5		5.74919E-5	5.74919E-5		5.74924E-5	5.74924E-5		5.74921E-5	5.74919E-5	5.74924E-5	0						Hill,1(1)	1.8692604303359985	1.8692604303359985	1.8692604303359985	1.8692604303359985	0.0	1.8692604303359985	5.74921E-5	5.74921E-5	5.74919E-5	5.74919E-5	5.74924E-5	5.74924E-5	DOWN	0.0	1.0	0.0	
566572	lrrc4.2	1	1	1	1	1	1	1	1	0	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
100334245	cabz01111496.1	1	1	1	0	0	1	0	0	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
794084	gpx9	1	1	1	0	0	1	0	0	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
492470	spire2	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	492470	spire2	ENSDARG00000003084		1.19557E-4	1.19557E-4	1.19557E-4		1.19557E-4		3.67765E-5	3.67765E-5	3.67765E-5		3.67765E-5		5.0548E-4	5.0548E-4	5.0548E-4		5.0548E-4		0.0	1.19557E-4	0.0	1.19557E-4	1.19557E-4	3.67765E-5	5.0548E-4	0	1	0															1	492470	ENSDARG00000003084	1.19557E-4	1.19557E-4		3.67765E-5	3.67765E-5		5.0548E-4	5.0548E-4		1.19557E-4	3.67765E-5	5.0548E-4	0						Exp 4,1(1)	1.7387824058532715	1.7387824058532715	1.7387824058532715	1.7387824058532715	0.0	1.7387824058532715	1.19557E-4	1.19557E-4	3.67765E-5	3.67765E-5	5.0548E-4	5.0548E-4	DOWN	0.0	1.0	0.0	
494075	oclnb	1	1	1	1	1	0	1	0	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
325557	anxa2a	1	1	1	1	1	0	1	0	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
386643	pik3ip1	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	386643	pik3ip1	ENSDARG00000003281		2.84291E-4	2.84291E-4	2.84291E-4		2.84291E-4		1.03516E-4	1.03516E-4	1.03516E-4		1.03516E-4		0.00107164	0.00107164	0.00107164		0.00107164		0.0	2.84291E-4	0.0	2.84291E-4	2.84291E-4	1.03516E-4	0.00107164	1	0	1	386643	ENSDARG00000003281	2.84291E-4	2.84291E-4		1.03516E-4	1.03516E-4		0.00107164	0.00107164		2.84291E-4	1.03516E-4	0.00107164	0															0						Exp 4,1(1)	1.6479175090789795	1.6479175090789795	1.6479175090789795	1.6479175090789795	0.0	1.6479175090789795	2.84291E-4	2.84291E-4	1.03516E-4	1.03516E-4	0.00107164	0.00107164	UP	1.0	0.0	0.0	
565707	si:ch211-266g18.6	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	565707	si:ch211-266g18.6	ENSDARG00000003381		1.27172E-4	1.27172E-4	1.27172E-4		1.27172E-4		3.27223E-5	3.27223E-5	3.27223E-5		3.27223E-5		5.75047E-4	5.75047E-4	5.75047E-4		5.75047E-4		0.0	1.27172E-4	0.0	1.27172E-4	1.27172E-4	3.27223E-5	5.75047E-4	1	0	1	565707	ENSDARG00000003381	1.27172E-4	1.27172E-4		3.27223E-5	3.27223E-5		5.75047E-4	5.75047E-4		1.27172E-4	3.27223E-5	5.75047E-4	0															0						Exp 4,1(1)	1.5265567302703857	1.5265567302703857	1.5265567302703857	1.5265567302703857	0.0	1.5265567302703857	1.27172E-4	1.27172E-4	3.27223E-5	3.27223E-5	5.75047E-4	5.75047E-4	UP	1.0	0.0	0.0	
553354	col4a3	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	553354	col4a3	ENSDARG00000003395		4.01393E-4	4.01393E-4	4.01393E-4		4.01393E-4		1.25482E-4	1.25482E-4	1.25482E-4		1.25482E-4		0.00189228	0.00189228	0.00189228		0.00189228		0.0	4.01393E-4	0.0	4.01393E-4	4.01393E-4	1.25482E-4	0.00189228	0	1	0															1	553354	ENSDARG00000003395	4.01393E-4	4.01393E-4		1.25482E-4	1.25482E-4		0.00189228	0.00189228		4.01393E-4	1.25482E-4	0.00189228	0						Exp 4,1(1)	1.5670452117919922	1.5670452117919922	1.5670452117919922	1.5670452117919922	0.0	1.5670452117919922	4.01393E-4	4.01393E-4	1.25482E-4	1.25482E-4	0.00189228	0.00189228	DOWN	0.0	1.0	0.0	
30126	foxa2	1	1	1	1	1	1	1	1	0	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
550584	chrna5	1	1	1	1	0	0	1	0	1	0	0	636	1	18012	0.9659	1.0	1.0	0.0																														0	0	0															0															0																							
767809	runx1t1	1	1	1	1	1	1	1	1	1	1	1	635	0	18013	1.0	0.034104	0.034104	100.0	767809	runx1t1	ENSDARG00000003680		1.60459E-4	1.60459E-4	1.60459E-4		1.60459E-4		2.85573E-5	2.85573E-5	2.85573E-5		2.85573E-5		2.89875E-4	2.89875E-4	2.89875E-4		2.89875E-4		0.0	1.60459E-4	0.0	1.60459E-4	1.60459E-4	2.85573E-5	2.89875E-4	0	1	0															1	767809	ENSDARG00000003680	1.60459E-4	1.60459E-4		2.85573E-5	2.85573E-5		2.89875E-4	2.89875E-4		1.60459E-4	2.85573E-5	2.89875E-4	0						Exp 5,1(1)	1.54458487033844	1.54458487033844	1.54458487033844	1.54458487033844	0.0	1.54458487033844	1.60459E-4	1.60459E-4	2.85573E-5	2.85573E-5	2.89875E-4	2.89875E-4	DOWN	0.0	1.0	0.0	
