Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 11/15/21
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: sep_norm_data_SANT
Work Source: sep_norm_data_SANT_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress2 Version: BMDExpress 2.30.0507 BETA
Timestamp (Start Time): 12/13/2021 11:10.59
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 904
Total Run Time: 48 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	282	307	30	27	12	25	26	17	29	6	6	112	301	4473	0.38252	0.76009	0.70371	1.95	799085;58113;562949;561717;336425;325084	abhd6a;cd74a;ehd3;rab27b;aldoaa;src	ENSDARG00000060756;ENSDARG00000009087;ENSDARG00000007869;ENSDARG00000087762;ENSDARG00000011665;ENSDARG00000008107		0.3789231111	0.0126176	4.47566E-5	0.6457540473815553	0.24366584904708186	0.5557596990096422	0.24385457885000003	0.003489955	2.23131E-5	0.4061384918561676	0.1555874770982501	0.35037168247350214	0.8941499753833333	0.06812560000000001	9.63523E-5	1.6616062425814175	0.5874012417462646	1.4157608081977602					4.47566E-5;1.58765;0.00833871;0.0149813;0.65227;0.0102539	2.23131E-5;0.976299;0.00197425;0.0045334;0.477852;0.00244651	9.63523E-5;4.19314;0.0313623;0.0892956;1.00405;0.0469556	2	4	2	58113;336425	ENSDARG00000009087;ENSDARG00000011665	1.11996	1.11996	0.6614135409862725	0.7270755	0.7270755	0.35245525376209114	2.598595	2.598595	2.255027164814206	1.58765;0.65227	0.976299;0.477852	4.19314;1.00405	4	799085;562949;561717;325084	ENSDARG00000060756;ENSDARG00000007869;ENSDARG00000087762;ENSDARG00000008107	0.00840466665	0.009296305	0.006233356948088637	0.002244118275	0.0022103799999999996	0.001852117738182943	0.041927463075000004	0.03915895	0.03710564672280919	4.47566E-5;0.00833871;0.0149813;0.0102539	2.23131E-5;0.00197425;0.0045334;0.00244651	9.63523E-5;0.0313623;0.0892956;0.0469556	0						Exp 4,4(0.67);Linear,2(0.34)	1.8211057082795257	11.022042512893677	1.5271750688552856	2.22160005569458	0.26578969186396917	1.8318535685539246	-0.13778774127113513	0.8956339634711351	-0.08112389733402997	0.5688330550340299	-0.435411924214242	2.223711874980909	DOWN	0.3333333333333333	0.6666666666666666	0.0	
R-DRE-114608	Platelet degranulation 	58	69	11	10	3	11	10	10	10	2	2	116	67	4707	0.76838	0.49961	0.68289	2.9	561717;336425	rab27b;aldoaa	ENSDARG00000087762;ENSDARG00000011665		0.33362565	0.33362565	0.0149813	0.45063116134355935	0.19972279324324324	0.4089113516137745	0.2411927	0.2411927	0.0045334	0.334686791721723	0.14174214847428074	0.30370120868287714	0.5466728000000001	0.5466728000000001	0.0892956	0.6468290393602315	0.3544706985178727	0.5869450660252526					0.0149813;0.65227	0.0045334;0.477852	0.0892956;1.00405	1	1	1	336425	ENSDARG00000011665	0.65227	0.65227		0.477852	0.477852		1.00405	1.00405		0.65227	0.477852	1.00405	1	561717	ENSDARG00000087762	0.0149813	0.0149813		0.0045334	0.0045334		0.0892956	0.0892956		0.0149813	0.0045334	0.0892956	0						Exp 4,1(0.5);Linear,1(0.5)	1.7372107195557633	3.4890639781951904	1.5848736763000488	1.9041903018951416	0.22579095130389598	1.7445319890975952	-0.29091727599999995	0.9581685759999999	-0.222659528	0.705044928	-0.349786512	1.4431321120000002	CONFLICT	0.5	0.5	0.0	
R-DRE-168249	Innate Immune System	465	502	50	47	19	41	40	29	47	5	5	113	497	4277	0.013945	0.99524	0.029918	1.0	564697;563883;445032;336425;100329531	pdxkb;adgrg11;cela1.3;aldoaa;hmox2b	ENSDARG00000036546;ENSDARG00000041413;ENSDARG00000043173;ENSDARG00000011665;ENSDARG00000078452		1.1835911718	1.41954	1.45859E-4	0.8471256478174243	0.7724879955929705	0.8826111561175687	0.67564585114	0.901895	6.72557E-5	0.4366552559124458	0.4634957937300453	0.5088309751183496	4.8211308066	3.28744	7.54033E-4	5.65567232566182	2.5446129041167804	4.063585051391147					2.06178;1.41954;1.78422;0.65227;1.45859E-4	0.941895;0.901895;1.05652;0.477852;6.72557E-5	14.153;3.28744;5.66041;1.00405;7.54033E-4	2	3	2	563883;336425	ENSDARG00000041413;ENSDARG00000011665	1.035905	1.035905	0.5425418200010016	0.6898735	0.6898735	0.2998436808146871	2.1457450000000002	2.1457450000000002	1.6146005530935508	1.41954;0.65227	0.901895;0.477852	3.28744;1.00405	3	564697;445032;100329531	ENSDARG00000036546;ENSDARG00000043173;ENSDARG00000078452	1.2820486196666667	1.78422	1.1188011012926364	0.6661607519	0.941895	0.5796939985166352	6.604721344333334	5.66041	7.123223246108072	2.06178;1.78422;1.45859E-4	0.941895;1.05652;6.72557E-5	14.153;5.66041;7.54033E-4	0						Exp 2,1(0.2);Exp 4,1(0.2);Linear,3(0.6)	2.0808001478399527	11.507495999336243	1.5848736763000488	4.7073259353637695	1.349182577254568	1.7743475437164307	0.44105280247070366	1.926129541129296	0.2929006438385042	1.058391058441496	-0.13628456262851074	9.778546175828511	DOWN	0.4	0.6	0.0	
R-DRE-168256	Immune System	750	839	71	67	31	54	57	39	68	10	10	108	829	3945	0.0050512	0.99795	0.0091116	1.19	58113;567287;564697;564295;563883;554167;445032;336425;325084;100329531	cd74a;rnf217;pdxkb;traf2a;adgrg11;tnfb;cela1.3;aldoaa;src;hmox2b	ENSDARG00000009087;ENSDARG00000060944;ENSDARG00000036546;ENSDARG00000030173;ENSDARG00000041413;ENSDARG00000013598;ENSDARG00000043173;ENSDARG00000011665;ENSDARG00000008107;ENSDARG00000078452		0.9451471523	0.9677015	1.45859E-4	0.7807790910923861	0.6711238993877164	0.7649409502655123	0.55983004005	0.647472	6.72557E-5	0.43611588966161713	0.41461581432396166	0.46069529544673576	3.2290425882999996	1.971575	7.54033E-4	4.293847426375514	1.8939247502776193	2.9645301366363506					1.58765;0.692913;2.06178;2.08764E-4;1.41954;1.24249;1.78422;0.65227;0.0102539;1.45859E-4	0.976299;0.424155;0.941895;7.86348E-5;0.901895;0.817092;1.05652;0.477852;0.00244651;6.72557E-5	4.19314;1.38873;14.153;0.00152625;3.28744;2.55442;5.66041;1.00405;0.0469556;7.54033E-4	4	6	4	58113;563883;554167;336425	ENSDARG00000009087;ENSDARG00000041413;ENSDARG00000013598;ENSDARG00000011665	1.2254875	1.331015	0.4073022777884585	0.7932845000000001	0.8594935	0.22011739824693538	2.7597625	2.9209300000000002	1.3487903872822489	1.58765;1.41954;1.24249;0.65227	0.976299;0.901895;0.817092;0.477852	4.19314;3.28744;2.55442;1.00405	6	567287;564697;564295;445032;325084;100329531	ENSDARG00000060944;ENSDARG00000036546;ENSDARG00000030173;ENSDARG00000043173;ENSDARG00000008107;ENSDARG00000078452	0.7582535871666667	0.35158345	0.9449783484275985	0.4041937334166666	0.213300755	0.4905259864203161	3.5418959805	0.7178428	5.639295457542261	0.692913;2.06178;2.08764E-4;1.78422;0.0102539;1.45859E-4	0.424155;0.941895;7.86348E-5;1.05652;0.00244651;6.72557E-5	1.38873;14.153;0.00152625;5.66041;0.0469556;7.54033E-4	0						Exp 2,2(0.2);Exp 4,3(0.3);Linear,5(0.5)	2.006733414408499	21.3713880777359	1.5271750688552856	4.7073259353637695	0.9589484881436935	1.805021345615387	0.4612152579515472	1.4290790466484529	0.2895226111662076	0.8301374689337925	0.5676883809506403	5.89039679564936	DOWN	0.4	0.6	0.0	
R-DRE-6798695	Neutrophil degranulation	272	300	33	33	15	25	27	21	30	5	5	113	295	4479	0.25991	0.85899	0.55736	1.67	564697;563883;445032;336425;100329531	pdxkb;adgrg11;cela1.3;aldoaa;hmox2b	ENSDARG00000036546;ENSDARG00000041413;ENSDARG00000043173;ENSDARG00000011665;ENSDARG00000078452		1.1835911718	1.41954	1.45859E-4	0.8471256478174243	0.7724879955929705	0.8826111561175687	0.67564585114	0.901895	6.72557E-5	0.4366552559124458	0.4634957937300453	0.5088309751183496	4.8211308066	3.28744	7.54033E-4	5.65567232566182	2.5446129041167804	4.063585051391147					2.06178;1.41954;1.78422;0.65227;1.45859E-4	0.941895;0.901895;1.05652;0.477852;6.72557E-5	14.153;3.28744;5.66041;1.00405;7.54033E-4	2	3	2	563883;336425	ENSDARG00000041413;ENSDARG00000011665	1.035905	1.035905	0.5425418200010016	0.6898735	0.6898735	0.2998436808146871	2.1457450000000002	2.1457450000000002	1.6146005530935508	1.41954;0.65227	0.901895;0.477852	3.28744;1.00405	3	564697;445032;100329531	ENSDARG00000036546;ENSDARG00000043173;ENSDARG00000078452	1.2820486196666667	1.78422	1.1188011012926364	0.6661607519	0.941895	0.5796939985166352	6.604721344333334	5.66041	7.123223246108072	2.06178;1.78422;1.45859E-4	0.941895;1.05652;6.72557E-5	14.153;5.66041;7.54033E-4	0						Exp 2,1(0.2);Exp 4,1(0.2);Linear,3(0.6)	2.0808001478399527	11.507495999336243	1.5848736763000488	4.7073259353637695	1.349182577254568	1.7743475437164307	0.44105280247070366	1.926129541129296	0.2929006438385042	1.058391058441496	-0.13628456262851074	9.778546175828511	DOWN	0.4	0.6	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	127	141	17	15	6	15	15	12	16	4	4	114	137	4637	0.7471	0.44416	0.58366	2.84	799085;561717;336425;325084	abhd6a;rab27b;aldoaa;src	ENSDARG00000060756;ENSDARG00000087762;ENSDARG00000011665;ENSDARG00000008107		0.16938748915000001	0.0126176	4.47566E-5	0.3219820133671485	0.0853033353350938	0.24313148265982634	0.121213555775	0.003489955	2.23131E-5	0.23776610854236452	0.0596657341557397	0.17926187610303315	0.285099388075	0.06812560000000001	9.63523E-5	0.48068295164676134	0.1565820427844048	0.3657591387075643					4.47566E-5;0.0149813;0.65227;0.0102539	2.23131E-5;0.0045334;0.477852;0.00244651	9.63523E-5;0.0892956;1.00405;0.0469556	1	3	1	336425	ENSDARG00000011665	0.65227	0.65227		0.477852	0.477852		1.00405	1.00405		0.65227	0.477852	1.00405	3	799085;561717;325084	ENSDARG00000060756;ENSDARG00000087762;ENSDARG00000008107	0.0084266522	0.0102539	0.00763408200617301	0.0023340743666666664	0.00244651	0.002257644255317964	0.045449184100000005	0.0469556	0.04461870027476505	4.47566E-5;0.0149813;0.0102539	2.23131E-5;0.0045334;0.00244651	9.63523E-5;0.0892956;0.0469556	0						Exp 4,3(0.75);Linear,1(0.25)	1.7888129327251865	7.237839102745056	1.5271750688552856	2.22160005569458	0.3209138278672902	1.7445319890975952	-0.14615488394980553	0.48492986224980555	-0.11179723059651722	0.3542243421465172	-0.18596990453882606	0.7561686806888261	DOWN	0.25	0.75	0.0	
R-DRE-76005	Response to elevated platelet cytosolic Ca2+	60	71	11	10	3	11	10	10	10	2	2	116	69	4705	0.75546	0.51492	0.68934	2.82	561717;336425	rab27b;aldoaa	ENSDARG00000087762;ENSDARG00000011665		0.33362565	0.33362565	0.0149813	0.45063116134355935	0.19972279324324324	0.4089113516137745	0.2411927	0.2411927	0.0045334	0.334686791721723	0.14174214847428074	0.30370120868287714	0.5466728000000001	0.5466728000000001	0.0892956	0.6468290393602315	0.3544706985178727	0.5869450660252526					0.0149813;0.65227	0.0045334;0.477852	0.0892956;1.00405	1	1	1	336425	ENSDARG00000011665	0.65227	0.65227		0.477852	0.477852		1.00405	1.00405		0.65227	0.477852	1.00405	1	561717	ENSDARG00000087762	0.0149813	0.0149813		0.0045334	0.0045334		0.0892956	0.0892956		0.0149813	0.0045334	0.0892956	0						Exp 4,1(0.5);Linear,1(0.5)	1.7372107195557633	3.4890639781951904	1.5848736763000488	1.9041903018951416	0.22579095130389598	1.7445319890975952	-0.29091727599999995	0.9581685759999999	-0.222659528	0.705044928	-0.349786512	1.4431321120000002	CONFLICT	0.5	0.5	0.0	
R-DRE-1430728	Metabolism	994	1029	145	135	51	116	118	85	141	25	25	93	1004	3770	0.56978	0.52081	1.0	2.43	793671;791142;751638;570455;566378;566367;564697;563806;562619;562402;560393;559020;556280;553671;553440;544666;450013;445194;387365;336425;30733;30084;101887155;100329531;100002015	csgalnact1a;sacm1lb;cox5b2;cyp7b1;cabz01087514.1;abcd1;pdxkb;plpp2a;adcy5;phka1b;cspg4;ptgs2b;cyp2u1;ak8;acot20;ptges;nudt3b;zgc:101040;gpc3;aldoaa;rrm2;nme2b.2;pnpla2;hmox2b;cds1	ENSDARG00000040535;ENSDARG00000059806;ENSDARG00000068738;ENSDARG00000008858;ENSDARG00000090861;ENSDARG00000074876;ENSDARG00000036546;ENSDARG00000002231;ENSDARG00000091342;ENSDARG00000105039;ENSDARG00000078227;ENSDARG00000010276;ENSDARG00000026548;ENSDARG00000030961;ENSDARG00000042510;ENSDARG00000020136;ENSDARG00000042123;ENSDARG00000005176;ENSDARG00000032199;ENSDARG00000011665;ENSDARG00000078069;ENSDARG00000099420;ENSDARG00000089390;ENSDARG00000078452;ENSDARG00000019549		0.7440946836879999	0.65227	5.1848E-5	0.7929205559919019	0.5615387182064072	0.681711843886769	0.411652161076	0.477852	1.86812E-5	0.4214330435117709	0.334624742038088	0.3972314500379856	2.9977373876400004	1.00405	1.20476E-4	4.515353254080677	1.7346285235189691	3.089032769065462					5.1848E-5;0.0102385;0.142396;6.36986E-5;1.98175;1.0244E-4;2.06178;2.24787E-4;1.06878;0.702084;2.23203E-4;1.40026;1.0059;1.58522;5.74061E-5;0.00441052;1.96817;8.94075E-5;1.4739;0.65227;1.23258;1.39319;1.91837;1.45859E-4;1.09423E-4	2.38132E-5;0.00483745;0.0275399;1.86812E-5;0.901968;3.16528E-5;0.941895;8.0552E-5;0.649555;0.51018;8.13566E-5;0.892994;0.599762;1.07577;2.77717E-5;0.00125341;0.935238;2.66764E-5;0.718971;0.477852;0.886099;0.889709;0.777275;6.72557E-5;4.75073E-5	1.20476E-4;0.0314131;0.663621;1.72532E-4;12.3423;4.79779E-4;14.153;0.00103726;2.39398;1.10115;0.00174786;3.19819;2.26888;3.40186;1.36536E-4;0.0174657;11.1714;3.11028E-4;5.32064;1.00405;2.11952;3.16609;12.5847;7.54033E-4;4.15387E-4	7	18	7	751638;562402;559020;553671;336425;30733;30084	ENSDARG00000068738;ENSDARG00000105039;ENSDARG00000010276;ENSDARG00000030961;ENSDARG00000011665;ENSDARG00000078069;ENSDARG00000099420	1.0154285714285716	1.23258	0.5251778713854497	0.680020557142857	0.886099	0.36144659007379365	2.0934972857142857	2.11952	1.1761154998404302	0.142396;0.702084;1.40026;1.58522;0.65227;1.23258;1.39319	0.0275399;0.51018;0.892994;1.07577;0.477852;0.886099;0.889709	0.663621;1.10115;3.19819;3.40186;1.00405;2.11952;3.16609	18	793671;791142;570455;566378;566367;564697;563806;562619;560393;556280;553440;544666;450013;445194;387365;101887155;100329531;100002015	ENSDARG00000040535;ENSDARG00000059806;ENSDARG00000008858;ENSDARG00000090861;ENSDARG00000074876;ENSDARG00000036546;ENSDARG00000002231;ENSDARG00000091342;ENSDARG00000078227;ENSDARG00000026548;ENSDARG00000042510;ENSDARG00000020136;ENSDARG00000042123;ENSDARG00000005176;ENSDARG00000032199;ENSDARG00000089390;ENSDARG00000078452;ENSDARG00000019549	0.6385759495666666	0.0023176535	0.8649621279103128	0.3072866737166667	6.673833E-4	0.4042762347619741	3.3493863161666666	0.00960678	5.275208931636915	5.1848E-5;0.0102385;6.36986E-5;1.98175;1.0244E-4;2.06178;2.24787E-4;1.06878;2.23203E-4;1.0059;5.74061E-5;0.00441052;1.96817;8.94075E-5;1.4739;1.91837;1.45859E-4;1.09423E-4	2.38132E-5;0.00483745;1.86812E-5;0.901968;3.16528E-5;0.941895;8.0552E-5;0.649555;8.13566E-5;0.599762;2.77717E-5;0.00125341;0.935238;2.66764E-5;0.718971;0.777275;6.72557E-5;4.75073E-5	1.20476E-4;0.0314131;1.72532E-4;12.3423;4.79779E-4;14.153;0.00103726;2.39398;0.00174786;2.26888;1.36536E-4;0.0174657;11.1714;3.11028E-4;5.32064;12.5847;7.54033E-4;4.15387E-4	0						Exp 2,9(0.36);Exp 4,12(0.48);Linear,4(0.16)	1.7920858305583647	45.17207217216492	1.5365742444992065	2.3291783332824707	0.24463105656477446	1.7616486549377441	0.4332698257391746	1.0549195416368256	0.24645040801938572	0.5768539141326141	1.2277189120403742	4.767755863239625	DOWN	0.28	0.72	0.0	
R-DRE-156580	Phase II - Conjugation of compounds	46	48	10	7	1	10	5	5	10	1	1	117	47	4727	0.677	0.69203	1.0	2.08	445194	zgc:101040	ENSDARG00000005176		8.94075E-5	8.94075E-5	8.94075E-5		8.94075E-5		2.66764E-5	2.66764E-5	2.66764E-5		2.66764E-5		3.11028E-4	3.11028E-4	3.11028E-4		3.11028E-4						8.94075E-5	2.66764E-5	3.11028E-4	0	1	0															1	445194	ENSDARG00000005176	8.94075E-5	8.94075E-5		2.66764E-5	2.66764E-5		3.11028E-4	3.11028E-4		8.94075E-5	2.66764E-5	3.11028E-4	0						Exp 4,1(1)	1.875024676322937	1.875024676322937	1.875024676322937	1.875024676322937	0.0	1.875024676322937	8.94075E-5	8.94075E-5	2.66764E-5	2.66764E-5	3.11028E-4	3.11028E-4	DOWN	0.0	1.0	0.0	
R-DRE-156582	Acetylation	2	2	1	1	1	1	1	1	1	1	1	117	1	4773	0.99942	0.047665	0.047665	50.0	445194	zgc:101040	ENSDARG00000005176		8.94075E-5	8.94075E-5	8.94075E-5		8.94075E-5		2.66764E-5	2.66764E-5	2.66764E-5		2.66764E-5		3.11028E-4	3.11028E-4	3.11028E-4		3.11028E-4		0.0	8.94075E-5	0.0	8.94075E-5	8.94075E-5	2.66764E-5	3.11028E-4	0	1	0															1	445194	ENSDARG00000005176	8.94075E-5	8.94075E-5		2.66764E-5	2.66764E-5		3.11028E-4	3.11028E-4		8.94075E-5	2.66764E-5	3.11028E-4	0						Exp 4,1(1)	1.875024676322937	1.875024676322937	1.875024676322937	1.875024676322937	0.0	1.875024676322937	8.94075E-5	8.94075E-5	2.66764E-5	2.66764E-5	3.11028E-4	3.11028E-4	DOWN	0.0	1.0	0.0	
