GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	287	307	5	5	5	4	4	3	5	3	3	30	304	4555	0.85051	0.34306	0.46001	0.98	58113;378480;100004856	cd74a;pdgfaa;si:ch211-137i24.12	ENSDARG00000009087;ENSDARG00000110069;ENSDARG00000094537	378480(-0.04985)	0.8662813333333333	1.15243	0.197364	0.5813102916905337	1.002582982292769	0.48409178616774456	0.552733	0.753221	0.103475	0.3898170735152579	0.6451693377777779	0.32479652683195254	2.2096633333333333	2.39459	1.46941	0.667293254973653	2.3463278567901233	0.5616577921836418					1.24905;0.197364;1.15243	0.801503;0.103475;0.753221	2.76499;1.46941;2.39459	3	0	3	58113;378480;100004856	ENSDARG00000009087;ENSDARG00000110069;ENSDARG00000094537	0.8662813333333333	1.15243	0.5813102916905337	0.552733	0.753221	0.3898170735152579	2.2096633333333333	2.39459	0.667293254973653	1.24905;0.197364;1.15243	0.801503;0.103475;0.753221	2.76499;1.46941;2.39459	0															0						Linear,2(0.67);Poly 2,1(0.34)	1.9831411671737829	6.028947949409485	1.7128469944000244	2.4800963401794434	0.4120464190542382	1.836004614830017	0.20846681268848355	1.5240958539781833	0.11161345503565728	0.9938525449643427	1.4545499301739109	2.9647767364927557	UP	1.0	0.0	0.0	
R-DRE-114608	Platelet degranulation 	60	69	1	1	1	1	1	1	1	1	1	32	68	4791	0.92175	0.3752	0.3752	1.45	378480	pdgfaa	ENSDARG00000110069	378480(-0.04985)	0.197364	0.197364	0.197364		0.197364		0.103475	0.103475	0.103475		0.103475		1.46941	1.46941	1.46941		1.46941						0.197364	0.103475	1.46941	1	0	1	378480	ENSDARG00000110069	0.197364	0.197364		0.103475	0.103475		1.46941	1.46941		0.197364	0.103475	1.46941	0															0						Poly 2,1(1)	1.7128469944000244	1.7128469944000244	1.7128469944000244	1.7128469944000244	0.0	1.7128469944000244	0.197364	0.197364	0.103475	0.103475	1.46941	1.46941	UP	1.0	0.0	0.0	
R-DRE-168249	Innate Immune System	470	502	6	6	5	5	4	3	6	2	2	31	500	4359	0.32694	0.86688	0.57322	0.4	100535437;100004856	ano6;si:ch211-137i24.12	ENSDARG00000061544;ENSDARG00000094537		0.677152	0.677152	0.201874	0.6721445934975601	0.7407411477759328	0.6661014901186315	0.4290795	0.4290795	0.104938	0.4584053054279587	0.4724475535261732	0.45428388471439535	1.9064999999999999	1.9064999999999999	1.41841	0.6902634976586844	1.9718033111946167	0.6840574912198825					0.201874;1.15243	0.104938;0.753221	1.41841;2.39459	1	1	1	100004856	ENSDARG00000094537	1.15243	1.15243		0.753221	0.753221		2.39459	2.39459		1.15243	0.753221	2.39459	1	100535437	ENSDARG00000061544	0.201874	0.201874		0.104938	0.104938		1.41841	1.41841		0.201874	0.104938	1.41841	0						Linear,1(0.5);Poly 2,1(0.5)	1.6637720787660757	3.3437010049819946	1.5076963901519775	1.836004614830017	0.2321489719891584	1.6718505024909973	-0.25439288000000015	1.60869688	-0.2062378399999999	1.0643968400000001	0.9498435999999999	2.8631564	CONFLICT	0.5	0.5	0.0	
R-DRE-168256	Immune System	762	839	10	9	7	9	7	6	10	4	4	29	835	4024	0.309	0.84226	0.64207	0.48	58113;567287;100535437;100004856	cd74a;rnf217;ano6;si:ch211-137i24.12	ENSDARG00000009087;ENSDARG00000060944;ENSDARG00000061544;ENSDARG00000094537		0.84139975	0.9573375	0.201874	0.475456693471568	0.8799009373610283	0.5005202806734388	0.5281855	0.6031505	0.104938	0.32151864355119447	0.5588611074895602	0.33812891424508007	2.0645499999999997	2.0374	1.41841	0.6230989034388265	2.1530870876945603	0.6229153637968156					1.24905;0.762245;0.201874;1.15243	0.801503;0.45308;0.104938;0.753221	2.76499;1.68021;1.41841;2.39459	2	2	2	58113;100004856	ENSDARG00000009087;ENSDARG00000094537	1.2007400000000001	1.2007400000000001	0.0683206571982398	0.777362	0.777362	0.03414052960925122	2.57979	2.57979	0.26191235175149574	1.24905;1.15243	0.801503;0.753221	2.76499;2.39459	2	567287;100535437	ENSDARG00000060944;ENSDARG00000061544	0.4820595	0.4820595	0.3962421340802867	0.279009	0.279009	0.24617356901584703	1.54931	1.54931	0.18512055531463784	0.762245;0.201874	0.45308;0.104938	1.68021;1.41841	0						Exp 2,1(0.25);Linear,2(0.5);Poly 2,1(0.25)	1.8832769545884596	7.656114101409912	1.5076963901519775	2.4800963401794434	0.4075549529011993	1.8341606855392456	0.37545219039786326	1.3073473096021369	0.21309722931982944	0.8432737706801705	1.4539130746299511	2.675186925370049	CONFLICT	0.5	0.5	0.0	
R-DRE-6798695	Neutrophil degranulation	276	300	3	3	2	2	2	2	3	1	1	32	299	4560	0.39006	0.87699	0.71989	0.33	100535437	ano6	ENSDARG00000061544		0.201874	0.201874	0.201874		0.201874		0.104938	0.104938	0.104938		0.104938		1.41841	1.41841	1.41841		1.41841						0.201874	0.104938	1.41841	0	1	0															1	100535437	ENSDARG00000061544	0.201874	0.201874		0.104938	0.104938		1.41841	1.41841		0.201874	0.104938	1.41841	0						Poly 2,1(1)	1.5076963901519775	1.5076963901519775	1.5076963901519775	1.5076963901519775	0.0	1.5076963901519775	0.201874	0.201874	0.104938	0.104938	1.41841	1.41841	DOWN	0.0	1.0	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	130	141	1	1	1	1	1	1	1	1	1	32	140	4719	0.75412	0.62029	0.62029	0.71	378480	pdgfaa	ENSDARG00000110069	378480(-0.04985)	0.197364	0.197364	0.197364		0.197364		0.103475	0.103475	0.103475		0.103475		1.46941	1.46941	1.46941		1.46941						0.197364	0.103475	1.46941	1	0	1	378480	ENSDARG00000110069	0.197364	0.197364		0.103475	0.103475		1.46941	1.46941		0.197364	0.103475	1.46941	0															0						Poly 2,1(1)	1.7128469944000244	1.7128469944000244	1.7128469944000244	1.7128469944000244	0.0	1.7128469944000244	0.197364	0.197364	0.103475	0.103475	1.46941	1.46941	UP	1.0	0.0	0.0	
R-DRE-76005	Response to elevated platelet cytosolic Ca2+	62	71	1	1	1	1	1	1	1	1	1	32	70	4789	0.91779	0.38372	0.38372	1.41	378480	pdgfaa	ENSDARG00000110069	378480(-0.04985)	0.197364	0.197364	0.197364		0.197364		0.103475	0.103475	0.103475		0.103475		1.46941	1.46941	1.46941		1.46941						0.197364	0.103475	1.46941	1	0	1	378480	ENSDARG00000110069	0.197364	0.197364		0.103475	0.103475		1.46941	1.46941		0.197364	0.103475	1.46941	0															0						Poly 2,1(1)	1.7128469944000244	1.7128469944000244	1.7128469944000244	1.7128469944000244	0.0	1.7128469944000244	0.197364	0.197364	0.103475	0.103475	1.46941	1.46941	UP	1.0	0.0	0.0	
R-DRE-1430728	Metabolism	1003	1029	19	19	11	14	18	11	19	5	5	28	1024	3835	0.2775	0.85385	0.52247	0.49	572074;569989;562402;554842;30733	prkaa2;ca5a;phka1b;acot11a;rrm2	ENSDARG00000060641;ENSDARG00000101778;ENSDARG00000105039;ENSDARG00000058229;ENSDARG00000078069		0.9527479399999998	1.003	0.0114507	0.6889959780253204	0.7821022118435755	0.6197212501588335	0.571092348	0.6174	0.00434174	0.3563292768786554	0.49851256837430163	0.35128774788474143	3.35956046	1.92367	0.0533523	4.558613773019113	2.2292792693715087	3.545630993886231					0.0114507;1.003;0.723909;1.91942;1.10596	0.00434174;0.6174;0.510668;0.939555;0.783497	0.0533523;2.24183;1.20455;11.3744;1.92367	2	3	2	562402;30733	ENSDARG00000105039;ENSDARG00000078069	0.9149345	0.9149345	0.27015085285910173	0.6470825	0.6470825	0.19291923600434419	1.56411	1.56411	0.5084946284868713	0.723909;1.10596	0.510668;0.783497	1.20455;1.92367	3	572074;569989;554842	ENSDARG00000060641;ENSDARG00000101778;ENSDARG00000058229	0.9779569	1.003	0.9542311460431532	0.5204322466666667	0.6174	0.4750873807099517	4.556527433333334	2.24183	6.004989459801638	0.0114507;1.003;1.91942	0.00434174;0.6174;0.939555	0.0533523;2.24183;11.3744	0						Exp 2,3(0.6);Exp 4,1(0.2);Linear,1(0.2)	1.5687067253133724	7.8485027551651	1.5052392482757568	1.6661735773086548	0.06290654028649513	1.5539655685424805	0.3488163375092813	1.5566795424907185	0.258755965694185	0.8834287303058149	-0.6362406896179125	7.355361609617912	DOWN	0.4	0.6	0.0	
R-DRE-211859	Biological oxidations	110	112	3	3	1	2	3	2	3	0	0	33	112	4747	0.46448	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-15869	Metabolism of nucleotides	54	54	1	1	1	1	1	1	1	1	1	32	53	4806	0.94922	0.30754	0.30754	1.85	30733	rrm2	ENSDARG00000078069		1.10596	1.10596	1.10596		1.10596		0.783497	0.783497	0.783497		0.783497		1.92367	1.92367	1.92367		1.9236699999999998						1.10596	0.783497	1.92367	1	0	1	30733	ENSDARG00000078069	1.10596	1.10596		0.783497	0.783497		1.92367	1.92367		1.10596	0.783497	1.92367	0															0						Exp 2,1(1)	1.59307861328125	1.59307861328125	1.59307861328125	1.59307861328125	0.0	1.59307861328125	1.10596	1.10596	0.783497	0.783497	1.92367	1.92367	UP	1.0	0.0	0.0	
