N_unmapped	1425779	1425779	1425779
N_multimapping	1205941	1205941	1205941
N_noFeature	3877346	32017119	4046372
N_ambiguous	820998	22201	262595
ENSDARG00000102141	392	1	391
ENSDARG00000102123	324	1	323
ENSDARG00000114503	836	1	835
ENSDARG00000115971	43	0	43
ENSDARG00000098311	517	12	505
ENSDARG00000104839	920	5	915
ENSDARG00000100143	748	2	746
ENSDARG00000102474	803	1	802
ENSDARG00000104049	957	13	945
ENSDARG00000102226	308	71	237
ENSDARG00000103095	1408	7	1401
ENSDARG00000102128	725	0	725
ENSDARG00000110470	568	0	568
ENSDARG00000100422	799	4	795
ENSDARG00000104632	138	0	138
ENSDARG00000100660	114	0	114
ENSDARG00000113107	8	0	8
ENSDARG00000099787	46	0	46
ENSDARG00000112451	13	0	13
ENSDARG00000070546	2	0	2
ENSDARG00000045914	3655	17	3638
ENSDARG00000045913	564	17	549
ENSDARG00000045911	1124	0	1126
ENSDARG00000045910	846	54	805
ENSDARG00000045909	379	11	382
ENSDARG00000025073	30625	23	30602
ENSDARG00000084828	0	0	0
ENSDARG00000095951	1	0	1
ENSDARG00000093924	1	0	1
ENSDARG00000108269	0	0	0
ENSDARG00000084451	0	0	0
ENSDARG00000031737	25	0	25
ENSDARG00000099652	1371	5	1366
ENSDARG00000101047	447	2	807
ENSDARG00000102104	0	362	0
ENSDARG00000099833	379	1	378
ENSDARG00000103870	31	11	20
ENSDARG00000096118	331	0	338
ENSDARG00000045900	595	10	592
ENSDARG00000016968	1352	17	1335
ENSDARG00000102878	1155	2	1153
ENSDARG00000059311	3782	15	3767
ENSDARG00000017386	201	0	201
ENSDARG00000045898	1182	2	1180
ENSDARG00000006060	529	2	527
ENSDARG00000113105	2	2	0
ENSDARG00000103050	4	0	4
ENSDARG00000070535	7	0	7
ENSDARG00000013789	8	0	8
ENSDARG00000063686	234	0	234
ENSDARG00000087962	597	2	734
ENSDARG00000099313	1293	146	1286
ENSDARG00000103102	48	0	48
ENSDARG00000104018	3260	4	3256
ENSDARG00000102157	3	0	3
ENSDARG00000098612	35	0	35
ENSDARG00000100898	0	0	0
ENSDARG00000102340	1992	7	1985
ENSDARG00000111388	462	4	458
ENSDARG00000025601	4	0	4
ENSDARG00000063672	553	0	553
ENSDARG00000018149	5220	12	5208
ENSDARG00000095920	0	0	0
ENSDARG00000045886	3608	6	3602
ENSDARG00000045885	1570	2	1568
ENSDARG00000007413	1408	2	1406
ENSDARG00000097341	60	0	60
ENSDARG00000045880	280	1	279
ENSDARG00000009657	525	4	521
ENSDARG00000093658	885	0	888
ENSDARG00000026839	298	3	298
ENSDARG00000016979	398	63	976
ENSDARG00000070477	510	590	561
ENSDARG00000045878	424	1	423
ENSDARG00000045877	1780	3	1777
ENSDARG00000079391	401	2	399
ENSDARG00000015921	873	2	871
ENSDARG00000099520	0	0	0
ENSDARG00000061544	65	1	64
ENSDARG00000020812	1	0	1
ENSDARG00000094007	0	0	0
ENSDARG00000093685	4	0	4
ENSDARG00000059196	1	0	1
ENSDARG00000009262	163	1	162
ENSDARG00000018618	2808	13	2795
ENSDARG00000045874	241	1	364
ENSDARG00000057468	162	124	162
ENSDARG00000045873	69	0	69
ENSDARG00000079143	127	0	127
ENSDARG00000057714	553	2	551
ENSDARG00000045224	11	4	9
ENSDARG00000011246	406	3	405
ENSDARG00000053709	70	2	68
ENSDARG00000099129	192	0	192
ENSDARG00000101813	5103	26	5077
ENSDARG00000039724	68	0	68
ENSDARG00000070441	396	6	390
ENSDARG00000011961	756	282	474
ENSDARG00000008986	172	1	171
ENSDARG00000008235	369	2	367
ENSDARG00000107595	0	0	0
ENSDARG00000004592	253	1	252
ENSDARG00000006567	131	0	131
ENSDARG00000016231	194	15	179
ENSDARG00000016749	192	15	177
ENSDARG00000004227	281	26	255
ENSDARG00000006038	807	4	803
ENSDARG00000045870	1339	4	1335
ENSDARG00000098551	114	1	113
ENSDARG00000060248	47	1	46
ENSDARG00000017757	209	0	209
ENSDARG00000030598	769	3	766
ENSDARG00000077356	36	10	73
ENSDARG00000097907	9	50	6
ENSDARG00000089860	49	2	64
ENSDARG00000097073	0	25	3
ENSDARG00000039843	211	0	220
ENSDARG00000077654	454	3	451
ENSDARG00000112842	1	0	1
ENSDARG00000070414	5	1	4
ENSDARG00000033296	301	7	294
ENSDARG00000006283	1114	11	1103
ENSDARG00000045864	75	1	74
ENSDARG00000045863	4	0	4
ENSDARG00000093470	1	0	1
ENSDARG00000105162	48	8	40
ENSDARG00000107526	47	0	47
ENSDARG00000016691	1303	0	1303
ENSDARG00000101363	618	7	612
ENSDARG00000095042	1	0	2
ENSDARG00000100963	0	255	3
ENSDARG00000115613	0	3	255
ENSDARG00000059043	46	1	45
ENSDARG00000075281	494	1	493
ENSDARG00000023766	728	0	915
ENSDARG00000097286	0	187	0
ENSDARG00000039356	225	0	225
ENSDARG00000059064	191	0	219
ENSDARG00000099725	0	28	0
ENSDARG00000090401	26	0	26
ENSDARG00000063578	393	1	392
ENSDARG00000106466	0	0	0
ENSDARG00000063563	805	4	801
ENSDARG00000039350	338	0	338
ENSDARG00000073963	112	0	112
ENSDARG00000069607	710	0	710
ENSDARG00000059053	525	4	528
ENSDARG00000092677	89	14	469
ENSDARG00000020871	1554	401	1539
ENSDARG00000039346	1788	0	1788
ENSDARG00000101565	27	0	27
