Benchmark Dose Analyses
Data Source: DBP_DESeq_normData
Work Source: DBP_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 10/05/2022 13:01.05
Operating System: Windows 10
BMDS Major Version: 3.x with shared library/DLL
hill version: Hill EPA BMDS MLE ToxicR
power version: Power EPA BMDS MLE ToxicR
linear version: Linear EPA BMDS MLE ToxicR
poly 2 version: Poly 2 EPA BMDS MLE ToxicR
poly 3 version: Poly 3 EPA BMDS MLE ToxicR
exponential 3 version: Exponential 3 EPA BMDS MLE ToxicR
exponential 5 version: Exponential 5 EPA BMDS MLE ToxicR
Models fit: hill, power, linear, poly 2, poly 3, exponential 3, exponential 5
Constant Variance: 1
BMR Type: Standard Deviation
BMR Factor: 1.0
Highest Dose: 3.0
Lowest Positive Dose: 3.000000142492354E-4
Best Model Selection: Lowest AIC
Fit Selected Models with Multiple Threads: 4
Number of Available Processors On Machine: 8
BMDL and BMDU Model Selection: Compute and utilize BMD and BMDL in best model selection
Use Wald (Fast BMD): true
Flag Hill Model with 'k' Parameter <: 1/3 of Lowest Positive Dose
Best Model Selection with Flagged Hill Model: Select Next Best Model with P-Value > 0.05
Total Run Time: 187 seconds
Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill
ENSDARG00000104839	Linear		100009658	mansc1	0.916662	0.585796	1.4344	0.44418429971610696	-72.27562200192992	150.55124400385984	-1	1.5648143722388	true	763.719	-81.8913		
ENSDARG00000099821	Linear				1.23082	0.718928	2.1072	0.016818075641455432	-38.75192200192991	83.50384400385983	-1	1.7120212316115104	true	39.7998	-6.52592		
ENSDARG00000097175	Linear				1.68349	0.852986	3.32261	0.010857285212947265	-19.57272200192991	45.14544400385982	-1	1.9736431781998764	true	7.13382	-1.32841		
ENSDARG00000032242	Linear		353248	tnnt2c	0.915295	0.585196	1.4316	0.12441660435410351	-50.72982200192992	107.45964400385984	1	1.564082803026678	true	101.634	19.5017		
ENSDARG00000022550	Linear		556315	gxylt1b	1.48453	0.802094	2.7476	0.3545492798278803	-39.95662200192991	85.91324400385982	1	1.8508179839270709	true	41.3321	5.86309		
ENSDARG00000004904	Linear		373082	gys2	0.705773	0.475731	1.04705	0.10783874212044897	-72.65082200192991	151.30164400385982	-1	1.4835547820091606	true	665.995	-109.054		
ENSDARG00000016815	Linear		566485	casc1	1.82249	0.882764	3.76259	0.1787807087712011	-33.374622001929914	72.74924400385983	1	2.0645268724143713	true	23.9942	3.0795		
ENSDARG00000073959	Exp 5		100003610	pmch	0.00266966	6.11674E-9	1165.18	0.9919612968604932	-34.25592200192991	78.51184400385982	-1	436451.44308896567	true	47.2341	0.0698223	4.5399929762484875E-5	0.233447		
ENSDARG00000032639	Linear		436636	cd36	0.867899	0.561853	1.34065	0.9732867299504229	-102.64392200192991	211.28784400385982	-1	1.5447083133844617	true	4362.92	-654.994		
ENSDARG00000045516	Linear		406280	itih2	0.888787	0.57221	1.38051	0.010897456490041257	-85.88042200192992	177.76084400385983	-1	1.5532531762814352	true	1610.87	-209.193		
ENSDARG00000087293	Linear		108183562	si:dkey-84h14.1	12.7639	0.126788	1284.96	1.7940417668116382E-6	-22.979022001929913	51.958044003859825	1	100.6711991671136	true	8.71484	0.219877		
ENSDARG00000110787	Linear				1.96984	0.9066	4.28004	0.27410772487246404	-28.66452200192991	63.32904400385982	1	2.1727774101036843	true	15.4031	2.08135		
ENSDARG00000088836	Linear				1.07621	0.657848	1.76063	0.4587531982848736	-43.80692200192991	93.61384400385982	-1	1.6359554182729144	true	69.1156	-10.4543		
ENSDARG00000092000	Linear				1.91892	0.900805	4.08772	0.2541512138756411	-25.248722001929913	56.497444003859826	1	2.1302279627666367	true	12.4553	1.70146		
ENSDARG00000087645	Linear		110439525	znf1064	1.42186	0.781785	2.58597	0.03246335727358085	-20.85032200192991	47.70064400385982	1	1.8187353300459845	true	8.74378	1.71268		
ENSDARG00000115588	Linear				2.70264	0.972565	7.51033	0.004114846208551515	-25.26102200192991	56.52204400385982	1	2.778878532540242	true	8.21425	1.20905		
ENSDARG00000098145	Linear		108183449	bx572628.1	5.13447	0.781173	33.7477	7.017398501605321E-4	-39.22812200192991	84.45624400385982	1	6.572769412153262	true	23.6408	1.61483		
ENSDARG00000098884	Linear				2.46953	0.962344	6.3372	1.0181035254441806E-4	-30.43522200192991	66.87044400385982	1	2.56616137264845	true	13.3794	1.86822		
ENSDARG00000110637	Linear				2.03367	0.917499	4.50771	0.018776406076137953	-42.66162200192991	91.32324400385983	1	2.2165364757890744	true	46.9823	5.12567		
ENSDARG00000104887	Linear				1.23002	0.718772	2.10491	0.6096829575784852	-27.53162200192991	61.06324400385982	1	1.7112797938706572	true	14.4181	3.09075		
ENSDARG00000100556	Linear				0.867818	0.563452	1.3366	0.13764911794395684	-17.111722001929913	40.223444003859825	1	1.540180884973343	true	6.19518	2.18705		
ENSDARG00000105091	Linear				2.0972	0.925751	4.75101	0.24333857941772397	-28.448022001929914	62.89604400385983	-1	2.2654039801199244	true	9.11455	-1.92694		
ENSDARG00000101514	Hill		562311	ftr64	0.0282943	0.00333047	0.240377	0.10146728265362237	-28.29552200192991	66.59104400385982	1	8.495587709842756	0	19.1719	10.7452	1.0	0.0477069	true	
ENSDARG00000105731	Exp 5		103908715	cr788316.1	0.00390415	3.04006E-10	50138.5	0.9948890014862584	-20.56092200192991	51.12184400385982	-1	1.284234521687072E7	true	10.4997	5.01515	0.16282325363791558	0.292006		
ENSDARG00000089092	Linear		101886221	si:cabz01054394.5	1.82831	0.885524	3.77486	0.012019270044900887	-27.128422001929913	60.256844003859825	1	2.0646645376071118	true	16.9243	2.02419		
ENSDARG00000104166	Linear		108183520	si:ch211-232d10.1	1.43526	0.786806	2.61816	0.0737238552693289	-46.852122001929914	99.70424400385983	-1	1.8241599581091146	true	57.6084	-9.6035		
ENSDARG00000102432	Linear				1.75545	0.869403	3.5445	0.4030494150242495	-32.325822001929915	70.65164400385983	1	2.019144171345164	true	9.98203	2.98121		
ENSDARG00000104108	Linear		326845	slco1d1	0.762809	0.507178	1.14729	0.4326005963796472	-78.88902200192992	163.77804400385983	-1	1.5040261998746	true	1196.54	-152.936		
ENSDARG00000115070	Hill		560359	si:dkeyp-74b6.2	3.87727E-4	5.92391E-76	2.53772E68	0.8165490999894964	-20.14912200192991	50.29824400385982	-1	6.54511969290553E71	0	14.4646	-5.89359	12.8789	4.00866E-4	true	
