Gene Ontology Analyses
GO Category: ALL
GO File Creation Date: 03/16/22
Deduplicate Gene Sets: false
Data Source: DEHP_DESeq_normData
Work Source: DEHP_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 10/10/2022 17:44.43
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 1745
Total Run Time: 3 seconds

GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
all	0	all	17405	18951	168	136	107	120	120	93	168	61	61	0	18890	0	1.0	1.0	1.0	0.32	101886060;101885248;101882922;101882139;100537750;100535600;100330830;100329657;100321723;100319387;100319240;100233211;100191015;100142654;100136860;100124619;100033699;100007523;100004589;100003583;100002502;799479;799022;798021;795372;794872;790965;768300;654692;641503;641422;573111;571832;570547;569261;568750;567764;566848;565516;563073;562573;562469;561889;561829;559020;557185;555344;553800;550426;548604;431774;402994;394198;393484;373873;368241;353247;336038;117509;83780;30079	kdf1b;zmp:0000000951;timp4.1;kcnk17;foxq1a;themis2;nbeal2;ltb4r;si:dkey-192g7.3;fbxo4;serp2;lat;zgc:194221;them6;fam131a;zgc:171704;dre-mir-206-1;si:dkey-79f11.10;rxfp3.2b;si:ch211-145o7.3;trim35-33;adgrg3;si:dkey-224e22.2;syt15;gpr45;pcolceb;si:dkey-286h2.3;myh7l;cxcr3.1;wdr27;zgc:123284;tpmt.2;ubtd1b;uckl1a;pkhd1l1;trim108;blk;zgc:163083;crtac1b;niban2a;hpse2;ptger4a;gra;ftr66;ptgs2b;slc25a35;si:dkey-202e17.1;cep55l;zgc:112146;nr4a3;bgna;dao.3;fosab;cyp2k18;gabbr1a;egr2a;tnnc1a;junbb;klf2b;cry3b;btg2	ENSDARG00000101878;ENSDARG00000089112;ENSDARG00000111805;ENSDARG00000105453;ENSDARG00000030896;ENSDARG00000058964;ENSDARG00000098641;ENSDARG00000032631;ENSDARG00000094012;ENSDARG00000074170;ENSDARG00000094003;ENSDARG00000100334;ENSDARG00000039687;ENSDARG00000103914;ENSDARG00000077022;ENSDARG00000018048;ENSDARG00000082396;ENSDARG00000107486;ENSDARG00000061846;ENSDARG00000061548;ENSDARG00000060838;ENSDARG00000074782;ENSDARG00000034941;ENSDARG00000079926;ENSDARG00000063357;ENSDARG00000052057;ENSDARG00000068290;ENSDARG00000079782;ENSDARG00000007358;ENSDARG00000053386;ENSDARG00000102720;ENSDARG00000028012;ENSDARG00000079623;ENSDARG00000001686;ENSDARG00000091116;ENSDARG00000061762;ENSDARG00000007783;ENSDARG00000099873;ENSDARG00000102517;ENSDARG00000062970;ENSDARG00000078163;ENSDARG00000059236;ENSDARG00000078754;ENSDARG00000005327;ENSDARG00000010276;ENSDARG00000102783;ENSDARG00000062278;ENSDARG00000102349;ENSDARG00000104829;ENSDARG00000055854;ENSDARG00000017884;ENSDARG00000035601;ENSDARG00000031683;ENSDARG00000104593;ENSDARG00000018967;ENSDARG00000044098;ENSDARG00000011400;ENSDARG00000104773;ENSDARG00000040432;ENSDARG00000091131;ENSDARG00000020298		1.4294581950819671	1.45656	0.0206047	0.6054015622020039	1.2486441484576156	0.6138622525737643	0.7292122140983605	0.793582	0.00461884	0.2405888549649178	0.6626212829353583	0.28484826307293354	2.8776353196721307	2.67341	0.0537545	1.677971511971545	2.4032462283523754	1.4594691513203697					1.2903;0.871619;1.21633;1.04613;1.67892;1.51394;1.4265;1.7283;1.67523;0.0308505;1.47999;0.0206047;1.64422;2.0952;1.89313;1.1823;0.0301241;1.10717;1.10253;1.86048;1.62205;1.19073;1.77286;1.25341;2.81697;1.6621;0.913702;2.31205;1.32034;1.70759;2.82425;0.023137;0.0446896;1.81755;1.22936;1.33994;1.43407;1.52585;1.81936;1.41195;1.17536;2.11889;1.48045;1.30731;1.45656;1.14425;1.71079;1.58704;2.48374;1.84797;1.44966;1.08735;0.892502;0.860894;1.63744;1.35128;2.58672;1.78759;0.978687;1.8057;1.51094	0.740209;0.558384;0.714147;0.645144;0.851918;0.813395;0.78421;0.861613;0.850923;0.00668004;0.80024;0.00662581;0.843621;0.925472;0.895526;0.702435;0.0168816;0.670281;0.668801;0.889897;0.839382;0.706038;0.871916;0.727507;0.970476;0.847901;0.584343;0.949619;0.750804;0.856589;0.972908;0.00461884;0.00879777;0.881942;0.718379;0.75712;0.786534;0.813174;0.882875;0.780094;0.698095;0.929347;0.799627;0.745359;0.793582;0.685463;0.858179;0.830211;0.962512;0.887112;0.791608;0.662549;0.574047;0.558367;0.842159;0.760999;0.966664;0.87548;0.614948;0.878956;0.80926	2.2492;1.36057;2.07163;1.69636;3.30872;2.81785;2.59483;3.46679;3.29805;0.142478;2.73715;0.064076;3.2046;4.74336;4.00206;1.99;0.0537545;1.82884;1.81755;3.88965;3.13451;2.00818;3.60474;2.15947;8.17674;3.25815;1.4287;5.62919;2.32191;3.40404;8.19848;0.115899;0.227007;3.7457;2.10381;2.3714;2.61469;2.86311;3.74921;2.55558;1.97891;4.83102;2.74093;2.29295;2.67341;1.91011;3.41046;3.03379;6.40921;3.84956;2.65473;1.78453;1.38762;1.32733;3.18373;2.39942;6.92188;3.64998;1.55758;3.70956;2.82101	48	13	48	101886060;101885248;101882922;101882139;100537750;100535600;100330830;100329657;100321723;100319387;100233211;100124619;100007523;100003583;100002502;799479;799022;798021;794872;790965;768300;654692;641503;641422;573111;571832;569261;568750;567764;566848;563073;562573;561829;559020;557185;555344;550426;548604;431774;402994;394198;393484;368241;353247;336038;117509;83780;30079	ENSDARG00000101878;ENSDARG00000089112;ENSDARG00000111805;ENSDARG00000105453;ENSDARG00000030896;ENSDARG00000058964;ENSDARG00000098641;ENSDARG00000032631;ENSDARG00000094012;ENSDARG00000074170;ENSDARG00000100334;ENSDARG00000018048;ENSDARG00000107486;ENSDARG00000061548;ENSDARG00000060838;ENSDARG00000074782;ENSDARG00000034941;ENSDARG00000079926;ENSDARG00000052057;ENSDARG00000068290;ENSDARG00000079782;ENSDARG00000007358;ENSDARG00000053386;ENSDARG00000102720;ENSDARG00000028012;ENSDARG00000079623;ENSDARG00000091116;ENSDARG00000061762;ENSDARG00000007783;ENSDARG00000099873;ENSDARG00000062970;ENSDARG00000078163;ENSDARG00000005327;ENSDARG00000010276;ENSDARG00000102783;ENSDARG00000062278;ENSDARG00000104829;ENSDARG00000055854;ENSDARG00000017884;ENSDARG00000035601;ENSDARG00000031683;ENSDARG00000104593;ENSDARG00000044098;ENSDARG00000011400;ENSDARG00000104773;ENSDARG00000040432;ENSDARG00000091131;ENSDARG00000020298	1.3682094958333335	1.381615	0.588269468680831	0.7123909679166666	0.7705465	0.23927658467896987	2.698253333333333	2.4775	1.597035897921699	1.2903;0.871619;1.21633;1.04613;1.67892;1.51394;1.4265;1.7283;1.67523;0.0308505;0.0206047;1.1823;1.10717;1.86048;1.62205;1.19073;1.77286;1.25341;1.6621;0.913702;2.31205;1.32034;1.70759;2.82425;0.023137;0.0446896;1.22936;1.33994;1.43407;1.52585;1.41195;1.17536;1.30731;1.45656;1.14425;1.71079;2.48374;1.84797;1.44966;1.08735;0.892502;0.860894;1.35128;2.58672;1.78759;0.978687;1.8057;1.51094	0.740209;0.558384;0.714147;0.645144;0.851918;0.813395;0.78421;0.861613;0.850923;0.00668004;0.00662581;0.702435;0.670281;0.889897;0.839382;0.706038;0.871916;0.727507;0.847901;0.584343;0.949619;0.750804;0.856589;0.972908;0.00461884;0.00879777;0.718379;0.75712;0.786534;0.813174;0.780094;0.698095;0.745359;0.793582;0.685463;0.858179;0.962512;0.887112;0.791608;0.662549;0.574047;0.558367;0.760999;0.966664;0.87548;0.614948;0.878956;0.80926	2.2492;1.36057;2.07163;1.69636;3.30872;2.81785;2.59483;3.46679;3.29805;0.142478;0.064076;1.99;1.82884;3.88965;3.13451;2.00818;3.60474;2.15947;3.25815;1.4287;5.62919;2.32191;3.40404;8.19848;0.115899;0.227007;2.10381;2.3714;2.61469;2.86311;2.55558;1.97891;2.29295;2.67341;1.91011;3.41046;6.40921;3.84956;2.65473;1.78453;1.38762;1.32733;2.39942;6.92188;3.64998;1.55758;3.70956;2.82101	13	100319240;100191015;100142654;100136860;100033699;100004589;795372;570547;565516;562469;561889;553800;373873	ENSDARG00000094003;ENSDARG00000039687;ENSDARG00000103914;ENSDARG00000077022;ENSDARG00000082396;ENSDARG00000061846;ENSDARG00000063357;ENSDARG00000001686;ENSDARG00000102517;ENSDARG00000059236;ENSDARG00000078754;ENSDARG00000102349;ENSDARG00000018967	1.6556072384615386	1.64422	0.6377608084736569	0.7913214307692307	0.843621	0.24466736965639527	3.5399688076923086	3.2046	1.8666645658281715	1.47999;1.64422;2.0952;1.89313;0.0301241;1.10253;2.81697;1.81755;1.81936;2.11889;1.48045;1.58704;1.63744	0.80024;0.843621;0.925472;0.895526;0.0168816;0.668801;0.970476;0.881942;0.882875;0.929347;0.799627;0.830211;0.842159	2.73715;3.2046;4.74336;4.00206;0.0537545;1.81755;8.17674;3.7457;3.74921;4.83102;2.74093;3.03379;3.18373	0						Exp 5,1(0.02);Hill,4(0.07);Linear,56(0.92)	1.886980318821801	117.2665845155716	1.5037901401519775	3.464993715286255	0.40704810459096064	1.812074899673462	1.2775312899055102	1.581385100258425	0.668835891279142	0.7895885369175794	2.456544535134256	3.298726104210008	UP	0.7868852459016393	0.21311475409836064	0.0	
GO:0000003	2	reproduction	5	5	1	1	1	1	1	0	1	0	0	61	5	18885	0.98401	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000070	6	mitotic sister chromatid segregation	16	17	1	0	0	1	1	0	1	0	0	61	17	18873	0.94664	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000075	6	cell cycle checkpoint signaling	58	62	2	1	0	2	2	1	2	0	0	61	62	18828	0.81856	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000076	8	DNA replication checkpoint signaling	10	11	1	0	0	1	1	0	1	0	0	61	11	18879	0.96515	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000077	8	DNA damage checkpoint signaling	32	33	1	1	0	1	1	1	1	0	0	61	33	18857	0.89899	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000079	8	regulation of cyclin-dependent protein serine/threonine kinase activity	32	34	1	1	0	1	1	1	1	0	0	61	34	18856	0.89609	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000082	6	G1/S transition of mitotic cell cycle	14	15	1	0	0	0	0	0	1	0	0	61	15	18875	0.95277	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000086	6	G2/M transition of mitotic cell cycle	11	11	1	0	0	1	1	0	1	0	0	61	11	18879	0.96515	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000118	4	histone deacetylase complex	50	50	1	0	0	0	0	0	1	0	0	61	50	18840	0.85094	1.0	1.0	0.0																														0	0	0															0															0																							
