Gene Ontology Analyses
GO Category: ALL
GO File Creation Date: 03/16/22
Deduplicate Gene Sets: false
Data Source: DEHP_ds_DESeq_normData
Work Source: DEHP_ds_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 10/10/2022 17:44.45
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 1908
Total Run Time: 2 seconds

GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
all	0	all	16871	18951	217	177	133	165	165	140	217	85	85	0	18866	0	1.0	1.0	1.0	0.45	108180329;102997062;101886109;101883306;101882450;101882139;100537750;100537506;100535600;100333040;100330830;100321723;100307104;100151233;100148532;100148290;100038777;100037377;100009655;100006464;100002234;799479;798285;798008;796425;794170;793616;792465;791206;768300;768172;768128;767803;767665;664708;619252;574425;573743;571208;569583;569167;567243;566996;566848;566684;566487;564559;563172;563096;563073;562155;561683;561021;559959;559768;559754;559020;557914;556854;555635;555377;553670;553389;548604;541517;445048;437014;415134;415103;407978;406340;402928;394198;393484;393269;378993;353222;336575;336038;286748;117509;84040;58055;30697;30079	thbd;il1fma;styk1a;rxfp3.3b;slf1;kcnk17;foxq1a;si:ch211-125m10.6;themis2;si:ch1073-165f9.2;nbeal2;si:dkey-192g7.3;caly;si:dkeyp-3f10.14;paqr4b;si:dkey-43k4.5;wu:fj05g07;kcnc2;etv7;si:dkey-27j5.5;zgc:173709;adgrg3;rem2;acot9.2;card9;scml4;tmem179b;mturn;pdk3b;myh7l;zgc:153911;cst14b.1;catip;galnt10;lmod2b;cep19;zgc:114041;zbtb41;kcna1b;si:rp71-77l1.1;pkhd1l1;camkva;si:dkey-11k2.7;zgc:163083;ubn1;gbgt1l2;zgc:162730;etf1a;tagln3a;niban2a;klf4;nt5c1bb;casp22;ids;fthl30;tmprss13a;ptgs2b;nphs2;tor1l2;fndc5b;zgc:162780;klf7a;haus1;nr4a3;mtmr1b;dnal1;rnpep;mafga;tph1b;cdh23;dusp1;sp6;fosab;cyp2k18;bbs5;satb1a;gnrh2;grn2;junbb;b3gnt7;klf2b;clic3;hoxa5a;nkx2.2a;btg2	ENSDARG00000092470;ENSDARG00000089383;ENSDARG00000070950;ENSDARG00000059348;ENSDARG00000102118;ENSDARG00000105453;ENSDARG00000030896;ENSDARG00000086661;ENSDARG00000058964;ENSDARG00000073876;ENSDARG00000098641;ENSDARG00000094012;ENSDARG00000036008;ENSDARG00000055467;ENSDARG00000074160;ENSDARG00000026084;ENSDARG00000061481;ENSDARG00000057468;ENSDARG00000089434;ENSDARG00000026383;ENSDARG00000090160;ENSDARG00000074782;ENSDARG00000074064;ENSDARG00000058390;ENSDARG00000067672;ENSDARG00000017266;ENSDARG00000069495;ENSDARG00000074505;ENSDARG00000099791;ENSDARG00000079782;ENSDARG00000002509;ENSDARG00000117133;ENSDARG00000063009;ENSDARG00000103825;ENSDARG00000045864;ENSDARG00000059175;ENSDARG00000052109;ENSDARG00000054984;ENSDARG00000017108;ENSDARG00000097746;ENSDARG00000040004;ENSDARG00000027963;ENSDARG00000087017;ENSDARG00000099873;ENSDARG00000063169;ENSDARG00000092718;ENSDARG00000103720;ENSDARG00000105210;ENSDARG00000079805;ENSDARG00000062970;ENSDARG00000079922;ENSDARG00000033742;ENSDARG00000091926;ENSDARG00000071699;ENSDARG00000077360;ENSDARG00000100969;ENSDARG00000010276;ENSDARG00000042850;ENSDARG00000090741;ENSDARG00000035895;ENSDARG00000069548;ENSDARG00000073857;ENSDARG00000058968;ENSDARG00000055854;ENSDARG00000022378;ENSDARG00000034042;ENSDARG00000012506;ENSDARG00000018109;ENSDARG00000036082;ENSDARG00000007561;ENSDARG00000100515;ENSDARG00000099880;ENSDARG00000031683;ENSDARG00000104593;ENSDARG00000039827;ENSDARG00000057649;ENSDARG00000044754;ENSDARG00000088641;ENSDARG00000104773;ENSDARG00000038489;ENSDARG00000040432;ENSDARG00000044776;ENSDARG00000102501;ENSDARG00000053298;ENSDARG00000020298		1.5090312399999999	1.5597	0.0192708	0.3996380138995355	1.444591676732908	0.379264242506077	0.7836016867058824	0.822385	0.00397787	0.15359330096375418	0.765953119139089	0.16161422783831536	2.9377055329411776	2.95804	0.0933573	1.030618949578414	2.7495982659646883	0.9113222283732735					1.29065;1.40563;1.28722;1.12966;2.04874;1.48459;1.58702;1.91831;0.828467;1.60705;1.77915;1.54753;1.48904;1.17481;0.0192708;1.31736;1.31557;1.71657;1.65769;1.20116;1.29409;1.53495;1.73111;1.64381;1.69803;1.8981;1.61117;1.45019;1.52173;1.87026;1.78799;1.7537;1.37624;1.66698;1.78284;0.95378;1.28618;1.66381;1.34434;1.29993;1.7343;0.0841566;2.37614;1.73643;1.31894;1.75096;2.2193;1.68309;1.13819;1.61626;1.964;1.09032;1.54959;1.65531;1.22546;1.3943;1.63877;1.99582;1.21825;1.5597;1.33509;1.8204;1.5156;1.64844;2.04342;1.43237;1.6605;1.12992;1.90421;2.18697;1.30591;1.32893;0.856718;0.681992;1.60324;1.80673;1.77404;1.50293;1.8809;2.16015;0.932311;1.2049;1.07501;1.91549;1.63748	0.740453;0.777976;0.738964;0.680572;0.918985;0.801927;0.829554;0.903312;0.541435;0.834901;0.872918;0.819636;0.802969;0.697703;0.00397787;0.750119;0.748851;0.859766;0.846667;0.707528;0.741247;0.814659;0.8642;0.842946;0.855865;0.896407;0.833795;0.790657;0.812536;0.891137;0.874498;0.868282;0.768631;0.849384;0.874618;0.603476;0.737989;0.847745;0.758692;0.743458;0.864187;0.0199765;0.953724;0.865912;0.749698;0.869732;0.940816;0.852017;0.683267;0.836481;0.906997;0.664201;0.818949;0.846007;0.716869;0.774724;0.842515;0.912416;0.717203;0.822385;0.755801;0.881874;0.808683;0.844806;0.918044;0.787027;0.848844;0.679476;0.897936;0.940768;0.745696;0.753453;0.556218;0.462157;0.833567;0.878799;0.870785;0.807084;0.893146;0.934276;0.593261;0.709089;0.657798;0.898898;0.842145	2.24969;2.53968;2.24226;1.87508;4.56737;2.7484;3.03615;4.07381;1.26766;3.09332;3.62618;2.92184;2.76131;1.97817;0.0933573;2.31355;2.31118;3.42724;3.24558;2.03918;2.25925;2.8921;3.46765;3.20556;3.36888;4.01914;3.11333;2.65986;2.84993;3.92516;3.6557;3.54202;2.46418;3.27156;3.63417;1.50743;2.24156;3.26544;2.38205;2.27292;3.4805;0.354533;5.91999;3.48208;2.32041;3.52507;5.23512;3.32482;1.89599;3.12294;4.25283;1.78983;2.93208;3.2388;2.09487;2.50939;3.18755;4.36564;2.06934;2.95804;2.35837;3.75774;2.84049;3.21655;4.54835;2.60688;3.24824;1.87898;4.03815;5.08399;2.28698;2.34393;1.31956;1.0064;3.0836;3.71447;3.61421;2.79871;3.96105;4.99452;1.46513;2.04739;1.75683;4.08178;3.18395	54	31	54	108180329;102997062;101886109;101882139;100537750;100537506;100535600;100333040;100330830;100321723;100151233;100148290;100038777;100009655;799479;796425;793616;791206;768300;768172;768128;767803;767665;664708;574425;569583;569167;566996;566848;566487;564559;563172;563073;562155;561683;561021;559959;559768;559754;559020;557914;556854;548604;415103;406340;402928;394198;393484;336575;336038;286748;117509;84040;30079	ENSDARG00000092470;ENSDARG00000089383;ENSDARG00000070950;ENSDARG00000105453;ENSDARG00000030896;ENSDARG00000086661;ENSDARG00000058964;ENSDARG00000073876;ENSDARG00000098641;ENSDARG00000094012;ENSDARG00000055467;ENSDARG00000026084;ENSDARG00000061481;ENSDARG00000089434;ENSDARG00000074782;ENSDARG00000067672;ENSDARG00000069495;ENSDARG00000099791;ENSDARG00000079782;ENSDARG00000002509;ENSDARG00000117133;ENSDARG00000063009;ENSDARG00000103825;ENSDARG00000045864;ENSDARG00000052109;ENSDARG00000097746;ENSDARG00000040004;ENSDARG00000087017;ENSDARG00000099873;ENSDARG00000092718;ENSDARG00000103720;ENSDARG00000105210;ENSDARG00000062970;ENSDARG00000079922;ENSDARG00000033742;ENSDARG00000091926;ENSDARG00000071699;ENSDARG00000077360;ENSDARG00000100969;ENSDARG00000010276;ENSDARG00000042850;ENSDARG00000090741;ENSDARG00000055854;ENSDARG00000036082;ENSDARG00000100515;ENSDARG00000099880;ENSDARG00000031683;ENSDARG00000104593;ENSDARG00000088641;ENSDARG00000104773;ENSDARG00000038489;ENSDARG00000040432;ENSDARG00000044776;ENSDARG00000020298	1.5423003333333338	1.597035	0.340986056891169	0.8009497222222222	0.8316745	0.10110964370638018	3.0013361111111116	3.0647349999999998	0.971860008696447	1.29065;1.40563;1.28722;1.48459;1.58702;1.91831;0.828467;1.60705;1.77915;1.54753;1.17481;1.31736;1.31557;1.65769;1.53495;1.69803;1.61117;1.52173;1.87026;1.78799;1.7537;1.37624;1.66698;1.78284;1.28618;1.29993;1.7343;2.37614;1.73643;1.75096;2.2193;1.68309;1.61626;1.964;1.09032;1.54959;1.65531;1.22546;1.3943;1.63877;1.99582;1.21825;1.64844;1.90421;1.30591;1.32893;0.856718;0.681992;1.50293;1.8809;2.16015;0.932311;1.2049;1.63748	0.740453;0.777976;0.738964;0.801927;0.829554;0.903312;0.541435;0.834901;0.872918;0.819636;0.697703;0.750119;0.748851;0.846667;0.814659;0.855865;0.833795;0.812536;0.891137;0.874498;0.868282;0.768631;0.849384;0.874618;0.737989;0.743458;0.864187;0.953724;0.865912;0.869732;0.940816;0.852017;0.836481;0.906997;0.664201;0.818949;0.846007;0.716869;0.774724;0.842515;0.912416;0.717203;0.844806;0.897936;0.745696;0.753453;0.556218;0.462157;0.807084;0.893146;0.934276;0.593261;0.709089;0.842145	2.24969;2.53968;2.24226;2.7484;3.03615;4.07381;1.26766;3.09332;3.62618;2.92184;1.97817;2.31355;2.31118;3.24558;2.8921;3.36888;3.11333;2.84993;3.92516;3.6557;3.54202;2.46418;3.27156;3.63417;2.24156;2.27292;3.4805;5.91999;3.48208;3.52507;5.23512;3.32482;3.12294;4.25283;1.78983;2.93208;3.2388;2.09487;2.50939;3.18755;4.36564;2.06934;3.21655;4.03815;2.28698;2.34393;1.31956;1.0064;2.79871;3.96105;4.99452;1.46513;2.04739;3.18395	31	101883306;101882450;100307104;100148532;100037377;100006464;100002234;798285;798008;794170;792465;619252;573743;571208;567243;566684;563096;555635;555377;553670;553389;541517;445048;437014;415134;407978;393269;378993;353222;58055;30697	ENSDARG00000059348;ENSDARG00000102118;ENSDARG00000036008;ENSDARG00000074160;ENSDARG00000057468;ENSDARG00000026383;ENSDARG00000090160;ENSDARG00000074064;ENSDARG00000058390;ENSDARG00000017266;ENSDARG00000074505;ENSDARG00000059175;ENSDARG00000054984;ENSDARG00000017108;ENSDARG00000027963;ENSDARG00000063169;ENSDARG00000079805;ENSDARG00000035895;ENSDARG00000069548;ENSDARG00000073857;ENSDARG00000058968;ENSDARG00000022378;ENSDARG00000034042;ENSDARG00000012506;ENSDARG00000018109;ENSDARG00000007561;ENSDARG00000039827;ENSDARG00000057649;ENSDARG00000044754;ENSDARG00000102501;ENSDARG00000053298	1.4510786258064516	1.5156	0.48612117450671555	0.753382528064516	0.808683	0.21565772539131442	2.8268651709677415	2.84049	1.1337859097393925	1.12966;2.04874;1.48904;0.0192708;1.71657;1.20116;1.29409;1.73111;1.64381;1.8981;1.45019;0.95378;1.66381;1.34434;0.0841566;1.31894;1.13819;1.5597;1.33509;1.8204;1.5156;2.04342;1.43237;1.6605;1.12992;2.18697;1.60324;1.80673;1.77404;1.07501;1.91549	0.680572;0.918985;0.802969;0.00397787;0.859766;0.707528;0.741247;0.8642;0.842946;0.896407;0.790657;0.603476;0.847745;0.758692;0.0199765;0.749698;0.683267;0.822385;0.755801;0.881874;0.808683;0.918044;0.787027;0.848844;0.679476;0.940768;0.833567;0.878799;0.870785;0.657798;0.898898	1.87508;4.56737;2.76131;0.0933573;3.42724;2.03918;2.25925;3.46765;3.20556;4.01914;2.65986;1.50743;3.26544;2.38205;0.354533;2.32041;1.89599;2.95804;2.35837;3.75774;2.84049;4.54835;2.60688;3.24824;1.87898;5.08399;3.0836;3.71447;3.61421;1.75683;4.08178	0						Exp 5,1(0.02);Hill,1(0.02);Linear,83(0.98)	1.9222163047116168	169.30706870555878	1.509933590888977	4.549708843231201	0.6220632782863288	1.7801392078399658	1.4240714558293743	1.5939910241706254	0.7509490029118553	0.8162543704999092	2.7186043451839206	3.156806720698433	UP	0.6352941176470588	0.36470588235294116	0.0	
GO:0000002	7	mitochondrial genome maintenance	1	1	1	0	0	0	0	0	1	0	0	85	1	18865	0.99551	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000003	2	reproduction	4	5	1	1	1	1	1	1	1	1	1	84	4	18862	0.9998	0.022228	0.022228	20.0	353222	gnrh2	ENSDARG00000044754		1.77404	1.77404	1.77404		1.77404		0.870785	0.870785	0.870785		0.8707849999999999		3.61421	3.61421	3.61421		3.61421		0.0	1.77404	0.0	1.77404	1.77404	0.870785	3.61421	0	1	0															1	353222	ENSDARG00000044754	1.77404	1.77404		0.870785	0.870785		3.61421	3.61421		1.77404	0.870785	3.61421	0						Linear,1(1)	4.482241153717041	4.482241153717041	4.482241153717041	4.482241153717041	0.0	4.482241153717041	1.77404	1.77404	0.870785	0.870785	3.61421	3.61421	DOWN	0.0	1.0	0.0	
GO:0000018	7	regulation of DNA recombination	25	40	2	2	2	1	1	0	2	0	0	85	40	18826	0.83527	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000041	8	transition metal ion transport	69	69	1	1	1	1	1	1	1	1	1	84	68	18798	0.96157	0.26709	0.26709	1.45	559768	fthl30	ENSDARG00000077360		1.22546	1.22546	1.22546		1.22546		0.716869	0.716869	0.716869		0.716869		2.09487	2.09487	2.09487		2.09487						1.22546	0.716869	2.09487	1	0	1	559768	ENSDARG00000077360	1.22546	1.22546		0.716869	0.716869		2.09487	2.09487		1.22546	0.716869	2.09487	0															0						Linear,1(1)	1.7606775760650635	1.7606775760650635	1.7606775760650635	1.7606775760650635	0.0	1.7606775760650635	1.22546	1.22546	0.716869	0.716869	2.09487	2.09487	UP	1.0	0.0	0.0	
GO:0000049	6	tRNA binding	39	40	1	1	1	1	1	0	1	0	0	85	40	18826	0.83527	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000062	8	fatty-acyl-CoA binding	17	17	1	1	0	1	1	1	1	0	0	85	17	18849	0.9264	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000070	6	mitotic sister chromatid segregation	16	17	1	0	0	1	1	0	1	0	0	85	17	18849	0.9264	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000079	8	regulation of cyclin-dependent protein serine/threonine kinase activity	31	34	2	0	0	2	2	2	2	0	0	85	34	18832	0.85815	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000082	6	G1/S transition of mitotic cell cycle	13	15	1	0	0	1	1	1	1	0	0	85	15	18851	0.93477	1.0	1.0	0.0																														0	0	0															0															0																							
