	DBP_10-4_A	DBP_10-4_B	DBP_10-4_C	DBP_10-3_A	DBP_10-3_B	DBP_10-3_C	DBP_10-2_A	DBP_10-2_B	DBP_10-2_C	DBP_10-1_A	DBP_10-1_B	DBP_10-1_C	DBP_3uM_A	DBP_3uM_B	DBP_3uM_C
ENSDARG00000000887	5.76259409019096	5.54062985791816	5.19628253049401	5.71972691095077	5.62772385221323	5.55803911832546	5.46820887943614	5.90194243922688	5.6812320983093	5.57174166582791	5.88488752572159	5.39575791485221	6.13722235457242	6.11997986725539	6.23486202648161
ENSDARG00000001818	8.8169865454672	8.92287504438684	8.79354185219919	8.84541103957734	9.11839015372651	9.03107874246775	9.10807413474728	8.8913930478064	8.55535114383172	8.99712960605371	9.11398623522522	8.98846344069219	8.66252805012365	7.80808823631204	7.55312733977793
ENSDARG00000001870	12.995878055995	12.8890282370664	12.7430745108394	13.1079246611823	12.8857421318809	12.580519071857	13.3129385133945	12.9124412092462	12.2966623874721	13.29717930663	12.995878055995	12.4863732877848	12.655565181691	11.9349842995582	11.7603179361401
ENSDARG00000002197	9.90191529466952	9.98623987577612	10.1105707888077	10.1423892397482	10.195772998961	10.1316710488037	10.2396454434903	9.82019559216963	9.4989842350145	10.3057946379754	10.0270928935677	9.92819264861633	9.44113309566538	8.6734400382625	8.74146511060695
ENSDARG00000002479	7.31873172521159	7.4788255509618	7.45054813295679	7.27849830914849	7.79460027382945	7.82380033119336	7.1924553757841	7.33595863814076	7.87882329993401	7.11097416382362	7.55233362976004	7.90981014510213	7.93942562350239	8.01854905019891	8.07684143329516
ENSDARG00000002509	4.44093978065511	4.71196777736428	3.83285876910739	4.18687976035198	4.87665310824807	4.67001920469489	4.58137291414754	5.14577753787949	4.87665310824807	4.87665310824807	4.63739612198028	4.58137291414754	5.61539157782559	5.33083765852446	4.77329017015337
ENSDARG00000002764	7.31873172521159	7.16156956728956	8.16211843395227	7.60056526786862	8.04235015854471	8.24569535735058	7.45194840872823	7.37817792242023	7.96875016983898	7.70466243397544	7.95420294134637	8.31397444043206	7.06128901704255	6.02783828068466	6.56317571898797
ENSDARG00000002968	8.59294646732493	8.33083324175783	8.57382385096939	8.24084572963626	8.1189916479957	8.28862107638784	8.45626554735142	8.74134473548854	7.88947234767912	8.48661392274628	8.24947564910373	8.12340540505958	7.64131642396431	6.94651238657604	7.00328834124715
ENSDARG00000002986	9.63568063448213	9.69872690278912	9.7282785528612	9.88489601276977	9.81915716054302	9.80787073616401	9.82172475602331	9.76264611508271	9.70939381497189	9.95960686200872	9.64998917648342	10.0341477792922	9.40958403562537	8.78199757790682	8.90465152241524
ENSDARG00000003054	6.16653993226554	6.00082094001299	6.14110331680817	5.98520328803749	5.69048174428146	5.77403383162362	5.69679783845015	5.20889830578402	5.54941186301492	5.77583163479698	5.6578970380069	5.09776040459356	5.4803946303371	5.39807560939626	5.34743084533658
ENSDARG00000003615	10.4660345267111	10.2301902498873	9.89916299652569	10.5503841788304	10.1400805910988	10.0147386242681	10.7074237110558	10.2922688188078	9.89916299652569	10.7256486350756	10.1841304275964	9.94103656438698	10.07231541019	8.93966631844976	9.10609477756001
ENSDARG00000003635	7.8579533708921	7.99804432552898	7.53526032417933	7.7792038579648	7.85936741574982	7.62051540543508	7.7790336282837	7.87862081612036	7.68982091059276	7.72252725674776	7.97027083797307	7.78343760701342	7.45938223477254	7.18371053247507	6.95531279505055
ENSDARG00000003977	8.81191414690703	8.35605785082137	8.30376548447807	8.74676194926201	8.78545345850808	8.40609171127988	8.58262157152195	8.53268601926058	8.04841984076935	8.65191942462648	8.3455521675098	8.45572273004047	8.2475242229562	7.66260361942175	7.7949625328995
ENSDARG00000004204	5.18656814251473	4.16773362884725	4.75363849980879	5.15527897778059	5.75029360979948	5.02679530836944	5.28039721073296	5.24480122676077	5.257161962049	4.94560046082283	4.97845531951483	5.18920336679383	5.34954476931841	5.48671553072911	5.19396483594997
ENSDARG00000004296	10.5527705698541	10.6716061933996	10.5266006398205	10.5114284995718	10.804296173806	10.7244469955794	10.5839604723186	10.5837773042565	10.401548930818	10.6001545025239	10.76914758482	10.8483087056696	10.1068530101641	9.76453231566435	9.51032887768204
ENSDARG00000004904	9.30295352153904	9.21148446963456	9.40638591695677	9.31841306478962	9.51220138952653	9.56418712725566	9.32311986555572	9.36437231422827	9.01465787713978	9.22264706364052	9.5138833950477	9.57854745929228	8.85126184033668	8.11016531466907	8.11366346746424
ENSDARG00000004954	5.3067454898979	5.75029360979948	5.02679530836944	6.0962891621377	5.4629803690935	5.66319836581958	5.4965611323506	5.72342455295119	5.03530680932879	5.51667685963695	5.13153391796432	5.63402897137725	5.93959755365607	6.31126337878039	6.02508898085363
ENSDARG00000004964	9.44046121141603	9.63201896658949	9.2150906522285	9.26645783440287	9.53505182349565	9.29048581731961	9.49747443321361	9.39406373806375	9.25431105125688	9.44745715436821	9.80843727737875	9.33345460224326	9.04681799250235	8.66816183923367	8.74676194926201
ENSDARG00000005004	6.42713883689489	6.04699466806952	6.76844361408093	5.98520328803749	5.62772385221323	6.22007723127261	6.33956411142711	5.80230151076474	5.77583163479698	6.00491749342135	6.02352504933203	6.28857380895892	5.92017654459494	5.95397798803763	5.41138498713261
ENSDARG00000005320	6.70027851927314	6.59373473903815	6.21689564249447	6.17255266198775	6.51590191432283	6.53439149017215	6.63683023306632	6.53181332169475	6.2646831429447	6.23486202648161	6.0962891621377	6.48255621890038	6.2774821801593	5.65218171307184	5.81704602231417
ENSDARG00000005616	6.34571544170375	6.44847149747784	5.9793982364983	6.51590191432283	6.53669859075682	6.29404810206603	6.67941357234068	6.6136189488999	6.12134414075937	6.79328074055402	6.81660179186106	6.70730812084179	6.2646831429447	5.14577753787949	5.07159382003396
ENSDARG00000006220	11.2534132429831	11.1112846282369	11.1301815163458	11.0522864949864	11.2442908775792	11.1205046644012	11.1711929837066	11.1658220201002	11.084324100537	10.9466716620674	11.3192841714486	11.0298333876191	10.7113491436315	10.1294910322576	10.2805502380492
ENSDARG00000006427	13.7327627866631	13.7680450700252	13.6347126946007	13.6599763592887	13.7066469819141	13.5579619158631	13.8863324318668	13.8530636273325	13.3460381382577	13.8702450210538	13.9928044637279	13.4135071900346	13.2909067376254	12.755571266364	12.8821160927124
ENSDARG00000006447	5.35404828742812	5.3067454898979	5.19628253049401	5.28039721073296	5.0631337991876	5.19628253049401	5.43696587913679	4.88633161226126	4.99941925211481	5.70934342529384	5.13153391796432	4.94281244910985	4.87804711410456	3.82622305753733	3.9614729149027
ENSDARG00000006474	4.44093978065511	4.38396740108273	4.20905557569907	4.42397160562612	4.37949312135883	4.4866550933915	4.63935924494873	4.0116600284547	4.78654510016658	4.82287850907049	4.37949312135883	4.94281244910985	4.67001920469489	5.18419321519934	5.02975491632668
ENSDARG00000006544	4.44093978065511	4.38396740108273	4.68518612703849	4.76742699020166	4.92310360905171	5.45729995657546	4.44968941620699	4.08377758649574	4.99941925211481	4.27154655820089	4.84872229855635	5.39575791485221	4.87804711410456	5.33083765852446	5.60576324411787
ENSDARG00000007024	9.87065066645783	10.1071703042435	10.2610183211162	10.0074770361233	10.2996795786847	10.2191513776902	9.95926281588147	9.87804814149486	9.78256846609228	10.0608921443975	10.3359700147917	10.3063801961085	9.51309435099665	9.16144463986194	8.86953367554457
ENSDARG00000007366	7.20920099737046	7.25114088281121	7.35768796696228	6.86347273904519	6.84653125381167	7.48607491303372	6.73243369093385	7.26854583830078	6.81660179186106	6.58896544415657	7.26791901900549	7.29035754430972	6.44847149747784	6.22007723127261	6.41565433998046
ENSDARG00000007421	9.1138933079795	9.11738840673256	9.31324194527962	8.79354185219919	9.28147659934544	9.32269986594188	8.76379372349443	9.17931632009453	8.98039306103005	9.0212362283191	9.56258057806167	9.61602396597613	8.46557922641098	8.46529758735353	8.19747534769553
ENSDARG00000007950	5.41138498713261	5.02975491632668	5.02679530836944	4.65598140563224	5.31779874339085	4.67001920469489	5.16596646795382	5.02975491632668	4.92310360905171	5.45315536850303	4.37949312135883	4.64132236791718	4.44093978065511	4.51779162697697	4.07301335831613
ENSDARG00000007988	7.16218023390859	6.92493520248721	6.85957964983086	6.93991689497088	7.38531064577044	6.9590096034838	6.73243369093385	6.9996320161089	6.56415217071893	6.9150855510628	7.27634780146107	7.2049597344443	6.32641642249994	5.93524082141746	5.54611885343798
ENSDARG00000008029	11.0588405080181	10.8767462809991	10.8279631645609	11.0860061645224	10.7132948584152	10.8312165568278	11.0579698738206	10.8356162220921	10.6389839361231	11.1172303437324	10.8775512097962	10.7403796000529	10.4815681631142	9.86328852337755	10.0000094933118
ENSDARG00000008403	6.61070645547885	5.72342455295119	6.21689564249447	5.66481486890269	6.12250996920796	6.29404810206603	5.63402897137725	5.92454234750908	6.12134414075937	5.92017654459494	5.77669814174807	6.60508969022419	5.69048174428146	5.03530680932879	5.07159382003396
ENSDARG00000008637	10.2673771591506	10.0921051570286	10.1896274286786	10.3194346791747	10.2297787531436	10.2624882871638	10.3583939335395	10.4576522406693	10.1216062864329	10.371431430128	10.0248817090905	10.2593171520554	9.97782037288198	9.21679700143717	9.49849290711771
ENSDARG00000008969	11.3605022138744	11.417169585479	11.2333243911004	11.2948988309253	11.519580595235	11.3738003093194	11.1574107596167	11.901430296084	10.8599353483847	11.1695873326798	11.4375939439607	11.4553178567981	10.8239366286923	10.5221811349314	10.4315364952172
ENSDARG00000009123	4.5385794309412	5.72342455295119	4.92310360905171	5.38323209913346	5.0631337991876	4.54613552914627	5.46820887943614	6.26344209773355	5.1616128541401	5.29237865958326	5.23567227734125	5.60783170382591	5.83605135135376	6.11997986725539	5.60576324411787
ENSDARG00000009153	7.55262245846428	8.10487376418428	6.92574005797391	8.31587832148253	7.85936741574982	7.69968766968573	8.60172711618527	7.84118328000981	7.46184890494714	8.0202977743912	7.1383296685813	7.81141931259686	7.39295100464719	6.51694170465957	6.69579011858969
ENSDARG00000009160	8.74122436037013	8.71221725810518	8.67470852228175	8.63198467703562	8.63928545642987	8.74064067900355	8.39160509910404	8.59742062080662	8.72655491815782	8.74075085049434	8.46572473282969	8.74917580109741	8.16575107115846	8.01288887211279	7.83142132922286
ENSDARG00000010267	10.0557583208266	10.2816032277866	10.2678875356213	10.1978403680529	10.4585113046697	10.364756345109	10.2438854101589	10.3030015106436	9.91661747947417	10.2952195737259	10.449261540179	10.371431430128	9.81486094572465	9.39027745665693	9.41143827983955
ENSDARG00000010276	7.0534913388556	6.04699466806952	6.07774199201224	7.05572385725484	7.14693506460084	6.80111017770662	7.02586154053258	6.96924565216904	7.18180242724937	7.38531064577044	7.0598188832111	7.13525685376334	7.84509511789757	7.56115822566026	7.2055077682313
ENSDARG00000010936	11.6972582739519	11.5503765996704	11.3656438688548	11.7274108931334	11.6046790775941	11.4028187315214	11.8089560627566	11.4633295119015	11.2716611944803	11.804991344143	11.5797256331292	11.3037720167186	11.3057841213347	10.6143895429797	10.7706829090592
ENSDARG00000011521	8.51347348502052	8.7997298887807	8.82470400113466	8.55905579290782	8.96219558138399	8.66542565737454	8.42638797171921	8.88113736186872	8.26837015546184	8.52111456520353	8.98677605448779	8.84772673456607	8.11747050667056	8.08097331275076	7.8975141741798
ENSDARG00000011573	7.98228038808089	7.64489364326194	7.41108127088901	7.75538728439277	7.26605780799907	7.4269893664744	8.15082168313262	7.63279829001402	7.07785834946769	8.0357330226685	7.60946778920015	7.35768796696228	7.34739275724509	5.79870464757918	6.72808904089053
ENSDARG00000012269	6.42713883689489	6.72032094643187	6.48255621890038	6.58896544415657	6.66467883909958	6.8964909319313	6.71061089193583	6.70730812084179	6.95985700693377	6.22007723127261	6.35565483002105	7.07956430840227	7.12725102230241	7.31297198752148	7.0159860194876
ENSDARG00000012640	6.72125022582906	7.01732241563438	6.71061089193583	7.18240543655624	6.74168360160931	6.90677189838995	6.91446302675752	7.10517728202044	6.91206644792002	7.15905362246036	7.15277606060896	6.88689104468237	6.62365756311612	5.69850017792396	5.81704602231417
ENSDARG00000012694	11.6131586314655	11.5984100229976	11.0788044183648	11.6352004433029	11.558127484922	11.4646357182829	11.6692299760023	12.5106622406007	10.9576322698435	11.7300976017941	11.5321480764659	11.7097894929547	10.7113491436315	10.1873041337896	9.90000037560073
ENSDARG00000012829	10.8980459656518	10.4229998961873	10.4414892048207	10.7182775218214	10.4019476260801	10.4064915709624	11.0101932285939	10.4817573984152	10.1963739979694	10.8477000698049	10.3866337773436	10.2496562118297	10.2808354143418	8.86505837712537	9.3666372016111
ENSDARG00000013522	14.0420189651318	13.7404204423581	14.1325865329629	14.0350338293785	13.893648670953	14.1772897762364	14.2886016362706	13.7626648792656	13.6878738771166	14.3645995870474	13.9829835063434	14.0667392595015	13.8530636273325	12.9070088171297	13.2162219391969
ENSDARG00000013775	5.66661267207604	6.32641642249994	6.07774199201224	6.02508898085363	6.22984945201795	6.4327095421045	6.12250996920796	6.04311907411451	5.9793982364983	6.34203120302455	5.94427357993796	6.42952465893748	5.75555625188317	4.51779162697697	5.72487089102448
ENSDARG00000013856	9.49794537497928	10.2789551938751	10.1569298427955	9.86506594749457	9.99867731923387	10.0350494594527	10.8940223652105	9.72314308807918	9.32093837118552	9.8206992136523	9.29707623208382	10.0172774310519	9.15940693691925	8.46529758735353	8.5941160485559
ENSDARG00000013871	10.1440854543079	10.6749199643109	10.1477678357576	10.2467841582059	10.6655329204712	10.3138154648326	10.4987188308423	11.1540990526345	10.0893149509916	10.6249217312004	10.6350800784112	10.3041420288017	9.95939406756945	9.3666372016111	9.46331481460766
ENSDARG00000014031	11.9623745007499	11.5554405090627	11.6686542357184	11.8819128014082	11.7003460327658	11.6855019331144	12.1094652864261	11.5663651141024	11.3814205690309	12.0277231763578	11.7951349473326	11.4953380780929	11.4251541607987	10.2257886354684	10.4917117105309
ENSDARG00000014169	6.12542874867649	5.97670310713865	6.75219996555971	5.518994554181	6.34786773694754	6.11997986725539	6.02221646221544	6.11997986725539	6.15835024596911	6.06399223598636	6.51590191432283	6.31126337878039	5.257161962049	5.42940972748575	5.75885319730697
ENSDARG00000014651	6.16653993226554	6.63723605686452	6.32281408582917	6.19388383587712	6.05982498398167	6.0538762120786	6.29890190812544	6.59878339682816	6.00082094001299	6.15654869316393	6.43610662482676	6.18923727570731	6.05520284924112	5.03530680932879	5.72487089102448
ENSDARG00000015731	7.02178977291276	6.85998892749014	7.12349868228061	6.9150855510628	6.78282545181809	7.23983382994544	7.11234958600843	6.56993434071958	7.1301238810697	6.72808904089053	6.97089730221742	7.06527773025638	6.4722337539276	6.05322191852031	6.23486202648161
ENSDARG00000016319	11.0986782127831	11.3684124250058	10.860506359711	11.2090969254586	11.3418277325452	11.0947924916928	11.1882507043563	11.6081978618225	10.5880246362507	11.3455927764129	11.2899790309251	11.2560489254291	10.6712189256381	10.0515848005025	9.80298892423836
ENSDARG00000016412	9.36119474036079	9.04707533034159	8.92619407388506	9.43415814067092	9.54877422685931	9.14910628138291	9.23653671052116	9.50519864113369	8.83762500801982	9.10237496807855	9.29019416734097	9.4197209380955	8.86613583407246	8.35591321963056	8.23488332607382
ENSDARG00000016789	4.5385794309412	3.88139610517035	4.8119580271126	4.87944111996104	5.31779874339085	4.97845531951483	4.44968941620699	5.24480122676077	5.257161962049	4.62603268911864	5.19899199612717	4.37539975171456	5.1034124326067	5.5505434407457	5.19396483594997
ENSDARG00000016918	12.6047558035708	12.4615509010381	12.3077767095714	12.6834283779965	12.4823174963834	12.3098455407799	12.7742763344379	12.642563938265	12.1936831813736	12.7951488898397	12.4516658766001	12.2319109491791	12.1035778145577	11.3427741917021	11.4060331045334
ENSDARG00000017165	8.74122436037013	8.51347348502052	8.32668076213375	8.63198467703562	8.63528605915606	8.52055151736271	8.7857346279371	8.46557922641098	8.35752396725938	8.64449887955899	8.57744741759102	8.53466633703424	8.20565633081035	7.80033935017878	7.77763673078216
ENSDARG00000017254	5.80230151076474	5.75029360979948	6.19146073894511	5.38323209913346	5.56608690362352	5.66319836581958	6.33956411142711	5.80230151076474	5.39575791485221	5.29237865958326	5.63232663190344	5.18920336679383	5.45729995657546	5.0631337991876	5.3067454898979
ENSDARG00000017314	12.3098455407799	13.1694620553718	12.7651433400906	12.690680665235	12.7904839935875	12.8514359582406	13.4885621781769	12.5823319048931	12.3052768963026	12.655565181691	12.1002815371647	12.6388365826046	12.1680131998213	11.768831623539	11.6405966370005
ENSDARG00000017444	8.74676194926201	8.42987540003231	8.89877004250702	8.76274708631507	8.83876207532778	8.92922118634671	8.77931652240455	8.74555426314554	8.44503200045435	8.8114865952483	8.89083595475483	9.05929583960494	8.12646442873157	7.65034933245638	7.70354728763446
ENSDARG00000017490	8.18082303120115	8.99835571827413	8.91328368867896	8.74104269117763	8.55630408234735	8.87243645047788	9.86136274644728	8.44503200045435	8.24372002512247	8.80828050131916	8.09467466397343	8.44309231179039	7.85499189986492	6.92610028313913	7.07883842065942
ENSDARG00000017773	7.77763673078216	7.73635117806118	8.03821151987774	7.95970638458641	7.83991097661543	8.15784963507183	7.71684544871452	7.68042033979409	7.60009402947539	7.69018453926557	7.87159648701999	8.24544779049731	7.46821983847058	6.74004279255322	7.11234958600843
ENSDARG00000017821	7.34768688559132	7.20068084360611	7.23380275701169	7.01215362647288	7.46970806975447	7.34599570056245	7.19692674330268	7.28556924965474	6.85398960544216	7.33369125682422	7.49815509997215	7.13525685376334	6.4722337539276	6.62365756311612	6.82953199588299
ENSDARG00000017882	9.89329315259769	9.99079802004815	9.7895935259193	9.78526927217594	9.97884889405617	9.82405997649482	10.0580963260288	9.87046458367258	9.59900514655656	9.93448462527769	10.0414575760416	9.79868856549027	9.40958403562537	8.95520711525663	8.87936765169154
ENSDARG00000017928	6.05256762496201	5.97670310713865	5.90358657617584	6.0962891621377	6.34786773694754	6.00634240347419	5.66481486890269	6.38118362415361	6.2646831429447	6.0458564338456	6.46895879737336	6.28857380895892	6.40944790684552	6.71591654484842	6.69579011858969
ENSDARG00000018263	7.78761126662278	8.4159597243867	8.27216205742785	8.07863504462358	8.01883918516823	7.86143362980665	8.61376475892216	7.99265397747264	7.66783958359084	7.7627466401793	7.7058066180053	8.01046988314799	7.30199364522731	7.4960107788702	7.28556924965474
ENSDARG00000018351	11.5438468240495	11.8314519494737	11.4296510707031	11.6278715447623	11.6444361287141	11.597514491157	11.9582396385189	11.49486112871	10.8929738088545	11.9280305767193	11.778216798409	11.4595609886942	11.1180170887121	10.5936432653829	10.4192433300425
ENSDARG00000018361	8.67890363713703	8.5587821663523	8.54456572250977	8.68196408848507	8.34683976691371	8.38507183271621	8.72409638376221	8.16211843395227	8.20318243347246	8.70562595821476	8.62182519434094	8.13114411820835	8.42075115774359	7.15206096683609	8.10506806681102
