	dose_0.003.dose_0.0003	dose_0.03.dose_0.0003	dose_0.3.dose_0.0003	dose_3.dose_0.0003	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000018846	0.35832218780113	0.197956784880512	0.276607363292804	-1.14388984647328	8.33754406499559	15.9735676847084	5.07047418719478e-06	0.00149977079863046
ENSDARG00000077872	0.30212135675225	0.0180582250080779	0.0420143041731187	-1.41293200915112	7.89038997239636	15.3335695815674	6.85422632754968e-06	0.00149977079863046
ENSDARG00000104569	-0.14126571817584	0.0698561542894591	-0.0530421022033734	-1.93100708430417	7.02411634501168	14.5849616657657	9.86750023968964e-06	0.00149977079863046
ENSDARG00000090903	0.182639008685014	0.116968558180473	0.129267761220597	-1.21518264773301	7.19765557906956	13.4887859266757	1.72471357483015e-05	0.00149977079863046
ENSDARG00000060879	0.175921213853929	0.295264469766975	0.0764957145505782	-1.25952292731163	8.16088198920543	13.4558328664278	1.75476224176599e-05	0.00149977079863046
ENSDARG00000021573	0.271339142247862	0.195034816108557	0.284845243926088	-1.27555866584013	6.08644632102005	13.3953432440439	1.81142865471299e-05	0.00149977079863046
ENSDARG00000099525	-0.104610678710197	0.086603404685329	0.184083061433578	-1.13994689283307	8.80348929471526	13.1151250500838	2.1015214843975e-05	0.00149977079863046
ENSDARG00000041569	0.0531625432411662	-0.0708183053687677	0.0976509187359991	-1.10925679738227	12.8600672266858	13.0487112139834	2.1775256604435e-05	0.00149977079863046
ENSDARG00000093068	0.390247495595769	0.18990379968462	0.416942027227291	-0.930747177320633	9.25465067943084	12.6820909900879	2.65535944460013e-05	0.00162567005997186
ENSDARG00000101726	-0.107166331265748	0.0585310371411349	0.0321561840944931	-1.23319894868086	8.80441432496912	12.134176354436	3.59840741855558e-05	0.00190417118065537
ENSDARG00000044528	0.088676813532766	0.182703033046764	0.130729837006298	-1.13120244371879	10.667575156046	11.9504953120408	3.99259457508919e-05	0.00190417118065537
ENSDARG00000021004	0.296942792762309	-0.0106275062522361	0.149866917192929	-1.09160080414584	8.29830652220893	11.8839076437877	4.1470152754745e-05	0.00190417118065537
ENSDARG00000093043	0.19316942069136	0.122485420304864	0.258927237896055	-0.979877721063866	7.01573909227629	11.701129706548	4.6056561291765e-05	0.00195208963628942
ENSDARG00000100406	0.282007056218305	0.0120688301534706	0.190018175488172	-0.92217373420783	11.5772279322968	11.1366668383328	6.41233039295557e-05	0.00252371003322751
ENSDARG00000056226	-0.0731800618161254	0.102132343303263	0.138782012050592	-1.06442657275461	6.60116662313375	10.8536972855944	7.60081736200801e-05	0.00261874926044235
ENSDARG00000091560	0.0272801061092345	0.0519268578317025	0.00713081034580121	-1.28378762566888	10.5630471735062	10.8130207135674	7.79071304091704e-05	0.00261874926044235
ENSDARG00000045299	0.0739311735338273	-0.0514639049654928	0.308045638841845	-0.984023324729409	8.19443933311467	10.7531770227864	8.0796256674265e-05	0.00261874926044235
ENSDARG00000077875	0.123630900579064	0.00318804912564374	-0.140760318809313	-1.0879388688476	5.61446623503576	10.4763781635429	9.57809736225513e-05	0.00289403668259455
ENSDARG00000098063	0.200807333757341	0.298389802598264	0.239199259217742	-1.20594252415323	8.58703231988708	10.4102825993355	9.97943683653292e-05	0.00289403668259455
ENSDARG00000070960	0.193737763232186	-0.121816259343151	0.120896870239246	-1.00256794938982	7.49518997519076	10.2097927514733	0.000113141620876171	0.00311705165513853
ENSDARG00000002968	-0.28304836867745	-0.136840309844359	-0.212702861047521	-1.30216213608822	8.11225045155254	10.0343046714626	0.000126443164173643	0.00313775845931647
