	DHEP_10-4_A	DHEP_10-4_B	DHEP_10-4_C	DHEP_10-3_A	DHEP_10-3_B	DHEP_10-3_C	DHEP_10-2_A	DHEP_10-2_B	DHEP_10-2_C	DHEP_10-1_A	DHEP_10-1_B	DHEP_10-1_C	DHEP_3uM_A	DHEP_3uM_B	DHEP_3uM_C
ENSDARG00000001686	6.90120774799398	6.1700081702237	6.8580109758803	6.68463462971977	6.39832483188193	6.37878237327386	6.20017226551768	5.98377957259259	6.4261589880982	6.50290708736072	6.09994928475516	6.67335179687438	5.73958514036632	5.87628941634596	6.27835844686455
ENSDARG00000003909	4.58253847602314	4.20428811832364	4.6250816697391	5.04309416933854	5.70888837445599	5.27079980973255	4.60826120017788	5.1925877510157	4.93919422954398	5.21953190081526	4.31821206927285	4.8980053397865	5.1025712860046	5.27079980973255	5.18300507204881
ENSDARG00000004473	5.64015396603021	6.13814816087824	5.73760198414005	6.26248495359679	6.66133014865816	6.07881134301424	6.5784327813757	6.65040457310707	6.2635841617827	6.42490171961478	6.69581087113282	6.52203713282144	6.66440898513523	6.57638586487962	6.16604256712329
ENSDARG00000004931	5.77098512351943	5.78963499037436	5.56567423731263	5.66960162093016	6.08174818385824	5.62634379679002	5.72122456341802	6.00682925371933	5.83581747364188	6.21054789721831	6.4418062206741	6.25329015956773	5.36217202433463	5.43247370784461	5.66325442700262
ENSDARG00000004937	6.40288384448294	6.29559471504393	6.36427086573158	5.74101005041916	5.85167200765759	5.83710849529968	5.97949538146786	5.70329569879514	5.85535697044874	5.42922220076157	5.72822354560789	5.59179150986011	5.76611382878321	5.76611382878321	6.02475047539056
ENSDARG00000005578	8.8645468906801	9.09797143804797	8.40222967014099	9.09809303061514	9.47183954568635	8.69020804021951	9.55538942675807	9.64532238932632	8.85099873686453	9.65391165736858	9.62178585953617	9.68520773022121	9.16825186404495	9.59392707852611	9.4487468136689
ENSDARG00000006782	8.67848016340799	8.61292471349302	8.57125153589769	7.7278553868374	8.19527445677118	8.09814918101724	8.29571805029865	8.29779973828833	8.3004949730836	8.21076939740394	8.50455754075785	8.53286545229745	8.38968043831697	8.42263808297521	8.56288498159086
ENSDARG00000007097	6.52867587673167	6.8329312067636	6.92489029295167	6.27647759028579	6.31623251864768	6.50400629554663	5.8417939450754	6.2321134915183	6.69305118697314	6.07881134301424	6.11825526752358	5.9655931776453	6.28976242858972	5.99415607105843	6.23901980938731
ENSDARG00000007221	7.43030218001649	7.21448316417792	7.06548075123026	6.4261589880982	6.55638279226828	6.69581087113282	6.59343858303111	6.29195692640962	7.07778232453183	6.52203713282144	6.75392600602614	6.72010359515327	6.92425544134377	6.69929002889968	6.94768923341238
ENSDARG00000009046	6.10388506121645	6.36427086573158	6.05625961400728	5.66960162093016	5.77789101213297	5.74101005041916	6.29195692640962	6.00682925371933	5.72122456341802	5.58657811335073	5.63241617254448	5.66960162093016	5.36217202433463	5.65137786514687	5.44396821767009
ENSDARG00000010276	6.67335179687438	6.47707278680904	6.07881134301424	6.81902312788773	7.40596405485276	6.78909776127457	7.62080563834473	7.11269560324403	6.91453725412446	7.7013503723858	7.13427742993355	7.27351487354965	8.68548180432019	7.36905897244988	7.47711313522685
ENSDARG00000010312	10.9456822572373	10.5863375153299	9.81072907407059	10.9473373785581	11.0268746057182	9.87669004967156	11.180800768933	11.2641218432201	10.5481298886037	11.3589469437972	11.2536296602739	11.3663474944295	10.9405317741912	11.0729651318928	11.3073435636751
ENSDARG00000013926	8.75955639175702	8.54371665602642	8.60271997010044	9.34821412477117	9.13599354717526	8.85657657312949	9.37767017184517	9.37259782509639	8.93519023720151	9.29256358699319	9.09006745044525	9.02844561164415	9.15183109290755	9.17964856238417	9.01943808287034
ENSDARG00000015803	5.50064186056942	5.24257396612718	5.20816282310687	6.07881134301424	5.74101005041916	5.71091328439222	5.7488132255108	6.00682925371933	6.04338692302529	5.58657811335073	5.54299679341402	6.01311457583208	6.2112204932829	6.01992698646612	5.74398373722724
ENSDARG00000017494	5.3100253253678	5.84813913515	5.06565134025643	6.14424890324246	5.70888837445599	5.9861552241552	6.24567723050616	5.96006576174868	6.00759870748977	6.25518700728514	6.09994928475516	6.21637727290997	5.9226697258324	5.87628941634596	5.62860695225157
ENSDARG00000017884	4.42304528531384	3.93702384097175	4.40657242784952	3.91789088731988	4.81771469740616	4.57491048198068	4.8980053397865	4.25396305949387	4.34090383556398	4.32834560883585	4.56755647230434	4.8980053397865	4.95411461248222	4.77110180816162	5.1025712860046
ENSDARG00000019096	9.25585359225532	8.47374831165709	7.09230654377205	8.96779541541145	9.13599354717526	8.10442415575357	9.17572463168345	9.0894417895359	8.77749475665058	9.50992956763248	9.0065597986776	8.99030101284338	9.26555560966348	9.21391018908112	9.35922782131308
ENSDARG00000019250	5.22292073225623	5.77098512351943	5.80837198276494	4.95167955408055	4.75400834116154	4.79916897212093	4.8980053397865	5.1925877510157	5.36560067779781	4.78093431564979	5.08013338800448	4.98418160978908	4.25823841532185	4.81245350825595	4.62813524904664
ENSDARG00000019498	9.32051252202291	8.79046652214032	9.43559123934917	9.34821412477117	9.86589962770254	9.61908039786344	9.58339233266333	9.35622131142519	9.80516438447505	9.64935695221375	9.15019414050198	9.93418856197026	9.83035269049254	9.48566565360428	10.0805562133263
ENSDARG00000020298	9.74474607372585	9.92911481776107	9.7000278576759	10.2033492151225	10.16557764297	9.83861612442207	10.4646774854088	10.5858677587348	9.75118231935319	10.4071825241754	10.2728283299136	10.097426183449	11.1014029444604	10.3677093198004	10.4049614473489
ENSDARG00000027744	10.0051174457803	9.65562493939706	9.93182764160241	10.4845396075083	10.2454532331405	9.99157589355481	10.2094079598888	10.538810680578	10.0044762280656	10.6739289392764	10.1530382593727	10.1840003093717	10.7372204106731	10.3600790679999	10.3563566715918
ENSDARG00000027822	4.25823841532185	4.08585100941259	4.6250816697391	4.10316829433266	4.24517706799017	4.40657242784952	4.14216142535848	4.10316829433266	4.47710176112587	3.41803055718069	3.12047486258295	3.56256429214336	3.28377111593614	3.52853304051023	3.71547043188371
ENSDARG00000028012	4.58253847602314	4.20428811832364	4.40657242784952	4.78093431564979	4.24517706799017	4.18878281504963	4.14216142535848	5.23845893786945	4.66322543282731	5.06338818479488	5.43153989530562	4.98418160978908	5.14867759403347	5.43247370784461	5.18300507204881
ENSDARG00000029473	5.3100253253678	5.5096966135278	5.73760198414005	4.64911792732176	5.39956474322713	5.71091328439222	4.8980053397865	5.4456705571439	5.24109416214856	4.71091181241687	4.94722940366736	5.14552387971491	4.58253847602314	4.92654654554496	5.14226323968285
ENSDARG00000029710	5.77098512351943	5.78963499037436	5.78442567706838	6.66792503762477	6.39832483188193	6.33023705252193	6.65660951656489	6.32794485292021	6.07881134301424	6.94191495195304	6.02587539662818	6.13814816087824	6.87406664584241	6.13644582140443	6.70275757330964
ENSDARG00000030157	7.95533196751567	7.63886352122666	6.92489029295167	7.99799279068707	8.17765195416615	7.3233641971338	8.30732037111417	7.85557521278095	7.6884241268132	8.20512295089576	7.61496520446972	8.08698230200456	8.24171860972371	7.98020250834102	8.20412330382108
ENSDARG00000030722	7.66864810567738	8.25326567638074	7.87090971310564	8.03830139408907	8.10538169573405	7.99799279068707	8.76188693214522	8.27487069431999	8.22905831284736	8.21670759800312	8.33445361913572	8.67972477020506	8.68548180432019	8.61292471349302	8.44845676433224
ENSDARG00000030803	5.89467154624494	5.69974695169974	5.88919181810834	6.39623303597323	6.21959378350224	6.24013172546375	6.49137317656445	6.66440898513523	6.38718486082281	6.81205722112659	6.24995385684621	6.03282510480884	6.2112204932829	6.01992698646612	6.29559471504393
ENSDARG00000030896	8.10477710906487	7.73334187432941	7.35694828265885	8.22259754723581	8.34279478887033	7.82420415997312	8.5658491067233	8.0964955660951	8.20068353915597	8.72632250735107	7.98020250834102	8.02886046668633	9.70641313684537	8.12381007677167	8.51424270834918
ENSDARG00000031683	7.62190832911473	7.9666542242477	7.54138286099701	8.34221395926177	8.49292386497484	8.01236685436875	9.18849768703288	8.61602217889153	7.93190107262387	8.71758016696197	8.43904418210437	8.70629800809269	9.93371294579806	9.00397093560184	9.46514585912457
ENSDARG00000032234	5.22292073225623	4.93919422954398	5.18300507204881	5.09931064597254	5.13798788385487	4.79916897212093	5.33111441150868	5.14552387971491	5.06565134025643	4.32834560883585	4.6526157553147	4.58253847602314	4.81245350825595	4.81245350825595	4.42751956503774
ENSDARG00000036180	5.53533139223459	5.27417488127055	5.47880081583535	4.42751956503774	4.59322576291329	4.63260952877054	4.8461142138085	5.47462977007659	5.20545335747371	5.17526753875039	4.7391710278266	5.55956738304273	4.64208505206527	4.25823841532185	5.0549428305761
ENSDARG00000037421	9.9401260761619	10.3859751870241	10.0888200196712	10.5612308277821	10.9629154418549	10.4488687492568	10.6405784017196	10.6256980548824	10.5300798543303	10.7289774767634	10.7980654582459	10.9698283441828	11.3897478967223	11.0695754257078	11.3371487370639
ENSDARG00000037533	8.3625238129639	6.97021911082251	7.53215359553298	9.1735130677272	8.84135138542612	8.1134643277806	8.4865081076811	7.71085236530932	8.45660705504964	8.34436375470739	7.83717996036165	8.45697764513366	8.80165516406461	8.2516248277191	8.85368228763689
ENSDARG00000038011	4.33621121370455	4.52958279899515	4.67358712827712	4.64911792732176	4.50904573764143	5.20545335747371	3.82167854769072	4.3231454413691	4.71091181241687	4.40657242784952	4.31821206927285	4.24517706799017	3.6736805159187	3.84257298735951	4.18878281504963
ENSDARG00000038700	5.07167630270112	5.04022292121241	4.40657242784952	4.95167955408055	5.01426891139493	4.57491048198068	4.95411461248222	5.14552387971491	4.41467655984158	5.46794291270931	5.23845893786945	5.18300507204881	5.43153989530562	5.4023527549401	5.53938210068083
ENSDARG00000039217	7.41340902298795	7.40964101354401	7.30557656479435	6.8061557385888	6.82140828089568	6.94344280031181	6.85612737048516	6.95947694847915	6.81414349114437	6.3150377247812	7.00885608195923	6.83225625894535	7.08313137646615	7.17692169838025	7.1250722905287
ENSDARG00000039325	3.907193242507	4.08585100941259	3.74506697576199	4.8980053397865	4.50904573764143	4.74344638365458	5.06338818479488	4.10316829433266	4.27786226153461	4.32834560883585	4.36071841193309	4.33243897848013	4.69613370478979	4.51373835950085	4.42751956503774
ENSDARG00000039687	6.94466492182996	6.3513341578628	6.79079375309332	6.26248495359679	6.36981567585547	6.454718881527	6.39623303597323	5.93976161601421	6.78135105588007	6.46244394147277	6.08027976343624	6.36306104261756	6.09537949393166	5.92681756299993	5.90480190863575
ENSDARG00000040432	8.60566379064485	8.53442616426988	8.32624777364365	8.5658491067233	8.92679417509878	8.89585102397093	8.9557973073963	8.64450932667632	8.9970576808042	9.12021299578713	8.8504479712362	8.97441236238896	9.83218209486465	8.96436189011746	9.52621303149077
ENSDARG00000040781	6.21577987597673	5.5833266062677	6.1609458850838	7.33781013496008	6.77058912726554	7.11760667752977	6.64131821686383	7.06814249685777	6.82228664014553	7.77757619029289	6.5784327813757	7.17395598223924	7.53370939055944	7.82203934528907	8.11493369518862
ENSDARG00000043004	5.56567423731263	5.49169772545004	6.04022314082654	5.09931064597254	4.75400834116154	5.71091328439222	4.95411461248222	5.1925877510157	5.55117176947108	4.64534569209734	5.23845893786945	5.33390242322166	4.64208505206527	4.81245350825595	5.1025712860046
ENSDARG00000043569	4.42304528531384	4.01586767272761	3.20160774625622	4.64911792732176	3.87395113390962	4.10316829433266	4.47710176112587	3.91269071985313	4.1662391132382	4.57491048198068	3.907193242507	4.08585100941259	4.75793458709845	4.96300978281028	4.62813524904664
ENSDARG00000044098	4.73611744851905	5.01155944576177	4.81245350825595	5.31902934691729	5.30291293589361	5.02835874693038	5.19574146533426	4.6250816697391	5.307718287478	5.79319880785147	5.27079980973255	5.43340752038359	6.73278033471345	5.1025712860046	5.90480190863575
ENSDARG00000044114	5.18029560641566	5.65781683737287	5.30541124958819	4.95167955408055	4.95411461248222	5.02835874693038	4.60826120017788	4.67358712827712	4.93919422954398	4.57491048198068	4.98755668132708	4.8461142138085	4.64208505206527	4.6250816697391	4.80458790338725
ENSDARG00000044135	5.56567423731263	4.70553304615224	5.42922220076157	4.57806419629923	4.59322576291329	5.10478241026695	4.33243897848013	4.50477038181345	4.10316829433266	4.13161243548529	4.31821206927285	4.15453434226597	4.58253847602314	4.39800920348511	4.57491048198068
