	dose_0.0003.dose_0.00003	dose_0.003.dose_0.00003	dose_0.03.dose_0.00003	dose_0.3.dose_0.00003	dose_3.dose_0.00003	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000077799	0.0632748472627771	0.969168184726618	1.35855431727263	1.39485395277165	2.03146272975855	8.0964877380531	18.2879331575454	1.04633113155742e-06	0.000134512616230666
ENSDARG00000044685	-0.021241042309029	0.104482962745614	-0.0166575516269081	-0.157529700705329	-1.30199005496215	8.26583439518027	17.5436758609196	1.43863760674509e-06	0.000134512616230666
ENSDARG00000055752	-0.11057191091591	0.510827100383367	1.08803461702305	1.35568741720895	1.76973031586864	7.90386495317483	12.6019355649522	1.63517457971401e-05	0.00101925882135507
ENSDARG00000031683	0.075790872273676	0.38660987068573	1.08911096478508	1.18032540513157	1.73484431601804	8.19639613527419	11.2244184284262	3.64700019767781e-05	0.00170497259241438
ENSDARG00000086576	0.221195239850303	0.207761221884537	0.726784121718866	0.782207838284567	-0.876985181833527	4.1519174901736	10.3044551710933	6.48089357158126e-05	0.00242385419577139
ENSDARG00000010276	0.0482502237818778	0.342867862556741	1.29892596112624	0.878231694520771	1.34868816274463	7.08022408508892	9.60545865447203	0.000102723238232546	0.00320154092491435
ENSDARG00000052520	0.804922475831982	0.538670870839515	-0.0321661232194215	0.281158678227591	0.144083556350638	4.85286937563903	8.34384078013569	0.000250185319540349	0.00668352210772075
ENSDARG00000012609	-0.20569258755072	-0.229124616768415	-0.694397123678741	-0.00114695705481793	0.784864022853853	8.14339601122197	8.03001110751486	0.000316290881783738	0.00739329936169488
ENSDARG00000025428	-0.0981354543811586	0.0266745898600274	0.932095733029643	0.867436017995624	1.37335379305851	8.57629711071103	7.10597642530331	0.000652559958547909	0.0125511746909944
ENSDARG00000069377	0.254153625477924	0.122692861231447	0.809549138865964	0.628334430171479	1.22387982870144	7.54381389707762	7.07140241257864	0.000671185812352644	0.0125511746909944
ENSDARG00000075016	-1.04696017423433	-0.808692385497712	-1.47634986664514	-0.417110412088798	-2.28226600339523	4.74598193521282	6.8439910233338	0.00080928144698722	0.0137577845987827
ENSDARG00000101911	1.09909673128621	0.458495866720774	1.01157287806442	-0.00631155595059996	1.14335906794458	4.3727252017122	6.51767793885912	0.00106510845563446	0.0165979401003037
ENSDARG00000102602	0.659061373299016	-0.207404858899824	0.202297268993196	0.199102439666525	-0.40096623378737	4.80630031094428	6.34938463238511	0.00123085757994015	0.0171601485985659
ENSDARG00000104569	-0.514599384441148	-0.211006498940129	0.143162057681925	-0.213771084193098	-1.35149885445761	8.27537391673788	6.30000996331555	0.00128471700737926	0.0171601485985659
ENSDARG00000078138	0.710853595649502	0.544977050475473	0.837721993108429	0.817715572427911	0.459835599035332	4.54925324674953	6.00844084889361	0.00166060341828123	0.0207021892812394
ENSDARG00000099195	-0.139827055660829	0.144559231443969	0.613969562503323	0.590096203874031	0.8698231706997	8.81660090921032	5.90927633474894	0.00181476528875931	0.0212100693123744
ENSDARG00000037421	-0.185326692931067	0.1976805019893	0.5079206688876	0.534110045069411	0.879289731643933	10.7173778646143	5.75993871001648	0.00207739239709616	0.0228513163680578
ENSDARG00000096269	0.142574960595762	0.00101275780465837	0.0739609060509228	-0.139515992883993	-0.908798266912941	6.0253708942356	5.4680048664141	0.00271979095666383	0.0282556060497853
ENSDARG00000097333	0.547007419826669	0.789939873120196	0.213859295986763	-0.434773416392293	1.04152934674526	3.91374015325437	5.33853657384524	0.00307199320845814	0.0302348805253511
ENSDARG00000077193	-0.89882273481234	-0.0809660528544907	-0.995583412425326	-0.140382457655983	-0.868521771033274	4.23887902640082	5.28038215031698	0.00324621726443867	0.0303521314225016
ENSDARG00000115870	-0.585900543391998	-0.778749960499861	-0.186885760253593	0.0524186604332373	-0.589480831415648	5.36303844228122	5.18018776857056	0.00357233815644353	0.0318108207264257
ENSDARG00000110366	0.0801733464104917	0.337135723755799	0.0684668592107753	-0.367546828953489	-0.763620130070958	6.07149763853937	4.92151192436603	0.0045927498996719	0.0352950606788007
ENSDARG00000095509	0.514392270858385	0.261159509974921	0.077426250270018	0.524537545464133	0.992885313953781	4.88513835927062	4.89797301461176	0.00470037547155586	0.0352950606788007
ENSDARG00000060879	-0.22616597964462	-0.0512887619075713	0.0901117925218813	-0.235464437149984	-0.738047412580686	8.80085514726436	4.8950164901316	0.00471408736637998	0.0352950606788007
ENSDARG00000079385	-0.101647157126907	-0.16745370547048	0.179144670136052	0.231511979153026	-0.647632925835511	5.82774750023449	4.89404748043257	0.00471859099983966	0.0352950606788007
ENSDARG00000053828	0.245878606753978	0.06481568450483	0.519282087976914	0.79001359920104	0.75360396420789	4.25928961421025	4.78464126905388	0.00525867394777209	0.036948121044021
