gene.id	bmd
ENSDARG00000005595	0.05205481
ENSDARG00000006368	0.339540576
ENSDARG00000007366	0.132503118
ENSDARG00000010317	2.419361605
ENSDARG00000010384	1.032551158
ENSDARG00000012060	0.687570631
ENSDARG00000014849	0.000757015
ENSDARG00000016704	NA
ENSDARG00000016750	0.367014548
ENSDARG00000018418	0.408244171
ENSDARG00000018788	0.019836805
ENSDARG00000019025	0.400796626
ENSDARG00000020749	0.002097647
ENSDARG00000022668	0.632772867
ENSDARG00000025914	NA
ENSDARG00000035859	NA
ENSDARG00000041492	0.001184193
ENSDARG00000041952	0.173406737
ENSDARG00000042726	NA
ENSDARG00000043360	NA
ENSDARG00000044685	0.148746905
ENSDARG00000045067	0.544301857
ENSDARG00000045089	0.063884458
ENSDARG00000053953	0.753854039
ENSDARG00000054055	2.788330389
ENSDARG00000055798	0.000689276
ENSDARG00000058219	0.035659525
ENSDARG00000059058	0.180688883
ENSDARG00000061610	0.076786856
ENSDARG00000062758	1.253870972
ENSDARG00000069555	0.001357087
ENSDARG00000070541	0.862244022
ENSDARG00000073695	0.5913552
ENSDARG00000075284	0.901626408
ENSDARG00000076196	0.006361217
ENSDARG00000077028	0.673800284
ENSDARG00000079983	0.189291909
ENSDARG00000091465	0.001135595
ENSDARG00000091889	1.540935609
ENSDARG00000092027	1.71084131
ENSDARG00000092889	NA
ENSDARG00000093117	0.343450803
ENSDARG00000094104	0.171738038
ENSDARG00000094627	0.027299835
ENSDARG00000095150	1.50951141
ENSDARG00000096784	NA
ENSDARG00000097203	0.004289077
ENSDARG00000098937	2.661794566
ENSDARG00000100290	0.199686066
ENSDARG00000100484	1.305895079
ENSDARG00000101145	0.001339388
ENSDARG00000101407	0.240358579
ENSDARG00000101434	0.287072681
ENSDARG00000101536	2.738915237
ENSDARG00000101703	2.811636146
ENSDARG00000102241	0.598243806
ENSDARG00000103019	0.322184785
ENSDARG00000103875	0.075291951
ENSDARG00000104727	0.539001768
ENSDARG00000104856	0.226255753
ENSDARG00000105389	0.193029133
ENSDARG00000105391	0.0951397
ENSDARG00000105420	0.000725839
ENSDARG00000106158	0.764590466
ENSDARG00000113087	0.094138953
ENSDARG00000113804	0.463053641
ENSDARG00000114182	0.058854865
ENSDARG00000116259	1.359166175
ENSDARG00000117231	1.017925359
