gene.id	bmd
ENSDARG00000000887	0.510266075
ENSDARG00000001818	1.268177971
ENSDARG00000001870	1.412894107
ENSDARG00000002197	0.888093824
ENSDARG00000002479	1.065732254
ENSDARG00000002509	0.405688673
ENSDARG00000002764	2.654737807
ENSDARG00000002968	0.358550348
ENSDARG00000002986	2.413502244
ENSDARG00000003054	0.001997973
ENSDARG00000003615	1.50071743
ENSDARG00000003635	0.859196287
ENSDARG00000003977	1.286480265
ENSDARG00000004204	NA
ENSDARG00000004296	2.296416878
ENSDARG00000004904	0.935550352
ENSDARG00000004954	0.998999631
ENSDARG00000004964	2.449294969
ENSDARG00000005004	0.164897369
ENSDARG00000005320	0.824590279
ENSDARG00000005616	2.781617402
ENSDARG00000006220	0.549687365
ENSDARG00000006427	0.914789127
ENSDARG00000006447	0.787077023
ENSDARG00000006474	0.086123521
ENSDARG00000006544	1.153021613
ENSDARG00000007024	2.341311039
ENSDARG00000007366	0.392642282
ENSDARG00000007421	2.593827788
ENSDARG00000007950	0.679240454
ENSDARG00000007988	2.279654012
ENSDARG00000008029	0.705100157
ENSDARG00000008403	0.879425843
ENSDARG00000008637	1.168272845
ENSDARG00000008969	1.077100762
ENSDARG00000009123	1.30524858
ENSDARG00000009153	2.341498195
ENSDARG00000009160	0.392407703
ENSDARG00000010267	2.407293595
ENSDARG00000010936	1.150707697
ENSDARG00000011521	0.974197746
ENSDARG00000011573	1.174153355
ENSDARG00000012269	0.910575212
ENSDARG00000012640	2.52248248
ENSDARG00000012694	1.311423172
ENSDARG00000012829	0.993650456
ENSDARG00000013522	1.478371166
ENSDARG00000013775	1.801474347
ENSDARG00000013856	0.917915673
ENSDARG00000013871	1.638918745
ENSDARG00000014031	1.041967711
ENSDARG00000014169	0.890494423
ENSDARG00000014651	0.819141564
ENSDARG00000015731	0.723183823
ENSDARG00000016319	1.212135467
ENSDARG00000016412	1.565284573
ENSDARG00000016789	0.262050575
ENSDARG00000016918	1.056847371
ENSDARG00000017165	0.994140273
ENSDARG00000017254	0.114020181
ENSDARG00000017314	1.094010511
ENSDARG00000017444	2.395109395
ENSDARG00000017490	0.969491417
ENSDARG00000017773	1.05872803
ENSDARG00000017821	0.92013728
ENSDARG00000017882	0.673721058
ENSDARG00000017928	0.508457165
ENSDARG00000018263	0.604597879
ENSDARG00000018351	1.093296447
ENSDARG00000018361	1.161436384
ENSDARG00000018478	2.518950812
