#NAME	DBC_10-1_A	DBC_10-1_B	DBC_10-1_C	DBC_10-2_A	DBC_10-2_B	DBC_10-2_C	DBC_10-3_A	DBC_10-3_B	DBC_10-3_C	DBC_10-4_A	DBC_10-4_B	DBC_10-4_C	DBC_3uM_A	DBC_3uM_B	DBC_3uM_C
#CLASS:dose	0.3	0.3	0.3	0.03	0.03	0.03	0.003	0.003	0.003	0.0003	0.0003	0.0003	3	3	3
ENSDARG00000102141	8.631893904	8.617913266	8.53272136	8.677724855	8.677628192	8.636234385	8.734953993	8.640424391	8.513652576	8.544847411	8.513652576	8.253827275	8.529430108	8.617812343	8.46701183
ENSDARG00000102123	8.202322991	8.281886998	8.330726866	8.171779234	8.014034403	8.180149651	8.105954506	8.253060549	8.347706058	7.846881844	7.953983938	8.09775973	8.197395875	8.062779574	8.123863382
ENSDARG00000114503	9.519826143	9.652146058	9.733359814	9.597875713	9.617763477	9.729243714	9.609239977	9.591903455	9.816896402	9.28049689	9.301468747	9.490329483	9.531751386	9.497277337	9.553673191
ENSDARG00000115971	5.163038834	4.759722826	5.502038094	5.435702243	4.815742231	4.306055637	5.38943047	4.906022966	4.083589337	5.340222237	4.860580274	5.062570775	5.149630979	5.477430654	4.692090409
ENSDARG00000098311	9.124896846	9.560750684	9.356110626	9.470763259	9.509268411	9.339121674	9.413982859	9.470763259	9.456221452	9.04431958	9.228956148	9.036080151	9.200573373	9.328259987	9.230615062
ENSDARG00000104839	9.971440213	9.554250368	9.956222898	9.813909217	9.638109593	9.889375523	9.926589409	9.504702392	9.692808138	10.02317408	9.786170502	9.935135317	9.643936404	9.715406178	9.589627872
ENSDARG00000100143	9.054597932	9.114993105	9.258421628	9.078119195	9.178832848	9.310175061	9.310455681	9.219773625	9.572792898	9.40883627	9.214532822	9.375803085	9.210144782	9.310013428	9.447459091
ENSDARG00000102474	9.831847622	10.17319122	9.933754622	9.806972004	10.05018099	10.00943869	9.862817503	10.07264263	10.12554528	9.662933423	9.883275646	9.706833058	9.782655707	9.961648384	9.924135125
ENSDARG00000104049	9.756797669	9.736043556	9.734522775	9.633294921	9.725466414	9.757679297	9.69092121	9.837663998	9.727861848	9.671912187	9.536845525	9.691472184	9.646536906	9.701694297	9.697169192
ENSDARG00000102226	7.266140644	7.38339233	7.63802842	7.539937586	7.414364334	7.577258515	7.205174658	7.39925133	7.246065104	7.216204752	7.700848076	7.596502689	6.895115919	7.182567782	7.613862064
ENSDARG00000103095	10.12401276	10.25825849	10.24639958	10.21508012	10.26222405	10.20271881	10.23038681	10.26494909	10.29124954	10.13067495	10.18208486	10.13898952	10.25623177	10.25213435	10.17558385
ENSDARG00000102128	9.193622621	9.31896921	9.179951455	9.114864091	9.409682345	9.220177248	9.157650219	9.276931471	9.178674527	9.066595318	9.38134537	9.184224255	8.891818379	9.310013428	9.209456185
ENSDARG00000110470	8.500166992	8.348987425	8.622668537	8.552572554	8.569545773	8.72942801	8.575796596	8.388046237	8.453735862	8.79888068	8.773194991	8.790011918	8.292142415	8.56213466	8.874691274
ENSDARG00000100422	8.784425017	8.781558252	8.931930239	8.793411303	8.977243121	8.829228275	8.851733598	8.862765163	8.807461439	9.015424946	9.171251629	9.16151016	8.852035432	9.057012323	8.898724125
ENSDARG00000104632	6.842048491	6.989611304	7.153935701	7.041965594	6.804830753	6.892973652	6.875844668	6.696154591	7.246065104	6.925219532	7.148929611	6.558564437	7.178319108	7.112741531	6.79933438
ENSDARG00000100660	7.157045741	6.611077821	6.627472684	6.988980616	6.594313183	6.381611215	6.52473349	6.712131519	6.697760695	6.258213834	6.280294118	6.625742466	6.774443747	6.327581321	6.523365431
ENSDARG00000099787	5.194109834	4.821163988	5.004283709	5.139425195	4.970179299	4.983549353	5.348816556	5.280091297	5.065005834	4.276180126	5.194109834	4.731388675	4.643085298	5.386642458	4.950248465
ENSDARG00000112451	3.770996568	3.181654657	3.984188888	3.921479564	3.830040083	4.983549353	4.383776571	4.153371479	4.195994228	3.921479564	4.240765103	3.604162001	4.053485112	4.353193625	4.21744003
ENSDARG00000045914	11.09485476	11.07725406	11.21634143	11.15029811	11.10946685	11.20259842	11.17569496	11.03603913	11.10242686	11.30905996	11.20905132	11.37859074	11.16041773	11.07546175	11.35901545
ENSDARG00000045913	8.802646692	8.939460863	9.155754938	9.026238297	8.902259744	8.990628853	8.95539611	8.964929017	9.042298522	8.865787069	8.729936588	8.779198168	8.944671017	8.866100984	9.056529958
ENSDARG00000045911	9.607443386	9.565835039	9.51487549	9.624463746	9.717466024	9.50403658	9.388504587	9.461945025	9.411187545	9.724522184	9.794141464	9.649670579	9.664840935	9.675111253	9.550455771
ENSDARG00000045910	9.33673755	9.424776603	9.38969266	9.363014849	9.394891917	9.4566128	9.461347651	9.276931471	9.31177521	9.365141779	9.239482891	9.211024258	9.180296868	9.262165418	9.234972425
ENSDARG00000045909	8.045515093	8.225679398	7.991799361	8.280678123	8.238537609	8.328706831	8.461442082	8.36345166	8.353807014	8.329617954	8.263454544	8.165903438	8.332831591	8.208750371	8.374106271
ENSDARG00000025073	14.85867202	14.86994852	14.90002778	14.88756919	14.9339266	14.9339266	14.90002778	14.88756919	14.9339266	14.88756919	14.80802825	14.91476697	14.84004039	14.85867202	14.91476697
ENSDARG00000031737	4.717110673	4.759722826	4.789721071	4.701958381	4.337736775	4.680060031	4.608479469	4.507258731	4.301581358	5.340222237	4.680060031	4.460406324	4.327765018	5.009808261	4.13211892
ENSDARG00000099652	10.13812517	10.040948	9.950121089	10.14126158	10.10797915	10.09157696	10.12828786	9.913052323	10.08159557	10.33572174	10.14186932	10.17793752	10.21307393	10.12129928	10.19143649
ENSDARG00000101047	9.353355781	9.376915429	9.275947726	9.373988548	9.390661798	9.305613503	9.43835651	9.211024258	9.292845105	9.561689767	9.370002774	9.315181275	9.369913965	9.112009116	9.300908418
ENSDARG00000099833	8.348822451	8.345545186	8.495416678	8.348356958	8.429954128	8.364771957	8.402682712	8.268947129	8.347706058	8.317111296	8.02861496	8.377559957	8.213118261	8.268947129	8.262821528
ENSDARG00000103870	4.246972397	4.144585488	4.446540121	3.996814046	4.815742231	4.21744003	4.805105641	3.143678814	3.865134104	4.676562203	4.059692406	3.90323412	3.855452264	4.286159655	5.299624999
ENSDARG00000096118	8.336299655	8.241865115	8.135235288	8.28699793	8.234696056	8.141183104	8.092174553	8.192672713	8.372284755	8.185334592	7.850407374	8.038931711	8.129679514	8.043929102	8.184966791
ENSDARG00000045900	8.879497607	8.935904995	9.02849779	8.754812354	8.94431495	8.902926378	8.757373853	8.928298315	8.91267169	8.839976759	9.002348006	8.810270802	8.797726262	8.99327061	8.80668815
ENSDARG00000016968	10.21324166	10.29736256	10.33827539	10.23708035	10.21080447	10.24639958	10.35514295	10.29817661	10.31139607	10.20271881	10.16687662	10.22222482	10.21155101	10.22505374	10.26674668
ENSDARG00000102878	9.891497305	9.64129397	9.806219677	9.749932316	9.712908669	9.770385652	9.77851152	9.858472543	9.636970209	9.688952123	9.681360201	9.611887073	9.664840935	9.829398792	9.663971916
ENSDARG00000059311	11.22789005	11.25494375	11.30798812	11.13218119	11.43752209	11.33900847	10.99921413	11.23831844	11.09378605	11.06505492	11.44701627	11.26107639	10.95897246	11.41742797	11.22566472
ENSDARG00000017386	7.357746439	7.610044034	7.167894371	7.624587559	7.157715985	7.287775129	7.609749906	7.291277909	6.884873761	7.290328071	7.308548418	7.051617999	7.408288783	7.486764473	7.088952191
ENSDARG00000045898	9.66752637	9.876901665	9.859176538	9.703632824	9.831536925	9.754636443	9.905461756	9.829398792	9.84260518	9.751816153	9.770986834	9.881494242	9.695444268	9.753887416	9.949141906
ENSDARG00000006060	8.744028426	9.119466969	9.109702648	8.848216635	9.032639816	9.024040257	8.884778534	9.067303445	9.384945361	8.98292919	8.68624314	9.147895234	9.082809946	8.853651714	9.046424559
ENSDARG00000063686	7.578286448	7.928675733	7.982505685	7.642199898	7.841031845	8.005208406	7.662924275	7.961608299	8.039948297	7.763727438	7.593318939	7.967446635	7.677296035	7.874223749	7.898336071
ENSDARG00000087962	9.432931357	9.49432084	9.230236445	9.402714101	9.511332872	9.491949087	9.503299243	9.343264461	9.542406799	9.458657628	9.341956716	9.229176394	9.409066921	9.359185083	9.373988548
ENSDARG00000099313	10.0394969	9.956714257	10.20977618	10.27470169	10.07672062	10.21102263	10.26750953	10.252717	10.34005345	10.10607674	10.08159557	10.09985831	10.13748935	10.01567792	9.971241169
ENSDARG00000103102	5.633248876	5.834990573	5.654105289	5.631344265	5.633248876	5.856869815	5.824740946	5.826982176	5.896883505	5.830647604	5.009808261	5.38943047	5.521125342	5.245099276	5.611774111
ENSDARG00000104018	11.30158514	11.33742069	11.24006321	11.33340356	11.36051015	11.23220195	11.36537039	11.38269929	11.26424035	11.42623094	11.28296655	11.2107084	11.33046805	11.28254946	11.204171
ENSDARG00000098612	4.502058563	4.053485112	3.909064976	3.921479564	4.623022191	4.059692406	3.921479564	4.655313916	3.247304806	4.950248465	5.391544394	4.906022966	4.327765018	4.712835317	4.21744003
ENSDARG00000102340	10.28073264	10.32926704	10.38524801	10.20827769	10.31123335	10.26790564	10.15290713	10.29109776	10.24639958	10.16374465	10.36703841	10.32767022	10.02200344	10.27305046	10.15512597
ENSDARG00000111388	8.458554645	8.14737467	8.473005982	8.381805972	8.404109661	8.677431028	8.468880654	8.509688385	8.599746295	8.455215432	8.565987966	8.665969396	8.465483038	8.585109202	8.675733108
ENSDARG00000063672	9.16141759	9.262491716	8.881552611	8.99327061	9.301711383	8.957936661	9.067303445	9.191564179	9.019831294	8.942825143	9.299619889	8.635978247	9.092299317	9.416206946	8.751994119
ENSDARG00000018149	12.40644631	12.32726072	12.27412218	12.31689111	12.38891629	12.25734213	12.41222287	12.43803246	12.39918158	12.21842439	12.47722093	12.12068312	12.38069698	12.41842571	12.18925299
ENSDARG00000045886	11.29409509	11.1426497	10.99091997	11.05617863	11.28949342	11.23458264	11.10946685	11.06470004	11.01125762	11.20538391	11.39671683	11.28044171	11.24287838	11.3280022	11.11469495
ENSDARG00000045885	10.4830164	10.55782902	10.35688792	10.55876063	10.40597315	10.5115674	10.54656552	10.55255657	10.56191266	10.47946722	10.43738131	10.39658405	10.52428754	10.58244533	10.48218477
ENSDARG00000007413	9.957310648	9.821331364	9.92289752	9.889102062	10.02325032	10.07927055	9.875168134	9.790870607	9.983293719	9.986067588	9.987220375	10.21371262	9.948047459	9.974751029	10.13654919
ENSDARG00000097341	4.759722826	5.976316998	5.596324239	5.139425195	5.726514339	5.413829931	5.270537639	5.230296813	5.830647604	5.48143872	5.356347549	5.328148856	5.495922001	5.896883505	5.649862737
ENSDARG00000045880	7.672672058	7.741240232	7.402143895	7.570639935	7.710693358	7.442209428	7.741240232	7.740811814	7.649481239	7.702382561	7.659380634	7.622006929	7.852164509	7.890737435	7.569600657
ENSDARG00000009657	9.070220235	8.986836717	9.062481028	9.153645008	8.821671626	8.899387662	8.923133286	8.999121874	9.1389532	8.765099697	8.741024659	8.747990408	8.834704272	8.988083592	8.779541123
ENSDARG00000093658	9.491755991	9.579649559	9.556155556	9.631684796	9.254307587	9.41007309	9.651134295	9.598682414	9.580040026	9.514202735	9.402782556	9.614036809	9.677163036	9.564224692	9.675111253
ENSDARG00000026839	7.938409156	8.068492809	7.755043693	7.933732018	8.002981641	7.941111592	8.022830955	7.948043865	8.108725071	7.967734168	7.856754823	7.866837941	7.856355939	7.919258702	8.016589606
ENSDARG00000016979	9.880684085	10.12430861	9.681597671	10.08954631	10.12579318	9.733534177	10.15178541	10.12741825	9.905250818	9.918935794	9.805285715	9.640559065	10.11633526	10.14544252	9.738035357
ENSDARG00000070477	8.655269575	8.419790108	8.712458809	8.58268326	8.486206755	8.751883185	8.838881615	8.347329685	8.813476993	8.942825143	8.513652576	8.819168836	8.699865323	8.312730478	8.932122152
ENSDARG00000045878	8.213880747	8.027622197	8.141183104	8.036766745	8.154607034	8.041302729	8.126301967	8.111472184	8.15233804	8.157366301	8.409720385	8.156317994	8.207867235	8.208750371	7.974977744
ENSDARG00000045877	10.3115588	10.21242472	10.42421044	10.29280937	10.13615226	10.3191609	10.50916131	10.14077068	10.34005345	10.29094598	10.1889368	10.39205338	10.25537209	10.24359448	10.42925444
ENSDARG00000079391	8.519710939	8.765367981	8.638166914	8.693287324	8.655009159	8.689528056	8.862765163	8.616165067	8.604337295	8.227345937	8.381805972	8.471714097	8.583763079	8.549913892	8.722067023
ENSDARG00000015921	9.61342842	9.56902828	9.504319168	9.610168549	9.742869325	9.55568609	9.73003359	9.682060499	9.400947293	9.688952123	9.684997937	9.451108626	9.692109504	9.694424881	9.563896975
ENSDARG00000061544	5.874437405	5.888631976	5.724303215	6.22717076	5.970660913	5.596324239	6.194740605	6.029304025	5.728628263	6.088238402	5.842127494	5.67870101	6.034360162	5.540130232	5.801875257
ENSDARG00000009262	7.060053345	7.272130128	6.728571648	6.913945069	7.088952191	6.460118161	6.471384288	7.267819589	6.766955478	7.045986338	6.934584932	6.929876212	7.073989492	6.943687993	6.922034972
ENSDARG00000018618	10.92270661	10.87639801	10.97093405	10.83458539	10.96346246	11.01591065	10.89453556	10.96152633	10.99047529	11.05402232	11.01873792	11.08598058	10.97575278	10.93184011	11.04324774
ENSDARG00000045874	8.305928821	7.886719856	8.163515035	8.238117251	7.861087721	8.180149651	8.224404417	7.886265105	8.108725071	8.25432362	8.067405161	8.223773145	8.085516892	7.989179461	8.345863135
ENSDARG00000057468	6.58381986	6.492493518	6.74226176	6.381117981	6.371346534	6.753842897	6.088238402	6.546435861	6.112149271	6.325803836	6.864546699	6.780285153	6.618100889	6.881663639	6.280294118
ENSDARG00000045873	5.823946055	5.665355122	6.189839912	5.949156337	6.074425293	5.901663292	5.994863987	5.531454126	6.112149271	6.238082657	6.117152509	5.896883505	6.561197705	5.970660913	5.975025976
ENSDARG00000079143	6.985799926	7.028370989	6.777328267	6.724698004	6.825990879	7.030853717	6.839299756	6.924434387	6.594313183	6.940852766	6.9865529	6.988980616	6.666496123	6.971249976	6.67893681
ENSDARG00000057714	8.9272158	9.095542422	9.539816965	9.190136953	8.858333879	9.359680465	9.205806913	9.114864091	9.442965579	9.154555072	8.958740845	9.256199915	9.043404741	8.817462209	9.234972425
ENSDARG00000045224	4.402957056	4.450633491	4.266704602	3.837738564	3.921479564	4.383776571	4.13211892	4.588594352	3.865134104	3.702088426	3.393039056	3.90323412	4.59780308	3.247304806	4.024357499
ENSDARG00000011246	8.419657079	8.544847411	8.460087515	8.50164392	8.560143456	8.328706831	8.718300326	8.395417562	8.387256044	8.571466557	8.305671999	8.408921088	8.634210391	8.640657783	8.520760446
ENSDARG00000053709	5.874437405	5.728628263	5.295383956	5.498185156	5.009808261	5.623788321	6.041853478	5.694872716	5.697917838	5.954578285	5.842127494	5.550055893	5.919485822	4.964756063	5.163038834
ENSDARG00000099129	6.901761612	6.976690317	7.294993099	6.881663639	7.023477315	7.181454763	7.083151293	6.980250559	7.038881572	7.01129631	6.800507634	7.441225894	7.193131994	6.93243961	7.28847462
ENSDARG00000101813	12.2410949	12.02158686	12.02845756	12.15810886	12.06830494	11.99687663	12.12951021	11.98737708	12.09780165	12.29334007	12.26962578	12.1102393	12.17063218	12.09297723	11.96244688
ENSDARG00000039724	5.485611451	5.116682954	5.295383956	5.661897714	5.658155109	5.788566561	5.719264164	5.724303215	5.356347549	5.616053648	5.628969338	5.67870101	5.149630979	5.506616408	5.21330887
ENSDARG00000070441	8.217313023	7.94911065	7.761984152	7.894866765	8.164221928	7.958858647	7.876366321	7.893054507	7.711769413	8.11660111	8.347208092	7.956637101	7.995461432	7.965824447	7.751835789
ENSDARG00000011961	8.607542562	8.92631901	8.866287508	8.852837062	8.63497365	8.604337295	8.813735888	8.866473917	8.944768661	8.804160314	8.444557301	8.642806431	8.954468452	8.599746295	8.790400049
ENSDARG00000008986	6.306596306	5.477430654	6.25582915	5.693139702	5.985390901	6.041161526	6.328084884	5.919485822	6.189839912	6.864107519	5.970660913	6.451730995	6.479449572	5.92402608	6.486533014
ENSDARG00000008235	8.246529397	8.177297116	8.185995807	8.155107944	8.384989995	8.122582366	8.219264018	8.063493612	8.438939195	8.249618766	8.201255	8.127961711	8.314736233	8.189969092	8.179643226
ENSDARG00000004592	7.440912604	7.253649075	7.402143895	7.124076029	7.553968584	7.670728866	7.473164012	7.408827606	7.456097602	7.205174658	7.511775667	7.497878924	7.388782884	7.476134893	7.28847462
ENSDARG00000006567	6.834330811	6.725841509	6.696154591	6.976690317	6.892973652	6.775234354	7.083151293	6.492493518	6.85730508	6.783341051	6.514365022	6.594313183	6.787571722	6.53800615	6.935417662
ENSDARG00000016231	7.509929906	7.31611698	7.246400226	7.425040114	7.051316495	7.462862278	7.39925133	7.417857348	7.434390183	7.474564137	7.434849275	7.27053313	7.601946365	7.323844361	7.088952191
ENSDARG00000016749	6.957068133	7.076789707	6.867488852	7.135645353	6.766955478	6.638075402	7.338355378	6.996860657	6.748291744	7.146899619	7.083151293	6.949953562	6.810061058	7.323844361	6.771110747
ENSDARG00000004227	7.723417519	7.513506124	7.184082453	7.624587559	7.936309066	7.367791247	7.390230979	7.59924669	7.335563324	7.933732018	7.684733248	7.414912368	7.811603129	8.103591259	7.120955457
ENSDARG00000006038	9.210144782	9.107161316	9.124971002	9.204554743	9.153831222	9.090626094	9.398431385	9.219773625	9.1558544	9.151843363	8.961789417	9.165828286	9.178197538	9.197604536	9.297930719
ENSDARG00000045870	10.02631623	10.11033494	9.971539801	9.971539801	10.22516184	10.03248318	10.07962403	10.20309713	10.00123352	9.980262025	10.11962157	10.06524213	9.923100422	10.19449775	10.00363579
ENSDARG00000098551	6.092815833	6.236872833	6.088238402	5.856869815	6.309355748	5.761944377	5.824740946	6.298776557	5.955429455	6.301042952	6.170029897	6.224156067	5.656130199	6.629681487	6.110983442
ENSDARG00000060248	5.194109834	5.116682954	5.230296813	5.391544394	5.054399048	4.838517283	5.744077139	5.18107399	4.695244123	5.225089034	4.680060031	5.100890466	5.495922001	5.413829931	4.21744003
ENSDARG00000017757	7.915272131	8.28699793	8.021579563	7.962593359	8.108096677	7.995461432	8.022830955	8.049993611	7.928293309	7.757744572	8.054655609	7.664609666	8.02861496	8.124265669	7.917818395
ENSDARG00000030598	9.17512508	9.170591737	9.072696576	9.114864091	9.298619357	8.974738647	9.252142443	9.254752959	9.181892312	9.339676908	9.421872638	9.070905863	9.310574668	9.242545388	8.981100378
ENSDARG00000077356	6.620230684	6.080595425	6.142247964	6.209160684	5.985390901	6.128961408	6.064065951	6.429909623	6.088238402	6.17065042	5.779095536	6.170029897	6.325803836	6.189839912	6.324909135
ENSDARG00000089860	5.915266139	5.888631976	6.206910311	5.856869815	5.900453469	6.294989047	6.019390526	6.029304025	6.371346534	6.051748833	6.258213834	5.768919011	6.14292056	6.154204938	6.214234824
ENSDARG00000039843	7.75912677	7.972340735	7.867337576	8.090594288	7.793528748	7.651038227	7.961051585	7.858363552	8.15233804	7.570215226	7.651445788	7.60268292	8.031960044	7.729282257	7.785111622
ENSDARG00000077654	8.193924948	8.008935619	8.250679247	7.933732018	8.284010354	8.207315936	7.793714065	8.070573566	7.855408851	8.072395469	8.107378015	8.069281609	7.786930312	8.114129716	8.043724898
ENSDARG00000033296	7.549060755	7.48926785	7.701643061	7.570639935	7.510581974	7.774331266	7.228856364	7.618303288	7.31675605	7.628363145	7.987760427	7.77285335	7.434849275	7.635040024	7.577675781
ENSDARG00000006283	9.842510682	10.06113159	9.798294461	9.802622848	9.990728705	9.69092121	9.96856708	9.964172296	9.715970256	9.891596719	9.898209123	9.629752775	9.867001768	9.916595583	9.749932316
ENSDARG00000045864	5.893816892	5.861049024	5.939897346	5.92402608	5.970660913	5.99742893	6.35010936	5.724303215	5.661897714	6.19265493	5.944664706	5.698699803	6.467627451	5.386642458	6.059191975
