	DBP_10-4_A	DBP_10-4_B	DBP_10-4_C	DBP_10-3_A	DBP_10-3_B	DBP_10-3_C	DBP_10-2_A	DBP_10-2_B	DBP_10-2_C	DBP_10-1_A	DBP_10-1_B	DBP_10-1_C	DBP_3uM_A	DBP_3uM_B	DBP_3uM_C
ENSDARG00000000001	7.021789773	7.083588019	6.516941705	7.095834861	7.097803593	6.930352896	7.071769572	7.067807244	7.112349586	6.768886842	7.13216695	6.830959403	7.005339672	7.073117333	6.804975272
ENSDARG00000000002	8.159164747	8.132754131	7.966981194	7.959706385	7.852912545	8.136419695	7.767206814	8.051666847	7.999454756	7.947882413	7.830772171	7.895183867	8.158874612	8.202908807	7.88017496
ENSDARG00000000018	9.509960294	9.52528276	9.594683506	9.372047724	9.488074123	9.301946844	9.445998467	9.492243581	9.447523899	9.387913577	9.440986254	9.384147822	9.393663682	9.662749321	9.586084111
ENSDARG00000000068	9.951989543	9.827965794	9.617861598	10.07063189	9.7425365	9.644721296	9.992453885	9.758881248	9.580568713	9.986735211	9.666705764	9.702545714	9.606343281	9.124271458	9.304497244
ENSDARG00000000069	10.35995235	10.31616141	10.31842868	10.34826456	10.22553492	10.35761088	10.36953732	10.41858555	10.30069731	10.27001032	10.35426435	10.25461082	10.25889148	9.939075783	10.14652975
ENSDARG00000000086	9.945334306	9.632018967	10.05952645	9.596944026	9.973760815	9.795435127	9.98330305	9.842675113	9.984357044	9.972709101	9.938774629	9.913113371	9.668633227	9.801614128	9.882590049
ENSDARG00000000103	11.52755583	11.32685811	11.58535969	11.27848855	11.3894507	11.45031968	11.27104172	11.44799848	11.59893703	11.27848855	11.49438418	11.49984746	11.40163917	11.50499687	11.61203919
ENSDARG00000000142	6.721250226	7.344163585	7.477637832	6.986055731	7.243535601	7.083266346	7.128326656	7.303077672	7.196206293	7.228264937	7.426989366	7.500683983	7.070654993	7.039193018	7.303077672
ENSDARG00000000151	7.809353266	8.111298184	8.087408136	7.837585074	7.877338714	7.927155617	7.895523125	8.293043367	7.929351176	8.0710951	7.769931835	7.811419313	7.65525002	7.812830063	7.88017496
ENSDARG00000000161	7.96047008	7.787611267	8.018042539	7.959706385	7.766358918	7.747289691	7.99165194	7.859367416	7.834654706	8.219317957	7.964688776	7.924073539	7.947882413	7.953054067	7.831421329
ENSDARG00000000175	7.162180234	7.152060967	7.109272691	7.012153626	7.122804241	6.873565783	7.128326656	6.819818489	7.039193018	7.251140883	7.260950587	6.742135153	7.136995179	7.51334921	7.056363457
ENSDARG00000000183	9.691880248	9.573234172	9.875034777	9.718023475	9.577778066	9.409584036	9.942381866	9.571897009	9.530952625	9.731836959	9.877454781	9.515972274	9.618280156	9.699793455	9.652659772
ENSDARG00000000189	9.479293362	9.433915484	9.711532039	9.417720043	9.447590645	9.39982964	9.572716639	9.501028773	9.569913149	9.614455275	9.595791076	9.360680347	9.444185412	9.6776581	9.538215701
ENSDARG00000000212	13.10792466	13.54379443	12.87270647	13.17747015	13.50416641	13.24699709	13.10792466	13.36480422	13.29090674	13.18561273	13.22506061	13.1126247	13.40885046	13.19360704	12.8966567
ENSDARG00000000229	8.987641583	8.398834182	8.827512333	8.726970828	8.32682583	8.552388822	8.50932305	8.47006439	8.600979956	8.603867963	8.458529618	8.326277494	8.600221654	8.678072937	8.716958006
ENSDARG00000000241	9.991035908	10.22321602	10.09910396	10.08630716	10.28854013	10.15875453	10.16487593	10.14922161	10.18510193	10.00637481	10.25836494	10.21753822	9.9733605	10.09761524	10.10471443
ENSDARG00000000324	8.765201188	8.646466382	8.909503905	8.797060849	8.909503905	8.841083853	8.749175801	8.757690398	8.917213667	9.067463012	8.72684138	8.843268513	8.77891197	8.688496695	8.87243645
ENSDARG00000000369	7.837585074	7.325093342	6.964415171	7.491053264	7.326275835	7.284390275	7.347098629	7.232590921	7.340975895	7.326022062	7.183040288	7.278498309	7.634477375	7.690573145	7.56744974
ENSDARG00000000370	9.873608769	9.365213614	9.938137241	9.563465627	9.51220139	9.637441052	10.01757291	9.564187127	9.71382361	10.00070149	9.8986574	9.649989176	9.569422253	9.558913037	9.652659772
ENSDARG00000000380	9.145643926	9.300637726	8.955207115	9.112028444	9.297744033	8.997822267	9.098541084	9.288983679	9.048711207	9.298414905	9.066198012	9.087701154	9.302333897	9.016877447	9.11588095
ENSDARG00000000423	6.766166516	6.804975272	6.678962021	6.620116248	6.462133191	6.693253689	6.636830233	6.531813322	6.741683602	6.532841991	6.735889024	6.60508969	6.711027257	6.807647476	6.615672374
ENSDARG00000000442	8.632093848	8.104873764	8.13954454	8.485328266	8.18421501	8.435910765	8.35861307	7.954202941	8.250284026	8.224051814	8.159986817	8.326277494	8.513473485	8.529013295	8.527847512
ENSDARG00000000472	8.142842398	8.14348019	8.808979655	8.147752305	8.226710577	8.322373365	8.630938232	8.412782032	8.308288981	8.592669691	8.532834674	8.466908328	8.165751071	8.2233399	8.599019068
ENSDARG00000000474	4.184131022	4.312070052	4.290580204	4.18687976	4.649095552	4.61052977	4.909058702	4.637396122	4.09534667	4.517791627	4.321936797	4.209055576	4.760898204	3.580917367	3.506759952
ENSDARG00000000476	6.962107764	7.152060967	6.949704601	7.023138239	7.040135171	6.839455439	6.990551149	7.268545838	7.523600438	6.875995305	7.003288341	7.225882691	7.21551892	7.073117333	7.056363457
ENSDARG00000000489	10.01259061	10.13295954	9.819640354	9.994231255	10.14952643	10.16041868	9.91196033	10.08015196	9.84475925	10.06440952	10.00044415	9.915866186	10.12415979	10.17026596	10.03393937
ENSDARG00000000503	12.67719181	12.33834856	13.02670446	12.60090876	12.27453807	12.40763265	12.79356422	12.43573774	12.45166588	12.70973057	12.67990008	12.38333359	12.3052769	12.62936988	12.51066224
ENSDARG00000000529	7.577136621	7.530189852	7.554023424	7.306608178	7.314689717	7.292916186	7.530189852	7.21551892	7.461848905	7.464374491	7.46970807	7.500683983	7.385815527	7.489578553	7.52069487
ENSDARG00000000542	8.365533835	8.08395403	8.03821152	8.167965995	8.35664027	8.281302774	8.249475649	8.162118434	8.203182433	8.117320927	7.996932395	8.01854905	8.227224168	8.086015089	8.405511334
ENSDARG00000000551	8.829333057	8.523405137	9.262239019	8.797060849	8.697803994	8.948046674	8.498064396	8.654435617	8.993221846	8.573823851	8.890835955	8.734145143	8.867945469	8.936879696	9.322958895
ENSDARG00000000563	14.42006596	14.06098688	14.19773985	14.42006596	14.08133843	14.13258653	14.51731396	14.25218649	14.40782714	14.48121468	14.2194506	14.2245707	14.44555883	14.67815767	14.73961006
ENSDARG00000000567	9.004843233	8.875720508	9.166225089	8.891670562	8.84541104	8.853455741	8.900088504	8.881137362	9.048711207	8.994693387	8.997737824	8.917784218	9.00676406	9.159406937	9.194739206
ENSDARG00000000568	9.838880258	10.07023426	9.92833487	10.1434638	9.927426059	9.931817565	10.08556636	10.05103565	9.961546108	10.07319284	9.933617559	9.987723137	10.06972074	10.20128141	9.980252476
ENSDARG00000000588	6.92284127	7.005339672	6.844469936	7.065929798	7.160232824	7.002948482	6.843080855	6.636830233	7.196206293	7.204959734	6.758529502	7.158378675	6.852450111	7.103655125	6.967796857
ENSDARG00000000606	6.090808121	6.153655363	6.050373261	6.454303778	6.716934329	6.157686927	6.298901908	6.221385818	6.4537782	6.516941705	6.27748218	6.288573809	6.54369234	6.492949324	6.377856001
ENSDARG00000000651	5.116661631	5.191466522	5.285009448	5.383232099	5.235672277	5.690481744	5.664814869	5.145777538	5.486715531	5.421973876	4.97845532	5.097760405	5.349544769	5.398075609	5.07159382
