gene.id	mod.name	b	c	d	e	f	SDres	AIC.model	lof.p	ctrl	adv.incr	bmd	bmdl	bmdu	bmr	conv.pass	hd.pass	CI.pass	ld.pass	all.pass
ENSDARG00000011283	Exp2	-0.0586351866282367	NA	NA	4.35577084825383	NA	0.439854296297767	20.58	0.292935218108562	4.7112266135	FALSE	0.333697914148901	NA	1.29752796429174	4.27137231720223	FALSE	TRUE	NA	NA	FALSE
ENSDARG00000012275	Exp4	257.204725142756	0.763683316121233	NA	4.76290295021803	NA	0.417673864176831	19.91	0.653339904830318	4.677907554	FALSE	0.00230038367856984	0.000963040456441995	0.0040765220652587	4.26023368982317	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000044534	Exp4	44.1712463651878	1.22924404834948	NA	3.78395292817037	NA	0.391351696100209	18.09	0.158748878345729	3.441618593	TRUE	0.00132680751204503	NA	0.00742762248536726	3.83297028910021	FALSE	TRUE	NA	NA	FALSE
ENSDARG00000058578	Exp4	280.629385369139	1.53692826510733	NA	3.06147993594504	NA	0.473660857673028	23.43	0.604801969143682	3.194373759	TRUE	0.00164075442960979	0.00101389926205485	0.0025077287727838	3.66803461667303	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000073810	Poly2	5.33667528935566	-3.63319937814178	1.14097961979787	NA	NA	0.312809316926003	11.81	0.628776718503471	5.4179774775	FALSE	0.0650487279888344	0.0180950856610133	0.113493864428538	5.105168160574	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000081800	Lin	0.192793373864309	NA	3.59557995462189	NA	NA	0.586313930998306	28.62	0.11697566617196	2.8032157335	TRUE	NA	NA	NA	3.38952966449831	FALSE	NA	NA	NA	FALSE
ENSDARG00000087832	Exp4	153.986972268345	0.822084726287368	NA	5.23190467732177	NA	0.420982804964286	20.13	0.31329926515116	5.16053453	FALSE	0.00488848011897884	0.00201769427790731	0.00944623701195184	4.73955172503571	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000091821	Exp4	531.284769090284	1.21806080970623	NA	4.58420345052585	NA	0.178334077695915	-3.92	0.117204314308262	4.7314819195	TRUE	0.000741837063148236	0.000520227214509753	0.00100268683838824	4.90981599719592	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000092801	Lin	0.288281978013315	NA	4.02647131326129	NA	NA	0.651673944506519	31.58	0.132724483757885	3.6872110175	TRUE	1.08370854439276	0.590028659636719	NA	4.33888496200652	FALSE	TRUE	NA	TRUE	FALSE
ENSDARG00000093112	Exp4	331.62085688193	1.34961377249397	NA	3.52513810144233	NA	0.378529475312019	17.15	0.815067619878203	3.6417631335	TRUE	0.00154929268037564	0.000919641600577856	0.00243294700724048	4.02029260881202	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000093269	Exp2	0.0466424463618508	NA	NA	4.34363825968362	NA	0.358134235416245	14.82	0.164725814378373	3.9809755725	TRUE	NA	NA	NA	4.33910980791624	FALSE	NA	NA	NA	FALSE
ENSDARG00000097890	Exp3	-0.0056385330139892	NA	0.200379262434537	5.31298300130767	NA	0.318899066766682	12.35	0.612763995009287	5.01144043	FALSE	0.00534134625309405	0.000953213319716836	0.0205836646222314	4.69254136323332	TRUE	TRUE	TRUE	TRUE	TRUE
ENSDARG00000098390	Poly2	4.24054004261337	1.32542350451214	-0.654520434663285	NA	NA	0.478687703211411	23.73	0.236222417877358	3.7428903905	FALSE	2.5989796591691	2.4714217002278	2.71700821057285	3.26420268728859	TRUE	TRUE	TRUE	TRUE	TRUE
