	DHEP_10-4_A	DHEP_10-4_B	DHEP_10-4_C	DHEP_10-3_A	DHEP_10-3_B	DHEP_10-3_C	DHEP_10-2_A	DHEP_10-2_B	DHEP_10-2_C	DHEP_10-1_A	DHEP_10-1_B	DHEP_10-1_C	DHEP_3uM_A	DHEP_3uM_B	DHEP_3uM_C
ENSDARG00000000001	6.944664922	6.841375653	6.952815079	6.574158353	6.770589127	7.163294621	6.718978674	7.039714688	6.885399153	7.051244446	6.695810871	6.844853039	7.12296905	6.73202598	6.584953557
ENSDARG00000000002	7.775507778	7.532153596	7.747103379	7.775507778	7.57015755	8.007184387	7.940662192	7.822235231	7.849250075	7.929614202	7.887955793	7.833251497	7.510128534	7.96788026	7.992124612
ENSDARG00000000018	9.233180007	9.418264928	9.492382272	9.17851735	9.31289141	9.394739484	9.24077465	9.412406381	9.399638021	9.208549455	9.368718056	9.308322269	9.185839413	9.139122955	9.390388564
ENSDARG00000000019	10.71812553	10.96629909	11.00041538	10.87391538	10.92105684	10.95864981	10.81683391	10.96982834	11.00926942	10.84444505	10.85483263	10.98449436	10.69582803	10.92163753	10.83700386
ENSDARG00000000068	9.981784804	9.542954105	9.66959618	10.06464778	9.904814888	9.538635007	10.03615345	9.750804481	9.723191345	9.978669083	9.687327471	10.04036953	9.923971003	9.860707599	10.03040721
ENSDARG00000000069	10.51595483	10.28820247	10.2099563	10.17805169	10.32399244	10.22288091	10.32528829	10.18902465	10.1444688	10.24001638	10.11025378	10.319051	10.3248737	10.28400795	10.24412605
ENSDARG00000000086	9.534868428	9.962610191	9.863505053	9.620803406	9.881123301	9.774936687	9.803034612	10.06030596	9.749253453	9.591248394	10.02789542	10.17840808	9.585822914	9.948646922	9.751563017
ENSDARG00000000103	11.18730144	11.5580354	11.34868638	11.14656217	11.33322039	11.24598595	11.22915877	11.34997628	11.34997628	11.09395609	11.50242603	11.5264733	11.05612606	11.4817991	11.39737037
ENSDARG00000000142	6.888642526	7.334834107	7.336618371	7.253066298	6.984604477	7.163294621	7.110819935	7.165263419	7.342615965	7.290889729	7.037390112	7.163294621	6.924255441	6.931522982	7.040469042
ENSDARG00000000151	7.775507778	7.507486343	7.897264043	8.043646028	8.064321912	7.808598255	8.263871814	7.933721689	7.773786835	8.044752628	7.724375861	8.074146945	7.963339713	7.918850586	7.985016924
ENSDARG00000000161	7.725627438	7.815781988	7.822235231	8.028063308	8.05796778	7.86352772	7.84693206	7.89942811	7.980202508	7.87265981	7.775048686	7.941321114	7.733341874	7.910919661	7.88506754
ENSDARG00000000175	6.85612737	6.948226556	7.163294621	6.860234258	6.942657656	7.041026607	6.790793753	7.125072291	6.781351056	6.61894857	6.641318217	7.040469042	6.732780335	6.931522982	6.924255441
ENSDARG00000000183	9.402339773	9.692839223	10.04108218	9.686850254	9.713424724	9.941700896	9.412601378	9.639011607	9.796513032	9.528397821	9.768611689	9.677934756	9.225222272	9.707400867	9.660527913
ENSDARG00000000189	9.294310539	9.622546413	9.632545085	9.310077607	9.492785857	9.556056046	9.259395301	9.570440509	9.343130034	9.448746814	9.628172463	9.605167735	9.194876828	9.728568461	9.420126257
ENSDARG00000000212	13.33756982	12.66640479	12.87885255	13.21654119	13.13784273	13.01087777	13.34935816	12.97016067	13.3204821	13.34433567	12.86343975	13.15422059	13.71619245	13.05028339	13.29608909
ENSDARG00000000229	8.558353331	8.566105928	8.548216443	8.311380857	8.442008674	8.469013504	8.284473289	8.56535376	8.391034968	8.433253718	8.473748312	8.571387191	8.487971025	8.241095761	8.448456764
ENSDARG00000000324	8.595834795	8.616492394	8.762856953	8.755050079	8.850998737	8.580970612	8.970309257	8.838040813	8.584412437	8.816276978	8.668949148	8.676459507	8.587776997	8.715564325	8.672089802
ENSDARG00000000369	7.658015331	7.214483164	7.212024356	7.173955982	7.271799754	7.223191005	7.313950045	7.229587006	7.433959143	7.388736809	7.44769659	7.122680221	7.222191772	7.222191772	7.330383922
ENSDARG00000000370	9.47419106	10.06808011	9.972634309	9.846731385	9.786036003	9.949766209	9.693312845	9.965531586	9.894059539	9.540044867	10.07149638	9.908314107	9.367486158	9.952042752	9.667920752
ENSDARG00000000380	9.383628867	9.043770229	9.201338272	9.17851735	9.169663668	9.36243204	9.244578572	9.275173829	9.246957577	9.420126257	9.205647445	9.175347792	9.369999124	9.07452407	9.330214291
ENSDARG00000000394	10.62541535	10.76982272	10.7952851	10.68089363	10.68407774	10.90917562	10.53837438	10.77975554	10.8038312	10.61559733	10.65941811	10.77045717	10.64170753	10.75270794	10.81557415
ENSDARG00000000423	6.657976142	6.263584162	6.42383895	6.574158353	6.700247048	6.897849653	6.734543921	6.046514173	6.942657656	6.42490172	6.099949285	6.748003018	6.651503781	6.502907087	6.983734067
