	dose_0.003.dose_0.0003	dose_0.03.dose_0.0003	dose_0.3.dose_0.0003	dose_3.dose_0.0003	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000110173	-0.708354667666667	-0.100069539999999	0.655897577666667	0.0582430450000011	4.84000250266667	26.0150963398593	4.26904521804678e-06	0.0826914058735661
ENSDARG00000078829	-0.836169700999999	-0.0830972433333326	-0.111050415666666	0.121975291000001	4.49001265886667	16.9466848194894	4.52011972262091e-05	0.437773595135836
ENSDARG00000037421	0.519364578000001	0.460478338000001	0.693983331333333	1.12718359466667	10.6985090637333	14.1123150131062	0.000117502239515029	0.594536926147913
ENSDARG00000027822	-0.0714177679999999	-0.0822465379999997	-0.956033794	-0.813798835	3.93835764433333	13.9917780042277	0.000122774791150834	0.594536926147913
ENSDARG00000004937	-0.544319624	-0.508200458333333	-0.771170722666668	-0.501923764	5.88912689453333	12.2696618821985	0.000237915741793432	0.711158816846745
ENSDARG00000096045	-0.644430526666666	-0.564108896666665	-0.701524713666665	-0.671192729999999	5.76495419626667	12.242119496482	0.000240581638149163	0.711158816846745
ENSDARG00000101688	0.0164944123333317	-0.0866549850000018	-0.575129908333334	0.138989031999998	5.91384890153333	12.0798895266063	0.000257001121214621	0.711158816846745
ENSDARG00000040781	1.088651191	0.857231662333334	1.189970862	1.836876688	6.981230203	11.4462445079332	0.000334792164078908	0.810615527276057
ENSDARG00000099195	0.255068895666668	0.468461445000001	0.605959148	0.995932641333336	8.95527818266667	10.7287780782824	0.000457771106950751	0.861528196886431
ENSDARG00000077799	0.880234574999999	0.816032455	1.031619434	1.250879851	8.293708441	10.4678501059604	0.000514886871497112	0.861528196886431
ENSDARG00000089691	-0.540482174666668	0.473167624999999	0.745684141333333	-0.178716002666667	4.82442286246667	10.2418327628128	0.000571075087117547	0.861528196886431
ENSDARG00000094737	0.387949811333334	-0.812813792666668	0.182964013333333	0.366778896333333	4.03386876166667	10.1996704622699	0.000582321955690457	0.861528196886431
ENSDARG00000068380	-0.670579061666666	0.118413475000001	-0.305368793666666	0.335514567000001	4.06217281633333	10.1268931958892	0.000602341285521475	0.861528196886431
ENSDARG00000086881	0.475615235000001	0.589395186333334	0.638721099666668	1.09251401133333	8.44739359013333	9.87086905418109	0.000679345749004417	0.861528196886431
