	dose_0.00003.dose_0.0003	dose_0.003.dose_0.0003	dose_0.03.dose_0.0003	dose_0.3.dose_0.0003	dose_3.dose_0.0003	AveExpr	F	P.Value	adj.P.Val
ENSDARG00000044685	0.021241041999998	0.125724004666665	0.00458349033333327	-0.136288658833337	-1.280749013	8.2658343952353	31.8851293943937	3.17278080966313e-07	0.00620088281440563
ENSDARG00000052520	-0.804922475666667	-0.266251605000001	-0.837088598666666	-0.523763797833335	-0.660838919333334	4.85286937564706	23.7470294016679	2.02942172862554e-06	0.0198315091321288
ENSDARG00000077799	-0.063274847333334	0.905893337333333	1.29527947033333	1.33157910583333	1.96818788266667	8.09648773811765	18.6436707321489	8.84942791559113e-06	0.057651073060771
ENSDARG00000055752	0.110571911000001	0.621399011	1.19860652766667	1.46625932783333	1.88030222633333	7.90386495317647	11.8921111220958	0.000116803724290118	0.563165392062082
ENSDARG00000078138	-0.710853595333334	-0.165876545333334	0.126868397666667	0.106861976833332	-0.251017996666667	4.54925324652941	11.4428357868049	0.000144076287367499	0.563165392062082
ENSDARG00000086576	-0.221195239666666	-0.0134340179999999	0.505588882	0.561012598333332	-1.098180422	4.15191749005882	10.7346947186966	0.000203181228952855	0.57023908712217
ENSDARG00000031683	-0.0757908723333358	0.310818998333333	1.01332009266666	1.10453453283333	1.65905344366667	8.19639613541177	10.7242424958716	0.00020424036071711	0.57023908712217
ENSDARG00000095937	0.272477449333334	0.270757594666667	-0.321375601666666	0.101552178166664	0.313920557	6.55275906705882	9.52613607541169	0.000380564135753547	0.852886205631122
ENSDARG00000010276	-0.0482502240000002	0.294617638666668	1.250675737	0.829981470833332	1.30043793866667	7.08022408517647	9.46815412521727	0.0003927535740217	0.852886205631122
ENSDARG00000092383	-0.390912078333332	-0.00700984466666554	-0.464198777	-0.134543240833335	0.223691494333335	6.32884265829412	8.99967462741615	0.000509332419143454	0.913725240352329
ENSDARG00000012609	0.205692587333332	-0.0234320293333337	-0.488704536333334	0.204545630833331	0.990556610333335	8.14339601111765	8.79869538071738	0.000571085573898108	0.913725240352329
ENSDARG00000116986	0.113482261333331	0.162609657666667	0.434594215333334	0.0108427216666636	-0.463838012	6.337296659	8.61742697767619	0.000634178336426436	0.913725240352329
ENSDARG00000091896	-0.223072291666667	0.107001924999999	-0.372902617	0.0691946618333317	0.176079997666666	4.72782519582353	8.53783532680512	0.000664361066661985	0.913725240352329
ENSDARG00000104450	0.00842468166666421	0.0652551626666664	0.127546711999999	-0.0321358633333375	-0.515600729333336	9.36032426229412	8.44784344744351	0.000700475217206075	0.913725240352329
ENSDARG00000102602	-0.659061373000002	-0.866466232333333	-0.456764104333333	-0.459958933500001	-1.060027607	4.80630031088235	8.44589088463234	0.000701283186926163	0.913725240352329
ENSDARG00000103878	-0.0467627700000026	-0.00171546666666522	0.0319387366666675	-0.114463770000002	-0.496679349999999	13.1594206117647	8.23848848720567	0.000793471988326209	0.936286380622754
ENSDARG00000006288	0.00377512533333313	-0.541117165666667	0.353976441000001	-0.394466400333335	0.156326825666667	5.23544402823529	8.1951954081069	0.000814412017529002	0.936286380622754
