	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DBP_10-4_A	DBP_10-4_B	DBP_10-4_C	DBP_10-3_A	DBP_10-3_B	DBP_10-3_C	DBP_10-2_A	DBP_10-2_B	DBP_10-2_C	DBP_10-1_A	DBP_10-1_B	DBP_10-1_C	DBP_3uM_A	DBP_3uM_B	DBP_3uM_C
100329491	8.2869869294	8.7074365984	8.1897521954	8.3246232684	8.6209191634	8.4393998544	8.1954999704	8.5050635514	8.4228145654	8.2122417064	8.6353366304	8.4945093774	8.1452172144	8.6141553264	8.2606053824	8.3211097844	8.2067186654	8.0010303124	8.0286511764
100009658	9.3195025884	9.5972847144	9.6538052154	9.7757028994	9.0666038394	8.7356212454	9.2074533574	8.9948568754	8.6942286834	8.8729057624	9.0326811614	8.8556653834	8.7592145594	9.1174093424	9.0808806814	8.7134915704	8.5062934684	8.1977297084	8.4168211484
100003877	8.8262407394	9.0218316174	8.9959025924	9.0923969824	8.8773092824	8.4344090354	8.6747785674	8.6047396104	8.5936905204	8.5962709034	8.6950760994	8.6101589384	8.7532253144	8.6501344144	8.5175535924	8.4092218164	8.6160168174	8.6532565044	8.8507722004
393969	6.8047659564	7.2020035854	7.3010853214	7.2135987114	7.0568970324	6.5013743404	6.9510379534	6.8213878414	6.8922533744	6.6776921034	6.9707254424	6.9771766804	6.8147748944	6.9141631924	6.9171642914	6.8224832864	6.7077713814	6.9650510244	7.0502994734
393212	8.4079540964	8.8322301214	8.5111183034	8.6664206714	8.5531007964	8.3280975164	8.7463757894	8.6768213764	8.5483611784	8.4420428104	8.7887503304	8.5188761744	8.3147546004	8.7989560054	8.4524959194	8.4498005134	8.3187829604	8.3104644994	8.3652832144
101882104	6.5609380424	6.4226205514	6.4779432614	6.3784685514	6.1805669864	6.0707903064	6.3189151844	5.8452637164	6.1495375644	6.1919986834	6.4151508444	6.2867623494	6.4102906694	5.9225216554	6.2810971834	6.3809583514	6.1282903854	6.0872661404	6.0424846084
553517	6.1205896664	6.0569833984	5.7774750484	5.7446244694	5.6496415904	6.0448278814	5.7660593364	5.6850176964	5.5160923744	5.7853748114	5.8625282284	6.2522982014	5.3913284634	5.9499491144	6.0543377244	6.1579624534	5.7385886904	6.1101003234	5.8392281984
336335	10.7095577464	10.6162342504	10.9115454344	10.8285926984	10.7480214774	10.7535544354	10.9870705044	10.7335548294	10.5975298914	10.8714792604	10.6615172284	10.6634463084	10.8948652534	10.6191763454	10.8200441364	10.8237931514	10.7796727614	10.9757824334	11.0989319564
557730	9.0757047714	9.3352047834	9.3150847374	9.3200229764	8.9962440284	8.6260725864	9.3589553704	8.7188167054	8.9480105014	8.8891862144	9.0574040744	8.8727819254	9.1047976274	9.0123774724	8.9217459874	8.9494739184	8.6722122424	8.8096516624	8.9896141614
558020	9.6219341294	9.8372828584	9.8619102694	9.9660536784	9.4066125324	9.2362467044	9.6547039314	9.3978279484	9.3247612134	9.5548643394	9.4636675614	9.2367846984	9.4808429064	9.2856191344	9.4104279264	9.4238371484	9.3550338024	9.1959092374	9.4571412614
445479	8.4648351674	8.5438505424	8.4768209754	8.6031092294	8.1122456434	7.9934258554	8.3768897994	8.1927767064	8.2791390504	8.2724381124	8.5104419894	8.3334918974	8.2367737684	8.3593284504	8.2981202574	7.9726231704	8.1260228574	8.0282594664	8.2874305504
431717	9.1342620164	9.4036179744	9.4552629854	9.5373459604	9.2364632444	9.3386339414	9.3020107824	9.2206336144	8.9265191094	9.0353232974	9.2897709514	9.0080341854	8.9493312304	9.2209507214	9.2964137044	8.9902537884	8.9880531114	9.0821393094	9.1075729514
553410	10.7084875244	11.0227144164	10.9594240354	11.0802815114	10.9026799924	10.7067185014	11.0767319264	10.8632567304	10.5102575934	10.6794873134	11.1018194104	10.7819431874	10.6216525464	10.9912417124	10.8851761734	10.6940305664	10.6488139274	10.6527238424	10.7919283744
100006088	6.6258658434	6.8722197634	6.6823950264	6.6089338534	5.9764127484	6.4821560794	6.5259860324	6.4546761274	6.5063024794	6.6588243074	6.4475762074	6.9124349204	6.6611895634	6.4209280724	6.4416862754	6.4441228454	6.6176317254	6.3302816174	6.5008869264
560778	9.3264953434	9.2708797154	9.3375571754	9.0246804554	9.4771949274	9.2855797104	9.1770663454	9.4081318294	9.4270889304	9.3830132054	9.1846871034	9.1644908834	9.3911239044	9.2307678354	9.3050387384	9.5119708754	9.0869766804	8.9443997924	9.2310802874
352938	4.9581469694	5.4009694804	5.2905148874	5.6387942074	3.5749742604	3.4427461114	4.8961054934	3.5307512914	3.9282958274	3.9922537674	4.4995551104	4.3010475934	3.9674866174	4.0873471254	4.2109222064	5.1231770484	3.6972386274	4.3017649034	3.1063490514
368211	10.0970715094	10.1345690414	10.2965268314	10.3773416004	9.9012418114	9.7078254794	10.2319888074	9.6851890124	9.5738047774	9.7557888254	9.9407719794	9.6797952434	9.6865455174	9.8469753574	9.9856965444	9.7087154524	9.7157825464	9.9863752894	9.9610385264
566221	8.3678444294	8.2931382714	8.4237959794	8.1507213564	8.0729030554	8.3626617344	8.5821522434	8.2795167024	8.5737197674	8.3212516294	8.3163285814	8.4596893094	8.3679824824	8.2394130434	8.4701334914	8.5508293144	8.2396350354	8.5609715544	8.5484507564
566151	7.1201636274	7.3048790534	7.4141499284	7.3269810374	6.8858284284	6.8699980104	7.1596831644	7.0425433404	6.9162412264	7.1858904044	7.1390100214	7.0187781234	7.0215897624	7.3700382914	6.9677057334	7.2190515854	6.9082643594	7.0735911884	7.0357211774
447910	7.9346766624	7.7616469974	7.8445175624	7.8618061714	7.4913730984	7.4863089104	8.0353321374	7.3983030954	7.6326581294	7.6108952144	7.6235213244	7.5311183244	7.3313160114	7.5555565154	7.5765133694	7.6737742784	7.2457451804	7.5904302274	7.5937537874
100535437	5.5804084844	5.8322863844	6.0505063164	5.5941882524	4.9569421784	4.7579706394	5.1361614504	4.0349691784	4.9919109464	5.0241866574	4.9851703854	5.1067016944	5.1694293804	5.1068770334	4.8724025134	5.4529908514	4.6799618124	4.9081832934	5.1671081494
100034578	6.5224808634	6.5853454954	6.7699782244	6.6746759644	5.7948860344	6.0707903064	6.4893568464	5.8603512474	5.8341124794	6.2561695924	6.1651395144	6.3424338484	6.2265265084	6.1043899354	6.1988593634	6.0645713404	5.8645207594	6.1656529734	6.3081286754
437025	7.5653609724	7.3508645324	7.6884219584	7.7236869244	7.7766781914	7.5243844674	7.7813033564	7.5869870524	7.6229733774	7.8542205204	7.5407764274	7.5689507324	7.7313419354	7.4051416104	7.7197855624	7.7804185184	7.6955058094	7.8532173814	7.9453064574
100037377	6.5797889164	6.4439935734	6.7509696164	6.8076040834	6.1156733634	5.7873892714	6.2030503504	6.2291696594	5.8341124794	5.8533357474	6.2036191334	6.2050266734	5.9753037824	6.1988687534	6.1449736304	5.9473774504	5.9691652314	6.0165116124	6.1546763534
559479	5.9857436094	5.7994979274	5.4164931604	6.0555252714	5.0524998224	4.8508000514	5.0039110704	4.7039188324	5.5775519024	5.1375554884	4.7966595614	5.5466770304	5.8158782194	5.5448568874	5.1816380674	5.2974883194	4.8840934034	5.3338302504	5.4125326104
100334203	6.5891227824	6.5463524094	6.4068578604	6.6959407104	6.2015653524	5.8636270334	6.3464836684	5.8900610524	6.1084839724	6.0544018404	6.3480283234	6.2638779704	5.9193479654	6.1873917664	6.3302127084	6.0805624194	6.0667300424	5.6926647004	5.9208269364
431739	8.5909857344	8.7315367034	8.5610823344	8.6002925184	8.8342609574	8.4418888044	8.2585315004	8.4562468494	8.6304065124	8.4198012494	8.4767981804	8.5237005344	8.3861577884	8.2939427494	8.3005869014	8.1835119214	8.5538089684	8.0192400634	8.2500307634
100334697	5.4012487444	4.8801750144	4.9998145494	4.9119155874	5.4881206184	4.5886054594	5.1361614504	5.1095367174	5.0508860674	5.3406265254	4.6557419634	5.2298981064	5.0442123524	4.8103349724	4.3316134914	4.6949001564	5.0202246844	4.6522471684	4.8711983814
449990	7.0132812004	6.8159527874	6.9221738684	6.9559968274	6.9242321364	6.4724500854	6.9777279714	6.6321778904	6.7029819234	6.4660827694	6.5899451934	6.4578369474	6.2380089774	6.5960663574	6.4943510874	6.0805624194	6.6668670564	6.4692294054	6.3321891154
368260	11.6694028324	11.6608411054	11.7656408754	11.7615669324	11.2474733364	11.2916568284	11.5677085134	11.1710619044	11.3682358554	11.4573072264	11.2215028514	11.2928742004	11.4037859764	11.2097863694	11.3844607494	11.4190662214	11.2083709474	11.1891908344	11.3749150254
101883298	5.2208635104	5.1894790654	4.9339206784	5.5006127004	4.6860453664	4.3121396324	4.9329430624	4.9494361354	4.3126170164	4.0513189224	4.8622717624	5.3433970474	4.4741368734	5.2238456574	4.7905358914	4.1452307794	4.5952956694	4.8278124904	4.4553435304
100148543	7.7135444194	7.8322381594	8.0644766894	8.0092431704	7.3574515374	6.7705363484	7.5098262864	7.2167812584	7.3452224424	7.4335450434	7.3308408074	7.2164649364	7.2711138004	7.3183610394	7.4219666794	7.4019847244	7.2317895434	7.2535719214	7.4906327834
567941	6.3354845904	5.4226632574	6.3946621574	5.7446244694	6.0933768744	5.5122167574	6.5016701974	5.9046896274	5.7296906494	5.7322170874	5.8625282284	5.8530180364	6.3050483424	5.6820268604	5.7851671714	6.3149012424	6.2715950104	6.2399993564	6.5733341994
504167	6.9923282974	7.0569558844	7.3649894894	7.1987782514	6.9738968194	6.7705363484	7.0961410714	6.9397548264	6.6751356024	7.0975743024	7.0432437734	6.7896358644	6.8224226264	7.1511982224	7.0982041584	6.7543361694	6.8177397334	6.8408662014	6.6989278614
445096	5.9132793264	5.9564604934	5.9033251694	6.3784685514	5.9268361054	6.2744249994	6.1096049274	6.2636243874	6.2907986944	6.2308427064	6.0986342944	6.1561536174	6.1796603164	6.3710732274	5.9946553764	6.1120224594	6.2347505834	6.3967921904	6.3202090534
554151	6.8903111514	6.9187613564	6.7509696164	6.9908270104	6.1376305034	6.5848224404	6.6080021734	6.1330525764	6.7659397204	6.4331503384	6.3707512614	6.7654002954	6.9039760064	6.3710732274	6.3683356504	6.6075513884	6.4983538314	6.3205247664	6.4357553354
562772	6.2200685424	6.5364372104	6.3320875444	6.7375523874	6.3593805074	6.6806656344	6.3868731134	6.1205748724	6.5981388844	6.1655091914	6.1256053744	6.7324395904	6.2940892204	6.2658769704	6.4236952744	6.2314205894	6.2532904134	6.3686622624	6.5833930954
567051	6.9639091544	7.2573794054	7.2478423314	7.1913105354	6.6310893374	6.2632099764	7.2130755694	6.2972754174	7.0595489784	6.7946617304	6.6654053144	6.9050587184	6.6696938414	6.8354657734	6.9489595704	6.7342593304	6.4827260674	6.3686622624	6.8974301494
100330160	8.8477865844	8.7162469234	8.8063670204	8.7193024534	8.3611594464	8.2843877434	8.7846684384	8.2823201074	8.5585581644	8.5458156074	8.4070612104	8.5546716714	8.5835863504	8.3490638404	8.4613416584	8.4922607904	8.4268554394	8.4534770024	8.5561325104
100330238	5.8679867274	5.3565780704	5.5762057494	5.4514458504	4.6860453664	5.1718878434	5.0381274764	4.9494361354	5.1350609484	5.4544108484	5.2285146344	5.4074436544	5.6709138414	5.2461429624	4.9498719664	5.6587219474	5.1643380484	4.9593794794	5.1671081494
100536590	5.4836329754	5.7659469154	5.4639575934	5.8621546234	4.4254682104	4.6241065004	5.4727631914	4.7039188324	5.0794935384	5.3872225584	4.7626994474	5.0807477414	4.9909151934	5.3527358034	5.0470898514	5.4529908514	4.9309123424	4.6830321434	5.2196468814
