	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DHEC_10-4_A	DHEC_10-4_C	DHEC_10-3_A	DHEC_10-3_B	DHEC_10-3_C	DHEC_10-2_A	DHEC_10-2_B	DHEC_10-2_C	DHEC_10-1_A	DHEC_10-1_B	DHEC_10-1_C	DHEC_3uM_A	DHEC_3uM_B	DHEC_3uM_C
100000009	1.48845438	1.705967317	1.555359285	1.616793128	1.207136565	1.536235922	1.700649012	1.385144759	1.66055529	1.520406172	1.095683128	1.112789176	1.334262321	1.915583322	1.21510915	1.268774765	1.582855897	1.416657898
100000026	3.425652537	3.414492717	3.114179813	3.640507857	3.395798519	3.350529656	3.354359727	3.007095868	3.175640121	3.209589995	3.063721768	2.943601417	3.137776367	2.878795171	3.497133975	3.376012402	2.785748228	3.199304595
100000044	2.34809419	2.679073535	3.090937056	2.742312669	2.723095374	2.862596525	2.784321357	2.849445639	2.997137705	2.843952628	2.787772171	2.448451946	2.615125459	2.864232915	3.07677606	2.987128682	2.912348934	2.77191942
100000073	1.359121616	1.650052675	1.076404845	1.616793128	1.127581369	1.763019865	1.527704774	1.737965063	1.677008964	2.0336628	1.505823055	1.323983679	2.105923306	1.984530334	1.630515878	1.595900961	1.74286985	1.820960228
100000079	6.881289711	6.527161136	5.988785714	5.919342009	6.150874925	7.108531753	6.292666413	7.119922475	7.102248349	6.42210246	7.297729996	7.067604926	6.237287528	7.111551459	7.243207635	6.63142054	7.081038625	7.186045396
100000083	3.359556852	3.322097229	3.496736202	3.23791286	3.759101205	3.65110752	3.484837726	3.578602837	3.599072537	3.659028511	3.51388691	3.48263761	3.694846462	3.663799186	3.659548544	3.658855125	3.645935728	4.097075765
100000085	6.168645379	6.118772342	6.027047056	5.67431952	5.413024531	5.448463011	5.415312906	5.365249361	4.932567447	5.45644322	5.248923913	5.749393679	5.319447913	5.02600084	5.558548405	5.298985989	5.193282349	5.316123445
100000094	3.777445843	3.752092897	3.991035635	4.12250454	4.459680796	4.111740811	4.511747733	4.269959601	4.35459705	4.610248328	4.285732205	4.104461128	4.338982675	4.370783832	4.213233351	4.501265743	4.299112054	4.226732073
100000095	3.621675794	3.707133571	3.620932031	3.651795889	3.754694914	4.123464269	4.082120128	3.946805204	3.993256205	4.0933976	3.95783015	4.354682782	4.089175807	4.181131923	4.305362989	4.098276584	4.214262639	4.226732073
100000101	3.053009472	2.402781962	2.994030082	2.984755765	2.993751823	2.507491558	2.464788217	2.46116932	2.599863173	2.902209886	2.392099031	2.573073214	2.976595427	2.878795171	2.50203133	2.744681203	2.589162767	2.595780722
