	DMSO_A	DMSO_B	DMSO_C	DMSO_D	DHEC_10-4_A	DHEC_10-4_C	DHEC_10-3_A	DHEC_10-3_B	DHEC_10-3_C	DHEC_10-2_A	DHEC_10-2_B	DHEC_10-2_C	DHEC_10-1_A	DHEC_10-1_B	DHEC_10-1_C	DHEC_3uM_A	DHEC_3uM_B	DHEC_3uM_C
393642	7.7376175709	7.9981562759	7.6726095549	7.8462182599	7.6790696059	7.9381838469	7.6054159439	7.8844760659	7.5889982049	7.4598062869	7.9110590909	7.5975430379	7.7369018529	7.8364137319	7.5631008419	7.6930471779	7.7457795729	7.7244790449
100009658	9.3915754819	9.6693136349	9.7258409779	9.8476560579	8.9443019189	9.1303637339	9.1346425819	8.9196660849	9.1496273609	8.7662942749	8.8133582489	8.7310578609	9.2154904489	8.6282719889	9.1397979579	8.6340050409	8.8862446139	9.0261730519
393969	6.8762310999	7.2735799649	7.3727015369	7.2850920539	7.2010376349	7.0649660369	7.4118340069	7.4270944269	7.4691589609	7.2734888429	7.1970174259	7.1795779439	7.2844558479	7.3542369999	7.1428925709	7.4122129399	7.4240946149	7.3650398049
393212	8.4799134409	8.9041847639	8.5830307109	8.7382653609	8.7530389529	8.9842998079	8.6944542399	9.2450335339	9.2703793549	8.9501151649	8.8028386609	8.8282062479	8.9543054979	9.0077225019	9.1037047109	8.9122907979	9.0740304819	9.1285327159
101882104	6.6322675109	6.4937965229	6.5491580569	6.4495277689	5.6920321309	6.1907281969	6.4721163199	6.2718327429	6.3182315459	6.3658853239	6.0935943209	6.2224435439	6.2905287999	6.2102090999	6.2533363669	6.2697607269	6.2081136329	6.3762737179
553517	6.1916076589	6.1278825879	5.8481125889	5.8151385139	5.5125032059	5.7879022639	5.6018466709	5.1477436629	5.4908603999	5.0416632999	5.2807549139	5.3268699409	5.3140864769	4.7301389339	5.7294542339	5.4111358679	5.0828757919	5.0546278409
565937	8.1460499749	8.0757760159	8.0853671399	8.1104049859	8.2845191879	8.3291782089	8.4428691509	8.2536732879	8.2870830019	8.4488460519	8.5080887769	8.4448460229	8.4207629649	8.5540571889	8.3538511019	8.6218699859	8.2445968609	8.6666391499
557730	9.1477539379	9.4072125489	9.3870934759	9.3919413259	8.9926919359	9.1095247459	9.1429869359	9.4484585919	9.4588497969	9.0841713009	9.2449544189	9.1276112229	9.0380883209	9.1716165709	8.8555406029	8.9554804729	9.3491980629	8.9831052379
565740	7.8398057309	7.6713925319	7.9948389539	8.0552552629	7.6407127589	8.0170312079	7.8390527779	8.2839780339	8.2315005589	7.8262890229	7.9256773149	7.9064690749	7.9321894219	8.1703275039	7.7746451979	7.9514836589	8.0309086119	8.1803201019
558020	9.6940313939	9.9093280539	9.9339597499	10.0380184209	9.6189861199	9.3301501499	9.5203124889	9.4214499599	9.4732987429	9.4476055229	9.3002239139	9.3026361569	9.3748194459	9.3363272399	9.0065218499	9.2437781989	9.4658181199	9.1497848569
406376	8.8943083699	8.8817192619	9.1291355419	9.1174297299	8.9003332449	8.7846869009	8.9802154599	8.6247635899	8.6170674769	8.5262693969	8.6081473329	8.7763976189	8.8673062599	8.5447963989	8.4609875269	8.7961385669	8.5869202789	8.6575371859
553410	10.7806400799	11.0948099919	11.0315206039	11.1522904449	11.0098391349	11.2967188639	11.1839611869	11.5712261339	11.6974003869	11.1764295279	11.2027014069	11.3106194719	11.2438757849	11.4453455939	11.4847059309	11.2150624359	11.4970565229	11.5025174379
100006088	6.6972337099	6.9436526109	6.7537318249	6.6801389309	6.4145405739	6.2353817349	6.0786158939	6.5234807479	6.6756146789	6.3537996499	6.2096328719	6.2343088709	6.4237521219	6.5892342009	6.1492585909	5.9661831469	6.5538356209	6.2964311189
566781	8.4693243059	8.4142235439	8.5858527959	8.1991853549	7.6260618849	7.8367764559	7.8928192549	7.8772659629	7.6239549359	8.0222797439	7.9497166039	8.0874382989	7.7995391549	7.8326135969	7.4797275379	7.6837375239	7.5874630999	7.7157358609
352938	5.0276976829	5.4711566419	5.3605496209	5.7091915169	4.4230635749	4.0191815929	5.1506935819	4.5650315529	4.6380559269	3.9760977749	4.5453485729	3.3105871919	4.3377396549	4.3595476739	4.0490657929	4.6580800879	4.6287876699	4.4836995619
566221	8.4397969389	8.3650111439	8.4956943169	8.2224791619	8.4349922719	8.5463207769	8.4937770819	8.8160120069	8.7515742229	8.3967860549	8.5990561609	8.6313860709	8.4626558489	8.7236889759	8.5758497439	8.4918867759	8.7200757809	8.6506728299
566151	7.1917734499	7.3764938939	7.4858054719	7.3985162249	7.2591620929	7.0017477109	7.2200906539	7.3300915829	7.0285575189	7.4139795049	7.0175985649	6.9030903459	7.3190763599	7.3435953849	6.9079590049	7.2948255749	7.1380572399	7.0542750599
565343	9.1090542629	8.8713908649	9.1116178269	8.9154695329	8.8549823119	8.7427697819	8.8722695549	8.4241587419	8.6889862659	8.7128871049	8.5960129949	8.7247632769	8.4856967739	8.5540571889	8.7681994169	8.5235413469	8.5210577129	8.7396166979
403080	8.1854009449	8.2162485519	8.4806100509	8.4167522069	8.3091855999	8.0234113679	8.3593956779	8.0539263439	7.9611849049	8.2834848149	7.9827125489	8.2186572819	8.2488580699	7.9354070099	7.8303974119	8.2293517289	7.9262373869	7.8929423029
100535437	5.6508885419	5.9029771789	6.1214026579	5.6645337329	4.0067800389	4.2102623659	4.7161889889	5.1235724589	4.8595530289	5.3882533379	4.3278043489	4.6632192169	4.3820763279	4.5193745019	4.3126621249	4.4096985209	4.4133440069	4.1619461179
100034578	6.5937867599	6.6566238039	6.8413622199	6.7459185509	6.2330849559	6.2353817349	6.3809904079	6.7054781269	6.3808841049	6.3778705939	6.0935943209	5.9476612449	5.9063375729	6.2102090999	6.0076233629	6.0981802609	6.4538312069	5.9978185429
437025	7.6371279869	7.4224956979	7.7601610219	7.7953451419	7.8358353719	7.7198630179	7.8113989639	7.4467106949	7.9611849049	7.5526080059	7.5067190929	7.8106602479	7.6847571859	7.4955219079	7.8718639669	7.8216925409	7.6087576909	7.6802234279
100037377	6.6511297119	6.5151836549	6.8223436099	6.8789174829	6.0254780839	6.8157756309	6.4181342809	6.8815528019	7.0350654429	6.6687371589	6.6924307059	6.7708471869	6.3806969299	6.4865699789	6.5269137289	6.5616719079	6.6959207849	6.5826995069
