	DMSO_A	DMSO_B	DMSO_C	DMSO_D	P1400_10-5_A	P1400_10-5_B	P1400_10-5_C	P1400_10-4_A	P1400_10-4_B	P1400_10-4_C	P1400_10-3_A	P1400_10-3_B	P1400_10-3_C	P1400_10-2_A	P1400_10-2_B	P1400_10-2_C	P1400_10-1_B	P1400_10-1_C	P1400_3uM_A	P1400_3uM_B	P1400_3uM_C
100000009	1.488339019	1.705861073	1.555277898	1.616791459	1.14059874	1.869980558	1.573968239	1.212438819	1.255975818	1.021064149	1.118683287	0.784160047	1.418111309	1.138160129	1.820642453	1.068912653	1.137777433	1.90747603	1.295167282	1.199037514	1.477488853
100000026	3.425446152	3.414313395	3.114021462	3.640423686	3.005065337	2.990290159	2.828035248	3.009330126	3.090489508	2.84666701	3.064208246	2.997700844	3.158858702	3.108623754	3.222404631	3.263003342	2.888097103	3.167720898	2.747957285	2.816691551	3.07806999
100000044	2.347923527	2.678915634	3.090779347	2.742251738	2.114386374	2.471288131	2.599512153	2.111723868	2.337571117	2.532320903	2.408611166	2.500017467	2.845527242	1.873896206	2.255640317	2.484528731	2.202128976	2.72033557	2.438926912	2.490717298	2.641320573
100000073	1.359017808	1.649950591	1.076369331	1.616791459	0.080037063	1.451943451	1.381675377	1.183116441	0.789605939	1.213072046	1.527470371	0.935912841	1.182691095	1.05760568	0.976017483	1.222395676	0.848176588	1.57056871	0.976970701	0.86465655	1.621041517
100000079	6.881054088	6.52695332	5.988593207	5.919236476	7.126330434	6.867976505	6.568192398	7.353492829	6.97093252	6.886851235	7.580300443	7.062973441	6.894251522	7.5868353	6.998716335	7.140255112	7.034994511	7.031987582	7.591804911	6.825065075	6.988886573
100000083	3.359351974	3.321920037	3.496568639	3.237837349	3.373787936	3.460923628	3.721803955	3.673648677	3.493971958	3.623071466	3.513307134	3.36168371	3.565248034	3.638127966	3.517432909	3.615584832	3.506506695	3.616797413	3.673810622	3.887827655	3.796696063
100000085	6.168411629	6.118565745	6.026854407	5.674215012	6.026791126	5.869587136	5.796598762	5.936605281	5.772631318	5.965325747	6.102240433	5.906422703	6.086263105	6.165826933	5.882898963	6.211853646	6.104181935	6.196522229	5.715285124	5.606923084	6.134411213
100000094	3.777232496	3.751906853	3.990859272	4.122412727	3.647756991	3.901576983	4.050915108	3.720324647	3.660024619	4.01981325	3.580445977	3.793938506	3.925059797	3.465454922	3.815116546	3.914877838	3.585582644	3.958769972	3.785306864	3.5406117	3.872443808
100000095	3.621465322	3.706948333	3.620761966	3.651711508	3.813943624	3.886706473	3.761866151	3.689375724	3.869864399	3.874645059	3.756024286	3.955415774	3.768225077	3.804718581	3.717509096	3.983985642	3.922834191	3.734382031	3.950536401	3.824749984	4.144396296
100000101	3.052812567	2.402635383	2.993875165	2.984687077	3.04276179	3.114619374	2.805211769	2.629237602	3.01890982	2.764715364	2.846496296	2.741657658	2.752881899	2.554948769	2.922939188	2.731049792	3.37911981	2.299677936	2.826892204	3.417757511	2.734485564
