	DMSO_A	DMSO_B	DMSO_C	DMSO_D	P1400_10-5_A	P1400_10-5_B	P1400_10-5_C	P1400_10-4_A	P1400_10-4_B	P1400_10-4_C	P1400_10-3_A	P1400_10-3_B	P1400_10-3_C	P1400_10-2_A	P1400_10-2_B	P1400_10-2_C	P1400_10-1_B	P1400_10-1_C	P1400_3uM_A	P1400_3uM_B	P1400_3uM_C
100329491	8.3541700755	8.7746425435	8.2568950265	8.3917854575	8.7212576195	8.4489400915	8.3866210005	8.6895026075	8.5424000225	8.2711552165	8.9067980495	8.3103711585	8.3436020155	9.1101446445	8.3728975315	8.8155926385	8.3313397955	8.7447474785	8.6957720865	8.2540729565	8.4475023925
100009658	9.3868117275	9.6645753845	9.7211160835	9.8430173305	9.3496762375	9.5897610505	9.1755140835	9.1515494995	9.2914733335	8.9520991365	9.3646160445	9.3046148635	9.5110621905	9.1476304875	9.4783179445	9.1905933275	8.8447631105	9.5081621615	9.1020447685	8.5948931205	9.1834544005
100003877	8.8935007615	9.0890736035	9.0631582605	9.1596582295	8.8059622215	8.8471496725	8.8170796525	8.9456013315	8.6048868995	8.6535358255	8.7698857365	8.7697426885	8.6449076035	8.6521318155	8.8525305565	8.8260424525	8.7737606805	8.9173470395	8.6078275485	8.8055962585	8.6282691475
406523	9.1396674665	9.2894892385	9.0911446335	9.0664981755	9.2205172985	9.0903318435	8.9176258355	9.2190385205	8.9225483575	9.0918976605	9.2899033995	8.9157751605	9.0243586665	9.5090607345	8.8870891905	9.2106708665	9.0407198465	9.2209884815	9.1495380395	8.8913519805	8.9804560365
393969	6.8715068655	7.2688709885	7.3680036945	7.2804824205	7.1285773165	6.8014089745	6.9919564335	6.6711674435	6.8346042905	6.8154061295	6.7351188615	6.9617637015	6.9273604095	6.5898956905	7.0609703355	7.0654690965	6.6624432535	7.1712474725	7.0983916295	6.6281008945	7.0329652525
393212	8.4751570685	8.8994513185	8.5783137695	8.7336334965	8.6950852505	8.8103277345	8.5323376805	8.6273780555	8.4932456955	8.5535799915	8.6506443455	8.6163907325	8.7676521075	8.4648566245	8.5558682525	8.6212885375	8.2900314565	8.7518365655	8.7815363485	8.2939835925	8.5550339625
101882104	6.6275521025	6.4891134565	6.5444861055	6.4449456125	6.0012874025	6.3226322365	6.1296045055	6.3214013575	6.1009738955	6.1620357215	6.1815243015	6.0116749465	6.3921597275	6.1222439805	6.2898314435	6.1750361105	6.3770083395	6.2969491065	6.5830452685	6.1072926325	6.5825477155
553517	6.1869125125	6.1232174345	5.8434778815	5.8105908735	6.1347351955	5.6010653345	5.8418551825	6.2225507345	6.0821010975	5.8168955165	5.5686084355	6.5397214545	5.8182195965	6.6745119725	6.0506366855	5.8730254335	6.6989728665	5.8240252465	5.8848363945	6.0892597015	5.2894202305
557730	9.1429917255	9.4024756675	9.3823703235	9.3873048015	9.1005664735	9.4168363805	9.0629340955	9.1968911275	8.9078865395	8.8803605765	9.2486307235	8.8914986815	9.0679134865	9.0923122465	9.3000054405	8.8603384265	8.9714849335	9.4289985295	9.0741868685	8.8913519805	9.0574523305
557799	8.9052942915	8.9916839185	8.9122137015	9.0600682885	8.5956983905	8.8076612815	8.7957099445	8.7000389885	8.6584230165	8.7915739215	8.6530796955	8.6232111575	8.9669529025	8.5000624235	8.7978786805	8.8190843265	8.6509484245	8.9299026825	8.7169453775	8.5723507735	8.8365549045
565740	7.8350581605	7.6666748465	7.9901293295	8.0506311425	7.8772498775	8.0080669695	7.8402965645	7.7559024685	7.7949120435	7.8370172035	7.8963465305	7.8765025095	8.2400969795	7.7161709855	7.6812187285	8.0466488165	7.7991872845	8.1194645945	8.0397218675	7.5345494225	7.9332173635
100534615	7.6835026905	7.5578976025	7.7654144865	7.7379931785	7.6284235585	7.5077989155	7.5513270515	7.4221895755	7.7144748175	7.8949938805	7.6108520585	7.8611984315	7.9411563375	7.5506708655	7.5607986455	7.6477636155	7.8324512875	7.5454752785	7.5666699695	7.6741689585	7.9050394265
445479	8.5320469035	8.6110343875	8.5440113665	8.6703135575	8.4638088735	8.5703142405	8.2533050835	8.4762036195	8.1546536085	8.1602768185	8.5444596965	8.2962152675	8.5250170725	8.4648566245	8.0939905375	8.3491697375	8.1186030035	8.6061133515	8.2862807875	8.1793276605	8.1510995275
