	DMSO_A	DMSO_B	DMSO_C	DMSO_D	SANT_10-4_A	SANT_10-4_B	SANT_10-4_C	SANT_10-3_B	SANT_10-3_C	SANT_10-2_A	SANT_10-2_B	SANT_10-2_C	SANT_10-1_A	SANT_10-1_B	SANT_10-1_C	SANT_3uM_A	SANT_3uM_B	SANT_3uM_C
100000009	1.488771941	1.706227929	1.555683031	1.617127566	1.363408779	1.745372917	2.050966811	1.626821436	1.869031943	0.723971059	1.256987326	1.101945194	1.169614739	1.135442314	1.340712738	0.401296712	1.580713181	0.9633805
100000026	3.425667508	3.414508885	3.114245753	3.640560804	3.204897471	3.197857861	3.012136095	2.917740977	3.330325115	3.046557674	3.247164178	2.983448698	3.273218766	2.98963604	3.108561336	3.286542408	2.774092548	2.957430125
100000044	2.348227918	2.679161359	3.091005148	2.742444914	2.836603453	2.843628866	2.726729207	2.951136772	2.780670806	2.368790578	2.765528328	2.954156176	2.325948879	2.704222879	2.607221541	2.310395606	3.012503936	2.785501071
100000073	1.359477581	1.650327204	1.076882234	1.617127566	1.57938213	2.236634624	1.764030053	2.006251696	1.749825103	0.683017101	1.256987326	1.36937125	1.028257127	1.270749869	1.84836638	0.258965919	1.810947687	1.136975956
100000079	6.881207479	6.527081985	5.988737231	5.919322063	7.068406651	6.415222635	6.140926516	6.605332091	6.277194989	7.378595653	6.623078817	6.389088657	7.180809145	6.705560268	6.361926142	7.117665047	6.366319111	6.063001315
100000083	3.359576836	3.322120525	3.496771284	3.237995359	3.562874434	3.58270761	3.712859377	3.738998961	3.713286174	3.476192616	3.624098578	3.695518335	3.749238263	3.52171747	3.680181362	3.721418097	3.655145935	3.644376938
100000085	6.168569374	6.118697268	6.0269981	5.674303076	5.80731855	5.558653497	5.666994379	5.274336448	5.897152855	6.341133439	5.733627057	5.754017582	5.961098053	5.345066744	5.71747087	5.999502464	4.881824952	5.975197928
100000094	3.777437671	3.752086578	3.991041235	4.122531411	4.046719204	4.129848728	4.219116076	4.096986258	3.977804446	3.661530514	4.059181196	4.289286766	3.881858164	4.117760674	4.12166632	3.651918108	4.089983259	4.051091467
100000095	3.621677178	3.707129952	3.62095873	3.65184812	3.845980917	3.796386799	3.905047147	4.155461062	3.716822331	4.019138246	4.092121931	3.968832834	3.981100453	3.970477159	3.99852425	3.830292166	4.169935572	3.906672697
100000101	3.053055962	2.402907659	2.994107528	2.984861542	2.6972171	2.764620407	3.124582593	2.812648588	2.753382919	2.800741862	2.780303774	2.846678617	2.53201716	3.200943132	2.597824134	2.935168369	2.923041635	3.256135107
100000104	1.959435447	1.706227929	1.437814701	2.134238052	1.262914891	1.507291942	1.595869179	1.196599084	1.721941768	1.200956017	1.752732866	1.455512453	1.191884165	1.417964258	1.490413006	1.157411464	0.491780638	0.900541145
100000119	3.425667508	3.693365169	3.694760939	3.690672469	3.471260384	3.448721627	3.479039486	3.67047445	3.602958265	3.324675281	3.53106684	3.565963692	3.499868135	3.548599017	3.706651866	3.178654755	3.871454911	3.682229699
