Williams Trend Test
Data Source: no_log_quant_fastbmd_input_DBC_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 09:55.08
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 9 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000092161"			0.019230769230769232	0.9332578673307674	-1.5830237	1.5830237	-1.4933393	-1.2045741	-1.1668688	-1.5830237	0.06848092	0.2798971	0.32040343	0.040526982			
"ENSDARG00000020749"			0.0392156862745098	0.9332578673307674	2.182004	2.182004	1.3872296	2.0538769	2.182004	1.9660023	0.011356046	0.040795002	0.010733917	0.13940112	0.003	0.03	
"ENSDARG00000069555"			0.03773584905660377	0.9332578673307674	2.390079	2.390079	1.7870878	2.186804	2.390079	1.9628627	0.24524751	0.14177673	0.12104544	0.17585017			
"ENSDARG00000098383"			0.0392156862745098	0.9332578673307674	1.8526318	1.8526318	1.5646137	1.8526318	1.4740535	1.7376264	0.1215926	0.05529039	0.14027847	0.06528852			
"ENSDARG00000113804"			0.01818181818181818	0.9332578673307674	1.6801091	1.6801091	1.275323	1.2509611	1.1018755	1.6801091	0.06665911	0.107504815	0.5155098	0.073148			
"ENSDARG00000067794"			0.0196078431372549	0.9332578673307674	-1.5352545	1.5352545	-1.453579	-1.2046881	-1.4151454	-1.5352545	0.107816376	0.31907952	0.12160245	0.07715215			
"ENSDARG00000105391"			0.017857142857142856	0.9332578673307674	-2.3024893	2.3024893	-1.0006754	-1.2227243	-1.5015857	-2.3024893	0.99620324	0.2794189	0.22393732	0.060176395			
"ENSDARG00000057323"			0.03636363636363636	0.9332578673307674	-1.5175176	1.5175176	-1.364642	-1.5175176	-1.2905165	-1.1107401	0.020039346	0.07846787	0.034071457	0.22622547			
"ENSDARG00000007366"			0.01818181818181818	0.9332578673307674	-1.642362	1.642362	-1.0012656	-1.1477536	-1.2205484	-1.642362	0.9915538	0.16137591	0.30566078	0.05180123			
"ENSDARG00000061610"			0.017241379310344827	0.9332578673307674	1.6710286	1.6710286	1.1893852	1.2378627	1.2690841	1.6710286	0.2460107	0.19826135	0.18720655	0.023581084			
"ENSDARG00000105578"			0.038461538461538464	0.9332578673307674	2.0430264	2.0430264	2.0430264	1.5095476	1.6737858	1.2978742	0.0075565237	0.019086072	0.029374283	0.3700916	3.0E-4	0.003	
"ENSDARG00000104856"			0.03636363636363636	0.9332578673307674	1.6505661	1.6505661	1.3083726	-1.1069266	1.4327315	1.6505661	0.13302813	0.7340162	0.05839427	0.053798396			
"ENSDARG00000098663"			0.04	0.9332578673307674	2.183617	2.183617	2.183617	1.7693703	2.109292	2.035497	0.030147692	0.08087599	0.034875978	0.037290327	3.0E-4	0.003	
"ENSDARG00000091961"			0.02040816326530612	0.9332578673307674	2.1901839	2.1901839	2.1901839	2.184742	2.013367	1.762289	0.035238717	0.04085585	0.043504085	0.07618337	3.0E-4	0.003	
"ENSDARG00000098937"			0.03773584905660377	0.9332578673307674	-1.63199	1.63199	-1.219633	-1.1237875	1.0567857	-1.63199	0.3317053	0.6641132	0.77970845	0.068642065			
"ENSDARG00000073741"			0.038461538461538464	0.9332578673307674	-1.5424106	1.5424106	-1.4283334	-1.5424106	-1.2948745	-1.3565851	0.07462566	0.044009767	0.1414112	0.14469711			
"ENSDARG00000020204"			0.02	0.9332578673307674	1.5264173	1.5264173	1.5264173	1.1016912	1.2315987	1.199157	0.0016540707	0.3271832	0.05298861	0.024687083			
"ENSDARG00000095150"			0.017543859649122806	0.9332578673307674	1.6688521	1.6688521	-1.2051516	-1.218264	1.0142528	1.6688521	0.39372808	0.18365547	0.9394309	0.012097357			
"ENSDARG00000101703"			0.01818181818181818	0.9332578673307674	-1.5253232	1.5253232	1.0379215	1.2414017	1.3277649	-1.5253232	0.86344165	0.28248733	0.0658479	0.036350623			
"ENSDARG00000101963"			0.045454545454545456	0.9332578673307674	1.5271288	1.5271288	1.5271288	1.3326316	1.2664212	1.2007438	0.041200094	0.09202873	0.1381423	0.28952053			
"ENSDARG00000075714"			0.038461538461538464	0.9332578673307674	1.5551107	1.5551107	1.5551107	1.4183207	1.1918353	1.283122	0.010763801	0.046752393	0.08569084	0.09970312			
