Williams Trend Test
Data Source: no_log_quant_fastbmd_input_DBP_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 10:01.50
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 6 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000104839"			0.018867924528301886	0.3572977889728519	-1.5139626	1.5139626	-1.076191	-1.0837505	-1.0203177	-1.5139626	0.44553187	0.38945594	0.86675125	0.0111017395			
"ENSDARG00000099821"			0.018867924528301886	0.3572977889728519	-2.0906465	2.0906465	-1.0550324	-1.4721934	1.0388738	-2.0906465	0.741853	0.08724819	0.7295155	0.023728373	0.3	3.0	
"ENSDARG00000032242"			0.02	0.3572977889728519	1.5792204	1.5792204	1.0458852	1.0646842	-1.1868503	1.5792204	0.7678069	0.72039837	0.34367865	0.047323987			
"ENSDARG00000022550"			0.038461538461538464	0.4764081632653061	1.6948068	1.6948068	1.3183057	1.1734173	1.109849	1.6948068	0.28557104	0.5403481	0.69196284	0.10689483			
"ENSDARG00000004904"			0.01818181818181818	0.3572977889728519	-1.9299693	1.9299693	1.1157334	-1.0518231	1.0953692	-1.9299693	0.17214762	0.5979227	0.3642211	0.054992326			
"ENSDARG00000073959"			0.02	0.3572977889728519	-1.8645828	1.8645828	-1.1492181	-1.2140366	-1.4682311	-1.8645828	0.12978508	0.20901056	0.22379163	5.34567E-4			
"ENSDARG00000003615"			0.018518518518518517	0.3572977889728519	-1.7724813	1.7724813	1.0256978	1.0726328	1.0607922	-1.7724813	0.88158983	0.7428673	0.78100526	0.12964606			
"ENSDARG00000032639"			0.018518518518518517	0.3572977889728519	-1.8634251	1.8634251	-1.0256193	1.0008372	-1.0213771	-1.8634251	0.7607798	0.9952572	0.8725563	0.07026534			
"ENSDARG00000045516"			0.017543859649122806	0.3572977889728519	-1.5960367	1.5960367	1.1350249	-1.1089283	1.095357	-1.5960367	0.15235656	0.2087009	0.30341452	0.04590422			
"ENSDARG00000095293"			0.038461538461538464	0.4764081632653061	-1.7910866	1.7910866	-1.1931111	1.0699878	-1.0212584	-1.7910866	0.43324915	0.6084301	0.89901525	0.09794434			
