Williams Trend Test
Data Source: wt_fastbmd_input_DHEC_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 12:00.06
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 0 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000099821"			0.04081632653061224	0.044628840547207886	-1.9416447	1.9416447	-1.4646522	1.092454	-1.3970981	-1.9416447	0.2722374	0.6962096	0.1706928	0.21527772			
"ENSDARG00000045758"			0.04081632653061224	0.044628840547207886	-1.6105276	1.6105276	-1.5092782	-1.3393289	-1.3549558	-1.6105276	0.12764557	0.2867852	0.20870166	0.10176646			
"ENSDARG00000093135"			0.019230769230769232	0.040711947626841244	-1.9962211	1.9962211	-1.3063931	-1.3106909	-1.3432504	-1.9962211	0.10036005	0.096189916	0.0833131	0.012024697			
"ENSDARG00000092944"			0.016666666666666666	0.040711947626841244	-1.5426911	1.5426911	-1.1601605	-1.208944	-1.2974218	-1.5426911	0.32226807	0.23757276	0.142697	0.11764698			
"ENSDARG00000020749"			0.017543859649122806	0.040711947626841244	2.0264857	2.0264857	2.0264857	1.3568914	1.3623126	2.0047214	0.012375668	0.14831196	0.10933548	0.019463068	3.0E-4	0.003	
"ENSDARG00000023026"			0.01639344262295082	0.040711947626841244	-1.8570977	1.8570977	-1.3697985	-1.296855	-1.4118308	-1.8570977	0.10108917	0.12495869	0.06507567	0.020530595			
"ENSDARG00000087788"			0.047619047619047616	0.049613562702567934	-1.7445625	1.7445625	-1.4796594	1.077515	-1.0733424	-1.7445625	0.16450906	0.383369	0.34551966	0.37071714			
"ENSDARG00000113896"			0.034482758620689655	0.044628840547207886	1.595293	1.595293	-1.0375239	-1.2333544	1.0246447	1.595293	0.7928025	0.35749686	0.91075516	0.09325037			
"ENSDARG00000089875"			0.03773584905660377	0.044628840547207886	1.5522791	1.5522791	-1.2437704	-1.1366028	1.0294607	1.5522791	0.16783273	0.66743255	0.8047235	0.19368295			
"ENSDARG00000103031"			0.046511627906976744	0.048714810281517744	-1.6682925	1.6682925	-1.1036458	1.2855649	-1.2096447	-1.6682925	0.6513841	0.28252384	0.30583543	0.20852052			
"ENSDARG00000115524"			0.018867924528301886	0.040711947626841244	1.6050276	1.6050276	-1.023537	1.6050276	1.252591	1.4129236	0.8922786	0.0077092433	0.05077427	0.021562118			
"ENSDARG00000105279"			0.015873015873015872	0.040711947626841244	-1.6827497	1.6827497	-1.0469549	-1.1807443	1.1226203	-1.6827497	0.68385607	0.13480845	0.17873292	0.11764634			
"ENSDARG00000105781"			0.03773584905660377	0.044628840547207886	2.0458806	2.0458806	1.3109591	1.2107135	-1.1782455	2.0458806	0.10466206	0.39233553	0.6119299	0.18982975			
"ENSDARG00000096001"			0.041666666666666664	0.04506340579710145	1.5007437	1.5007437	1.5007437	1.3342204	1.277343	1.3128769	0.07917883	0.06841135	0.080770545	0.24237773			
"ENSDARG00000099026"			0.017241379310344827	0.040711947626841244	1.5843638	1.5843638	1.2073463	-1.0636247	1.1913319	1.5843638	0.17002907	0.7522099	0.20110434	0.063384354			
"ENSDARG00000105589"			0.02	0.040711947626841244	3.5524487	3.5524487	2.456791	2.4007897	2.769396	3.5524487	0.04501236	0.038289122	0.017550997	0.059806865	3.0E-4	0.003	
"ENSDARG00000010940"			0.017857142857142856	0.040711947626841244	-1.566308	1.566308	1.025346	1.2186131	-1.240363	-1.566308	0.84981644	0.17503424	0.26210877	0.37673184			
"ENSDARG00000103488"			0.018867924528301886	0.040711947626841244	1.7502201	1.7502201	1.3910935	1.6018358	1.2860296	1.7502201	0.029771622	0.011310498	0.16271867	0.17945579			
"ENSDARG00000035963"			0.020833333333333332	0.040711947626841244	1.592443	1.592443	1.592443	1.155005	1.2066263	1.1917478	0.005142923	0.18787473	0.08511561	0.11722526			
"ENSDARG00000035984"			0.01694915254237288	0.040711947626841244	1.5673966	1.5673966	1.2217644	1.0710068	1.3268408	1.5673966	0.23222488	0.40565857	0.027031396	0.011397691			
"ENSDARG00000102929"			0.03508771929824561	0.044628840547207886	-1.7715179	1.7715179	-1.2462468	1.0806222	-1.4551008	-1.7715179	0.19022493	0.7853795	0.07263731	0.037955534			
"ENSDARG00000103351"			0.0392156862745098	0.044628840547207886	-1.5302765	1.5302765	-1.5302765	-1.0547259	-1.2838324	-1.3950696	0.005308103	0.43196565	0.074646056	0.19596227			
"ENSDARG00000093201"			0.017857142857142856	0.040711947626841244	1.5381739	1.5381739	1.3546728	1.290455	1.3127121	1.5381739	0.06737479	0.13814948	0.08877222	0.028341373			
"ENSDARG00000092228"			0.018867924528301886	0.040711947626841244	-1.6654855	1.6654855	-1.4303266	-1.2033938	-1.6654855	-1.5554438	0.017332828	0.19036552	0.0068117287	0.2842766			
"ENSDARG00000035521"			0.019230769230769232	0.040711947626841244	-1.5517492	1.5517492	-1.2852072	-1.1903145	-1.3412536	-1.5517492	0.2129283	0.33658952	0.16274402	0.193801			
"ENSDARG00000076830"			0.03571428571428571	0.044628840547207886	-2.1764493	2.1764493	-1.3207201	1.0420499	-1.3337897	-2.1764493	0.4135151	0.7872868	0.2919035	0.015108825	0.3	3.0	
"ENSDARG00000101109"			0.03571428571428571	0.044628840547207886	-1.6001828	1.6001828	-1.4555159	1.0157242	-1.3919814	-1.6001828	0.023632715	0.9118977	0.123436935	0.031252783			
"ENSDARG00000117298"			0.01639344262295082	0.040711947626841244	1.767702	1.767702	1.3158062	1.4534833	1.767702	1.7357067	0.13318922	0.08490011	0.019286264	0.17510818			
"ENSDARG00000074033"			0.019230769230769232	0.040711947626841244	-1.623826	1.623826	-1.1572033	-1.2482276	-1.1281234	-1.623826	0.16668525	0.20483789	0.4870095	0.16957766			
"ENSDARG00000042526"			0.03389830508474576	0.044628840547207886	1.9524089	1.9524089	1.1014633	1.532254	1.3760775	1.9524089	0.70172215	0.16889359	0.27576748	0.10337292			
"ENSDARG00000005586"			0.03571428571428571	0.044628840547207886	1.9406906	1.9406906	1.5103226	1.4221972	1.9406906	1.7661602	0.15284197	0.064433925	0.011283911	0.033354137			
"ENSDARG00000042845"			0.03571428571428571	0.044628840547207886	1.796055	1.796055	1.6974393	1.5367262	1.796055	1.633712	0.07942601	0.11144125	0.06146935	0.10061753			
"ENSDARG00000098142"			0.01818181818181818	0.040711947626841244	2.1528988	2.1528988	1.4334165	1.3403258	1.8587148	2.1528988	0.16394281	0.20574239	0.06713297	0.034062576	0.3	3.0	
