Williams Trend Test
Data Source: no_log_quant_fastbmd_input_DHEP_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 11:04.25
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 8 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000045856"			0.037037037037037035	0.9497729654208872	-1.6734728	1.6734728	-1.0124316	-1.1374557	-1.1784862	-1.6734728	0.9664412	0.42704466	0.35891137	0.11422696			
"ENSDARG00000096045"			0.03636363636363636	0.9497729654208872	-1.6262226	1.6262226	-1.5631227	-1.4784745	-1.6262226	-1.5923893	0.0043615666	0.005580146	0.009107984	0.0061545065			
"ENSDARG00000103946"			0.037037037037037035	0.9497729654208872	-1.8157276	1.8157276	-1.0195993	-1.169041	-1.3607794	-1.8157276	0.8042039	0.7228932	0.003210173	0.022593804			
"ENSDARG00000100578"			0.017241379310344827	0.9497729654208872	1.6962795	1.6962795	1.2945677	-1.2478188	1.6962795	1.4126033	0.26481956	0.24004124	0.039392106	0.11146719			
"ENSDARG00000098406"			0.041666666666666664	0.9497729654208872	1.6495771	1.6495771	1.5206981	-1.0189892	-1.0630769	1.6495771	0.06586893	0.87537855	0.79268914	0.17503294			
"ENSDARG00000091994"			0.019230769230769232	0.9497729654208872	-1.6504691	1.6504691	-1.5045277	-1.2088381	-1.6504691	-1.2125463	0.07421985	0.005545832	0.08935301	0.060416926			
"ENSDARG00000068830"			0.043478260869565216	0.9497729654208872	1.5565283	1.5565283	1.3405228	1.3281772	1.3696043	1.5565283	0.1458437	0.03107911	0.06933721	0.07400034			
"ENSDARG00000117818"			0.03508771929824561	0.9497729654208872	1.8994246	1.8994246	1.1457149	1.1701931	1.5765617	1.8994246	0.64268124	0.5777012	0.18706746	0.09743087			
"ENSDARG00000105625"			0.037037037037037035	0.9497729654208872	1.5022315	1.5022315	-1.114235	1.3029649	1.2481954	1.5022315	0.45973092	0.06846438	0.2446206	0.100600265			
"ENSDARG00000087017"			0.041666666666666664	0.9497729654208872	1.5677536	1.5677536	1.3394015	-1.0539752	1.3257847	1.5677536	0.2292431	0.8439588	0.24387982	0.10663275			
"ENSDARG00000036180"			0.04	0.9497729654208872	-1.8382301	1.8382301	-1.8382301	-1.192539	-1.2070068	-1.7143717	0.0012164807	0.29862717	0.37286767	0.064664245			
"ENSDARG00000105584"			0.03636363636363636	0.9497729654208872	1.6133059	1.6133059	1.1823603	1.1808711	1.579884	1.6133059	0.49634683	0.29792815	0.05787281	0.046311945			
"ENSDARG00000068290"			0.017241379310344827	0.9497729654208872	1.8422859	1.8422859	-1.2806569	1.0411968	1.1110492	1.8422859	0.40197015	0.9108091	0.664492	0.09221255			
"ENSDARG00000078829"			0.037037037037037035	0.9497729654208872	-1.7853037	1.7853037	-1.7853037	-1.0592899	-1.0800141	1.0882239	0.0031351598	0.56916416	0.4055811	0.2814412			
"ENSDARG00000077782"			0.022222222222222223	0.9497729654208872	1.744632	1.744632	1.4379001	1.2727757	1.744632	1.5133828	0.012415745	0.045061294	0.0028997501	0.08805811			
"ENSDARG00000116986"			0.043478260869565216	0.9497729654208872	1.8602719	1.8602719	1.2581347	1.1486739	1.407107	1.8602719	0.5649223	0.73908794	0.39810568	0.17244141			
"ENSDARG00000094417"			0.0196078431372549	0.9497729654208872	-1.7575035	1.7575035	-1.2722886	-1.3032953	-1.6916583	-1.7575035	0.08107613	0.058057062	0.017035125	0.13286671			
"ENSDARG00000091926"			0.0196078431372549	0.9497729654208872	1.9104197	1.9104197	1.5760869	1.2734666	1.9104197	1.5560817	0.21569602	0.45511815	0.11520901	0.23644325			
"ENSDARG00000079497"			0.01818181818181818	0.9497729654208872	1.6926146	1.6926146	1.2833484	1.420291	1.4393984	1.6926146	0.011749572	0.009729619	0.03154135	0.034282774			
"ENSDARG00000060374"			0.022727272727272728	0.9497729654208872	-1.5488639	1.5488639	-1.3950913	-1.4853095	-1.1954051	-1.5488639	0.0141130425	0.021665975	0.40989378	0.07808208			
"ENSDARG00000104593"			0.01818181818181818	0.9497729654208872	2.1327033	2.1327033	1.2441268	1.0798367	1.4263544	2.1327033	0.32054657	0.7140983	0.15577641	0.022111356	0.3	3.0	
"ENSDARG00000038011"			0.018867924528301886	0.9497729654208872	-1.5277919	1.5277919	1.2097806	-1.171114	-1.1406103	-1.5277919	0.33031762	0.47778127	0.1822232	0.035094384			
"ENSDARG00000030157"			0.0196078431372549	0.9497729654208872	1.5536408	1.5536408	1.254091	1.3604444	1.378082	1.5536408	0.46169963	0.29401088	0.2761776	0.16534051			
"ENSDARG00000096714"			0.03636363636363636	0.9497729654208872	-1.6427317	1.6427317	-1.1747895	-1.4706148	-1.6427317	-1.4503995	0.007898483	0.112818	0.013614691	0.079091966			
"ENSDARG00000088283"			0.03773584905660377	0.9497729654208872	1.7173916	1.7173916	1.7173916	1.371153	1.5715777	1.6357257	0.11927918	0.031010486	0.09936628	0.0051417006			
"ENSDARG00000099195"			0.018867924528301886	0.9497729654208872	1.9943706	1.9943706	1.1933926	1.3836336	1.521991	1.9943706	0.14842205	0.038705736	0.011299114	0.009769704			
