Williams Trend Test
Data Source: no_log_quant_fastbmd_input_SANT_nodmso
Work Source: null
BMDExpress2 Version: BMDExpress 2.30.0485 BETA
Timestamp (Start Time): 05/11/2020 09:15.26
Number of Permutations: 100
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Used Fold Filter with cuttoff: 1.5
Data marked as log transformation: true
Total Run Time: 8 seconds

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL	LOTEL
"ENSDARG00000104839"			0.018518518518518517	0.6255732725892179	-1.583399	1.583399	-1.2550514	-1.1258955	-1.1507564	-1.583399	0.06010104	0.4637858	0.044771265	0.06680665			
"ENSDARG00000089860"			0.019230769230769232	0.6255732725892179	-1.7593127	1.7593127	1.0038016	-1.3689988	-1.20215	-1.7593127	0.9815294	0.15048368	0.33632892	0.068851836			
"ENSDARG00000090401"			0.03571428571428571	0.6255732725892179	2.2157135	2.2157135	2.2157135	1.5839392	1.8920165	1.67928	0.08361163	0.21259217	0.13269402	0.17372866			
"ENSDARG00000008398"			0.018518518518518517	0.6255732725892179	-1.684923	1.684923	1.0394824	-1.5009035	-1.3360968	-1.684923	0.8732245	0.04483766	0.045697473	0.20053813			
"ENSDARG00000089908"			0.03636363636363636	0.6255732725892179	2.156843	2.156843	1.7370691	1.3268872	1.6262258	2.156843	0.10673772	0.38098323	0.121415	0.060670923			
"ENSDARG00000096045"			0.03636363636363636	0.6255732725892179	1.559059	1.559059	-1.0705831	-1.0851612	-1.1570866	1.559059	0.8713198	0.6989715	0.5423497	0.10918255			
"ENSDARG00000109327"			0.047619047619047616	0.6284171344886502	-1.8054292	1.8054292	-1.05816	-1.8054292	1.0825689	1.3070568	0.84184426	0.051878653	0.6457956	0.13235329			
"ENSDARG00000105063"			0.038461538461538464	0.6255732725892179	-2.0660157	2.0660157	-2.0660157	-1.3694537	-1.3537377	-1.8778309	1.4640791E-4	0.24110313	0.09961028	0.11170784	3.0E-4	0.003	
"ENSDARG00000087070"			0.03571428571428571	0.6255732725892179	-1.7239828	1.7239828	-1.1013123	-1.7239828	1.0055778	-1.6223317	0.52263063	0.07702663	0.9705626	0.026719667			
"ENSDARG00000102927"			0.034482758620689655	0.6255732725892179	-1.8109655	1.8109655	-1.135019	-1.4599731	-1.1904628	-1.8109655	0.43364897	0.04900651	0.44681457	0.03247538			
"ENSDARG00000102542"			0.016666666666666666	0.6255732725892179	-2.3777819	2.3777819	1.3482863	-1.1534802	1.2332573	-2.3777819	0.08629316	0.4029084	0.0068224217	0.044231802	0.3	3.0	
"ENSDARG00000096091"			0.04918032786885246	0.6284171344886502	1.5724791	1.5724791	-1.2625415	1.320876	1.2374557	1.5724791	0.052911647	0.15001692	0.39301795	0.07179092			
"ENSDARG00000095106"			0.0196078431372549	0.6255732725892179	-2.1582663	2.1582663	-1.4989126	-1.4616925	-1.0953175	-2.1582663	0.09821855	0.06757911	0.6267225	0.014950407	0.3	3.0	
"ENSDARG00000096172"			0.03225806451612903	0.6255732725892179	-1.9320525	1.9320525	1.0873438	-1.0756664	-1.1585317	-1.9320525	0.7563562	0.7304985	0.56032264	0.04439095			
"ENSDARG00000104968"			0.019230769230769232	0.6255732725892179	-1.6060343	1.6060343	-1.3091651	1.1674595	-1.0026119	-1.6060343	0.009348128	0.18227199	0.99006796	0.0046897866			
"ENSDARG00000115524"			0.04	0.6255732725892179	2.015959	2.015959	1.8483322	1.7291833	1.0812428	2.015959	0.07875809	0.07475608	0.7532692	0.042916786	0.3	3.0	
"ENSDARG00000101514"			0.018867924528301886	0.6255732725892179	2.1300962	2.1300962	1.3756951	1.2436836	1.414459	2.1300962	7.127765E-4	0.1668542	0.042189542	0.01586744	0.3	3.0	
"ENSDARG00000096030"			0.017241379310344827	0.6255732725892179	1.5502082	1.5502082	-1.154074	1.035874	1.4525056	1.5502082	0.5292225	0.7555623	0.108386986	0.023553548			
"ENSDARG00000113971"			0.03125	0.6255732725892179	3.0081947	3.0081947	-2.2325058	2.0186393	3.0081947	2.1124516	0.57978785	0.1894445	0.072716966	0.16599163			
"ENSDARG00000005126"			0.04	0.6255732725892179	-1.7294807	1.7294807	1.0476358	-1.2649642	-1.233218	-1.7294807	0.77362734	0.19189937	0.21585058	0.1575594			
"ENSDARG00000099112"			0.03636363636363636	0.6255732725892179	-1.950346	1.950346	-1.2104121	-1.3226362	1.0972002	-1.950346	0.24039549	0.33775154	0.509679	0.13522722			
"ENSDARG00000090815"			0.03773584905660377	0.6255732725892179	-1.6774188	1.6774188	-1.0814743	-1.2464314	-1.2373329	-1.6774188	0.7710169	0.21291007	0.19216882	0.14720029			
"ENSDARG00000105432"			0.03773584905660377	0.6255732725892179	-1.738716	1.738716	1.3770416	-1.3199869	-1.3638904	-1.738716	0.25658414	0.2623544	0.10588983	0.21199855			
"ENSDARG00000100703"			0.01639344262295082	0.6255732725892179	2.2384243	2.2384243	1.6891197	1.6666006	2.2303274	2.2384243	0.042166263	0.03920951	0.009163646	0.009697079	0.03	0.3	
"ENSDARG00000087017"			0.01694915254237288	0.6255732725892179	1.9409844	1.9409844	-1.1860719	1.9409844	1.2669433	1.5258231	0.5237949	0.009134066	0.11682949	0.015086703			
"ENSDARG00000054786"			0.017241379310344827	0.6255732725892179	-1.5869125	1.5869125	-1.2120047	1.0119323	1.0336177	-1.5869125	0.08771873	0.8923644	0.52581835	0.061964333			
"ENSDARG00000054805"			0.03636363636363636	0.6255732725892179	1.5699656	1.5699656	1.1272118	1.0488362	1.061566	1.5699656	0.7398353	0.74597555	0.6286685	0.028745793			
"ENSDARG00000056781"			0.017241379310344827	0.6255732725892179	-1.5493472	1.5493472	-1.2051405	-1.0692856	-1.0465549	-1.5493472	0.2034545	0.61202294	0.70411205	0.028927393			
"ENSDARG00000056762"			0.01818181818181818	0.6255732725892179	2.9281306	2.9281306	2.9281306	1.6047207	2.3543766	2.2275586	0.04802206	0.18403362	0.052922186	0.07034602	3.0E-4	0.003	
"ENSDARG00000105526"			0.017857142857142856	0.6255732725892179	1.7959181	1.7959181	1.1992127	1.6766254	1.3976936	1.7959181	0.4464712	0.014930705	0.13931566	0.025050161			
"ENSDARG00000045139"			0.019230769230769232	0.6255732725892179	1.7555999	1.7555999	1.2723353	1.3719281	1.6776158	1.7555999	0.07271926	0.049918797	0.0052483655	0.006519063			
"ENSDARG00000051915"			0.0392156862745098	0.6255732725892179	-1.6215327	1.6215327	-1.2481087	-1.3210287	-1.3210982	-1.6215327	0.079207554	0.07774568	0.042977	0.12041182			
