.id,chemical,cil_POD,median_POD,ciu_POD,hit_confidence,lowest_conc,highest_conc,n_genes
20th gene,BPA,0.396638,0.477476,0.562118,1,0.0001,1,40
10th pct,BPA,0.00615538,0.010539101421007,0.345630052591927,1,0.0001,1,40
1st Mode,BPA,0.00101869951683012,0.00976240381952766,0.54329859110328,1,0.0001,1,40
GO Term,BPA,0.396638,0.417667,0.762544,1,0.0001,1,40
Reactome,BPA,0.00101952,0.0105824,0.755821,1,0.0001,1,40
20th gene,BPAF,0.000976852,0.00103987,0.00161762,1,0.0001,1,397
10th pct,BPAF,0.00161762,0.00229133,0.00409252,1,0.0001,1,397
1st Mode,BPAF,0.00105628935269021,0.00128807863243476,0.00919554490753454,1,0.0001,1,397
GO Term,BPAF,0.0013656,0.00166637,0.00224999,1,0.0001,1,397
Reactome,BPAF,0.000493732,0.000664554,0.00920634,1,0.0001,1,397
20th gene,DES,0.0298255,0.0359441,0.0379274,1,0.00001,0.1,146
10th pct,DES,0.00150952,0.0314965837139522,0.0368421995590654,1,0.00001,0.1,146
1st Mode,DES,0.000111650659131674,0.0502819420035881,0.0535543000249013,1,0.00001,0.1,146
GO Term,DES,0.0298255,0.0307771,0.0538198,1,0.00001,0.1,146
Reactome,DES,0.0307771,0.0427958386304089,0.083383,1,0.00001,0.1,146
20th gene,EE2,0.00000613555,0.00000982858,0.0000641283,1,0.0000001,0.001,273
10th pct,EE2,0.00000982858,0.0000249,0.000305938,1,0.0000001,0.001,273
1st Mode,EE2,0.00000617,0.0000087,0.000473428052196821,1,0.0000001,0.001,273
GO Term,EE2,0.00000454742,0.0000633,0.000485578,1,0.0000001,0.001,273
Reactome,EE2,0.000000988065,0.000299907,0.000426884,1,0.0000001,0.001,273
20th gene,TGSH,0.014793,0.043493,0.251509,1,0.0001,1,485
10th pct,TGSH,0.283756949857606,0.309303434846277,0.33376292467543,1,0.0001,1,485
1st Mode,TGSH,0.469238532668399,0.484458825388872,0.494562615390056,1,0.0001,1,485
GO Term,TGSH,0.0101889,0.0976323,0.706945,1,0.0001,1,485
Reactome,TGSH,0.338365,0.354295,0.624139,1,0.0001,1,485
20th gene,1-Decanol,NA,NA,NA,0,0.0001,1,NA
20th gene,1-Octanol,NA,NA,NA,0,0.001,10,NA
20th gene,17betaestradiol,NA,NA,NA,0,0.00001,0.1,NA
20th gene,24-DMP,NA,NA,NA,0,0.0001,1,NA
20th gene,24-DNP,NA,NA,NA,0,0.001,10,NA
20th gene,34-DCA,NA,NA,NA,0,0.0001,1,NA
20th gene,4-TPP,NA,NA,NA,0,0.0001,1,NA
20th gene,4C3MP,NA,NA,NA,0,0.0001,1,NA
20th gene,4TOP,NA,NA,NA,0,0.00001,0.1,NA
20th gene,Aniline,NA,NA,NA,0,0.001,10,NA
20th gene,Clofibric-acid,NA,NA,NA,0,0.001,10,NA
20th gene,DMSO,NA,NA,NA,0,0.001,10,NA
20th gene,Fadrozole,NA,NA,NA,0,0.0001,1,NA
20th gene,Fenitrothione,NA,NA,NA,0,0.0001,1,NA
20th gene,Fluoxetine,NA,NA,NA,0,0.00001,0.1,NA
20th gene,Flutamide,NA,NA,NA,0,0.0001,1,NA
20th gene,Glyphosate,NA,NA,NA,0,0.0001,1,NA
20th gene,Malathion,NA,NA,NA,0,0.0001,1,NA
20th gene,NN-Dimethylformamide,NA,NA,NA,0,0.1,1000,NA
20th gene,Prochloraz,NA,NA,NA,0,0.0001,1,NA
20th gene,SDS,NA,NA,NA,0,0.00001,0.1,NA
20th gene,TEG,NA,NA,NA,0,0.1,1000,NA
20th gene,Trenbolone,NA,NA,NA,0,0.00001,0.1,NA
20th gene,Vinclozolin,NA,NA,NA,0,0.0001,1,NA
10th pct,1-Decanol,NA,NA,NA,0,0.0001,1,NA
10th pct,1-Octanol,NA,NA,NA,0,0.001,10,NA
10th pct,17betaestradiol,NA,NA,NA,0,0.00001,0.1,NA
10th pct,24-DMP,NA,NA,NA,0,0.0001,1,NA
