.id,chemical,median_POD,POD_med,cil_POD,mean_POD,ciu_POD,hit_confidence,lowest_conc,highest_conc
fitted_z_score_pos_dir,1-Decanol,1,1,1,1,1,0,0.0001,1
fitted_z_score_pos_dir,1-Octanol,10,10,10,10,10,0,0.001,10
fitted_z_score_pos_dir,17betaestradiol,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
fitted_z_score_pos_dir,24-DMP,1,1,1,1,1,0,0.0001,1
fitted_z_score_pos_dir,24-DNP,10,10,10,10,10,0,0.001,10
fitted_z_score_pos_dir,34-DCA,1,1,1,1,1,0,0.0001,1
fitted_z_score_pos_dir,4-TPP,0.025010255248721,0.0250225851534334,0.0109932524546948,0.0290446868141778,0.126615272572997,0.999,0.0001,1
fitted_z_score_pos_dir,4C3MP,0.884406119722938,1,0.154175999594046,0.693395918947233,0.924639579077348,0.172,0.0001,1
fitted_z_score_pos_dir,4TOP,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
fitted_z_score_pos_dir,Aniline,10,10,1.46441942096435,6.14099922242523,10,0.152,0.001,10
fitted_z_score_pos_dir,BPA,1,1,1,1,1,0,0.0001,1
fitted_z_score_pos_dir,BPAF,1,1,1,1,1,0,0.0001,1
fitted_z_score_pos_dir,Clofibric-acid,10,10,10,10,10,0,0.001,10
fitted_z_score_pos_dir,DES,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
fitted_z_score_pos_dir,DMSO,10,10,10,10,10,0,0.001,10
fitted_z_score_pos_dir,EE2,0.001,0.001,0.001,0.001,0.001,0,0.0000001,0.001
fitted_z_score_pos_dir,Fadrozole,1,1,1,1,1,0,0.0001,1
fitted_z_score_pos_dir,Fenitrothione,1,1,1,1,1,0,0.0001,1
fitted_z_score_pos_dir,Fluoxetine,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
fitted_z_score_pos_dir,Flutamide,0.00370182282583755,0.00598885965267959,0.000286251926679791,0.00503686166401035,0.282350106590471,0.874,0.0001,1
fitted_z_score_pos_dir,Glyphosate,1,1,1,1,1,0,0.0001,1
fitted_z_score_pos_dir,Malathion,1,1,1,1,1,0,0.0001,1
fitted_z_score_pos_dir,NN-Dimethylformamide,1000,1000,1000,1000,1000,0,0.1,1000
fitted_z_score_pos_dir,Prochloraz,1,1,1,1,1,0,0.0001,1
fitted_z_score_pos_dir,SDS,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
fitted_z_score_pos_dir,TEG,1000,1000,1000,1000,1000,0,0.1,1000
fitted_z_score_pos_dir,TGSH,1,1,1,1,1,0,0.0001,1
fitted_z_score_pos_dir,Trenbolone,0.1,0.1,0.1,0.1,0.1,0.079,0.00001,0.1
fitted_z_score_pos_dir,Vinclozolin,1,1,1,1,1,0,0.0001,1
