Chemical,Species,Effect,Min POD
"2,4-Dimethylphenol;2,4-Dimethylphenol",Lepomis macrochirus,Mortality,min 6.3
1-Decanol;Decan-1-ol,Alburnus alburnus,Mortality,7.2
1-Decanol;Decan-1-ol,Alburnus alburnus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",7.2
1-Decanol;Decan-1-ol,Danio rerio,Mortality,3.21
1-Decanol;Decan-1-ol,Lepomis macrochirus,Mortality,5.05
1-Decanol;Decan-1-ol,Lepomis macrochirus,Mortality/Growth,5.05
1-Decanol;Decan-1-ol,Leuciscus idus,Mortality,0.602
1-Decanol;Decan-1-ol,Oryzias latipes,Mortality,2.8
1-Decanol;Decan-1-ol,Pimephales promelas,Mortality,2.4
1-Decanol;Decan-1-ol,Pimephales promelas,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",2.4
1-Decanol;Decan-1-ol,Poecilia reticulata,Mortality,2.45
1-Octanol;Octan-1-ol,Alburnus alburnus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",15.96871942
1-Octanol;Octan-1-ol,Danio rerio,Mortality,19.8
1-Octanol;Octan-1-ol,Oncorhynchus mykiss,Mortality,17.7
1-Octanol;Octan-1-ol,Oncorhynchus mykiss,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",17.68
1-Octanol;Octan-1-ol,Pimephales promelas,Mortality,12.2
1-Octanol;Octan-1-ol,Pimephales promelas,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",12.2
"2,4-Dimethylphenol;2,4-Dimethylphenol",Lepomis macrochirus,Mortality,7.71
"2,4-Dimethylphenol;2,4-Dimethylphenol",Lepomis macrochirus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",7.8
"2,4-Dimethylphenol;2,4-Dimethylphenol",Oncorhynchus mykiss,Mortality,9.2
"2,4-Dimethylphenol;2,4-Dimethylphenol",Oryzias latipes,Mortality,12.6
"2,4-Dimethylphenol;2,4-Dimethylphenol",Pimephales promelas,Mortality,15.4
"2,4-Dimethylphenol;2,4-Dimethylphenol",Pimephales promelas,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",15.4
"2,4-Dimethylphenol;2,4-Dimethylphenol",Poecilia reticulata,Mortality,16.9
"3,4-Dichloroaniline;3,4-Dichloroaniline",Danio rerio,Mortality,8.5
"3,4-Dichloroaniline;3,4-Dichloroaniline",Danio rerio,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",8.5
"3,4-Dichloroaniline;3,4-Dichloroaniline",Gobius microps,Mortality,2.4
"3,4-Dichloroaniline;3,4-Dichloroaniline",Oncorhynchus mykiss,Mortality,1.94
"3,4-Dichloroaniline;3,4-Dichloroaniline",Oryzias latipes,Mortality,11
"3,4-Dichloroaniline;3,4-Dichloroaniline",Perca flavescens,Mortality,3.1
"3,4-Dichloroaniline;3,4-Dichloroaniline",Perca fluviatilis,Mortality,3.1
"3,4-Dichloroaniline;3,4-Dichloroaniline",Pimephales promelas,Mortality,5.6
"3,4-Dichloroaniline;3,4-Dichloroaniline",Pimephales promelas,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",6.99
"3,4-Dichloroaniline;3,4-Dichloroaniline",Pleuronectes platessa,Mortality,4.6
"3,4-Dichloroaniline;3,4-Dichloroaniline",Pleuronectes platessa,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",4.6
"3,4-Dichloroaniline;3,4-Dichloroaniline",Poecilia reticulata,Mortality,3.5
"3,4-Dichloroaniline;3,4-Dichloroaniline",Poecilia reticulata,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",0.95
"3,4-Dichloroaniline;3,4-Dichloroaniline",Pomatoschistus microps,Mortality,2.4
"3,4-Dichloroaniline;3,4-Dichloroaniline",Pomatoschistus microps,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",2.4
4-Chloro-3-methylphenol;4-Chloro-3-methylphenol,Pimephales promelas,Mortality,4.05
4-Chloro-3-methylphenol;4-Chloro-3-methylphenol,Pimephales promelas,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",4.05
4-Chloro-3-methylphenol;4-Chloro-3-methylphenol,Poecilia reticulata,Mortality,6.71
4-Chloro-3-methylphenol;4-Chloro-3-methylphenol,Poecilia reticulata,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",2.21
4-Chloro-3-methylphenol;4-Chloro-3-methylphenol,Salmo trutta,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",1.3
4-TOP,Danio rerio,Mortality,0.462
4-TPP,Cyprinus carpio,Mortality,1.6
4-TPP,Pimephales promelas,Mortality,2.5
4-TPP,Pimephales promelas,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",2.5
Dimethyl sulfoxide;(Methanesulfinyl)methane,Danio rerio,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",20964
Dimethyl sulfoxide;(Methanesulfinyl)methane,Lepomis macrochirus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",400000
Dimethyl sulfoxide;(Methanesulfinyl)methane,Oncorhynchus mykiss,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",35000
Dimethyl sulfoxide;(Methanesulfinyl)methane,Pimephales promelas,Mortality,34000
Dimethyl sulfoxide;(Methanesulfinyl)methane,Pimephales promelas,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",34000
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Anguilla anguilla,Mortality,0.2
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Anguilla japonica,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",6.5
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Carassius auratus,Mortality,2.8
"Fenitrothion;O,O-Dimethyl O-(3-methyl-4-nitrophenyl) phosphorothioate",Carassius auratus,"Mortality: Effect expressed as % death or % survival. If the author defines criteria used to determine that the organism was dead, then identifies the effect as a lethal effect, MOR will be coded in the effect field.",2.8
