Chemical,Species,Effect,Minimum POD
1-Decanol,Danio rerio,Mortality,min 0.43
"(TGSH) Phenol, 4,4'-sulfonylbis[2-(2-propenyl)",Danio rerio,Development,33.04
1-Octanol;Octan-1-ol,Pimephales promelas,Growth,0.75
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Carassius auratus,Growth,0.000296
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Danio rerio,Development,0.000001
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Danio rerio,Growth,0.00000009
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Danio rerio,Mortality,0.0000004
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Danio rerio,Population,0.00000005
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Danio rerio,Reproduction,0.0000003
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Etheostoma caeruleum,Development,0.00002
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Gasterosteus aculeatus,Development,0.00000175
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Gasterosteus aculeatus,Growth,0.00000175
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Gasterosteus aculeatus,"Growth, Length",0.00005
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Gasterosteus aculeatus,"Growth, Weight",0.00005
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Gasterosteus aculeatus,Mortality,0.0000082
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Gasterosteus aculeatus,Reproduction,0.00000175
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Gobiocypris rarus,Growth,0.00000018
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Gobiocypris rarus,Reproduction,0.00000018
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Oncorhynchus mykiss,Reproduction,0.0000156
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Oreochromis niloticus,Growth,0.0000162
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Oreochromis niloticus,Population,0.0000162
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Oryzias latipes,Growth,0.0000948
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Oryzias latipes,Mortality,0.00001
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Oryzias latipes,Population,0.00001
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Oryzias latipes,Reproduction,0.000002
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Pelteobagrus fulvidraco,"Growth, Weight",0.001
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Pimephales promelas,Development,0.0000001
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Pimephales promelas,Growth,0.00000016
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Pimephales promelas,Mortality,0.0000121
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Pimephales promelas,Population,0.00000078
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Pimephales promelas,Reproduction,0.00000048
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Poecilia reticulata,Development,0.00005
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Poecilia reticulata,Growth,0.00005
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Poecilia reticulata,Mortality,0.002
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Poecilia reticulata,Population,0.00005
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Poecilia reticulata,Reproduction,0.00005
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Rutilus rutilus,Growth,0.00000004
"17alpha-Ethinylestradiol;(17alpha)-19-Norpregna-1,3,5(10)-trien-20-yne-3,17-diol",Rutilus rutilus,Mortality,0.000004
