.id,chemical,min,max,median_POD,POD_med,mean_POD,low_conf,high_conf,n_genes,Assay,confidence,species
Acute LC50,1-Decanol,0.0001,1,3.21,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Acute LC50,1-Decanol,0.0001,1,0.602,NA,NA,NA,NA,NA,Literature,1,Other Fish
Chronic POD,1-Decanol,0.0001,1,0.43,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Chronic POD,1-Decanol,0.0001,1,NA,NA,NA,NA,NA,NA,Literature,1,Other Fish
Acute LC50,1-Octanol,0.001,10,19.8,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Acute LC50,1-Octanol,0.001,10,12.2,NA,NA,NA,NA,NA,Literature,1,Other Fish
Chronic POD,1-Octanol,0.001,10,NA,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Chronic POD,1-Octanol,0.001,10,0.75,NA,NA,NA,NA,NA,Literature,1,Other Fish
Acute LC50,TEG,0.1,1000,54800,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Acute LC50,TEG,0.1,1000,5000,NA,NA,NA,NA,NA,Literature,1,Other Fish
Chronic POD,TEG,0.1,1000,NA,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Chronic POD,TEG,0.1,1000,NA,NA,NA,NA,NA,NA,Literature,1,Other Fish
Acute LC50,SDS,0.00001,0.1,3.6,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Acute LC50,SDS,0.00001,0.1,1.39,NA,NA,NA,NA,NA,Literature,1,Other Fish
Chronic POD,SDS,0.00001,0.1,NA,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Chronic POD,SDS,0.00001,0.1,1.357,NA,NA,NA,NA,NA,Literature,1,Other Fish
Acute LC50,4TOP,0.00001,0.1,0.462,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Acute LC50,4TOP,0.00001,0.1,NA,NA,NA,NA,NA,NA,Literature,1,Other Fish
Chronic POD,4TOP,0.00001,0.1,0.0046,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Chronic POD,4TOP,0.00001,0.1,0.012,NA,NA,NA,NA,NA,Literature,1,Other Fish
Acute LC50,4-TPP,0.0001,1,NA,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Acute LC50,4-TPP,0.0001,1,1.6,NA,NA,NA,NA,NA,Literature,1,Other Fish
Chronic POD,4-TPP,0.0001,1,NA,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Chronic POD,4-TPP,0.0001,1,0.057,NA,NA,NA,NA,NA,Literature,1,Other Fish
Acute LC50,24-DMP,0.0001,1,NA,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Acute LC50,24-DMP,0.0001,1,6.3,NA,NA,NA,NA,NA,Literature,1,Other Fish
Chronic POD,24-DMP,0.0001,1,NA,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Chronic POD,24-DMP,0.0001,1,0.131,NA,NA,NA,NA,NA,Literature,1,Other Fish
Acute LC50,4C3MP,0.0001,1,NA,NA,NA,NA,NA,NA,Literature,1,Zebrafish
Acute LC50,4C3MP,0.0001,1,1.3,NA,NA,NA,NA,NA,Literature,1,Other Fish
Chronic POD,4C3MP,0.0001,1,NA,NA,NA,NA,NA,NA,Literature,1,Zebrafish
