.id,chemical,ID,min,max,POD,POD_value_mg_L,POD_low_conf,POD_high_conf,confidence,confident_logical,species,origin
Overt Toxicity,DES,Overt Toxicity,1e-5,0.1,BMD,2.9729398324913e-4,7.91049376954302e-6,3.6458412370707e-4,0.231,FALSE,Zebrafish,Experimental
Overt Toxicity,Malathion,Overt Toxicity,1e-4,1,BMD,0.791049376954302,0.0791049376954302,0.791049376954302,0.346,FALSE,Zebrafish,Experimental
Overt Toxicity,Trenbolone,Overt Toxicity,1e-5,0.1,BMD,3.3887172678387e-4,4.40328528605307e-6,3.3887172678387e-4,0.115,FALSE,Zebrafish,Experimental
Overt Toxicity,Vinclozolin,Overt Toxicity,1e-4,1,BMD,0.66019484840819,6.60194848408189e-5,0.66019484840819,0.316,FALSE,Zebrafish,Experimental
Overt Toxicity,EE2,Overt Toxicity,1e-7,0.001,BMD,5.0297750612144e-4,1.0989494363837e-4,0.001,0.182,FALSE,Zebrafish,Experimental
Behaviour,Fluoxetine,Behaviour,1e-5,0.1,BMD,0.0295775730089561,0.00762434246795576,0.1,0.498,FALSE,Zebrafish,Experimental
Behaviour,1-Decanol,Behaviour,1e-4,1,BMD,0.00707154671053811,0.00286143753802042,0.657703477557481,0.232,FALSE,Zebrafish,Experimental
Behaviour,1-Octanol,Behaviour,0.001,10,BMD,0.415066903911792,0.0483994383685992,3.3489817598224,0.151,FALSE,Zebrafish,Experimental
Behaviour,4C3MP,Behaviour,1e-4,1,BMD,0.365919234752132,0.00454229251659652,0.600145863368672,0.237,FALSE,Zebrafish,Experimental
Behaviour,BPA,Behaviour,1e-4,1,BMD,0.607787386080155,0.607787386080155,0.909078449999025,0.232,FALSE,Zebrafish,Experimental
Behaviour,BPAF,Behaviour,1e-4,1,BMD,0.00849592053824255,9.86678437739827e-5,0.3970220442877,0.186,FALSE,Zebrafish,Experimental
Behaviour,DMSO,Behaviour,0.001,10,BMD,6.4093550683813,0.0449950147044837,6.4093550683813,0.1,FALSE,Zebrafish,Experimental
Behaviour,EE2,Behaviour,1e-7,0.001,BMD,4.7399943307267e-4,6.44549147089149e-6,4.7399943307267e-4,0.109,FALSE,Zebrafish,Experimental
Behaviour,Fadrozole,Behaviour,1e-4,1,BMD,0.258646080334071,0.00423309290067572,0.484700294364936,0.245,FALSE,Zebrafish,Experimental
Behaviour,Glyphosate,Behaviour,1e-4,1,BMD,0.463836760535539,0.00466849137660619,0.767232169192006,0.237,FALSE,Zebrafish,Experimental
Behaviour,Malathion,Behaviour,1e-4,1,BMD,0.304923470843838,0.304923470843838,0.304923470843838,0.114,FALSE,Zebrafish,Experimental
Behaviour,NN-Dimethylformamide,Behaviour,0.1,1000,BMD,314.170529084848,3.36751906714335,878.968072518823,0.229,FALSE,Zebrafish,Experimental
Behaviour,TGSH,Behaviour,1e-4,1,BMD,0.456835133151302,2.9851025671244e-4,0.456835133151302,0.137,FALSE,Zebrafish,Experimental
Behaviour,Trenbolone,Behaviour,1e-5,0.1,BMD,0.0633003802844531,0.00383025650031222,0.0669040022795083,0.429,FALSE,Zebrafish,Experimental
Behaviour,4-TPP,Behaviour,1e-4,1,BMD,0.948120631038724,0.747782423992657,0.965519482934086,0.33,FALSE,Zebrafish,Experimental
Behaviour,17betaestradiol,Behaviour,1e-5,0.1,BMD,0.0827957398533571,7.75091566284115e-5,0.0827957398533571,0.119,FALSE,Zebrafish,Experimental
Behaviour,24-DMP,Behaviour,1e-4,1,BMD,0.367128011327315,6.4193276834521e-4,0.828931014920246,0.22,FALSE,Zebrafish,Experimental
Behaviour,24-DNP,Behaviour,1e-4,10,BMD,0.817081041765709,0.817081041765709,0.817081041765709,0.111,FALSE,Zebrafish,Experimental
Behaviour,34-DCA,Behaviour,1e-5,1,BMD,5.0075303301667e-4,5.0075303301667e-4,5.0075303301667e-4,0.023,FALSE,Zebrafish,Experimental
Behaviour,Clofibric-acid,Behaviour,0.001,10,BMD,3.22390651912259,0.0302580504976988,6.66383245469536,0.333,FALSE,Zebrafish,Experimental
Behaviour,DES,Behaviour,1e-5,0.1,BMD,0.0637404887800956,7.90600918401362e-5,0.0637404887800956,0.119,FALSE,Zebrafish,Experimental
Behaviour,Flutamide,Behaviour,1e-4,1,BMD,0.436229732478961,0.061587002608234,0.519501263476581,0.316,FALSE,Zebrafish,Experimental
Behaviour,Prochloraz,Behaviour,1e-4,1,BMD,0.365040784157072,0.025710685769084,0.381210089726597,0.358,FALSE,Zebrafish,Experimental
Behaviour,SDS,Behaviour,1e-5,0.1,BMD,0.00645462959132253,5.42631156579137e-6,0.0348144034323757,0.137,FALSE,Zebrafish,Experimental
Behaviour,Vinclozolin,Behaviour,1e-4,1,BMD,0.272220003348074,5.4080745529845e-4,0.736046862782508,0.362,FALSE,Zebrafish,Experimental
Metabolic Rate,24-DMP,Metabolic,1e-4,1,BMD,0.276130072129005,0.00268106281351171,0.986489568226708,0.283,FALSE,Zebrafish,Experimental
Metabolic Rate,24-DNP,Metabolic,1e-4,10,BMD,0.51244745790279,0.0464328130236987,0.596518529253297,0.218,FALSE,Zebrafish,Experimental
Metabolic Rate,34-DCA,Metabolic,1e-5,1,BMD,0.0803625872857175,0.0803625872857175,0.0803625872857175,0.118,FALSE,Zebrafish,Experimental
Metabolic Rate,Aniline,Metabolic,0.001,10,BMD,2.77607092484185,0.293942622466743,3.89004204169346,0.372,FALSE,Zebrafish,Experimental
Metabolic Rate,BPA,Metabolic,1e-4,1,BMD,0.928693354653989,0.928693354653989,0.928693354653989,0.093,FALSE,Zebrafish,Experimental
Metabolic Rate,Clofibric-acid,Metabolic,0.001,10,BMD,8.60602319943393,5.85006716374749,8.81147718930479,0.337,FALSE,Zebrafish,Experimental
Metabolic Rate,DMSO,Metabolic,0.001,10,BMD,0.0352545322612073,0.00655416040125892,0.0848682366961677,0.022,FALSE,Zebrafish,Experimental
Metabolic Rate,Fadrozole,Metabolic,1e-4,1,BMD,0.284346568024011,7.39722564521352e-5,0.284346568024011,0.126,FALSE,Zebrafish,Experimental
Metabolic Rate,Fenitrothion,Metabolic,1e-4,1,BMD,0.00821479393346251,8.8083624508792e-4,0.415880396063487,0.314,FALSE,Zebrafish,Experimental
Metabolic Rate,Fluoxetine,Metabolic,1e-5,0.1,BMD,0.0675596182524359,0.00713582073525877,0.0832940218776687,0.444,FALSE,Zebrafish,Experimental
Metabolic Rate,Glyphosate,Metabolic,1e-4,1,BMD,0.0993435860570052,0.00484112543480919,0.288584604360694,0.173,FALSE,Zebrafish,Experimental
Metabolic Rate,Malathion,Metabolic,1e-4,1,BMD,0.92818244277984,0.92818244277984,0.92818244277984,0.106,FALSE,Zebrafish,Experimental
