.id,chemical,median_POD,POD_med,mean_POD,ciu_POD,cil_POD,hit_confidence,lowest_conc,highest_conc
z_score_neg_dir,1-Decanol,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_neg_dir,1-Octanol,10,10,10,10,10,0,0.001,10.0000000
z_score_neg_dir,17betaestradiol,0.006595578946846688,0.007071649696282694,0.0033527354191040496,0.05436442854189998,8.018756609566737e-6,0.868,9.999999999999999e-6,0.1000000
z_score_neg_dir,24-DMP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_neg_dir,24-DNP,6.471840726534423,10,5.431025062240963,7.698876591297204,0.5782101469348223,0.208,0.001,10.0000000
z_score_neg_dir,34-DCA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_neg_dir,4-TPP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_neg_dir,4C3MP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_neg_dir,4TOP,0.06488183068618532,0.09999999999999999,0.043722322376381524,0.08144832718490602,0.00541208518192515,0.389,9.999999999999999e-6,0.1000000
z_score_neg_dir,Aniline,10,10,10,10,10,0,0.001,10.0000000
z_score_neg_dir,BPA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_neg_dir,BPAF,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_neg_dir,Clofibric-acid,7.529311407177877,10,7.529311407177877,7.529311407177877,7.529311407177877,0.123,0.001,10.0000000
z_score_neg_dir,DES,5.327618413804832e-6,8.996591115780973e-4,1.855073063173302e-5,5.584647269691202e-4,4.210304662084988e-6,0.52,9.999999999999999e-6,0.1000000
z_score_neg_dir,DMSO,10,10,10,10,10,0,0.001,10.0000000
z_score_neg_dir,EE2,0.001,0.001,0.001,0.001,0.001,0,1e-7,0.0010000
z_score_neg_dir,Fadrozole,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_neg_dir,Fenitrothione,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_neg_dir,Fluoxetine,0.0887593121376431,0.09999999999999999,0.0648192283824843,0.0931093495788866,0.009448535363130176,0.32,9.999999999999999e-6,0.1000000
z_score_neg_dir,Flutamide,0.8935221212246784,1,0.1475906781472981,0.8935221212246784,6.799252310584835e-4,0.122,9.999999999999999e-5,1.0000000
z_score_neg_dir,Glyphosate,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_neg_dir,Malathion,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_neg_dir,NN-Dimethylformamide,0.07054249340604876,1000,0.5275067220439951,614.0292894857637,0.030281936541788335,0.359,0.09999999999999999,1000.0000000
z_score_neg_dir,Prochloraz,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_neg_dir,SDS,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_neg_dir,TEG,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
z_score_neg_dir,TGSH,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
z_score_neg_dir,Trenbolone,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
z_score_neg_dir,Vinclozolin,0.612141049906128,1,0.09619843719384066,0.9025137320594001,5.311229362416802e-5,0.459,9.999999999999999e-5,1.0000000
