.id,chemical,median_POD,POD_med,mean_POD,ciu_POD,cil_POD,hit_confidence,lowest_conc,highest_conc
z_score_neg_dir,1-Decanol,1,1,1,1,1,0,0.0001,1
z_score_neg_dir,1-Octanol,10,10,10,10,10,0,0.001,10
z_score_neg_dir,17betaestradiol,0.00521010298328245,0.00521010298328245,0.00297468471634994,0.037586212689078,0.000481243182854972,0.9,0.00001,0.1
z_score_neg_dir,24-DMP,0.276130072129005,1,0.15922126611696,0.986489568226708,0.00268106281351171,0.283,0.0001,1
z_score_neg_dir,24-DNP,0.51244745790279,10,0.418870920456092,0.596518529253297,0.0464328130236987,0.218,0.0001,10
z_score_neg_dir,34-DCA,0.0803625872857175,1,0.0803625872857175,0.0803625872857175,0.0803625872857175,0.118,0.00001,1
z_score_neg_dir,4-TPP,1,1,1,1,1,0,0.0001,1
z_score_neg_dir,4C3MP,1,1,1,1,1,0,0.0001,1
z_score_neg_dir,4TOP,0.0509187124699132,0.0751766260690173,0.0202149098136831,0.0876507315331486,0.000993689024325316,0.638,0.00001,0.1
z_score_neg_dir,Aniline,10,10,10,10,10,0,0.001,10
z_score_neg_dir,BPA,1,1,1,1,1,0,0.0001,1
z_score_neg_dir,BPAF,1,1,1,1,1,0,0.0001,1
z_score_neg_dir,Clofibric-acid,8.60602319943393,10,7.59742182355681,8.81147718930479,5.85006716374749,0.337,0.001,10
z_score_neg_dir,DES,0.000614388945957469,0.0633016316446778,0.000649533505318007,0.0764680667821386,3.47203989818714E-06,0.579,0.00001,0.1
z_score_neg_dir,DMSO,10,10,10,10,10,0,0.001,10
z_score_neg_dir,EE2,0.001,0.001,0.001,0.001,0.001,0,0.0000001,0.001
z_score_neg_dir,Fadrozole,1,1,1,1,1,0,0.0001,1
z_score_neg_dir,Fenitrothione,0.80692361078347,1,0.656715401352401,0.863992574971062,0.0986464398451106,0.314,0.0001,1
z_score_neg_dir,Fluoxetine,0.0675596182524359,0.1,0.0519586186208917,0.0832940218776687,0.00713582073525877,0.444,0.00001,0.1
z_score_neg_dir,Flutamide,0.679543316357046,1,0.679543316357046,0.679543316357046,0.679543316357046,0.096,0.0001,1
z_score_neg_dir,Glyphosate,1,1,1,1,1,0,0.0001,1
z_score_neg_dir,Malathion,1,1,1,1,1,0,0.0001,1
z_score_neg_dir,NN-Dimethylformamide,57.386752262813,1000,26.3159739748131,499.619653194543,0.0487996899751734,0.37,0.1,1000
z_score_neg_dir,Prochloraz,1,1,1,1,1,0,0.0001,1
z_score_neg_dir,SDS,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
z_score_neg_dir,TEG,1000,1000,1000,1000,1000,0,0.1,1000
z_score_neg_dir,TGSH,1,1,1,1,1,0,0.0001,1
z_score_neg_dir,Trenbolone,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
z_score_neg_dir,Vinclozolin,0.523459015282096,1,0.296358146071082,0.685523096054226,0.00452385273624617,0.456,0.0001,1
