.id,term,df,sumsq,meansq,statistic,p.value,adj.p.value
1-Decanol,as.factor(Dose),5,0,0,NA,NA,NA
1-Decanol,as.factor(Replicate),2,0,0,NA,NA,NA
1-Decanol,Residuals,10,0,0,NA,NA,NA
1-Octanol,as.factor(Dose),5,0.00125,2.5e-4,0.5999999999999999,0.701752410680739,0.9137523007491007
1-Octanol,as.factor(Replicate),2,8.333333333333339e-4,4.1666666666666696e-4,1.0000000000000004,0.4018775720164606,0.9137523007491007
1-Octanol,Residuals,10,0.0041666666666666675,4.1666666666666675e-4,NA,NA,NA
17betaestradiol,as.factor(Dose),5,6.944444444444446e-4,1.3888888888888892e-4,0.19230769230769226,0.9586265242356109,0.9774231227500346
17betaestradiol,as.factor(Replicate),2,0.0011111111111111115,5.555555555555558e-4,0.7692307692307693,0.4889455144032924,0.9137523007491007
17betaestradiol,Residuals,10,0.007222222222222225,7.222222222222225e-4,NA,NA,NA
24-DMP,as.factor(Dose),5,6.944444444444462e-4,1.3888888888888924e-4,1.0000000000000013,0.4651194265377996,0.9137523007491007
24-DMP,as.factor(Replicate),2,2.777777777777777e-4,1.3888888888888886e-4,0.9999999999999987,0.4018775720164612,0.9137523007491007
24-DMP,Residuals,10,0.0013888888888888905,1.3888888888888905e-4,NA,NA,NA
24-DNP,as.factor(Dose),5,0.004027777777777777,8.055555555555553e-4,0.8285714285714285,0.5574028184949362,0.9137523007491007
24-DNP,as.factor(Replicate),2,2.7777777777777767e-4,1.3888888888888883e-4,0.14285714285714282,0.8686157861214838,0.9450286894361217
24-DNP,Residuals,10,0.00972222222222222,9.722222222222221e-4,NA,NA,NA
34-DCA,as.factor(Dose),5,0.0027777777777777783,5.555555555555557e-4,0.6896551724137933,0.6426147825825017,0.9137523007491007
34-DCA,as.factor(Replicate),2,0.0019444444444444418,9.722222222222209e-4,1.2068965517241363,0.33921690367851337,0.9137523007491007
34-DCA,Residuals,10,0.008055555555555555,8.055555555555556e-4,NA,NA,NA
4-TPP,as.factor(Dose),5,2.3856944444444457,0.4771388888888891,1010.4117647058799,3.5205144605411384e-13,1.830667519481392e-11
4-TPP,as.factor(Replicate),2,2.777777777777825e-4,1.3888888888889125e-4,0.29411764705882765,0.7514188428254471,0.9137523007491007
4-TPP,Residuals,10,0.004722222222222236,4.722222222222236e-4,NA,NA,NA
4C3MP,as.factor(Dose),5,0.00125,2.5e-4,0.5999999999999999,0.701752410680739,0.9137523007491007
4C3MP,as.factor(Replicate),2,8.333333333333339e-4,4.1666666666666696e-4,1.0000000000000004,0.4018775720164606,0.9137523007491007
4C3MP,Residuals,10,0.0041666666666666675,4.1666666666666675e-4,NA,NA,NA
4TOP,as.factor(Dose),5,0.0011111111111111107,2.2222222222222212e-4,0.9999999999999994,0.4651194265378007,0.9137523007491007
4TOP,as.factor(Replicate),2,0.0011111111111111111,5.555555555555556e-4,2.4999999999999996,0.13168724279835398,0.9137523007491007
4TOP,Residuals,10,0.0022222222222222227,2.2222222222222226e-4,NA,NA,NA
Aniline,as.factor(Dose),5,0.0011111111111111107,2.2222222222222212e-4,0.47058823529411736,0.7902341170776008,0.9137523007491007
Aniline,as.factor(Replicate),2,0.0019444444444444455,9.722222222222227e-4,2.0588235294117654,0.17831521367830494,0.9137523007491007
Aniline,Residuals,10,0.004722222222222223,4.722222222222223e-4,NA,NA,NA
