Signaling Pathway Analyses
Organism Code: dre
Signaling Pathway File Creation Date: 10/06/22
Pathway DB Name: REACTOME
Deduplicate Gene Sets: false
Data Source: Fadrozole_DESeq_normData
Work Source: Fadrozole_DESeq_normData_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0045 BETA
Timestamp (Start Time): 06/26/2023 14:42.32
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 278
Total Run Time: 18 seconds

GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMDL at 5th Percentile of Total Genes	BMDL at 10th Percentile of Total Genes	BMDU at 5th Percentile of Total Genes	BMDU at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	275	308	4	4	2	4	4	4	4	2	2	40	306	4554	0.50291	0.75131	1.0	0.65	30482;100331505	gata5;si:cabz01074946.1	ENSDARG00000017821;ENSDARG00000090396		0.28540475	0.28540475	0.0600605	0.3186848945527933	0.18222138874933855	0.2833133423228704	0.15319005	0.15319005	0.0278691	0.17723058713948056	0.09580657180552164	0.15755936620338587	0.533039	0.533039	0.129436	0.5707808364144682	0.3482323579363542	0.5074285893761987									0.510749;0.0600605	0.278511;0.0278691	0.936642;0.129436	1	1	1	30482	ENSDARG00000017821	0.510749	0.510749		0.278511	0.278511		0.936642	0.936642		0.510749	0.278511	0.936642	1	100331505	ENSDARG00000090396	0.0600605	0.0600605		0.0278691	0.0278691		0.129436	0.129436		0.0600605	0.0278691	0.129436	0						Linear,1(0.5);Poly 2,1(0.5)	2.7298225336093793	5.463444948196411	2.629856824874878	2.833588123321533	0.14405978267157027	2.7317224740982056	-0.15626997999999998	0.72707948	-0.09243901200000004	0.39881911200000003	-0.25802287999999995	1.32410088	CONFLICT	0.5	0.5	0.0	
R-DRE-114608	Platelet degranulation 	56	69	1	1	0	1	1	1	1	0	0	42	69	4791	0.54996	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-168249	Innate Immune System	447	502	12	9	6	11	11	10	12	6	6	36	496	4364	0.8678	0.2563	0.43696	1.2	570368;565124;555401;494155;431754;393932	arg1;si:ch211-194p6.10;aoc1;serpinb1l1;acaa1;slc15a4	ENSDARG00000057429;ENSDARG00000105568;ENSDARG00000061355;ENSDARG00000095830;ENSDARG00000004687;ENSDARG00000102612		0.4537090000000001	0.449708	0.341909	0.07904948036514799	0.45466510133896804	0.07913559464298144	0.258572	0.25962399999999997	0.217113	0.02613786089946889	0.25891128338235075	0.02590555072317952	0.799743	0.779152	0.538437	0.20042789791842816	0.8021237531256461	0.2017778338024826									0.467397;0.582923;0.432019;0.47495;0.341909;0.423056	0.265781;0.296777;0.253467;0.268057;0.217113;0.250237	0.821954;1.14496;0.73635;0.84153;0.538437;0.715227	6	0	6	570368;565124;555401;494155;431754;393932	ENSDARG00000057429;ENSDARG00000105568;ENSDARG00000061355;ENSDARG00000095830;ENSDARG00000004687;ENSDARG00000102612	0.4537090000000001	0.449708	0.07904948036514799	0.258572	0.25962399999999997	0.02613786089946889	0.799743	0.779152	0.20042789791842816	0.467397;0.582923;0.432019;0.47495;0.341909;0.423056	0.265781;0.296777;0.253467;0.268057;0.217113;0.250237	0.821954;1.14496;0.73635;0.84153;0.538437;0.715227	0															0						Linear,6(1)	2.1509235149440715	13.113915205001831	1.5846127271652222	2.63726544380188	0.4183167958919085	2.1771429777145386	0.390456242166588	0.516961757833412	0.23765735542396255	0.2794866445760375	0.6393672804945303	0.9601187195054697	UP	1.0	0.0	0.0	
R-DRE-168256	Immune System	723	837	14	10	7	13	13	12	14	7	7	35	830	4030	0.57112	0.59232	1.0	0.84	570368;565124;555401;494155;431754;393932;100331505	arg1;si:ch211-194p6.10;aoc1;serpinb1l1;acaa1;slc15a4;si:cabz01074946.1	ENSDARG00000057429;ENSDARG00000105568;ENSDARG00000061355;ENSDARG00000095830;ENSDARG00000004687;ENSDARG00000102612;ENSDARG00000090396		0.3974735	0.432019	0.0600605	0.16536133317702575	0.3838279134340296	0.1781930143626439	0.22561444285714288	0.253467	0.0278691	0.09040313685619278	0.2174358963678846	0.09852958796645556	0.7039848571428572	0.73635	0.129436	0.3125115550143324	0.6813666494126576	0.33201712045180887									0.467397;0.582923;0.432019;0.47495;0.341909;0.423056;0.0600605	0.265781;0.296777;0.253467;0.268057;0.217113;0.250237;0.0278691	0.821954;1.14496;0.73635;0.84153;0.538437;0.715227;0.129436	6	1	6	570368;565124;555401;494155;431754;393932	ENSDARG00000057429;ENSDARG00000105568;ENSDARG00000061355;ENSDARG00000095830;ENSDARG00000004687;ENSDARG00000102612	0.4537090000000001	0.449708	0.07904948036514799	0.258572	0.25962399999999997	0.02613786089946889	0.799743	0.779152	0.20042789791842816	0.467397;0.582923;0.432019;0.47495;0.341909;0.423056	0.265781;0.296777;0.253467;0.268057;0.217113;0.250237	0.821954;1.14496;0.73635;0.84153;0.538437;0.715227	1	100331505	ENSDARG00000090396	0.0600605	0.0600605		0.0278691	0.0278691		0.129436	0.129436		0.0600605	0.0278691	0.129436	0						Linear,6(0.86);Poly 2,1(0.15)	2.2135911802593706	15.743772029876709	1.5846127271652222	2.63726544380188	0.41714784611249744	2.2906899452209473	0.2749721100652987	0.5199748899347012	0.15864286185588827	0.2925860238583975	0.4724730573502959	0.9354966569354183	UP	0.8571428571428571	0.14285714285714285	0.0	
R-DRE-6798695	Neutrophil degranulation	259	300	9	7	5	8	8	8	9	5	5	37	295	4565	0.95926	0.11115	0.18082	1.67	570368;555401;494155;431754;393932	arg1;aoc1;serpinb1l1;acaa1;slc15a4	ENSDARG00000057429;ENSDARG00000061355;ENSDARG00000095830;ENSDARG00000004687;ENSDARG00000102612		0.4278662000000001	0.432019	0.341909	0.05293531990741072	0.4270183617258789	0.05041538350028725	0.250931	0.253467	0.217113	0.02039848298280996	0.250749106872989	0.019497094155136313	0.7306996	0.73635	0.538437	0.12025699440489926	0.728223396529957	0.11426448644603218									0.467397;0.432019;0.47495;0.341909;0.423056	0.265781;0.253467;0.268057;0.217113;0.250237	0.821954;0.73635;0.84153;0.538437;0.715227	5	0	5	570368;555401;494155;431754;393932	ENSDARG00000057429;ENSDARG00000061355;ENSDARG00000095830;ENSDARG00000004687;ENSDARG00000102612	0.4278662000000001	0.432019	0.05293531990741072	0.250931	0.253467	0.02039848298280996	0.7306996	0.73635	0.12025699440489926	0.467397;0.432019;0.47495;0.341909;0.423056	0.265781;0.253467;0.268057;0.217113;0.250237	0.821954;0.73635;0.84153;0.538437;0.715227	0															0						Linear,5(1)	2.204609147364051	11.212435126304626	1.5846127271652222	2.63726544380188	0.4410328579848397	2.2906899452209473	0.38146634630032134	0.4742660536996786	0.23305094132172488	0.26881105867827504	0.6252896968104066	0.8361095031895934	UP	1.0	0.0	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	124	141	1	1	0	1	1	1	1	0	0	42	141	4719	0.29199	1.0	0.63365	0.0																																		0	0	0															0															0																							
R-DRE-76005	Response to elevated platelet cytosolic Ca2+	58	71	1	1	0	1	1	1	1	0	0	42	71	4789	0.54044	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1430728	Metabolism	980	1029	32	30	26	30	30	29	32	25	25	17	1004	3856	1.0	5.376E-8	5.376E-8	2.43	795332;794311;791732;791185;678614;570368;565316;564475;564304;563642;555401;550454;493602;447860;436652;431754;414331;406662;402939;394148;393894;378446;327462;103909721;100034366	slc25a1b;fmo5;sult1st2;slc26a1;elovl2;arg1;dgat2;cyp39a1;cidec;sdsl;aoc1;dhrs7b;asah2;acsl5;entpd8;acaa1;cyp51;msmo1;zgc:77938;cyp7a1;pitpnb;dhcr7;hsd3b7;fo904880.1;cyp2p8	ENSDARG00000076381;ENSDARG00000016357;ENSDARG00000041540;ENSDARG00000029832;ENSDARG00000045414;ENSDARG00000057429;ENSDARG00000018846;ENSDARG00000017982;ENSDARG00000059651;ENSDARG00000074698;ENSDARG00000061355;ENSDARG00000075726;ENSDARG00000012829;ENSDARG00000075931;ENSDARG00000005565;ENSDARG00000004687;ENSDARG00000042641;ENSDARG00000055876;ENSDARG00000088366;ENSDARG00000069018;ENSDARG00000036005;ENSDARG00000103226;ENSDARG00000036966;ENSDARG00000110366;ENSDARG00000042982		0.36782682400000005	0.409317	0.0590363	0.14715101691847116	0.356015832780113	0.14455924984025026	0.20776471999999999	0.2451	0.0219656	0.09437745154997308	0.2022363780521568	0.09480200313365894	0.6865417599999999	0.731059	0.128682	0.22068817463642382	0.6639717477451805	0.21024342802468732									0.440134;0.130019;0.484473;0.134506;0.394338;0.467397;0.360006;0.0892482;0.518198;0.439117;0.432019;0.519011;0.398129;0.48778;0.447263;0.341909;0.457259;0.409317;0.0590363;0.403049;0.414217;0.391357;0.0753931;0.361361;0.541134	0.2563;0.0231239;0.2708;0.0219656;0.239267;0.265781;0.225118;0.0294074;0.2806;0.255789;0.253467;0.280994;0.240796;0.271826;0.258824;0.217113;0.262127;0.2451;0.0270844;0.242715;0.246967;0.238136;0.0283917;0.22571;0.286715	0.755826;0.731059;0.866743;0.823642;0.649912;0.821954;0.575717;0.270858;0.956983;0.753839;0.73635;0.95864;0.658261;0.875299;0.772895;0.538437;0.797649;0.683557;0.128682;0.669296;0.694731;0.643163;0.200203;0.578538;1.02131	20	5	20	795332;791732;678614;570368;565316;564304;563642;555401;550454;493602;447860;436652;431754;414331;406662;394148;393894;378446;103909721;100034366	ENSDARG00000076381;ENSDARG00000041540;ENSDARG00000045414;ENSDARG00000057429;ENSDARG00000018846;ENSDARG00000059651;ENSDARG00000074698;ENSDARG00000061355;ENSDARG00000075726;ENSDARG00000012829;ENSDARG00000075931;ENSDARG00000005565;ENSDARG00000004687;ENSDARG00000042641;ENSDARG00000055876;ENSDARG00000069018;ENSDARG00000036005;ENSDARG00000103226;ENSDARG00000110366;ENSDARG00000042982	0.4353734	0.43556799999999996	0.055708373968844364	0.25320725	0.25462799999999997	0.019500435446892533	0.7504549999999999	0.7450945	0.13492225736951005	0.440134;0.484473;0.394338;0.467397;0.360006;0.518198;0.439117;0.432019;0.519011;0.398129;0.48778;0.447263;0.341909;0.457259;0.409317;0.403049;0.414217;0.391357;0.361361;0.541134	0.2563;0.2708;0.239267;0.265781;0.225118;0.2806;0.255789;0.253467;0.280994;0.240796;0.271826;0.258824;0.217113;0.262127;0.2451;0.242715;0.246967;0.238136;0.22571;0.286715	0.755826;0.866743;0.649912;0.821954;0.575717;0.956983;0.753839;0.73635;0.95864;0.658261;0.875299;0.772895;0.538437;0.797649;0.683557;0.669296;0.694731;0.643163;0.578538;1.02131	5	794311;791185;564475;402939;327462	ENSDARG00000016357;ENSDARG00000029832;ENSDARG00000017982;ENSDARG00000088366;ENSDARG00000036966	0.09764052000000001	0.0892482	0.03340319638967202	0.0259946	0.0270844	0.0032808046185348856	0.43088879999999996	0.270858	0.3219130202068565	0.130019;0.134506;0.0892482;0.0590363;0.0753931	0.0231239;0.0219656;0.0294074;0.0270844;0.0283917	0.731059;0.823642;0.270858;0.128682;0.200203	0						Linear,20(0.8);Poly 2,5(0.2)	2.483172450919105	65.24235582351685	1.5547162294387817	4.250180721282959	0.8535389647296302	2.4965357780456543	0.3101436253679592	0.4255100226320407	0.17076875899241056	0.2447606810075894	0.600031995542522	0.773051524457478	UP	0.8	0.2	0.0	
R-DRE-156580	Phase II - Conjugation of compounds	46	48	2	2	2	2	2	2	2	2	2	40	46	4814	0.99226	0.063098	0.063098	4.17	791732;791185	sult1st2;slc26a1	ENSDARG00000041540;ENSDARG00000029832		0.3094895	0.3094895	0.134506	0.24746403889151253	0.3267188563934419	0.24626154612735526	0.14638279999999998	0.14638279999999998	0.0219656	0.17595249163248586	0.1586332595020338	0.17509749225976384	0.8451925	0.8451925	0.823642	0.030477009375919226	0.8473144214666346	0.03032891358223939									0.484473;0.134506	0.2708;0.0219656	0.866743;0.823642	1	1	1	791732	ENSDARG00000041540	0.484473	0.484473		0.2708	0.2708		0.866743	0.866743		0.484473	0.2708	0.866743	1	791185	ENSDARG00000029832	0.134506	0.134506		0.0219656	0.0219656		0.823642	0.823642		0.134506	0.0219656	0.823642	0						Linear,1(0.5);Poly 2,1(0.5)	2.3668495438473576	5.114749073982239	1.5887736082077026	3.525975465774536	1.3698085700126843	2.5573745369911194	-0.033478160000000035	0.65245716	-0.09747491199999997	0.39024051199999993	0.80295352	0.88743148	CONFLICT	0.5	0.5	0.0	
R-DRE-211859	Biological oxidations	108	112	10	10	10	10	10	10	10	10	10	32	102	4758	1.0	2.063E-8	2.063E-8	8.93	794311;791732;791185;564475;555401;414331;402939;394148;103909721;100034366	fmo5;sult1st2;slc26a1;cyp39a1;aoc1;cyp51;zgc:77938;cyp7a1;fo904880.1;cyp2p8	ENSDARG00000016357;ENSDARG00000041540;ENSDARG00000029832;ENSDARG00000017982;ENSDARG00000061355;ENSDARG00000042641;ENSDARG00000088366;ENSDARG00000069018;ENSDARG00000110366;ENSDARG00000042982		0.30921044999999997	0.382205	0.0590363	0.1845814720071405	0.3139817318922637	0.17057080844895797	0.16431152999999998	0.2342125	0.0219656	0.12063837794153466	0.16885904828988982	0.11605686420805367	0.6624127	0.7337045	0.128682	0.27290348612041915	0.6690541460400818	0.2314068601050367	4.5	0.382205			0.2342125		0.623917		0.130019;0.484473;0.134506;0.0892482;0.432019;0.457259;0.0590363;0.403049;0.361361;0.541134	0.0231239;0.2708;0.0219656;0.0294074;0.253467;0.262127;0.0270844;0.242715;0.22571;0.286715	0.731059;0.866743;0.823642;0.270858;0.73635;0.797649;0.128682;0.669296;0.578538;1.02131	6	4	6	791732;555401;414331;394148;103909721;100034366	ENSDARG00000041540;ENSDARG00000061355;ENSDARG00000042641;ENSDARG00000069018;ENSDARG00000110366;ENSDARG00000042982	0.4465491666666667	0.444639	0.06302320579728243	0.2569223333333333	0.257797	0.021425585524476796	0.7783143333333333	0.7669995000000001	0.15543290390218764	0.484473;0.432019;0.457259;0.403049;0.361361;0.541134	0.2708;0.253467;0.262127;0.242715;0.22571;0.286715	0.866743;0.73635;0.797649;0.669296;0.578538;1.02131	4	794311;791185;564475;402939	ENSDARG00000016357;ENSDARG00000029832;ENSDARG00000017982;ENSDARG00000088366	0.10320237499999999	0.1096336	0.03579762327011628	0.025395325	0.02510415	0.003457942802086222	0.48856025000000003	0.5009585	0.34058383569626915	0.130019;0.134506;0.0892482;0.0590363	0.0231239;0.0219656;0.0294074;0.0270844	0.731059;0.823642;0.270858;0.128682	0						Linear,6(0.6);Poly 2,4(0.4)	2.5601731433295747	27.138145446777344	1.5547162294387817	4.250180721282959	0.975003961330548	2.579276204109192	0.19480566837980165	0.42361523162019843	0.08953908868540092	0.2390839713145991	0.4932653668820281	0.8315600331179718	UP	0.6	0.4	0.0	
