.id,chemical,median_POD,POD_med,cil_POD,mean_POD,ciu_POD,hit_confidence,lowest_conc,highest_conc
spearman_fitted,17betaestradiol,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
spearman_fitted,1decanol,1,1,1,1,1,0,0.0001,1
spearman_fitted,1octanol,10,10,10,10,10,0,0.001,10
spearman_fitted,24DMP,1,1,1,1,1,0,0.0001,1
spearman_fitted,24DNP,10,10,10,10,10,0,0.0001,10
spearman_fitted,34DCA,1,1,1,1,1,0,0.00001,1
spearman_fitted,4C3MP,1,1,1,1,1,0,0.0001,1
spearman_fitted,4TOP,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
spearman_fitted,4TPP,0.948120631038724,1,0.747782423992657,0.905634116952672,0.965519482934086,0.33,0.0001,1
spearman_fitted,Aniline,10,10,10,10,10,0,0.001,10
spearman_fitted,BPA,1,1,1,1,1,0,0.0001,1
spearman_fitted,BPAF,1,1,1,1,1,0,0.0001,1
spearman_fitted,ClofibricAcid,10,10,10,10,10,0,0.001,10
spearman_fitted,DES,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
spearman_fitted,DMSO,10,10,10,10,10,0,0.001,10
spearman_fitted,Dimethylformamide,1000,1000,1000,1000,1000,0,0.1,1000
spearman_fitted,EE2,0.001,0.001,0.001,0.001,0.001,0,0.0000001,0.001
spearman_fitted,Fadrozole,1,1,1,1,1,0,0.0001,1
spearman_fitted,Fenitrothion,1,1,1,1,1,0,0.0001,1
spearman_fitted,Fluoxetine,0.0382574055786114,0.0418139134074213,0.0111881809155565,0.0345448019768388,0.1,0.914,0.00001,0.1
spearman_fitted,Flutamide,1,1,1,1,1,0,0.0001,1
spearman_fitted,Glyphosate,1,1,1,1,1,0,0.0001,1
spearman_fitted,Malathion,1,1,1,1,1,0,0.0001,1
spearman_fitted,Prochloraz,1,1,1,1,1,0,0.0001,1
spearman_fitted,SDS,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
spearman_fitted,TEG,1000,1000,1000,1000,1000,0,0.1,1000
spearman_fitted,TGSH,1,1,1,1,1,0,0.0001,1
spearman_fitted,Trenbolone,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
spearman_fitted,Vinclozolin,1,1,1,1,1,0,0.0001,1
