.id,chemical,median_POD,POD_med,cil_POD,mean_POD,ciu_POD,hit_confidence,lowest_conc,highest_conc
fitted_affected_rate_pos_dir,1-Decanol,1,1,1,1,1,0,0.0001,1
fitted_affected_rate_pos_dir,1-Octanol,10,10,10,10,10,0,0.001,10
fitted_affected_rate_pos_dir,17betaestradiol,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
fitted_affected_rate_pos_dir,24-DMP,1,1,1,1,1,0,0.0001,1
fitted_affected_rate_pos_dir,24-DNP,1.23688299343565,1.23707554751806,1.07264725461114,1.41223393087361,3.1085668870099,0.998,0.0001,10
fitted_affected_rate_pos_dir,34-DCA,0.244320978064685,0.244808671483008,0.13027478372579,0.285881478509161,0.65621581853766,0.997,0.00001,1
fitted_affected_rate_pos_dir,4-TPP,0.250189323354525,0.250272524228227,0.141013523243022,0.317091805490919,0.632802286866246,0.975,0.0001,1
fitted_affected_rate_pos_dir,4C3MP,1,1,1,1,1,0,0.0001,1
fitted_affected_rate_pos_dir,4TOP,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
fitted_affected_rate_pos_dir,Aniline,10,10,10,10,10,0,0.001,10
fitted_affected_rate_pos_dir,BPA,1,1,1,1,1,0,0.0001,1
fitted_affected_rate_pos_dir,BPAF,1,1,1,1,1,0,0.0001,1
fitted_affected_rate_pos_dir,Clofibric-acid,10,10,10,10,10,0,0.001,10
fitted_affected_rate_pos_dir,DES,0.00107292833615878,0.00334184892274777,5.086319480851E-05,0.00095948522075366,0.0409908230456327,0.671,0.00001,0.1
fitted_affected_rate_pos_dir,DMSO,10,10,10,10,10,0,0.001,10
fitted_affected_rate_pos_dir,EE2,0.00050297750612144,0.001,0.000109894943638371,0.000407994804689136,0.001,0.182,0.0000001,0.001
fitted_affected_rate_pos_dir,Fadrozole,1,1,1,1,1,0,0.0001,1
fitted_affected_rate_pos_dir,Fenitrothione,1,1,1,1,1,0,0.0001,1
fitted_affected_rate_pos_dir,Fluoxetine,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
fitted_affected_rate_pos_dir,Flutamide,1,1,1,1,1,0,0.0001,1
fitted_affected_rate_pos_dir,Glyphosate,1,1,1,1,1,0,0.0001,1
fitted_affected_rate_pos_dir,Malathion,1,1,0.275822568256547,0.779103505087604,1,0.171,0.0001,1
fitted_affected_rate_pos_dir,NN-Dimethylformamide,1000,1000,1000,1000,1000,0,0.1,1000
fitted_affected_rate_pos_dir,Prochloraz,1,1,1,1,1,0,0.0001,1
fitted_affected_rate_pos_dir,SDS,0.1,0.1,0.1,0.1,0.1,0,0.00001,0.1
fitted_affected_rate_pos_dir,TEG,1000,1000,1000,1000,1000,0,0.1,1000
fitted_affected_rate_pos_dir,TGSH,1,1,1,1,1,0,0.0001,1
fitted_affected_rate_pos_dir,Trenbolone,0.00119653318365256,0.1,0.000188153461438586,0.00186290160705028,0.0154474294387825,0.131,0.00001,0.1
fitted_affected_rate_pos_dir,Vinclozolin,1,1,1,1,1,0,0.0001,1
