Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill					
ENSDARG00000099104	Linear		192301	rpl24	10802.1	0.113507	1.03E+09	0.001739693	-104.3731064	214.7462128	-1	95166.81791	TRUE	519.023	-0.0185187			
ENSDARG00000099640	Linear		550463	eed	706.241	318.441	1566.31	0.167599033	-29.4519064	64.9038128	1	2.217808008	TRUE	6.87503	0.00441062			
ENSDARG00000014313	Linear		406599	atp5pf	22021.9	12.5613	3.86E+07	8.72E-04	-79.7561064	165.5122128	1	1753.15453	TRUE	139.226	0.00231373			
ENSDARG00000001870	Linear		64615	atp1a1a.4	2633.15	160.503	43198.6	0.009252842	-80.0171064	166.0342128	1	16.40561236	TRUE	104.371	0.0196331			
ENSDARG00000006526	Linear		334613	fn1b	588.138	297.782	1161.61	0.132228317	-66.8819064	139.7638128	1	1.975062294	TRUE	68.7567	0.0423706			
ENSDARG00000070543	Linear		570493	grin2ab	493.845	273.495	891.728	0.085838897	-33.6307064	73.2614128	-1	1.805682005	TRUE	14.7638	-0.00795583			
ENSDARG00000077533	Linear		557270	eif3f	2103.52	223.916	19761	0.003775552	-67.8541064	141.7082128	-1	9.394237125	TRUE	108.712	-0.0125042			
ENSDARG00000091609	Linear		100331208	spink4	6985.47	4.30572	1.13E+07	0.006909016	-76.1339064	158.2678128	-1	1622.369778	TRUE	38.3125	-0.00596454			
ENSDARG00000015495	Linear		117603	klf3	1221.27	325.101	4587.82	0.111668622	-50.3038064	106.6076128	-1	3.756586415	TRUE	23.4	-0.00812352			
ENSDARG00000037378	Linear		791448	qdprb1	2465.91	178.268	34110.1	0.004788669	-27.6989064	61.3978128	1	13.83260035	TRUE	6.62188	0.00114599			
ENSDARG00000037350	Hill		336702	rpl9	0.0293122	7.98E-10	1076340	0.936569424	-109.0671064	228.1342128	-1	3.67E+07	4	1340.27	-643.617	17.9985	0.0102766	TRUE
ENSDARG00000035692	Linear		337240	rps3a	7184.14	3.84278	1.34E+07	0.010941814	-107.5221064	221.0442128	-1	1869.51634	TRUE	666.176	-0.033167			
ENSDARG00000069996	Hill		792752	dnajb14	0.188071	0.0113807	3.10797	0.999938306	-27.1583064	64.3166128	-1	16.52543341	0	10.5864	-5.19393	1.10546	0.169944	TRUE
ENSDARG00000089138	Linear		100000190	si:ch1073-440b2.1	1021.06	332.629	3134.29	0.002948759	-28.6668064	63.3336128	1	3.069666205	TRUE	9.91198	0.00292052			
ENSDARG00000028982	Linear		437019	pcca	418.109	248.532	703.391	0.332891691	-24.7405064	55.4810128	-1	1.682314551	TRUE	12.6208	-0.00573442			
ENSDARG00000060477	Hill		791134	vps8	25.1289	4.44254	142.139	0.35497252	-19.2707064	48.5414128	-1	5.656426279	0	9.60275	-5.50279	1.25533	45.5529	TRUE
ENSDARG00000053586	Linear		573207	creb1a	279.654	186.935	418.361	0.490885554	-32.4075064	70.8150128	-1	1.495995934	TRUE	20.4299	-0.0131264			
ENSDARG00000092693	Linear		30723	tpt1	13159.7	0.0490814	3.53E+09	0.007087709	-103.0271064	212.0542128	-1	268119.8988	TRUE	540.076	-0.0141056			
ENSDARG00000037018	Exp 5		406666	gab1	0.78695	2.15E-04	2878.94	0.992434806	-29.9807064	69.9614128	1	3658.360839	TRUE	8.73662	0.00382931	2.257129786	0.183133	
ENSDARG00000027199	Linear		30628	smad1	559.219	291.175	1074.01	0.16857468	-19.2696064	44.5392128	-1	1.920559801	TRUE	9.60507	-0.00316371			
ENSDARG00000004621	Linear		407734	gpm6ab	653.679	310.46	1376.33	0.017663579	-84.9601064	175.9202128	-1	2.105517619	TRUE	245.943	-0.104078			
ENSDARG00000031435	Linear		336637	txn	11968.5	0.0323955	4.42E+09	0.008831934	-74.1877064	154.3754128	1	369449.4606	TRUE	149.729	0.00312445			
ENSDARG00000033604	Linear		333939	lrpap1	1339.55	315.246	5692.02	0.012429377	-36.6712064	79.3424128	-1	4.249221243	TRUE	13.9887	-0.00347278			
ENSDARG00000052696	Linear		550507	bdh2	296.996	195.551	451.067	0.158917896	-24.4181064	54.8362128	1	1.518764926	TRUE	5.8902	0.00792958			
ENSDARG00000016793	Linear		560055	crybb1l2	1131.72	331.328	3865.6	0.056287561	-91.0601064	188.1202128	-1	3.415708905	TRUE	264.244	-0.0843645			
ENSDARG00000051986	Linear		406413	ndufs8a	1170.45	328.536	4169.89	0.002754532	-45.8540064	97.7080128	-1	3.562623274	TRUE	32.5335	-0.00661972			
ENSDARG00000019778	Linear		445028	rps6	2325.21	194.99	27727.5	0.00217398	-114.5721064	235.1442128	-1	11.92476537	TRUE	805.65	-0.151609			
ENSDARG00000006588	Linear		550501	zgc:111983	329.218	211.338	512.847	0.418617772	-48.0313064	102.0626128	1	1.557779481	TRUE	29.3231	0.0265609			
ENSDARG00000060184	Linear		560840	pkn1a	2990.74	124.615	71776.8	2.47E-04	-30.9573064	67.9146128	1	23.99983951	TRUE	6.77965	0.00113239			
ENSDARG00000010773	Exp 5		560986	pnpla6	0.244066	8.74E-07	68147.9	0.155817274	-36.1173064	82.2346128	-1	279218.1717	TRUE	17.7119	1.52E-04	4.54E-05	0.119999	
ENSDARG00000036549	Linear		406734	agpat3	726.711	320.938	1645.52	0.014613742	-41.5239064	89.0478128	1	2.264334544	TRUE	33.7817	0.00838218			
ENSDARG00000036687	Linear		449616	bcl9	549.399	288.923	1044.7	0.157225188	-40.7696064	87.5392128	-1	1.901541241	TRUE	20.6951	-0.0106324			
ENSDARG00000002937	Linear		170455	meis1a	477.373	268.274	849.448	0.035566999	-25.9010064	57.8020128	1	1.779423276	TRUE	8.58573	0.00535699			
ENSDARG00000059908	Linear		559409	si:ch211-217k17.7	5616.92	14.711	2144640	0.007912864	-44.0559064	94.1118128	1	381.8176874	TRUE	27.3028	0.00124828			
ENSDARG00000017423	Linear		100009659	patl1	849.92	331.518	2178.96	0.016270182	-32.4621064	70.9242128	1	2.56372203	TRUE	13.5176	0.00433215			
ENSDARG00000010791	Linear		30131	dla	398.696	240.876	659.917	0.423401156	-31.2256064	68.4512128	-1	1.655191883	TRUE	14.7329	-0.00862196			
ENSDARG00000098852	Linear		100000862	smdt1b	1241.63	323.971	4758.59	0.040708697	-51.2567064	108.5134128	-1	3.832534394	TRUE	29.5317	-0.00842474			
ENSDARG00000059816	Linear		677749	zgc:136864	8663.26	0.994103	7.55E+07	0.003152708	-40.5439064	87.0878128	-1	8714.650293	TRUE	18.9445	-6.66E-04			
ENSDARG00000033789	Linear		393821	ndufb7	3474.67	88.1218	137008	0.005076435	-78.2909064	162.5818128	1	39.43031123	TRUE	103.241	0.0135176			
ENSDARG00000052039	Linear		259303	caspb	369.286	229.074	595.318	0.144482129	-45.5625064	97.1250128	1	1.612081685	TRUE	20.1192	0.0206442			
ENSDARG00000098567	Linear				436.357	254.949	746.847	0.726190701	-40.9292064	87.8584128	1	1.711546231	TRUE	11.9358	0.0135061			
ENSDARG00000103295	Linear		553969	cyp3a65	101308	19976.4	513773	0.002827258	-91.6141064	189.2282128	1	5.071384233	TRUE	104.016	9.72E-04			
ENSDARG00000040683	Linear		327586	mep1b	6013.03	10.6798	3385510	0.002310832	-47.6443064	101.2886128	-1	563.0283339	TRUE	12.6764	-0.0014233			
ENSDARG00000097118	Hill		100537295	cu693494.2	86.7372	0.209701	35876.6	0.490630867	-45.7235064	101.4470128	1	413.6232064	0	24.1497	23.4213	11.9776	92.0751	TRUE
ENSDARG00000023713	Linear		335821	aqp1a.1	1691	276.215	10352.3	0.024266288	-42.4204064	90.8408128	1	6.122042612	TRUE	24.9733	0.00378623			
ENSDARG00000016081	Linear		81591	cldn15la	7000.47	3.99217	1.23E+07	0.011292718	-57.3480064	120.6960128	-1	1753.550074	TRUE	14.4336	-0.00209598			
ENSDARG00000012194	Linear		393839	scp2a	610.716	302.544	1232.79	0.086058509	-65.6015064	137.2030128	1	2.018602253	TRUE	65.3109	0.0380025			
ENSDARG00000039830	Linear		337838	gng5	2351.27	192.582	28707.3	0.002701839	-45.2208064	96.4416128	1	12.20918881	TRUE	18.8109	0.00318136			
ENSDARG00000075007	Linear		561896	chst2a	1057.7	333.377	3355.76	0.028839618	-35.7027064	77.4054128	-1	3.172684378	TRUE	14.6245	-0.00416779			
ENSDARG00000043581	Linear		393548	gadd45aa	2742.22	149.561	50278.8	5.64E-05	-25.2965064	56.5930128	-1	18.33512747	TRUE	4.3318	-9.02E-04			
ENSDARG00000020197	Linear		326961	rpl5a	6187.09	10.2462	3736030	0.002540609	-113.7361064	233.4722128	-1	603.8424001	TRUE	695.505	-0.0543912			
ENSDARG00000018809	Linear		447830	abhd3	623.064	305.038	1272.66	0.044223617	-44.3093064	94.6186128	-1	2.042578302	TRUE	26.8587	-0.0114128			
ENSDARG00000013856	Linear		406539	amy2a	16793.9	0.9365	3.01E+08	0.008524168	-98.4191064	202.8382128	-1	17932.62146	TRUE	159.638	-0.00855662			
ENSDARG00000010267	Linear		405829	dpydb	369.232	229.032	595.255	0.57656814	-45.5989064	97.1978128	1	1.612141535	TRUE	22.7195	0.020689			
ENSDARG00000011886	Exp 5		386613	pdca	5.59378	1.09379	28.6073	0.995913949	-22.9624064	55.9248128	-1	5.114126112	TRUE	12.7777	0.0625487	0.407959245	1.03163	
ENSDARG00000016399	Hill		406268	riok1	88.9792	0.00521511	1518150	0.147855636	-23.6704064	57.3408128	1	17061.80694	0	10.2361	4.39824	11.9035	88.5714	TRUE
ENSDARG00000039022	Linear		406600	stk25b	424.374	250.934	717.694	0.490959697	-27.4344064	60.8688128	-1	1.69117776	TRUE	11.9078	-0.00656185			
ENSDARG00000003068	Linear		492770	gorasp1a	764.222	325.412	1794.75	0.006398626	-26.4550064	58.9100128	1	2.348475164	TRUE	8.87438	0.00345085			
ENSDARG00000079564	Linear		30616	myh7	6798.03	5.10881	9045800	0.008469074	-57.0144064	120.0288128	-1	1330.648429	TRUE	51.1049	-0.00211876			
ENSDARG00000035860	Linear		406307	rps28	31540.6	171.398	5804080	0.006029515	-107.0411064	220.0822128	-1	184.0196502	TRUE	667.617	-0.00735536			
ENSDARG00000035859	Exp 5		492647	angptl4	1.40697	0.00875618	226.076	0.688177523	-40.4370064	90.8740128	1	160.6830833	TRUE	19.5588	0.1	1.652858148	0.263727	
ENSDARG00000074262	Linear		564584	nck1a	548.296	289.217	1039.46	0.314589835	-25.4312064	56.8624128	1	1.895794507	TRUE	7.12665	0.0045439			
ENSDARG00000056262	Exp 5		492818	slc35g2a	0.301944	9.29E-04	98.0855	0.881564723	-25.9544064	61.9088128	-1	324.8463149	TRUE	13.6649	0.00190818	4.54E-05	0.210578	
